step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.009441915000024892,0.8045578716559947,0.03745625687950597,0.5325896646627348,0.01697902524775406,0.2175329248659999,1.0,1.0,1.0,1.0,0.0,0.0,0,0.010582460831791776,0.007648633323181777,0.038722684533863294,1.0,1.0,0.0009765625,256,0.8284833614941358,1.0,0.49916523982806693,3.232741350290364,0,0,512,768,nan,nan
25,0.08593877300017994,0.42727771010225524,0.008988489468125171,0.30655620132433153,0.08529707727830857,0.026435942031489888,1.0,1.0,1.0,1.0,0.0,0.0,0,0.02094268466769742,0.017005070702081074,0.00722326254858691,0.7456063212464412,0.9743263310590522,0.0019027544139116233,6400,0.8152903640449325,0.9999999999999998,0.49412654952244534,3.2886552573308143,0,1024,1024,8448,nan,nan
50,0.16395931499982908,0.41805627832983094,0.013430439320884696,0.2957369095037899,0.0906651858491364,0.018223743656019965,1.0,1.0,1.0,1.0,0.0,0.0,0,0.03176723100086833,0.0263532805157563,0.012191741510140878,0.7823322216247874,0.9788280153701318,0.001818861986241211,12800,0.696217024896721,1.0,0.4544041425596377,4.745618112772392,0,2048,1536,16384,nan,nan
75,0.2418089359998703,0.39834747035427964,0.01568451167181189,0.2886982701386265,0.0751049610036591,0.018859727540182145,1.0,1.0,1.0,1.0,0.0,0.0,0,0.03710686903621645,0.029711850236161328,0.19579272247970422,0.8368932196227646,0.9845887496867554,0.001705373278180874,19200,0.7580922617950482,1.0,0.47200298335256785,4.39480327910678,0,3072,2048,24320,nan,nan
100,0.31997571900001276,0.36938040093289765,0.02218640258718614,0.2672202174454234,0.06343519105038847,0.01653858984989962,1.0,1.0,1.0,1.0,0.0,0.0,0,0.040544461622369195,0.03376026258731112,0.255164208980965,0.8775559546577758,0.988552571651356,0.0015550302765445791,25600,0.8479808088645542,1.0,0.49665933301549825,2.731535388849503,0,4096,2560,32256,nan,nan
125,0.403243884999938,0.3101783360242354,0.01588032114968956,0.21931013593386206,0.061745153875837296,0.013242725064846486,1.0,1.0,1.0,1.0,0.0,0.0,0,0.03953896639651105,0.03470495529157272,0.06487578130038622,0.8372745434510245,0.9860003971046534,0.001961340296596223,32000,0.822201625755391,1.0,0.49497918691206205,3.46538612172068,0,5120,3072,40192,nan,nan
150,0.48431018200017206,0.23630640774732142,0.024689512152167904,0.15009824539003988,0.04685370975072325,0.014664940454390377,1.0,1.0,1.0,1.0,0.0,0.0,0,0.04232277332736472,0.04013579072105519,0.11160209164364296,0.7185360912550186,0.9712105986380363,0.0022483685761130086,38400,0.7833835424991727,1.0000000000000002,0.4889324070839543,3.6476291555990756,0,6144,3584,48128,nan,nan
175,0.5651831680002033,0.21242814979350907,0.0576702691137982,0.11031060800776027,0.029622604941204084,0.014824667730746543,1.0,1.0,1.0,1.0,0.0,0.0,0,0.04106177076052671,0.06449517649837178,0.012187457288666527,0.6157916315644567,0.9590185100787804,0.0029731323481418104,44800,0.763853569043793,1.0,0.5005790895885759,3.8359972996094736,0,7168,4096,56064,nan,nan
200,0.6453643609997926,0.21220427280352333,0.07313070441623272,0.10409414986912491,0.02244142562413164,0.01253799289403407,1.0,1.0,1.0,1.0,0.0,0.0,0,0.057407541368377155,0.09227487737592824,0.15094143663749204,0.6355843316963321,0.9613423177538227,0.0031229673839089428,51200,0.7813889200648705,1.0,0.5110721978149385,4.160987330375401,0,8192,4608,64000,0.6205034057021419,1.105208959119873
225,0.7247205839998969,0.2059207288326156,0.06267208669758167,0.10850722822757192,0.021876739982257188,0.012864673925204823,1.0,1.0,1.0,1.0,0.0,0.0,0,0.04376712539879729,0.07537666962083936,0.09020671696284203,0.6435597869480099,0.9629205957432418,0.003286324568517492,57600,0.7555493051362987,0.9999999999999998,0.49880414135624707,4.047277121222065,0,9216,5120,71936,0.6205034057021419,1.105208959119873
250,0.8054907199998524,0.2069856797628785,0.07072905340809806,0.1036515219974812,0.02005017816957262,0.012554926187726599,1.0,1.0,1.0,1.0,0.0,0.0,0,0.053007830117631716,0.09856103609464922,0.2054085768629321,0.68757181255319,0.9694710148286356,0.0028601725321966334,64000,0.7756448250867451,1.0000000000000002,0.5201734154170045,4.127570461507436,0,10240,5632,79872,0.6205034057021419,1.105208959119873
275,0.8877099360001921,0.21525404673994636,0.07609930784608802,0.10813634120284574,0.019274737120660794,0.011743660570351797,1.0,1.0,1.0,1.0,0.0,0.0,0,0.07330689373371059,0.10090584021493547,0.3159050078823413,0.6661112745544995,0.9667671540101338,0.003666128294394523,70400,0.7838747376206777,1.0,0.5309856785446223,4.840966873695018,0,11264,6144,87808,0.6205034057021419,1.105208959119873
300,0.9704610839999077,0.20111922743464491,0.06550066442872128,0.10831550466203377,0.016516701411776927,0.010786356932112957,1.0,1.0,1.0,1.0,0.0,0.0,0,0.06670651227091387,0.09961832166949564,0.2096837398211055,0.6859270628760525,0.9687758826267439,0.0027764809543499008,76800,0.7216947483984116,1.0,0.5089523708980075,4.961821659643473,0,12288,6656,95744,0.6205034057021419,1.105208959119873
325,1.0480237699998725,0.20220837792880922,0.06957578360464917,0.1036284100531061,0.01633878618326381,0.012665398087790146,1.0,1.0,1.0,1.0,0.0,0.0,0,0.06673857916550385,0.101388320161689,0.23225261892482255,0.6485259993797776,0.9629994950629831,0.00322639121358339,83200,0.7807473807544554,1.0,0.5245111715240982,3.4249756774633235,0,13312,7168,103680,0.6205034057021419,1.105208959119873
