step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.027499775999785925,1.2798026751828044,0.1519275171884818,0.6038265750505614,0.059819349120600725,0.4694279642241964,0.988817172278231,1.0025518564005635,1.022197407041318,0.9864335642798876,0.049498526883762994,0.049498526883762994,1,0.02106394314546156,0.03927846512479995,0.006396920070828606,1.0,1.0,0.0009765625,256,256,0,512,1024,nan,nan
25,0.12376018000031763,0.6982134951129888,0.004922369242683767,0.3651725806384813,0.08803832812342804,0.23938568861016313,0.9483408854411887,1.0032924799154734,1.078176386785955,0.970190247857383,0.1134392065190939,0.1629377334028569,2,0.01997034137205704,0.03335952254235672,0.0739155892160491,0.8660302235916977,0.9875148648495049,0.0018177118702594815,6400,512,1024,1024,8960,nan,nan
50,0.27319962799992936,0.6889624242454827,0.006677121821801225,0.3571443598883328,0.09039978062105195,0.23289901295714233,0.9116152067240664,1.0032126338275258,1.1301872341743053,0.9549849252741026,0.10402169477670054,0.2669594281795574,3,0.048622794382703144,0.04138017088900701,0.3229415966016986,0.8393511391481376,0.9852378918023467,0.0019476495118754187,12800,768,2048,1536,17152,nan,nan
75,0.44315972500044154,0.6814506633271806,0.0070433755230670265,0.35819720908565816,0.08130039796373427,0.23330071994590432,0.8776703902856983,1.0046243707436986,1.175306072726066,0.9423991662445372,0.09306115093586698,0.3600205791154244,4,0.03780655595121478,0.03948534105500956,0.11737776409283775,0.8608768304117257,0.9869433602887792,0.001590979486514084,19200,1024,3072,2048,25344,nan,nan
100,0.5945800290000989,0.6683344215013179,0.007421687086302766,0.35510163229287883,0.0718403609302404,0.23289269966983456,0.8465068568491213,1.0072916297300967,1.2137275089860682,0.9324740044347142,0.08217739049280026,0.44219796960822466,5,0.04244586911691706,0.040719534524751556,0.1656186221562445,0.8945427398363656,0.99034859613442,0.0015072483435323197,25600,1280,4096,2560,33536,nan,nan
125,0.7567736479995801,0.6348345690096591,0.00885167418876648,0.33494800975267447,0.0647193830114707,0.2257328616390325,0.8189784397691006,1.0096640576386926,1.2467681112433884,0.9245893913488187,0.07082606033183236,0.513024029940057,6,0.04391643145177632,0.04101217671366178,0.168698268824845,0.8963676778668077,0.9904049543490071,0.0015029557061996804,32000,1536,5120,3072,41728,nan,nan
150,0.9116527280002629,0.5306266024579299,0.009493973061870602,0.2719202531058883,0.05251576577693718,0.1972998036294897,0.79533072672154,1.0105934443443854,1.2751115671676039,0.9189642617664713,0.05854568525981618,0.5715697151998732,7,0.044757032284276015,0.04086806219264826,0.16865033101319232,0.8379211696004422,0.9854081672515027,0.0018290375830258465,38400,1792,6144,3584,49920,nan,nan
175,1.0436137679998865,0.3645758682720175,0.03825765999138483,0.16857300585815418,0.02536945196272016,0.14433822070706512,0.7963027859355194,1.006135065665606,1.2834312507868628,0.9141308976120123,0.018583485666476607,0.5901532008663498,8,0.06090043404265616,0.05612058871755029,0.3770687107915804,0.7411059571053041,0.9756663673902691,0.002356018499383979,44800,2048,7168,4096,58112,nan,nan
200,1.1478192040003705,0.31653793880936076,0.11339931673551723,0.11604808428580661,0.006553805642599453,0.10786253098822073,0.8330722625351004,0.997653951875818,1.2604153979155777,0.9088583876735044,0.07353895319916215,0.663692154065512,9,0.07411114049393154,0.07122340075114574,0.37819161542216373,0.7306378658464537,0.9750933232500679,0.0024119848565391597,51200,2304,8192,4608,66304,0.5191261590750337,0.8840425709139073
225,1.3103860849996636,0.32148777524667166,0.1132908078049617,0.11830898176256557,0.007358091930976858,0.10757056722988273,0.8657830809428487,0.9889737578058878,1.2410330249202817,0.9042101363309821,0.06542163681549673,0.7291137908810087,10,0.10650227661909603,0.09172009166707168,0.5101825432135147,0.6679802657183044,0.9677886290311858,0.0027884469969806395,57600,2560,9216,5120,74496,0.5191261590750337,0.8840425709139073
250,1.4565023880004446,0.32294139247703474,0.11108393945908969,0.11385149537287195,0.006558192433498298,0.11501708934648316,0.8960847422095971,0.9799939930732338,1.2212944994245245,0.9026267652926451,0.06060332253349665,0.7897171134145053,11,0.13843377290156342,0.1128676405250292,0.7030266487260014,0.6404374302817843,0.9631143902299099,0.0030786450990820113,64000,2816,10240,5632,82688,0.5191261590750337,0.8840425709139073
275,1.6259498059998805,0.3276842180106028,0.10917872398480356,0.1229244813545037,0.005449577805432785,0.11148154802339762,0.9245145614006793,0.9732791050762352,1.2001111304197016,0.9020952031033844,0.056859638382164346,0.8465767517966697,12,0.15400110268298564,0.1251810445696801,0.7560099384952998,0.626536945091034,0.9610006108488832,0.0029705322803038536,70400,3072,11264,6144,90880,0.5191261590750337,0.8840425709139073
300,1.7925683009998465,0.3200526036478845,0.09278166620566394,0.12355157044468723,0.00529786844422031,0.1176162482323929,0.9468365686108269,0.9674402525655477,1.1809302157214903,0.9047929631021356,0.050039534417797626,0.8966162862144673,13,0.14015618655702541,0.10945220917176465,0.7504284458338255,0.655094549419811,0.9648125746557292,0.0031270274553059467,76800,3328,12288,6656,99072,0.5191261590750337,0.8840425709139073
325,1.9652104449996841,0.3187930588727955,0.09253814999751951,0.12211316670884184,0.00513213060209017,0.11659125534458412,0.9676276108874342,0.9612862717351924,1.1628088012692268,0.9082773161081472,0.04855079056523759,0.9451670767797049,14,0.14890729568073058,0.11478948330970379,0.788421452490217,0.6520990116398812,0.9646297470019969,0.002986990787675426,83200,3584,13312,7168,107264,0.5191261590750337,0.8840425709139073
350,2.130953302999842,0.3158097151923392,0.08718763459651527,0.12308041944852685,0.005131677947332827,0.1165905507512165,0.9853463801193496,0.9553772369341582,1.1464381473108596,0.9128382356356334,0.04455937751880301,0.9897264542985079,15,0.14532568940380486,0.11112541520411023,0.7820384251971039,0.6586150469639734,0.9654532371256777,0.003044718495582685,89600,3840,14336,7680,115456,0.5191261590750337,0.8840425709139073
375,2.2960198219998347,0.3036263548173162,0.07790143454311434,0.12190160072236839,0.006117435615639232,0.11252369694689673,0.9982719118067979,0.9491647487441811,1.1353389834276146,0.9172243560214071,0.03462330414644399,1.024349758444952,16,0.14618376080434597,0.09755575679466921,0.7943621761040616,0.6969308841509686,0.9699329171618892,0.002480989017612006,96000,4096,15360,8192,123648,0.5191261590750337,0.8840425709139073
400,2.4041801069997746,0.28430166302336823,0.06948894452939722,0.1126434953520742,0.006101699202136889,0.10968465508782807,1.0083771422010956,0.9422386270901663,1.1265603899489927,0.9228238407597461,0.03140943026527365,1.0557591887102256,17,0.12169320890912505,0.0711101132245433,0.6628170016901239,0.7247760031655076,0.9736373633958902,0.0025500413848970303,102400,4352,16384,8704,131840,0.5537876340229104,0.9076288258523357
425,2.564028707000034,0.2755604782090162,0.07513691317413942,0.10367885875919938,0.0063780378917140616,0.10251014706364656,1.019511464144642,0.9335103337803613,1.1199565853377518,0.9270216167372458,0.030664195842092012,1.0864233845523175,18,0.1373878580638425,0.07278593972472941,0.7152386202411712,0.7473305172522847,0.976124679397155,0.002442090812968611,108800,4608,17408,9216,140032,0.5537876340229104,0.9076288258523357
450,2.68712805999985,0.2644739779196441,0.06572571390742951,0.09966240823416028,0.007588410114173772,0.10356657399842487,1.0256096583743466,0.9239231631062778,1.1187463164102758,0.9317208621091007,0.021594879203118866,1.1080182637554363,19,0.10225838709652635,0.0590491629110068,0.5593277767058953,0.7398537213386148,0.9759084956739366,0.002558685344284763,115200,4864,18432,9728,148224,0.5537876340229104,0.9076288258523357
