step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.012404736999997112,1.0735806075874632,0.03902115726991348,0.5325896646627348,0.01697902524775406,0.503047682014639,1.0023135750729,0.9797773997172871,1.0337111753082477,0.9841978499015652,0.07204950076229544,0.07204950076229544,1,0.01955377914330817,0.01271082709032209,0.0012609966157143579,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,256,0,512,1024,nan,nan
25,0.08648387400000956,0.6962759902580078,0.016638899781936056,0.3007352672863635,0.0955231752734329,0.30166995614618775,0.9779782640858923,0.9475679416784648,1.119415857172618,0.9550379370630249,0.1714093637287406,0.24345886449103604,2,0.030080828852071334,0.0049849403622347615,0.05822453179810372,0.7820723980101338,0.9785395755553337,0.0017703126446034733,6400,0.786054229293758,1.0672186592042334,0.5522174469562523,4.288843873336644,512,1024,1024,8960,nan,nan
50,0.1693060960000139,0.6709594713181849,0.013064553554063099,0.29742137342973496,0.08934735694242768,0.29949175769309877,0.9542780346891026,0.9183745126449626,1.1981046412308858,0.9292428114350488,0.1573775681165357,0.40083643260757174,3,0.023302760926211773,0.0024794866783117778,0.024446615271105396,0.7450256221635041,0.9741796475320826,0.0018857936761186818,12800,0.6704238807506347,1.0890482702514914,0.5197905422052428,4.930006651147622,768,2048,1536,17152,nan,nan
75,0.2577671750000263,0.6279052162957852,0.009549491644407878,0.2960281153073003,0.07164502373523464,0.29063335406306545,0.9316903295884386,0.8931536857774593,1.2674804817740961,0.9076755028600058,0.13875168108642066,0.5395881136939924,4,0.022166857985678023,0.004348092735099896,0.0872751840256043,0.7163652503505678,0.971023805787331,0.0020684638749519785,19200,0.6618519470067367,1.0791519095811337,0.47256696171127416,4.798195739296611,1024,3072,2048,25344,nan,nan
100,0.34512353200000234,0.5326563845612571,0.01155717227439276,0.2644191722622973,0.053181063320035485,0.24921809970022618,0.9172424497629683,0.870609518542837,1.323512771923614,0.8886352597705807,0.11206458029903554,0.6516526939930279,5,0.01639786172512142,0.005649270053646854,0.08865080707014533,0.7650735564048987,0.9777611248087522,0.00224946188876537,25600,0.6545741639797301,1.1441659209151305,0.4389225847112178,4.798195739296611,1280,4096,2560,33536,nan,nan
125,0.4292235890000029,0.33723018685480305,0.027982215142263775,0.16880578109456737,0.03008747360489805,0.14687426263339476,0.9293486053598039,0.8471787036432543,1.3559292266760294,0.8675434643209124,0.08904522069850196,0.7406979146915299,6,0.020882811596997813,0.008822626097080753,0.08763279446989798,0.7796099541034136,0.9811407191982694,0.002696567447267352,32000,0.6961860051618394,1.0694380130598433,0.36417177489749386,4.798195739296611,1536,5120,3072,41728,nan,nan
150,0.5076755649999996,0.2647208854374174,0.09272236116755116,0.11121327400229797,0.008531410100603005,0.08299911267083347,0.9905563186511089,0.8221166527668806,1.3442380911670664,0.8430889374149442,0.12241542658261007,0.86311334127414,7,0.04176772418830688,0.029330489145690534,0.13639235125451918,0.7601767275329437,0.9785044664078317,0.0028536745523613577,38400,0.7088323820877834,1.0182924930002208,0.3422801878870772,4.12563603979677,1792,6144,3584,49920,nan,nan
175,0.5841485539999667,0.2509705016791593,0.08349684991660063,0.10425158815880933,0.007329547387235723,0.08584882708967431,1.0464240142524255,0.7988630038920111,1.3329837801480198,0.8217292017075436,0.1117353912026332,0.9748487324767732,8,0.029780382734748978,0.01798908966824098,0.05997815852130504,0.6729936603182067,0.9688399963076695,0.0034174691072084984,44800,0.7008072720122559,0.9157851971273221,0.285756057879244,4.12563603979677,2048,7168,4096,58112,nan,nan
200,0.6677478330000213,0.243750833969693,0.07875296571471854,0.09947563476544063,0.005760849548761757,0.08990114227868455,1.0996052679539081,0.7773611490903449,1.3196766536706028,0.8033569292851441,0.10636250740296527,1.0812112398797384,9,0.025948434148973104,0.011372250441095752,0.037951486274712,0.6350174392523679,0.9635853265915568,0.0038253554954978354,51200,0.6076955981384528,0.940116197920132,0.25528673116768963,4.858293670852519,2304,8192,4608,66304,0.5683232981287977,1.1221814058117006
225,0.7446049879999919,0.2359785079777219,0.07054650711995818,0.10053590775402338,0.005920380762129654,0.09056549036531113,1.1453899562036904,0.7575369256579851,1.3102572729480975,0.7868158451902271,0.09156937649956454,1.172780616379303,10,0.029135201841110847,0.014225653537191534,0.02549529464672519,0.640305133694533,0.9638166820943965,0.003590190124770149,57600,0.600481271414167,0.9190575476886387,0.25528673116768963,4.8248309869970045,2560,9216,5120,74496,0.5683232981287977,1.1221814058117006
250,0.8212567870000385,0.23068142520087048,0.06590047248374561,0.10416087754827161,0.00576558520918018,0.08810948479635773,1.1862562569619894,0.7394339789516406,1.3028272879457734,0.7714824761405963,0.08173260151659834,1.2545132178959015,11,0.02898392156095512,0.007589441516562909,0.013667269359555567,0.6720031174469874,0.9672478690230493,0.0030991260017853425,64000,0.5991732656017431,0.9013682888420733,0.25528673116768963,4.936969275070978,2816,10240,5632,82688,0.5683232981287977,1.1221814058117006
275,0.8974368909999839,0.21425036747989884,0.05172719050402926,0.10771267596890685,0.006541638170839913,0.0856679593623254,1.21645335128091,0.7232193771952973,1.3026926136486185,0.7576346578751741,0.06039418863784085,1.3149074065337425,12,0.03473355722361495,0.014043551199614156,0.04493434762552256,0.7083589283919819,0.9713814263067475,0.002612591342429544,70400,0.6257676594308936,1.0126804654618389,0.27341413714407564,4.22514330525585,3072,11264,6144,90880,0.5683232981287977,1.1221814058117006
300,0.9750051620000022,0.20230893128517574,0.05200372626045893,0.1007992314732164,0.007031541118732347,0.07691696489983282,1.2442276339654699,0.706920000634276,1.305623337628671,0.7432290277715831,0.0614100133292248,1.3763174198629673,13,0.04519632484868476,0.0157547120615572,0.09772509238589198,0.7121177017207099,0.9719803105669778,0.0026035602458891315,76800,0.6280596147100355,1.0451106048998444,0.32102451085216793,4.494197207597913,3328,12288,6656,99072,0.5683232981287977,1.1221814058117006
325,1.0511211040000035,0.19166577893541278,0.04812640463079756,0.09755156405656461,0.007252425030539408,0.07362394398813461,1.2678663210334846,0.6912370327767758,1.311438762609232,0.7294578835805073,0.058908224097151685,1.435225643960119,14,0.055728500127238664,0.02668592480626328,0.21402952738569805,0.7303140578175785,0.9743036576988835,0.0027796185493272774,83200,0.6213336206503718,1.1208505692437887,0.32102451085216793,4.996326190776746,3584,13312,7168,107264,0.5683232981287977,1.1221814058117006
