step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.0244132239999999,0.8089757625206888,0.1010077107578734,0.2919053598642376,0.0971711681208752,0.3143430059648621,0.9913182231910891,1.002220854428191,0.9873546258697511,1.019106296510969,0.042654301878319756,0.042654301878319756,1,0.0710898288528178,0.04603928724993046,0.039246433677573835,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,256,0,512,1024,nan,nan
25,0.14235427200003414,0.6475022995130092,0.011175163828869773,0.2538678276637984,0.07578681963124814,0.29101456606328563,0.9590979247613297,1.011721219178642,0.9784074535906075,1.0507734024694209,0.08233494141780584,0.1249892432961256,2,0.056358787202332,0.03733053279165967,0.08155076794094662,0.7753294742087304,0.9770351855565285,0.001718664265560893,6400,0.8443265113642426,0.9837456911817595,0.5682101615589796,3.771718155812165,512,1024,1024,8960,nan,nan
50,0.266545930999996,0.5863221963603079,0.010852781446811819,0.21349330082208295,0.06933433978375826,0.2694238736706602,0.929587026767835,1.0181571490805048,0.9698800788131111,1.0823757453385492,0.07607654554198229,0.20106578883810788,3,0.05363092667349374,0.034528197659687926,0.40364481757397025,0.6486827657323808,0.9623541160292922,0.0023787991547331404,12800,0.684964744356234,0.9557853916312299,0.4113891649460862,4.199785536255576,768,2048,1536,17152,nan,nan
75,0.3906120750000355,0.4682109578900356,0.029272711801546787,0.14869450518469934,0.04277537374235543,0.22431035025769547,0.9161607069873329,1.017487346859586,0.9552233963304577,1.1111285498226235,0.057505608968148714,0.2585713978062566,4,0.07748097257974229,0.044091148608410125,0.6176771869930026,0.7778879040882731,0.979357194556226,0.002139910679976505,19200,0.7410265561527998,0.9227260878953105,0.4132405364819657,4.199785536255576,1024,3072,2048,25344,nan,nan
100,0.519910751999987,0.41412422073629884,0.07948992176974459,0.10938767183757626,0.014462072755646713,0.19072888476793903,0.9262972103230037,1.0102515818992828,0.928001626211367,1.1354495815663466,0.06891507015878784,0.32748646796504444,5,0.050335067262575146,0.02988087326388475,0.14212166376235338,0.8217460792192569,0.984675668739763,0.002163683616880573,25600,0.7117825050721784,1.0049206768801802,0.4145403182681713,4.843510122576014,1280,4096,2560,33536,nan,nan
125,0.6478930399999854,0.406022449835135,0.07780954029213855,0.10338944917397824,0.012840954002821935,0.18789797655570306,0.9360609718483605,1.0022240088775287,0.9015547639913436,1.1601602552827672,0.0689488704835548,0.39643533844859924,6,0.06776367126792915,0.045563996270946414,0.2552831001039897,0.7850166539263415,0.9810993958976781,0.002263857485605607,32000,0.7532426850507163,1.0427361493391394,0.41928360866231573,4.3754444406134425,1536,5120,3072,41728,nan,nan
150,0.7685887510000384,0.41443935979774715,0.08991856678065294,0.09928966273399195,0.011974338592423122,0.18602904644112778,0.9481456858330811,0.9927685908261521,0.8758048286391641,1.1832808947016027,0.07041070680711226,0.4668460452557115,7,0.12275639043728107,0.0811433278127788,0.5149548506259481,0.7207152274414971,0.9741868213837045,0.002754597769405241,38400,0.7553969877436334,0.9823035288165539,0.3608655740755288,4.367534767357593,1792,6144,3584,49920,nan,nan
175,0.8903258020000067,0.41944369696865447,0.08477738212082944,0.09768870275344285,0.01138212822167495,0.19250888703339444,0.9576580406103328,0.9832818669575303,0.8512653925121177,1.2077946999200195,0.06805231999133665,0.5348983652470481,8,0.14802332436704674,0.09296125834069444,0.6532801253660847,0.6909026234577715,0.9697824177001689,0.0025576398548216644,44800,0.6794822883462045,0.9853223698210518,0.3608655740755288,4.522007347813798,2048,7168,4096,58112,nan,nan
200,1.0156959030000507,0.41819552515961866,0.07781070374248904,0.09730582277807676,0.009624513903101766,0.19482556056344366,0.9648570259433946,0.9745175261552695,0.8270440124115687,1.2335814354897676,0.06597144180561976,0.6008698070526679,9,0.14424659800158526,0.09073047546477027,0.6213873715781894,0.6577129824833015,0.9643184469136148,0.0026111374191000658,51200,0.615502072663593,1.0241999718028199,0.3678483153159911,4.679039553626763,2304,8192,4608,66304,0.5611798506127555,0.9320013064104097
225,1.1364607790000036,0.42005326527971387,0.08547398315008595,0.09266617582732403,0.007693840132744696,0.19167241234172605,0.9739875759575444,0.9651172060579608,0.8025272146014885,1.258368003383007,0.06783423581477799,0.6687040428674459,10,0.1728474861898407,0.10658036347852902,0.7367950144942418,0.6755978976270426,0.9680201343488375,0.00261973154920499,57600,0.5589039072904688,1.062631841438599,0.3756620306607692,4.874747859634243,2560,9216,5120,74496,0.5611798506127555,0.9320013064104097
250,1.2592142869999634,0.4160135655068995,0.07595598933082151,0.09251572763578701,0.008726300759400918,0.1919496807904802,0.9795328531959924,0.9563375283036372,0.780867076533129,1.2832625419672419,0.06087963164536603,0.7295836745128119,11,0.17410263454124741,0.10166797406598954,0.7634809606211993,0.6764905276103398,0.9670812208833475,0.002539996255739291,64000,0.577288704277789,1.020417596663971,0.3891000447908194,4.504228917934107,2816,10240,5632,82688,0.5611798506127555,0.9320013064104097
275,1.3861913629999663,0.40968599969711006,0.07174750266458116,0.08998476110580254,0.008518180933452437,0.18912045831527666,0.9835748609760272,0.9478500283803668,0.760704535987414,1.307870574656192,0.057300080937970344,0.7868837554507823,12,0.18215442047351832,0.09744289805666718,0.7692031064510352,0.7220554243883058,0.9732490552845708,0.0026366148110222526,70400,0.6065285013130459,0.9715626692260855,0.3796509867434798,4.357553756450048,3072,11264,6144,90880,0.5611798506127555,0.9320013064104097
300,1.521914397000046,0.3998271781907542,0.06551689914401296,0.08367424357025369,0.008746548176086649,0.18771404106837414,0.9855772416176921,0.9390137903092406,0.7425899378253861,1.3328190302476814,0.0539016724663085,0.8407854279170908,13,0.19981215931014884,0.0850423327339633,0.8211231181665429,0.759175963464025,0.9763384583260795,0.0025187432000919607,76800,0.6721655993998698,0.914883703427523,0.3796509867434798,4.07325784026496,3328,12288,6656,99072,0.5611798506127555,0.9320013064104097
325,1.651866655000049,0.39249677111142733,0.06287057966177317,0.07714401681692182,0.00974946993365471,0.18549072249959989,0.9865507677149437,0.929379200005244,0.727205174177711,1.3568648581021017,0.050038707903343416,0.8908241358204342,14,0.18402883146686919,0.07500629829015124,0.7033020131677169,0.7645959520053291,0.9774391812809965,0.002608509967951262,83200,0.6844442808324018,0.9462696966916097,0.3743756059966286,4.280070236992351,3584,13312,7168,107264,0.5611798506127555,0.9320013064104097
350,1.7744261770000094,0.3901624568226506,0.06580963087922811,0.07392699959048821,0.009009599127196762,0.18172916993944838,0.9885885620516258,0.9195659017606653,0.712289243973083,1.379556292214626,0.04945845689841322,0.9402825927188474,15,0.1746593682609085,0.08426570860492902,0.6687867622431468,0.746478862682208,0.9753128855072031,0.0026520920106250416,89600,0.6481702173249638,1.0058512492886247,0.3743756059966286,4.280070236992351,3840,14336,7680,115456,0.5611798506127555,0.9320013064104097
375,1.8992740639999965,0.38834131426315155,0.06703814436791988,0.07414712807712323,0.008529186227612685,0.1773682450459434,0.990666455966503,0.9104119634112287,0.6980469872035187,1.4008745934187499,0.04679239023800208,0.9870749829568495,16,0.20375531609704378,0.08509921981541255,0.8527003341897628,0.7177969505132744,0.9730263731733905,0.002869547384671006,96000,0.635653136787431,1.0672476372796285,0.340319349740225,4.280070236992351,4096,15360,8192,123648,0.5611798506127555,0.9320013064104097
400,2.0315629120000267,0.38961453527276785,0.06923346481625511,0.07420344118794774,0.008196137227078806,0.17479121151536678,0.9928033732831708,0.9017356899042004,0.6845859147082128,1.4208750221044162,0.04427469200466816,1.0313496749615176,17,0.2493810923969958,0.09105133187579888,1.1224157134364388,0.7131677017186395,0.9724405273111258,0.003070871566900615,102400,0.6277268849342329,1.041417278903836,0.340319349740225,4.840724978645268,4352,16384,8704,131840,0.5185028711743365,0.9006535132351041
425,2.154822136000007,0.3928327967857249,0.06690238642501437,0.07707488410685238,0.008043253362683985,0.17500608813459537,0.9936083955755448,0.894152893145107,0.6720857422187848,1.4401529690605637,0.04016593849704286,1.0715156134585606,18,0.2378761493379859,0.1074086587070597,1.0595313145962661,0.6883681461232982,0.9696373271519466,0.0035911316210054623,108800,0.5992548972923346,1.0167360804324124,0.30185646124983506,4.840724978645268,4608,17408,9216,140032,0.5185028711743365,0.9006535132351041
450,2.281991258000062,0.39383461978615236,0.0642265525691375,0.07493379624378851,0.008208024240146328,0.17690177098932508,0.9929009631271977,0.8865672888143544,0.6609353489012968,1.4595963991571514,0.038886860193175554,1.1104024736517362,19,0.25633060347867337,0.09364367517073788,1.1930795833311711,0.6976401957061951,0.9704436229355625,0.003334136211375946,115200,0.5870462315364778,1.039316194531774,0.29289820153957896,4.608123177860255,4864,18432,9728,148224,0.5185028711743365,0.9006535132351041
