step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.012758379999922909,1.1087489539102005,0.03965981167411119,0.5409917008436366,0.01722905599409695,0.5109681744632474,1.0,0.9998924655371282,1.0001507413563508,0.9999134761294305,0.00034479968979217457,0.00034479968979217457,1,0.01938136582679944,0.012722243854917662,0.014991089687657172,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,0.9999981869380158,1.0080152978925732,1.006090248846412,1.009,0.2041542300479324,1,0,0,0,512,768,nan,nan
25,0.1433222420000675,0.9582938753052539,0.022050182319384812,0.40605556909924534,0.12914159508957732,0.4027759815700087,1.0,0.9972140763595844,1.0022134795858255,0.9978050695956299,0.00020985171329590546,0.007194333630611283,25,0.03877628859115385,0.00647238422472751,0.26267405417288614,1.0,1.0,0.0009765625,6400,1.0,1.0,1.0,1.0,0.9947658894142989,1.1120829172512694,1.0673286626720915,1.1980326479311485,0.06448482587760591,25,0,0,0,1024,7424,nan,nan
50,0.2804238879998593,1.174970798104327,0.026037418347269647,0.4986789234001949,0.1665099602885848,0.48858818612882693,1.0,0.9942263927953215,1.0013824115087473,0.9955080798445052,0.00029683348845455093,0.013352493792213371,50,0.03312609499365258,0.008517094560528904,0.4829172238062406,1.0,1.0,0.0009765625,12800,1.0,1.0,1.0,1.0,0.9715294948922788,1.1896487154999604,1.0972799973027723,1.4077543846332474,0.05529843368159221,50,0,0,0,1536,14336,nan,nan
75,0.41689813899984074,1.2540841826999847,0.029780953003002632,0.5579839529084101,0.1711348606988371,0.5040376894842538,1.0,0.9909119909014938,0.998829991092978,0.9928932281909066,0.0003760027692364387,0.021834167755408918,75,0.0292673539251245,0.016548958347154405,0.6615899716569917,1.0,1.0,0.0009765625,19200,1.0,1.0,1.0,1.0,0.9474230132089957,1.250032227182178,1.1244809510422193,1.5792994165225003,0.05814712763838159,75,0,0,0,2048,21248,nan,nan
100,0.5560565850000785,0.8180733008093646,0.08163139389515583,0.36219936488275006,0.09669920768009875,0.28547292166409677,1.0,0.9872561970148507,0.9953031084495211,0.9899829228735081,0.00041806825735157815,0.031927149602907545,100,0.06107350186138527,0.045417993149425795,0.5120588761683648,1.0,1.0,0.0009765625,25600,1.0,1.0,1.0,1.0,0.941787511160525,1.2909340855917124,1.15661204935756,1.6550747270326818,0.11373045048409773,100,0,0,0,2560,28160,nan,nan
125,0.6933090190000257,0.6826121534112889,0.29151164746678265,0.2328785121023937,0.01769459107294756,0.14619240361765506,1.0,0.9838990226473162,0.9921483325654211,0.9878482252788369,0.0002373382310828509,0.04057379744921319,125,0.14739610390912516,0.1483822714453705,0.4391813616404909,1.0,1.0,0.0009765625,32000,1.0,1.0,1.0,1.0,0.9452713898970428,1.3258095931603489,1.1794423564596321,1.673515764090432,0.20641883344060494,125,0,0,0,3072,35072,nan,nan
150,0.8275000479998198,0.6976483042884443,0.26331646833186656,0.22893393626359382,0.030165132155248076,0.1819203453855128,1.0,0.9816893666295294,0.9910052196207129,0.9877730897485195,0.00011214221846411743,0.04430663638175569,150,0.1540102288484338,0.1438388754105233,0.5836908146616355,1.0,1.0,0.0009765625,38400,1.0,1.0,1.0,1.0,0.9450976411639824,1.3567381725848215,1.201868397627704,1.8705747505804275,0.2058784011993854,150,0,0,0,3584,41984,nan,nan
175,0.967907386999741,0.7188249336729184,0.29951686209898637,0.21352826694592686,0.02769436816317271,0.18460829280619606,1.0,0.9801660042481317,0.9914787937720523,0.988885937093102,0.00016498290325994702,0.047498583870516975,175,0.18361450545410177,0.1561932767826117,0.6502833080757904,1.0,1.0,0.0009765625,44800,1.0,1.0,1.0,1.0,0.941126591491117,1.3839920652515474,1.223048366123725,2.0714059195328494,0.198604952707423,175,0,0,0,4096,48896,nan,nan
200,1.1085383429999638,0.7288608907355697,0.311153174301909,0.20850294388621965,0.03417551329548952,0.1812496723824002,1.0,0.9791724721220473,0.993715326848353,0.9908246437010788,0.000247245827176501,0.05266735568087888,200,0.22096726793624563,0.1668660935745758,0.7258171951314906,1.0,1.0,0.0009765625,51200,1.0,1.0,1.0,1.0,0.9334953835240797,1.4132925435916688,1.2436523429308302,2.267280360554065,0.16396007933699489,200,0,0,0,4608,55808,0.5224924051470914,1.2046490326236636
225,1.242628429999968,0.7505225841692816,0.32804534320951373,0.21584182327211623,0.0395782092041104,0.17290793342852373,1.0,0.9785567967819983,0.9980174194188471,0.9933842371837585,0.00035029274416520373,0.06014471707410174,225,0.23512342125061425,0.15938420010675958,0.8257882758549883,1.0,1.0,0.0009765625,57600,1.0,1.0,1.0,1.0,0.9238236600936001,1.4471292520563348,1.2648043655261738,2.4122035295523325,0.15950719008373315,225,0,0,0,5120,62720,0.5224924051470914,1.2046490326236636
250,1.3778240530000403,0.7558432133899937,0.3305960136763959,0.2278140200254217,0.035451854760921206,0.16735588667514573,1.0,0.978209948659919,1.0047720793566821,0.9965363535676969,0.0004674849238319734,0.07039834151795443,250,0.23112808646208113,0.15765665989834915,0.9056525861351015,1.0,1.0,0.0009765625,64000,1.0,1.0,1.0,1.0,0.9174330533634663,1.4754518124962512,1.28529820831288,2.4542842340039,0.16106125784732617,250,0,0,0,5632,69632,0.5224924051470914,1.2046490326236636
275,1.5133305859999382,0.7483117716675466,0.33403367517050947,0.23365198860760963,0.022973095641670736,0.16241069916466938,1.0,0.97803950146272,1.0142571942786558,1.0002825882138793,0.0006028577401906432,0.08380013828330946,275,0.22823847903516425,0.17159658476411,0.9717144414640909,1.0,1.0,0.0009765625,70400,1.0,1.0,1.0,1.0,0.9091204288343466,1.5014221350492782,1.3043115108601042,2.5161635365306765,0.16326034558717142,275,0,0,0,6144,76544,0.5224924051470914,1.2046490326236636
300,1.6547967999999855,0.7461655410915858,0.34175662824972486,0.23336149125594535,0.013303828352020429,0.16177914028220033,1.0,0.9780042988190291,1.026997021744318,1.004563251083647,0.0007606655046573652,0.10086139905625846,300,0.23193392448264805,0.19540096204057986,1.009092836852903,1.0,1.0,0.0009765625,76800,1.0,1.0,1.0,1.0,0.9010038652476778,1.5247435145074082,1.3226821365516328,2.6706097859315947,0.16475112520368468,300,0,0,0,6656,83456,0.5224924051470914,1.2046490326236636
325,1.788178859999789,0.740384267409669,0.3391069093424356,0.22858664432024128,0.007354265540856643,0.16847864664575377,1.0,0.9780901499882908,1.043690493678525,1.0091690501481962,0.0009451007226795038,0.12224652122427626,325,0.24594827296472896,0.227081902289819,0.9914045308783984,1.0,1.0,0.0009765625,83200,1.0,1.0,1.0,1.0,0.8938898049158082,1.5469161079113782,1.340263175492431,2.77399888104616,0.15219112667635168,325,0,0,0,7168,90368,0.5224924051470914,1.2046490326236636
350,1.9269343189998835,0.7158396125639863,0.34730868754456434,0.19474518232152996,0.00464453021685995,0.1707206777555532,1.0,0.9783114219474617,1.0650280699699581,1.0137198141870625,0.0011349283471565608,0.14835613351374655,350,0.2652935074353314,0.2551053311638364,0.9335958224956427,1.0,1.0,0.0009765625,89600,1.0,1.0,1.0,1.0,0.8865111088062145,1.5694494966446348,1.357373340787399,2.8525462124374967,0.15646891697867835,350,0,0,0,7680,97280,0.5224924051470914,1.2046490326236636
375,2.066822464999859,0.6822428202130004,0.3502326507335035,0.16015094683099695,0.0034628889127561588,0.1684673378563844,1.0,0.9787055581924344,1.091094386615342,1.017949302185993,0.001308909532082625,0.17904607440303377,375,0.2856975814344847,0.26672405544895544,0.8631369324670596,1.0,1.0,0.0009765625,96000,1.0,1.0,1.0,1.0,0.8852733443063192,1.5887374771740288,1.373941590771069,2.8817399143163267,0.17144337696487102,375,0,0,0,8192,104192,0.5224924051470914,1.2046490326236636
400,2.2086136899997655,0.6633918942952541,0.35581213145542273,0.13441873410717914,0.0028308568939699676,0.16907532563060884,1.0,0.979298623610645,1.1213785095394924,1.0218476221312593,0.001465682702419313,0.21382158269066098,400,0.29738853080894545,0.26953718764355405,0.8336918300189647,1.0,1.0,0.0009765625,102400,1.0,1.0,1.0,1.0,0.8874164246468014,1.605196098628277,1.3901413813066266,2.8867822965247876,0.19380669435183295,400,0,0,0,8704,111104,0.41441677895596946,1.1828967933633043
425,2.343515219999972,0.651708792238199,0.3601868708134971,0.12245049868656388,0.0020057589341584965,0.16498653396739976,1.0,0.9800890237655139,1.1555739356812975,1.0254881104129672,0.0016195451441618491,0.2524478972690428,425,0.3002081594212592,0.2752800517479042,0.8101581250366783,1.0,1.0,0.0009765625,108800,1.0,1.0,1.0,1.0,0.8891347498787066,1.6203453121889222,1.406204877673087,2.885429868211146,0.1903340084455691,425,0,0,0,9216,118016,0.41441677895596946,1.1828967933633043
450,2.477767371000027,0.6418161367225179,0.35229876971549867,0.1116428456358959,0.000996873542867935,0.1737670201708516,1.0,0.981058023576506,1.193908055209109,1.0289586711699157,0.0018017150182612074,0.29522157736479493,450,0.30305879348505543,0.2846743482921952,0.7828161248789944,1.0,1.0,0.0009765625,115200,1.0,1.0,1.0,1.0,0.8887036966414874,1.6355594562820448,1.4222236339372503,2.8853541782531473,0.1757737647967295,450,0,0,0,9728,124928,0.41441677895596946,1.1828967933633043
475,2.616463020000083,0.6307981435269869,0.33948039846846567,0.10848524480905739,0.00038567282429425285,0.17851380314425644,1.0,0.9821810777871006,1.2371938289674562,1.0323483960555344,0.0020198063908591912,0.3430201302193555,475,0.31788192976754837,0.30839016566386684,0.7064053808655423,1.0,1.0,0.0009765625,121600,1.0,1.0,1.0,1.0,0.8865428736520201,1.650678639419267,1.438350698280273,2.975700914034267,0.1676904179801736,475,0,0,0,10240,131840,0.41441677895596946,1.1828967933633043
500,2.7535497640001267,0.6148410787902128,0.32510565229737365,0.09512243735548369,0.00035767584417635567,0.18897767005311014,1.0,0.9834503040825504,1.2863868707915644,1.0357156323578371,0.002287162848847668,0.39684963464121625,500,0.33109155833877335,0.33241480326211686,0.6172233468050703,1.0,1.0,0.0009765625,128000,1.0,1.0,1.0,1.0,0.8834882095243688,1.6655374940678211,1.4544352932947748,3.149192851529235,0.15675046948686755,500,0,0,0,10752,138752,0.41441677895596946,1.1828967933633043
525,2.894788144999893,0.5934210051247971,0.3080883679004742,0.08553517449983461,0.0005066474326679339,0.19287408817747131,1.0,0.984887511531958,1.3427884418982408,1.0390705855813034,0.002599866255716732,0.4580433664207664,525,0.3634320716778512,0.3770184396019372,0.4288648122966905,1.0,1.0,0.0009765625,134400,1.0,1.0,1.0,1.0,0.8807104767481722,1.6796291652085689,1.4701066914849938,3.296719711883781,0.1537721378957979,525,0,0,0,11264,145664,0.41441677895596946,1.1828967933633043
550,3.0370470650000243,0.5699380842155232,0.2812856306176948,0.07237658857611003,0.0005192505150579026,0.2077128665526387,1.0,0.9865445304428779,1.4072740064534315,1.0423956967461314,0.002947598886474778,0.5275110610517051,550,0.3777540346797941,0.405275189525103,0.2701694087027199,1.0,1.0,0.0009765625,140800,1.0,1.0,1.0,1.0,0.8766186459729196,1.6936955947529362,1.4853763483877462,3.4421442375559472,0.13769856235633465,550,0,0,0,11776,152576,0.41441677895596946,1.1828967933633043
