step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.010017023999807861,0.6693788941615848,0.0033801422989816095,0.34500817990937166,0.04683895530092044,0.2741516166523112,1.0,1.0,1.0,1.0,0.0,0.0,0,0.03355587003488375,0.026235944618182534,0.0979603093459225,1.0,1.0,0.0009765625,256,0.8148327374681961,0.9999999999999996,0.49906972453774073,3.139735133841605,0,0,512,768,nan,nan
25,0.0897850199999084,0.6301333713820588,0.008569900435431033,0.3058920671415729,0.06616643220601177,0.24950497159904314,1.0,1.0,1.0,1.0,0.0,0.0,0,0.03536687320008289,0.02530033293561184,0.14864675228677762,0.8670016426875029,0.9877457321771235,0.001603015670679786,6400,0.8036102718046276,1.0,0.4943441159057683,3.184411727814936,0,1024,1024,8448,nan,nan
50,0.1691828049997639,0.5654671902775836,0.015085045970307166,0.26554195287154375,0.0575583881969674,0.22728180323876523,1.0,1.0,1.0,1.0,0.0,0.0,0,0.03134012960272926,0.023283383919123792,0.34060019105573114,0.8400849404594466,0.9857427879112519,0.0017337788278912725,12800,0.8296314631147274,1.0,0.5037539574545807,3.2321069077108673,0,2048,1536,16384,nan,nan
75,0.2485461960000066,0.3636852933221064,0.024435025908067617,0.1554022433500366,0.030617789926365453,0.15323023413763673,1.0,1.0,1.0,1.0,0.0,0.0,0,0.03340280305853674,0.016176755780388685,0.16891664212245733,0.7671263783076433,0.9777444852417176,0.002337715928924603,19200,0.7506683295799423,1.0,0.4726636932502638,3.6117553393558426,0,3072,2048,24320,nan,nan
100,0.3286196299995936,0.2828257399225381,0.11918861438112816,0.07391304366944111,0.0033616914917918707,0.086362390380177,1.0,1.0,1.0,1.0,0.0,0.0,0,0.04449284620506305,0.05500953618853744,0.17158463614978992,0.6460633241384777,0.9640525029355396,0.0029038198449528423,25600,0.7592648864961045,0.9999999999999998,0.497478645054396,3.912268875366725,0,4096,2560,32256,nan,nan
125,0.4070047329996669,0.2847205810831487,0.10143233542107233,0.08482751800890109,0.005225605357407243,0.09323512229576804,1.0,1.0,1.0,1.0,0.0,0.0,0,0.09342412343537215,0.08817744320563585,0.4230823371947417,0.6346169512715569,0.9629499689974873,0.0029483226023725726,32000,0.7327740602857684,0.9999999999999998,0.5055573589868334,4.324051291757164,0,5120,3072,40192,nan,nan
150,0.48759034099975906,0.2823066929607815,0.09239926313252733,0.0879572860131116,0.0059705418064170965,0.09597960200872545,1.0,1.0,1.0,1.0,0.0,0.0,0,0.09894873876495314,0.09076599481582939,0.4521251715724197,0.6100298143961562,0.960290650194749,0.0032921795798412992,38400,0.7672080513417331,1.0,0.5132562462003676,5.091106444794058,0,6144,3584,48128,nan,nan
175,0.5688809799999035,0.2911402309792151,0.1108529763488594,0.08308461831049083,0.006223175787098681,0.09097946053276616,1.0,1.0,1.0,1.0,0.0,0.0,0,0.12181757847141336,0.11992451703666043,0.5666343922788409,0.5923760166131896,0.9568077222150174,0.0037935785368010877,44800,0.7801285313468287,1.0,0.5251437799308527,3.7921728974846056,0,7168,4096,56064,nan,nan
200,0.6512931149995893,0.30292606281814305,0.10651603220225277,0.09114065451427761,0.006381178414107087,0.09888819768750562,1.0,1.0,1.0,1.0,0.0,0.0,0,0.15836953723420213,0.1361208948817882,0.7357388831499009,0.5793226852549407,0.9550809397655717,0.003804133649586953,51200,0.7772963824645805,0.9999999999999999,0.5344752070518829,3.961701033619157,0,8192,4608,64000,0.5471395088875175,1.0163015550520533
225,0.7326203169996006,0.2875337127957802,0.08209913433280629,0.09248795182970376,0.006318914356061264,0.10662771227720888,1.0,1.0,1.0,1.0,0.0,0.0,0,0.10742557655608985,0.10283573259990737,0.5127361682457799,0.6009171252375454,0.9575454200517023,0.0031783254089951026,57600,0.7865539813867566,1.0000000000000002,0.5256231895390309,3.5739967567677264,0,9216,5120,71936,0.5471395088875175,1.0163015550520533
250,0.8129852799997934,0.28722447904872606,0.09968059739778629,0.08334370466087598,0.005710159921504117,0.09849001706855967,1.0,1.0,1.0,1.0,0.0,0.0,0,0.11409854823650145,0.10976406368321265,0.5330667542287524,0.6269829248908274,0.9618442081317479,0.003485194372515185,64000,0.771162563017229,0.9999999999999999,0.5226547489293748,4.882482453418152,0,10240,5632,79872,0.5471395088875175,1.0163015550520533
275,0.8919229749999431,0.2813300325319601,0.08932795272320068,0.09064099465564872,0.0045026851429460215,0.09685840001016466,1.0,1.0,1.0,1.0,0.0,0.0,0,0.1178525145867298,0.09614408613103864,0.49924153964032925,0.6514374206653426,0.965939158531971,0.003340657487479759,70400,0.7906465964420127,0.9999999999999998,0.5169951194347712,4.356774085004494,0,11264,6144,87808,0.5471395088875175,1.0163015550520533
300,0.9754410049999933,0.269430057636249,0.08878630584979036,0.08426624700317643,0.005919037386905231,0.09045846739637699,1.0,1.0,1.0,1.0,0.0,0.0,0,0.11601488480176861,0.09275218490118273,0.5395570336173681,0.5685277374280016,0.9535629207502915,0.0034851913439659533,76800,0.7974605231994291,0.9999999999999998,0.525915323360121,4.619315804990158,0,12288,6656,95744,0.5471395088875175,1.0163015550520533
325,1.060696600999563,0.2713179691789523,0.09734876406273871,0.08409475661680663,0.005446369570632662,0.0844280789287743,1.0,1.0,1.0,1.0,0.0,0.0,0,0.10405269295635226,0.09661329025205098,0.5061036249436395,0.5581851652756528,0.9527484542749532,0.003723739072156294,83200,0.8345136414524932,1.0,0.5327566983665668,2.9210045205619597,0,13312,7168,103680,0.5471395088875175,1.0163015550520533
350,1.1395047639998666,0.271990420128261,0.09838165621002729,0.08152242703585308,0.006316613726875418,0.08576972315550524,1.0,1.0,1.0,1.0,0.0,0.0,0,0.10413367963880564,0.10837308372519287,0.4946083841291487,0.5713149746735594,0.9526904729829492,0.0036387818596280482,89600,0.8238225231339211,1.0,0.5279194530586472,3.5986886415650066,0,14336,7680,111616,0.5471395088875175,1.0163015550520533
375,1.2381635399997322,0.27687012958513435,0.09636109489225032,0.08944506184392184,0.0048423659056664285,0.08622160694329573,1.0,1.0,1.0,1.0,0.0,0.0,0,0.11483661291827112,0.12047371702466107,0.5328625093363817,0.6013590677057825,0.9580089846111154,0.0036315360639749958,96000,0.8059315320422183,1.0,0.5342512588065252,3.7654026567438423,0,15360,8192,119552,0.5471395088875175,1.0163015550520533
400,1.3237051209998754,0.26759316702409486,0.08410315797822296,0.08562164137623005,0.005334138211897247,0.09253422945774462,1.0,1.0,1.0,1.0,0.0,0.0,0,0.1051344981642099,0.11161105054730583,0.5051801286493416,0.6012677339600657,0.957642838896263,0.0034893876778668478,102400,0.7985773485405393,0.9999999999999999,0.5227673009093634,3.137333628324685,0,16384,8704,127488,0.5047542310196337,0.9167079834890524
425,1.4043953649998002,0.25904977716566474,0.08683471557972153,0.0806123554160765,0.005648858956421131,0.08595384721344558,1.0,1.0,1.0,1.0,0.0,0.0,0,0.10429899769964573,0.10697120352554691,0.47170854980772453,0.635196807089922,0.9635987941423507,0.0035475541799481914,108800,0.8420209885874093,0.9999999999999999,0.5330806514068448,2.6895118217216014,0,17408,9216,135424,0.5047542310196337,0.9167079834890524
450,1.4859488689999125,0.2389934168209445,0.0785178322248732,0.0696702126563157,0.006324772743210048,0.0844805991965455,1.0,1.0,1.0,1.0,0.0,0.0,0,0.05395442907383774,0.06378801538324531,0.2727775849370788,0.6821395530068906,0.9697776456042977,0.002980835323915406,115200,0.8313218139521121,1.0,0.518238902630415,3.2407670303258915,0,18432,9728,143360,0.5047542310196337,0.9167079834890524
475,1.5748443709999265,0.23217649644969757,0.07922194226995809,0.06392062282248219,0.005844457910246138,0.08318947344701116,1.0,1.0,1.0,1.0,0.0,0.0,0,0.05440461051000771,0.06666927829210469,0.27735471079520846,0.7412460469125352,0.9757499242253102,0.002672247321300233,121600,0.7774270034581037,1.0,0.5075205395652846,3.7933529971881255,0,19456,10240,151296,0.5047542310196337,0.9167079834890524
500,1.661463886999627,0.22408277150320277,0.07336706160002905,0.0630185502881766,0.005009310846144512,0.08268784876885263,1.0,1.0,1.0,1.0,0.0,0.0,0,0.011326431333179308,0.03793317510986623,0.05011938498129553,0.7127301903129952,0.9726106986445866,0.0030545744552716103,128000,0.8258102537390065,1.0,0.5161078617672363,3.4521784778664775,0,20480,10752,159232,0.5047542310196337,0.9167079834890524
525,1.7709267409995846,0.21365162517594005,0.07676250999785222,0.062060834639976685,0.004441138529345964,0.07038714200876518,1.0,1.0,1.0,1.0,0.0,0.0,0,0.03833405052788297,0.04267184754058206,0.17659393002145826,0.6748003484289467,0.969418358303442,0.0037205507810988874,134400,0.8380239027120334,0.9999999999999999,0.5204527837218536,2.828015653195911,0,21504,11264,167168,0.5047542310196337,0.9167079834890524
550,1.9441448569996282,0.23430194536272891,0.10623451230688073,0.061414425427544814,0.0037122947407270254,0.06294071288757637,1.0,1.0,1.0,1.0,0.0,0.0,0,0.10331348170128227,0.10034219386567152,0.42765044389507395,0.6205919726609272,0.964608227950527,0.004201714338197104,140800,0.8074967323002372,1.0,0.5236295614551304,3.5480704915428527,0,22528,11776,175104,0.5047542310196337,0.9167079834890524
