step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.01599579100002302,0.6972705087054021,0.05519136840778043,0.4876904960538072,0.02168431779202017,0.14310449788579732,0.9930268360509794,0.973434172583484,1.0153104034289009,1.0182285879366357,0.06707798273107324,0.06707798273107324,1,0.05100297557871972,0.010668276857258897,0.026057539057512263,1.0,1.0,0.0009765625,256,256,0,512,1024,nan,nan
25,0.10243023699968035,0.4894773792466184,0.007708659916284324,0.3402014330665231,0.06504341069379109,0.08918964786419786,0.9591465915328203,0.943613107921961,1.0762344013111913,1.0210058992340274,0.12740261835936417,0.1944806010904374,2,0.044790095052663785,0.004173284748057144,0.27371729258308236,0.8724680007370188,0.988383614283917,0.001640320241363814,6400,512,1024,1024,8960,nan,nan
50,0.1919812730002377,0.44252938151452414,0.008763419132174568,0.31188272009374723,0.05793316700953176,0.08137463242529573,0.9301791891592532,0.9155744857548578,1.129410301003107,1.024836024082782,0.11401204908134055,0.30849265017177796,3,0.03464231346678957,0.004746353182253712,0.0221008347683175,0.8833958398603314,0.9896251137577281,0.0015784178339763979,12800,768,2048,1536,17152,nan,nan
75,0.2803077480002685,0.3153585964916216,0.012771692254870359,0.2245532874417496,0.03943805417934422,0.056176565676298876,0.9085926262624372,0.8893183101860144,1.1739884969876817,1.0281005665638667,0.0956854769313189,0.40417812710309686,4,0.044270714422894555,0.014671043760253103,0.29593367298345963,0.7672517268226192,0.9774033736845542,0.002106810691023771,19200,1024,3072,2048,25344,nan,nan
100,0.37174523399971804,0.21754408072466522,0.06752916083745271,0.13033821885606875,0.011452801619930817,0.028052917585757984,0.9273164700496535,0.8640138040065293,1.183755128356757,1.0249145975870602,0.0569809503125831,0.46115907741567996,5,0.11953396618905354,0.10711312986584261,0.5375961322181109,0.6897651524230906,0.969950695240097,0.0026608488155627826,25600,1280,4096,2560,33536,nan,nan
125,0.465147586999592,0.20884633448482726,0.07724286562996818,0.11965914338298576,0.006018876716162332,0.02677429822325616,0.9547573435451092,0.840385913595107,1.1801836550649882,1.0246730877947954,0.05488174699091153,0.5160408244065915,6,0.12702822495777927,0.11952819855585702,0.5254883921194111,0.6296295181814141,0.9626108486224677,0.002927095626449252,32000,1536,5120,3072,41728,nan,nan
150,0.5531477989998166,0.20794473054661242,0.07393821900974262,0.12170570363476269,0.006570416956665155,0.027716147180831582,0.9770931810089115,0.8177857920478796,1.1797395018897883,1.0253815250534204,0.04608854944485463,0.5621293738514461,7,0.13427929912371322,0.12428859755440669,0.5848533385251141,0.6223657636161446,0.9607801004293225,0.0029368547151693136,38400,1792,6144,3584,49920,nan,nan
175,0.6427196949998688,0.20161201088388492,0.06444531473307881,0.1254612754659713,0.006091131668399544,0.029421645620521318,0.9966114066637923,0.7967354247596242,1.178616770899058,1.0280363976775253,0.04434619655797134,0.6064755704094175,8,0.12345873483332015,0.10646578742833183,0.5334271892177529,0.6231840213586146,0.9605964120729298,0.0028963024909153673,44800,2048,7168,4096,58112,nan,nan
200,0.7500808959994174,0.2065750832247752,0.07268398741128984,0.12407364520573305,0.0053021506645197156,0.02914923706715874,1.0166676586121424,0.7768066724532969,1.1749926549566,1.0315330139779608,0.04710573649757077,0.6535813069069882,9,0.15089589492214334,0.13085656095728723,0.6616053619835575,0.649714135511281,0.9635011947534305,0.002837379554044184,51200,2304,8192,4608,66304,0.5857370566239839,0.9549323756700104
225,0.8393880409994381,0.2029031499140696,0.0614557740860084,0.1325069959821047,0.005286624178283013,0.03162082574522929,1.0314684318119665,0.7584532908527426,1.172293307784916,1.0377849695503751,0.04210545754447681,0.695686764451465,10,0.13862338926519094,0.11531372155359447,0.6510210220432155,0.6266175874649638,0.9614334296325826,0.0030427652544634505,57600,2560,9216,5120,74496,0.5857370566239839,0.9549323756700104
250,0.9266766399996413,0.19743274419175738,0.06145985778003589,0.13028264073422244,0.004036861640563921,0.03034358151454062,1.0488534847808726,0.7412319436188999,1.1653303762910023,1.0445841953092254,0.04836855745551283,0.7440553219069779,11,0.14234031809469413,0.11190746800320205,0.6335811777469864,0.6747988526712083,0.9675930681084312,0.0027423935626902382,64000,2816,10240,5632,82688,0.5857370566239839,0.9549323756700104
275,1.014320706000035,0.18812412473887177,0.05612688593080872,0.12768810744361817,0.004523794898893828,0.029137013474801424,1.0660666362094189,0.7242680599190515,1.1609347735161963,1.0487305303553334,0.0427189729493086,0.7867742948562865,12,0.12048262440467511,0.08886493115296953,0.5208393864299116,0.6820242655261166,0.9682699420551287,0.0028083895314796447,70400,3072,11264,6144,90880,0.5857370566239839,0.9549323756700104
300,1.1032141890000275,0.17838518149445956,0.05202496491737093,0.125202350840284,0.004592014774160725,0.026808202659178867,1.0808891523646302,0.7079705305078235,1.1597089178792248,1.0514313992483215,0.035046770096399005,0.8218210649526855,13,0.1318090556659386,0.08634605911812696,0.5680218675015909,0.7193478635647986,0.9724110212129001,0.0022261485024370684,76800,3328,12288,6656,99072,0.5857370566239839,0.9549323756700104
325,1.1904717019997406,0.16680780204628826,0.045158876493350236,0.12642796193753858,0.004803195866701335,0.023042827958006773,1.0959830286794352,0.6922889473222839,1.1609175616805885,1.0508104623176926,0.032605040232337235,0.8544261051850227,14,0.10576972686307115,0.06129724960183845,0.43092560997376345,0.7564623269381471,0.9769391561953307,0.0025535107830245794,83200,3584,13312,7168,107264,0.5857370566239839,0.9549323756700104
