step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.014691768000034244,0.7731667334876939,0.08583497710739327,0.43790938922625694,0.03244624171480427,0.21946546944483075,0.9800109232638667,0.9804810776170906,1.0047947169222289,1.034713282196814,0.07901599823808547,0.07901599823808547,1,0.01530482865651197,0.03590178574168691,0.022037699017559784,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,256,0,512,1024,nan,nan
25,0.09173322700007702,0.5474528209091859,0.003660047085876036,0.3128091325983735,0.06124182819412144,0.1690967330011573,0.9380912498339025,0.959975796349347,1.035649042435804,1.0662839113809464,0.1248499093954154,0.20386590763350088,2,0.026237408921680343,0.04294678906800251,0.29641271626715876,0.7747910086188763,0.9778367310808387,0.0019548591100153594,6400,0.796301185129013,1.0373946549417232,0.505569502155706,4.745666792534413,512,1024,1024,8960,nan,nan
50,0.16580418300009114,0.5295813898488893,0.004755529228382302,0.29809985099417935,0.06260432324700163,0.1627841252831233,0.8995638235655586,0.9399952938839494,1.0640313354018551,1.0964095471486368,0.117015857467483,0.3208817651009839,3,0.02287734888552905,0.04308122840919286,0.12464237913579801,0.804202491829938,0.9818304738322086,0.0018336063833115314,12800,0.7673088703807515,1.0129630617815273,0.512105386062748,4.745666792534413,768,2048,1536,17152,nan,nan
75,0.24377352900000915,0.4981257363503727,0.006218733244480708,0.28053427682012266,0.05279381703825052,0.15686908007295225,0.8648820098764601,0.9212981476393447,1.0856405507309808,1.1281792917532143,0.10675791986740635,0.4276396849683902,4,0.03478753856210382,0.04471180454305747,0.32163848018163027,0.7901175960216985,0.9807055281039665,0.0018500316856134684,19200,0.7375302966372609,0.9699464141017213,0.512105386062748,4.976297160004483,1024,3072,2048,25344,nan,nan
100,0.320763394000096,0.4283710512548404,0.009044776536343453,0.23256036472160913,0.04355334542175318,0.14041473681807526,0.8352670009977574,0.9025757556216415,1.1018560797595491,1.160301163621052,0.09667480179281207,0.5243144867612023,5,0.044567502869059104,0.04762782634247617,0.5262270669116565,0.6752836607491909,0.966276189539987,0.002424570233635546,25600,0.7093169159855557,0.9386210997549744,0.40360053012439684,4.976297160004483,1280,4096,2560,33536,nan,nan
125,0.3969911490000868,0.33177272464771324,0.021762216335014094,0.16724764869674508,0.02748080112958866,0.11399744622698525,0.8175679036200014,0.8829838281267979,1.107619975727645,1.1918282925255559,0.07458204974519933,0.5988965365064016,6,0.05095167173009259,0.05567386373218042,0.45897870048350314,0.6976277383946359,0.9695405005801755,0.0023455211752865307,32000,0.710096444635122,0.9306381877866269,0.40360053012439684,3.440778134026536,1536,5120,3072,41728,nan,nan
150,0.4723693400000002,0.28205178599929226,0.07894661859288302,0.1156948260229006,0.008582765322962536,0.08819912740729444,0.8273033801870223,0.8622303994082274,1.0901995109989635,1.2202667094057869,0.07634778689450383,0.6752443234009055,7,0.10161868539993346,0.10138261977164831,0.4755002805694973,0.6823045509451059,0.9688570286684074,0.0027277822600895833,38400,0.6511425061788796,1.0141962745150714,0.36239029557681957,4.560145442862102,1792,6144,3584,49920,nan,nan
175,0.5482023870000603,0.2818931948518515,0.09435140008813422,0.10836534509606255,0.006049953055480494,0.08397225958687408,0.8418024264859623,0.8420578264387898,1.068672392094781,1.247467354980467,0.08339938374724021,0.7586437071481457,8,0.12980541779861174,0.1354538450823,0.6085543579713872,0.6227023011829871,0.9601295300011962,0.002934386668979854,44800,0.6255482807692782,1.0845210537085412,0.34905759908021383,4.405853361804156,2048,7168,4096,58112,nan,nan
200,0.6268110370000386,0.2869666894633057,0.0946018271873702,0.1060183508095931,0.007335125898500448,0.08745619592915518,0.853545424883472,0.821987731454449,1.0510977782813549,1.273369065380724,0.07528941759553354,0.8339331247436792,9,0.16658101969957725,0.15065386615831022,0.8121992133466074,0.6073104934791154,0.9575179582715047,0.0031498093485859474,51200,0.5756854206754076,1.0523894497402286,0.3100386061265616,4.405853361804156,2304,8192,4608,66304,0.5706824461383079,0.987979278058589
225,0.7012601330000052,0.2851363709492977,0.08700351326232603,0.11045285489554706,0.0064752068525751405,0.08814527417939112,0.8629505549324645,0.8036205658831492,1.033258278730213,1.300170600454173,0.0724133302448835,0.9063464549885627,10,0.15949637566607341,0.1491894658902076,0.8056717281323116,0.6083726890899249,0.958150341432768,0.00309594163116255,57600,0.5486699744576098,1.1538831616563536,0.3214731704755656,4.579049038766461,2560,9216,5120,74496,0.5706824461383079,0.987979278058589
250,0.7747454720000633,0.2836152583798843,0.08239369362937113,0.11268273331173706,0.007036526801018394,0.08763622939307737,0.8700791188986273,0.7861898332395743,1.0181122559312683,1.32561879193053,0.06515351088503929,0.971499965873602,11,0.16281327490657493,0.14545117813901323,0.8163144845618694,0.6289388027952959,0.961057230066784,0.003019112216091852,64000,0.5484060583117236,0.9965147237707106,0.34792660094327454,4.579049038766461,2816,10240,5632,82688,0.5706824461383079,0.987979278058589
275,0.8554247840000926,0.2817370314634978,0.0831097746201021,0.10395146554720328,0.006527084963945554,0.09057186898696676,0.8769278837785884,0.7686908215416246,1.0029355172282122,1.351445777451575,0.0653515008020118,1.0368514666756137,12,0.15350192455431433,0.14451674248928054,0.7606026361268059,0.6491223409942602,0.9639989732138823,0.002983336515847892,70400,0.5766612505445383,1.0063869194656825,0.3323119271104072,4.579049038766461,3072,11264,6144,90880,0.5706824461383079,0.987979278058589
300,0.9419573260000789,0.2708769085951375,0.07285628011310226,0.108370788312469,0.0058995927085026545,0.08656493394485952,0.8815846432693196,0.753092285685845,0.9882721373455682,1.3770509336992673,0.060523831476847256,1.097375298152461,13,0.12664047425842445,0.11877244362475267,0.5833045526023355,0.7095160367635103,0.9720799764530839,0.00284641728186057,76800,0.6473991248736215,1.0394441346258212,0.3323119271104072,4.240394586976284,3328,12288,6656,99072,0.5706824461383079,0.987979278058589
325,1.0469705560000193,0.2709718599589267,0.08550781363544853,0.09740679255252022,0.0060551892897797105,0.08381810214585848,0.8890795118544431,0.7367898618933408,0.9749486359802164,1.3991819902719995,0.05925185031571156,1.1566271484681725,14,0.15958364599471903,0.131880376294875,0.6904145039246307,0.6907091753763097,0.9692669592614265,0.0028263383911902263,83200,0.6669062311378848,1.0443135598150572,0.3323119271104072,4.153064767257277,3584,13312,7168,107264,0.5706824461383079,0.987979278058589
350,1.1469646280000916,0.2719874692445155,0.08239606785365325,0.10391311795938207,0.006228626805670716,0.08256696162550574,0.8949438320767095,0.7218752684677727,0.9632997554671924,1.4198811439883252,0.053126947877184194,1.2097540963453568,15,0.1626784736966828,0.13256413570364392,0.727868251747803,0.6750799967956647,0.9678212878715525,0.002903477903548381,89600,0.6533348488315397,1.067772807005539,0.3323119271104072,4.168088922814584,3840,14336,7680,115456,0.5706824461383079,0.987979278058589
375,1.2228667159999986,0.27033401807785695,0.0767472496089923,0.10255981205414463,0.0065701626310770665,0.08507991497214738,0.8983871668381755,0.7073956430839043,0.9535743393386478,1.4406428507392721,0.04841008302482597,1.2581641793701828,16,0.175993360774148,0.1295631492273699,0.7905896907965776,0.6862592060313126,0.9691540703213882,0.0026714793479046548,96000,0.6436232376837189,1.0452569987866638,0.3323119271104072,3.9124136654256,4096,15360,8192,123648,0.5706824461383079,0.987979278058589
