step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.017742348999945534,1.073036992251018,0.04430176310305563,0.6082117236963065,0.01736289173233875,0.40325727505009645,1.0,0.9998790174685986,1.0001589540599072,0.9999359261678585,0.000344010423450003,0.000344010423450003,1,0.0954349922671767,0.10306571655272881,0.0013351578327681264,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,0.9999984691113369,1.008240247564653,1.0063036140092938,1.009,0.20894865525738315,1,0,0,0,512,768,nan,nan
25,0.15430255499995837,0.9675227109545707,0.006918545962602949,0.4998798405339757,0.12170272793522605,0.3409038697727806,1.0,0.996843952154389,1.0019970077716738,0.9983934771696238,0.00019798093246858883,0.006759918506653473,25,0.11147535541843981,0.10690345240198444,0.3806755862690322,1.0,1.0,0.0009765625,6400,1.0,1.0,1.0,1.0,0.9967268344738355,1.1076917935607522,1.074104332933416,1.1879724231913407,0.03670414130240264,25,0,0,0,1024,7424,nan,nan
50,0.3036759069996151,1.1225223950857244,0.008453386596890844,0.5697667925219508,0.15369276232952467,0.3956838318328368,1.0,0.9932689760806338,1.0006459142436273,0.9966171561150633,0.00032682518096971425,0.013462309163015718,50,0.10247749287552294,0.10372832748452852,0.4832183168378335,1.0,1.0,0.0009765625,12800,1.0,1.0,1.0,1.0,0.979643041685501,1.1901988215179966,1.1040898458107173,1.3777575524079306,0.030549427286107777,50,0,0,0,1536,14336,nan,nan
75,0.4443871749999744,0.999158379547475,0.025338737898747486,0.4885435924908471,0.15109466068342006,0.3417273847163749,1.0,0.9891950095036041,0.9974521727112817,0.9944917371200168,0.0004120060325010222,0.022855436267437468,75,0.11282918810228212,0.11058288581208092,0.4416433556220372,1.0,1.0,0.0009765625,19200,1.0,1.0,1.0,1.0,0.9694472151997089,1.2509423523844991,1.1316213459057696,1.4844751650009198,0.0619792321888117,75,0,0,0,2048,21248,nan,nan
100,0.5891102879995742,0.6194538623923748,0.13594742681824343,0.2782945748466689,0.0417110492744686,0.16927901922650784,1.0,0.9848626816572263,0.9935305995070456,0.9923456035829137,0.000386748542342219,0.033255470855154456,100,0.18892773057914317,0.25557220313014717,0.29496051495168446,1.0,1.0,0.0009765625,25600,1.0,1.0,1.0,1.0,0.9669048353773322,1.291341057373165,1.156545959796655,1.5380936923344917,0.1623634802575683,100,0,0,0,2560,28160,nan,nan
125,0.7289006479995805,0.6000527310172068,0.2755945052637794,0.19493161954347438,0.018239032217066953,0.11603423798004393,1.0,0.98115079793282,0.9906667025454701,0.9922253275943373,0.0002566660418773514,0.0406541888873988,125,0.2694895381503292,0.2878596889605623,0.32436680617757796,1.0,1.0,0.0009765625,32000,1.0,1.0,1.0,1.0,0.9666323348768964,1.32455479323521,1.1796712023629523,1.593406559549685,0.22919515625670805,125,0,0,0,3072,35072,nan,nan
150,0.8672248779998881,0.6192763935410956,0.2583930895731976,0.20830311837454335,0.02281192086101999,0.1351754398864702,1.0,0.9783940022964431,0.9900057511372514,0.9949799279858904,0.0002596326605069921,0.0468841749431157,150,0.27942350429744817,0.29418929844815317,0.44000238464695607,1.0,1.0,0.0009765625,38400,1.0,1.0,1.0,1.0,0.9627042172565913,1.3540864959323182,1.2021302479987914,1.73656186462253,0.20707193078091843,150,0,0,0,3584,41984,nan,nan
175,1.0112911919995895,0.6217340704596549,0.2814430834145032,0.189011659959643,0.023775073698960925,0.13224415238236206,1.0,0.9762701736779528,0.9913484313442094,0.999629522751332,0.0003847073085174735,0.055000278534005576,175,0.3166740830437439,0.2913576479087298,0.47864128430378367,1.0,1.0,0.0009765625,44800,1.0,1.0,1.0,1.0,0.9570799506131156,1.3817298003241214,1.2244102430351604,1.846176924404781,0.19314870332739334,175,0,0,0,4096,48896,nan,nan
200,1.1576718329997675,0.6305307331662681,0.2968388943701136,0.17525861288467703,0.0256350848892746,0.13657466398735546,1.0,0.9747010939629934,0.9949109314801072,1.005768177602697,0.0005128982528143089,0.06627051323622779,200,0.3331176571140131,0.28685160932500975,0.50146760860168,1.0,1.0,0.0009765625,51200,1.0,1.0,1.0,1.0,0.9501365024046958,1.4106191820829994,1.2462931044451349,1.960726887739697,0.169018367814196,200,0,0,0,4608,55808,0.464100806416152,1.0289252321747093
225,1.3016233039998042,0.6436647867520104,0.3146248170757274,0.16704190598065138,0.023235833504450097,0.14127098412931682,1.0,0.9736513587559986,1.0009922300020155,1.0132335598542077,0.000649920332474796,0.08086692921664163,225,0.33135784178190664,0.2850913568048433,0.5410189722485462,1.0,1.0,0.0009765625,57600,1.0,1.0,1.0,1.0,0.9445682763548703,1.4382925565543205,1.266510524423867,2.033947960302294,0.17516705567989602,225,0,0,0,5120,62720,0.464100806416152,1.0289252321747093
