step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.010325030999865703,0.5409496974927814,0.0033801422989816095,0.34500817990937166,0.04683895530092044,0.14572241998350782,1.0,1.0,1.0,1.0,0.0,0.0,0,0.03193745801872175,0.027200789631721563,0.1041833351426316,1.0,1.0,0.0009765625,256,0.8148327374681961,0.9999999999999996,0.49906972453774073,3.139735133841605,0,0,512,768,nan,nan
25,0.0934819349999998,0.5073881073653397,0.00937132521485549,0.309633875376265,0.05502275981400599,0.13336014696021317,1.0,1.0,1.0,1.0,0.0,0.0,0,0.036178070855745974,0.02566253582889636,0.1309356549752585,0.8774245514027024,0.9887806814775709,0.0015279890884728356,6400,0.8166743368343128,1.0,0.49876140892446563,3.0323285767745083,0,1024,1024,8448,nan,nan
50,0.1731356259997483,0.43763274913855005,0.015246467359459264,0.2585362133943134,0.044917985161858104,0.11893208322291933,1.0,1.0,1.0,1.0,0.0,0.0,0,0.029541652225702406,0.02141206071985738,0.3612393609232703,0.8284268397127332,0.9849908067644829,0.0018301632901901181,12800,0.8504749170132838,0.9999999999999999,0.514886714251117,2.989834670704837,0,2048,1536,16384,nan,nan
75,0.254463522000151,0.2615407960823504,0.03845316328555072,0.1260818863943562,0.01752235151699976,0.07948339488544374,1.0,1.0,1.0,1.0,0.0,0.0,0,0.03834910718070988,0.01654159932846127,0.17922384872382852,0.7376241876640343,0.9745343308046032,0.0024267417183330246,19200,0.768162186251038,0.9999999999999998,0.4879352113621335,3.8048383205739187,0,3072,2048,24320,nan,nan
100,0.3353590860001532,0.2405280295637043,0.09971838354978009,0.07702742837875312,0.003631786119197675,0.06015043151597341,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0637922138913311,0.059947442350202156,0.2559370830538134,0.6315031393299009,0.9617681006699189,0.0030684076960521512,25600,0.7478432280080607,1.0,0.5023100072413943,4.159481926679137,0,4096,2560,32256,nan,nan
125,0.4168331109999599,0.24427860222367442,0.08409151756629685,0.0894681745837087,0.005618139791677257,0.06510077028199161,1.0,1.0,1.0,1.0,0.0,0.0,0,0.11380333335901638,0.09392173774089015,0.5278445880853915,0.6198866762423324,0.9599679510325351,0.003067747659909804,32000,0.7656591187759466,0.9999999999999999,0.5175896202945314,4.69760585895827,0,5120,3072,40192,nan,nan
150,0.49729951700010133,0.2453018253867596,0.07919452276820012,0.09551516427575446,0.005073841101314758,0.06551829724149029,1.0,1.0,1.0,1.0,0.0,0.0,0,0.10851930062515679,0.09429876804892487,0.530408599888199,0.6172493540776381,0.9608299942077476,0.003244366714398845,38400,0.8322231840286973,1.0,0.5283730376470142,3.436769686106287,0,6144,3584,48128,nan,nan
175,0.5768438380000589,0.243209469461802,0.07979103111793823,0.09397550782670844,0.0058544439986093185,0.06358848651854601,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0919942907392316,0.10054183356817323,0.43973004120189907,0.6274884578864729,0.9613844025556141,0.0034935677722250534,44800,0.809431788028881,0.9999999999999999,0.5243005853540167,3.3767516751618136,0,7168,4096,56064,nan,nan
200,0.6595092560000921,0.25435102491126477,0.0873764637412948,0.09414987755830728,0.006129408367420755,0.06669527524424189,1.0,1.0,1.0,1.0,0.0,0.0,0,0.13572413317506846,0.12700153372811762,0.6333231193826612,0.6004930503705416,0.9576064334929049,0.003428439675396219,51200,0.772177826443263,1.0,0.5367104523191232,4.030558643601074,0,8192,4608,64000,0.5585515727107658,0.9642150379776744
225,0.7387701490001746,0.24644414333854492,0.06936018960142354,0.10259604229092462,0.005906319113047484,0.06858159233314928,1.0,1.0,1.0,1.0,0.0,0.0,0,0.11459299595088954,0.1032388008532574,0.547202904853237,0.6282073307844533,0.961348972314501,0.0033622819450665137,57600,0.7897965283821933,0.9999999999999999,0.5380308730458271,4.400308485922997,0,9216,5120,71936,0.5585515727107658,0.9642150379776744
250,0.8235510780000368,0.2506061339243836,0.08526830680049077,0.09210081807157103,0.004897730596985071,0.06833927845533674,1.0,1.0,1.0,1.0,0.0,0.0,0,0.09518797503462881,0.10253845356141696,0.4702135323689334,0.6570476338518704,0.9656896950758823,0.003150333312711257,64000,0.7769936502005925,0.9999999999999999,0.5301286211672771,4.8536733587095515,0,10240,5632,79872,0.5585515727107658,0.9642150379776744
275,0.905735808999907,0.23896449838241327,0.07244132295222089,0.09693567206030189,0.004463098954250004,0.06512440441564046,1.0,1.0,1.0,1.0,0.0,0.0,0,0.11117670122211964,0.08883723662232991,0.4696559580657706,0.6745882403914388,0.9683909402002358,0.003110565870949349,70400,0.767510248514465,0.9999999999999998,0.5137330348679653,4.628341182780822,0,11264,6144,87808,0.5585515727107658,0.9642150379776744
300,0.9869077260000267,0.22613643977634912,0.06956929074664507,0.09037332858214948,0.005129210639728236,0.06106460980782634,1.0,1.0,1.0,1.0,0.0,0.0,0,0.088354292542149,0.07093821714208114,0.4468050728175022,0.6008460477567321,0.9582039593511192,0.0033061955388388247,76800,0.7954700597497341,0.9999999999999999,0.5200505202302692,4.401026942364941,0,12288,6656,95744,0.5585515727107658,0.9642150379776744
325,1.0734650680001323,0.236165430874189,0.08863288540701773,0.08509808338880431,0.005279561407796316,0.057154900670570635,1.0,1.0,1.0,1.0,0.0,0.0,0,0.11691097276721812,0.10332241882061041,0.5513323999449014,0.5704064465131837,0.953431482820727,0.0036662650661786894,83200,0.8165552366319359,1.0,0.5269492771105805,2.934168538164152,0,13312,7168,103680,0.5585515727107658,0.9642150379776744
350,1.1589417350000986,0.23894780602844634,0.07982404634491973,0.09247860061396365,0.00572684234749588,0.060918316722067115,1.0,1.0,1.0,1.0,0.0,0.0,0,0.12053528780236905,0.11610569820254606,0.5868302889810685,0.5931266359505145,0.9556529550879429,0.0034462659032736672,89600,0.8215410225950701,1.0,0.5320255398562184,2.9601849170478625,0,14336,7680,111616,0.5585515727107658,0.9642150379776744
375,1.2414435689997845,0.2316379368907556,0.07170353913647373,0.09285697057139891,0.0058817358051058794,0.06119569137777708,1.0,1.0,1.0,1.0,0.0,0.0,0,0.10340271778302026,0.11189883827560265,0.5164872749102296,0.6440591154380264,0.9628712727751781,0.003114273713807624,96000,0.7937643014907413,1.0,0.5284523165317697,3.2137713418618916,0,15360,8192,119552,0.5585515727107658,0.9642150379776744
400,1.3245134300000245,0.21667577170453392,0.061927481107372964,0.08342978733098819,0.007164247363120244,0.06415425590305252,1.0,1.0,1.0,1.0,0.0,0.0,0,0.059547827186845585,0.08178194229098301,0.29683971453264896,0.70084628831748,0.9706698286820419,0.0027285313999939947,102400,0.7980965883848407,1.0,0.513142240239788,2.9923965282945577,0,16384,8704,127488,0.5204478635553023,0.9213122094155436
425,1.4288892189997568,0.20810832190368214,0.06222025966618765,0.0806260982959908,0.005872391580999055,0.059389572360504655,1.0,1.0,1.0,1.0,0.0,0.0,0,0.03239927009391091,0.06921642852887497,0.05701435385011575,0.699147885556946,0.970987817178306,0.0030639204683459032,108800,0.8385938595482888,1.0,0.522096167830801,2.5596069303886475,0,17408,9216,135424,0.5204478635553023,0.9213122094155436
450,1.601791890000186,0.19947251318846582,0.06128432516673231,0.07488891684264906,0.00388888820707493,0.05941038297200954,1.0,1.0,1.0,1.0,0.0,0.0,0,0.024569908158518894,0.06018171415334846,0.14582830800995775,0.7243579223827507,0.9743426473531464,0.0027073524747465404,115200,0.8186845627324943,0.9999999999999998,0.5122698831011885,3.4610925669871393,0,18432,9728,143360,0.5204478635553023,0.9213122094155436
475,1.6873274029999266,0.19949053478036863,0.06459984369569297,0.06520913089355572,0.004623105646439627,0.06505845454468032,1.0,1.0,1.0,1.0,0.0,0.0,0,0.010231534481818322,0.03898650778954271,0.08012949114912889,0.7428397655707835,0.9756987819868943,0.002658018079610824,121600,0.7987143203841548,0.9999999999999999,0.507240093009509,3.1058371636062394,0,19456,10240,151296,0.5204478635553023,0.9213122094155436
