step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.017426726999929087,0.5274767481767859,0.0033801422989816095,0.34500817990937166,0.04683895530092044,0.14572241998350782,1.0680431306179219,0.9649806289040475,0.967726385112294,0.9992498553657366,0.13608626123584378,0.13608626123584378,1,0.03157236667396535,0.027085367120870642,0.10491408949108359,1.0,1.0,0.0009765625,256,0.8148327374681961,0.9999999999999996,0.49906972453774073,3.139735133841605,256,0,512,1024,nan,nan
25,0.10135278699999617,0.48082525295831285,0.00843609101062741,0.31098744363921343,0.054937318759199744,0.13334408127822187,1.153572383201443,0.9273858679311873,0.9336517103137061,0.9853900385536636,0.17105850516704235,0.3071447664028861,2,0.03655867522618193,0.025727062733214248,0.12867193885720282,0.8777262121906265,0.9888047660628242,0.0015350550354868975,6400,0.8166743368343127,1.0,0.49876140892446563,3.0323285767745083,512,1024,1024,8960,nan,nan
50,0.18424909499981368,0.40318524072123135,0.010212113315103407,0.2623578046235958,0.045975367495159056,0.11908124275242521,1.2396541483378154,0.8904897884579653,0.8995990732040868,0.9702569900001323,0.17216353027274478,0.4793082966756309,3,0.028191811299324198,0.021493715024449814,0.3407767261722913,0.8202316907791614,0.9845123235622355,0.0018769904961681622,12800,0.8378714826072159,1.0,0.5040024992535834,3.122324748928726,768,2048,1536,17152,nan,nan
75,0.27212849399984407,0.2494564268119925,0.03127399680595998,0.13685053291368485,0.016767261707738935,0.08106070842406289,1.344727171788653,0.8510942337159689,0.8604183431728822,0.9437602513224956,0.21014604690167538,0.6894543435773063,4,0.03521186840096461,0.01439078787312631,0.09774568379216682,0.7470044093319519,0.9756983144904458,0.0023110058771828243,19200,0.7577367727371495,1.0,0.4750970120090029,3.8847695081347795,1024,3072,2048,25344,nan,nan
100,0.3545465610000065,0.2445680503683617,0.06625413589558306,0.1059839730698734,0.0030010846135209816,0.06543048746131208,1.4497157598735437,0.8134498655226463,0.8223077695067139,0.9145266050970962,0.20997717616978107,0.8994315197470873,5,0.05424666167723799,0.0473755339150637,0.28539658155650377,0.6532797749456798,0.9648193633372749,0.002851071798070607,25600,0.7598227124361051,1.0,0.4948178669776721,4.406634746242123,1280,4096,2560,33536,nan,nan
125,0.437849611999809,0.24103626413925944,0.047400309344359626,0.12600706349038854,0.0053699020462440235,0.07347970679650448,1.5420785394420158,0.7782549960436365,0.7861681866002382,0.8934982779141096,0.1847255591369441,1.0841570788840316,6,0.08048376916091854,0.05247108548478275,0.4812638797874436,0.6272448362854588,0.9606613738903411,0.0030841461852592405,32000,0.7438168833087376,0.9999999999999998,0.49882137489785494,3.8202109709482457,1536,5120,3072,41728,nan,nan
150,0.5211345149996305,0.23804199319660801,0.0408395703507481,0.1326487131041024,0.0059881169891363144,0.07777142879991791,1.624473738417183,0.7457013034044376,0.7518592958853506,0.8779656622930291,0.16479039795033423,1.2489474768343658,7,0.07921545689482729,0.046170441644371105,0.5409224357111928,0.6188705027608973,0.9602430882019407,0.0031777849788883613,38400,0.7943011111417555,0.9999999999999999,0.5173603639310947,3.502862287073607,1792,6144,3584,49920,nan,nan
175,0.6028652369996053,0.23311475716426877,0.037317942982736454,0.1379685409035234,0.005703415629366663,0.07726378142821753,1.6989250326412668,0.7154045052475004,0.7197258078179977,0.8659446542932354,0.14890258844816762,1.3978500652825334,8,0.06899835429377245,0.04672290141314439,0.470245731382406,0.6644503782644048,0.9659611693507408,0.0031063933805734857,44800,0.7807589132846052,1.0,0.5245871922120884,3.68379899116137,2048,7168,4096,58112,nan,nan
200,0.6879606489997059,0.23104099370548903,0.03313154936090632,0.14230210221890627,0.006354398399125425,0.08204973524308198,1.7646734978964724,0.687226193938541,0.6901392884434323,0.8579610197215546,0.13149693051041123,1.5293469957929446,9,0.06911961403044878,0.044100337898575794,0.4922209893208262,0.6479214514373361,0.9638723488854241,0.0030573155758936354,51200,0.7867487023299015,1.0000000000000002,0.53236198716397,3.4561685048151483,2304,8192,4608,66304,0.6206751797467259,0.9294854485204325
225,0.7738320290000047,0.22149438196728471,0.026099997615561345,0.15093603217279022,0.006928636011999936,0.0813950372020953,1.8210712882389306,0.6614338496090468,0.6632028013689397,0.8542920607830831,0.11279558068491646,1.6421425764778612,10,0.05615223807866407,0.029106879075154024,0.37761710045727104,0.6672309465649913,0.9662772868457438,0.002956287333441333,57600,0.7949102062195031,0.9999999999999998,0.5102068184063993,3.2132554988965722,2560,9216,5120,74496,0.6206751797467259,0.9294854485204325
250,0.8581240219996289,0.2249974639707057,0.03295033698590003,0.13694320710049282,0.008102233840168392,0.08348504016295742,1.8769731965915573,0.6360441323233117,0.6379726236182554,0.849010047466876,0.11180381670525319,1.7539463931831145,11,0.05473779003150464,0.03457551070617358,0.3970512712923627,0.6792309241190442,0.9680179535444211,0.0026406171757520453,64000,0.7903427129317795,1.0,0.509960302559308,4.393368256316302,2816,10240,5632,82688,0.6206751797467259,0.9294854485204325
275,0.9412838769999325,0.2139191076698731,0.02431677916367353,0.15268204008709263,0.007829867051540375,0.080920656223903,1.9225084070725562,0.6133548328260632,0.615088163862915,0.8490485962384657,0.09114751850517755,1.845093911688292,12,0.06066175932214338,0.02771745582597858,0.42642506926653045,0.7291027558187566,0.9742330419101847,0.0024879382983556374,70400,0.7750705669556112,1.0,0.49469931518253685,3.766138874775391,3072,11264,6144,90880,0.6206751797467259,0.9294854485204325
