step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.01170796400015206,1.1638086373789946,0.01657858453347859,0.752027096079251,0.12387027093057461,0.29049991398448516,1.0368478200909204,0.9743978312191801,0.9835427089649298,1.0052116397249697,0.0841189196317802,0.0841189196317802,1,0.007780594465666653,0.0021229627778000136,0.01003519001704096,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,256,0,512,1024,nan,nan
25,0.09150819100000263,0.4959121170006233,0.022469699265256105,0.27671148194819334,0.12741712958797746,0.08766083803598274,1.0968296391429049,0.9423257683425814,0.9715454656819454,0.9892991268325684,0.11996363810396893,0.20408255773574913,2,0.026545120760159253,0.016399831261324032,0.2716630766949852,0.7582610106457315,0.9760684545402926,0.001918322858941404,6400,1.0,1.0,1.0,1.0,512,1024,1024,8960,nan,nan
50,0.18417763500019646,0.4563381442089673,0.006522356189599441,0.30279029176938005,0.07578414041977512,0.09852707275938813,1.1271563876408344,0.919509550801615,0.9624275042540733,0.9909065573034774,0.06386835793767709,0.2679509156734262,3,0.010366547192314637,0.007263393554468882,0.11140510990069394,0.860976024573588,0.9873310503553121,0.0018329228309485652,12800,1.0,1.0,1.0,1.0,768,2048,1536,17152,nan,nan
75,0.26358499000002666,0.43323692865080826,0.006025846619060887,0.296045800783437,0.06943604994634081,0.09487008573228387,1.1560822207582317,0.8982020471367173,0.952605725642112,0.993110006462939,0.06225856455371803,0.33020948022714425,4,0.008769061537588257,0.006852110500369338,0.16128785983012475,0.8607432783580478,0.9870549514012741,0.0018595325300888484,19200,1.0,1.0,1.0,1.0,1024,3072,2048,25344,nan,nan
100,0.3603231730000971,0.38609793508861046,0.005348782473240164,0.26860198299853355,0.06615807009493466,0.08199249414369449,1.1841704661116033,0.877925368313329,0.9436418969504065,0.994262268624661,0.05848101503018732,0.38869049525733157,5,0.005487001197203394,0.005553720129841909,0.15571956389234548,0.8577067389105539,0.9868542904971521,0.001947356990724091,25600,1.0,1.0,1.0,1.0,1280,4096,2560,33536,nan,nan
125,0.4718025970000781,0.3055865618078428,0.0076560598081142515,0.21889356058652354,0.05203870438894096,0.061260379302489607,1.2269913024848342,0.8557128699728778,0.9295126586842426,0.9877831688580453,0.08564167274646184,0.4743321680037934,6,0.004704846252880562,0.005893996717133166,0.10035578007729519,0.794671393764029,0.9795823155177522,0.0021257720720605127,32000,1.0,1.0,1.0,1.0,1536,5120,3072,41728,nan,nan
150,0.5835359200000312,0.23571001972879496,0.02126556959119743,0.16747480340267204,0.03292165092843466,0.04095797905074865,1.3010747403339005,0.8280608270385456,0.9039235390400658,0.9669408935874881,0.14816687569813236,0.6224990437019258,7,0.015007277196759802,0.007996933173247185,0.1491931127821821,0.8006412881699491,0.9824256411275111,0.002186664223260776,38400,1.0,1.0,1.0,1.0,1792,6144,3584,49920,nan,nan
175,0.6842107760000999,0.2254284304464461,0.044956490184975245,0.14514398131318473,0.017939513349031187,0.033446375152892976,1.39067120137178,0.7981210854728257,0.8713607246259377,0.9398469885294567,0.17919292207575888,0.8016919657776846,8,0.04607970471862943,0.03607114384600526,0.2968352803851048,0.7693935155828974,0.9794470286345979,0.0024510233073683774,44800,1.0,1.0,1.0,1.0,2048,7168,4096,58112,nan,nan
200,0.7684947610000563,0.22440847037623987,0.044789099438495766,0.14951550501731128,0.013433556708913275,0.034853426358590185,1.4751213485586199,0.770210945660629,0.8391996244480842,0.9154680813326669,0.16890029437368004,0.9705922601513647,9,0.054709769794709234,0.04628313660715484,0.36186082110412443,0.6933146481160527,0.9709324201687715,0.0027870164705896417,51200,1.0,1.0,1.0,1.0,2304,8192,4608,66304,0.6052230069986242,0.9135977663273342
225,0.8608947400000488,0.2189990326018413,0.0380575882426189,0.15491782327780124,0.012311336261961044,0.03868294550826286,1.5504933102226193,0.7448287128690384,0.8091357404325877,0.8955422364757544,0.1507439233279989,1.1213361834793636,10,0.05754912588770861,0.04674216644630203,0.413415061027726,0.6591027070991949,0.9655051083701799,0.0029790584528714813,57600,1.0,1.0,1.0,1.0,2560,9216,5120,74496,0.6052230069986242,0.9135977663273342
250,0.9540021500001785,0.2119472601559248,0.03202286982769152,0.1603898939883764,0.0115117878104875,0.04022211410374928,1.6176347691244934,0.721910304945104,0.7811883442065716,0.8792665817238308,0.13428291780374835,1.255619101283112,11,0.050549764002303946,0.03899636874599825,0.38939229860913976,0.647142349870493,0.9640933123637849,0.002997215111128545,64000,1.0,1.0,1.0,1.0,2816,10240,5632,82688,0.6052230069986242,0.9135977663273342
275,1.0454051359999994,0.21022660953386935,0.033421542221909656,0.15837899142355116,0.011067332685717775,0.0402965765944605,1.6815916047811077,0.6999770215957511,0.7545071594826301,0.8639242141405108,0.1279136713132285,1.3835327725963404,12,0.06090663948982497,0.04845488907211254,0.471286454282057,0.665259840458538,0.9660453309765314,0.0025619376887372714,70400,1.0,1.0,1.0,1.0,3072,11264,6144,90880,0.6052230069986242,0.9135977663273342
300,1.1279132500001197,0.20684479438557904,0.029621793109543534,0.1639805842024365,0.011331301435272606,0.04177086233154048,1.738571477265334,0.6800219124245868,0.730034134695581,0.8513724756144978,0.11395974496845285,1.4974925175647933,13,0.05436927247128567,0.04289274595551757,0.4527674508007117,0.6507021732050491,0.9637751332050161,0.0027463333306324902,76800,1.0,1.0,1.0,1.0,3328,12288,6656,99072,0.6052230069986242,0.9135977663273342
325,1.2191923560001214,0.2009293682195013,0.025832233991420993,0.1637277047733282,0.012457716043686139,0.04463008838259616,1.7881174181346828,0.6616887596578583,0.7081780690042293,0.8420157532032292,0.09909188173869754,1.5965843993034907,14,0.049933467699275744,0.03399925946999145,0.4244246704586917,0.6848932785280345,0.9680344970884533,0.0025471922758719913,83200,1.0,1.0,1.0,1.0,3584,13312,7168,107264,0.6052230069986242,0.9135977663273342
350,1.3105043360001218,0.19639643551320018,0.02690393192766377,0.16362002680924076,0.011561066042922771,0.040419634002868236,1.8369709183447,0.6442586470110923,0.6870426576016829,0.8317277770425245,0.09770700042003433,1.6942913997235252,15,0.056708127091208226,0.03964036719031381,0.49974984183897725,0.6713044928286843,0.9674162372349651,0.0026291892118399385,89600,1.0,1.0,1.0,1.0,3840,14336,7680,115456,0.6052230069986242,0.9135977663273342
375,1.3936732240001675,0.18614298120042222,0.02131496972537584,0.16310145465676917,0.012817044746194375,0.04241629138771657,1.8770130940624068,0.6287909125512725,0.6689515267519796,0.8252444666343408,0.08008435143541359,1.7743757511589386,16,0.04439242131178201,0.02778821498233829,0.41013749872607824,0.7249332204711044,0.9730604441311934,0.0023361708207937067,96000,1.0,1.0,1.0,1.0,4096,15360,8192,123648,0.6052230069986242,0.9135977663273342
400,1.5859557820001555,0.17277660075396165,0.016509354826577477,0.16427530528834555,0.014109794979481723,0.037652916571853004,1.9100047892022618,0.6156174673428423,0.6541917361850219,0.8201860072698738,0.0659833902797099,1.8403591414386486,17,0.037429077766505336,0.02108948230583166,0.41535628412663866,0.7479914298322135,0.9763402055119403,0.0025780691822742527,102400,1.0,1.0,1.0,1.0,4352,16384,8704,131840,0.6389968161088101,0.9422447969603173
425,1.6733137350001925,0.16207526403124795,0.017275746949113466,0.1517973494702074,0.014586149156240206,0.03410767107956095,1.9440934877051075,0.6021617462144948,0.6403603417644766,0.8133844243159207,0.06817739700569148,1.90853653844434,18,0.01655473632396994,0.0171856566415987,0.07768930868131367,0.7639371827420732,0.9776509438028532,0.0024609581711623743,108800,1.0,1.0,1.0,1.0,4608,17408,9216,140032,0.6389968161088101,0.9422447969603173
450,1.75338011000008,0.15434188278546182,0.01756208588222301,0.1470263585347399,0.014777640543445294,0.029457829464712922,1.9786597828305243,0.5890986558539452,0.6274625044086783,0.8047790569068518,0.06913259025083374,1.9776691286951738,19,0.019389434699722798,0.02245719355891569,0.19496710301179287,0.7874252908875335,0.9802470161050476,0.002489296542127409,115200,1.0,1.0,1.0,1.0,4864,18432,9728,148224,0.6389968161088101,0.9422447969603173
475,1.833600099000023,0.15230733145910244,0.018639300603357178,0.14427220717276212,0.014880299398514884,0.02827830548602684,2.0130743532217874,0.5762215640951621,0.6150202027624485,0.7956838799206019,0.06882914078252589,2.0464982694776994,20,0.022624450406731382,0.02320794357762815,0.18038503460410518,0.7669672348635196,0.9779240470181103,0.0028397860382435667,121600,1.0,1.0,1.0,1.0,5120,19456,10240,156416,0.6389968161088101,0.9422447969603173
500,1.9292130650001127,0.14497408253830998,0.015091554156618977,0.1489725301157476,0.01447409119843385,0.026870928284555007,2.0417044300585925,0.5653631900597363,0.6042978003364449,0.7886345795452262,0.05726015367361015,2.1037584231513096,21,0.020010810800304278,0.022785706650785997,0.1976650032090697,0.7697074173557346,0.9783857763965152,0.0028826325495545846,128000,1.0,1.0,1.0,1.0,5376,20480,10752,164608,0.6389968161088101,0.9422447969603173
525,2.0117545699999937,0.13978283318607626,0.014333577920313414,0.14714336432997097,0.01379649857215075,0.025884561710561065,2.0686147571483957,0.5551763835675279,0.5940489853361909,0.7821598739478854,0.053820654179606464,2.157579077330916,22,0.014824903726327048,0.02034553907381336,0.1403828109961786,0.7750982140782247,0.9794001904146522,0.0027025931879506287,134400,1.0,1.0,1.0,1.0,5632,21504,11264,172800,0.6389968161088101,0.9422447969603173
550,2.0939457520000815,0.13749201283010856,0.015508902421669019,0.14357270877485412,0.013077958850141265,0.024674573481243665,2.09691793712598,0.5448310697996347,0.5834477999553764,0.774803193119009,0.05660635995516816,2.2141854372860843,23,0.015956260097910333,0.02101031547612682,0.13679446298653497,0.7691250700962651,0.9790768106792036,0.0032818873080132597,140800,1.0,1.0,1.0,1.0,5888,22528,11776,180992,0.6389968161088101,0.9422447969603173
575,2.1815503889999945,0.1341970543794255,0.014619508897728482,0.14543873689186243,0.012864449101514028,0.023327809443579366,2.123090219099272,0.5353900525368454,0.5736829609839692,0.7678367673799135,0.052344563946584266,2.2665300012326686,24,0.01798593608388168,0.02375000048547386,0.23199791342995482,0.7468957046249697,0.976106890911366,0.0032040908357058905,147200,1.0,1.0,1.0,1.0,6144,23552,12288,189184,0.6389968161088101,0.9422447969603173
600,2.2710144430000128,0.12971159737088203,0.013126402195311361,0.14607656040640637,0.011431885829790068,0.023734718289013836,2.145976809595688,0.5270291347545023,0.5640807251199649,0.7629133305298446,0.04577318099283223,2.312303182225501,25,0.021200756259771324,0.01942640464529107,0.2695466380706652,0.74395425614332,0.9754459766190055,0.0029594048821447103,153600,1.0,1.0,1.0,1.0,6400,24576,12800,197376,0.6064737955706969,0.9286111944701531
