step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.014075475000026927,0.6261446511261699,0.003794362640096327,0.45049111148869425,0.006749996283156952,0.1836665937009811,1.0399273926132806,0.9640909566322626,1.0101413357612352,0.9858403149932214,0.10013745674903174,0.10013745674903174,1,0.03350566100235563,0.025050725642385814,0.008381875238211918,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,256,0,512,1024,nan,nan
25,0.08989471099994262,0.4408563299788638,0.00872320898412451,0.2921888748877036,0.040070973280866715,0.12532169802773938,1.0743253569760847,0.9232408192817363,1.0466109010543854,0.9558229226877935,0.14173505931190855,0.2418725160609403,2,0.03776520323535387,0.028416689980852283,0.24627364047078573,0.8038678054678529,0.9817898101704621,0.002081692009759169,6400,0.874943451498381,0.9905789945554311,0.4786508266008469,3.0105587285471302,512,1024,1024,8960,nan,nan
50,0.17617549900000995,0.4132059970275047,0.008890220438812947,0.2706121889001324,0.050352163061188004,0.11828277152480254,1.106825903090433,0.8841137114446879,1.0823266292672682,0.9267337561976108,0.1364325486544623,0.3783050647154026,3,0.030384247425680886,0.027166612875984868,0.29134152121839973,0.8658873103465918,0.9877315345086918,0.0018264242521965732,12800,0.8517352377487574,0.9715327805747254,0.4786508266008469,3.9405376873868283,768,2048,1536,17152,nan,nan
75,0.2587990980000541,0.37656779613683733,0.007951560594542615,0.25751896012593134,0.04365446587119619,0.11190034258229464,1.1411523689904837,0.8474422371128156,1.110917553462511,0.9004878404341892,0.12583478019058736,0.50413984490599,4,0.025679309125404153,0.026739276717749352,0.21091203965495703,0.8828054828817075,0.9894354751649668,0.001753441816769639,19200,0.8711791473356535,0.979187802710855,0.4786508266008469,2.9965711633331504,1024,3072,2048,25344,nan,nan
100,0.34391875899996194,0.29864943846556047,0.007857536644421933,0.2131806528451905,0.032563571001162216,0.09060549542988793,1.1825844403983305,0.8126790875368362,1.1290177306749865,0.8757187413898465,0.11906449724064438,0.6232043421466343,5,0.03556408369597344,0.03002017279296857,0.4850275667803755,0.751510500023792,0.9760224576617672,0.002147423639062729,25600,0.7122096844253633,1.004962502750579,0.45586719268922293,4.371166454776965,1280,4096,2560,33536,nan,nan
125,0.42585027899986017,0.20960301394230113,0.030089265914003002,0.14104671869383073,0.012005348596748098,0.05736524704196165,1.2697585776817497,0.7770971881827612,1.1078662269932849,0.8452780071422039,0.17434827456683832,0.7975526167134727,6,0.05628111323384178,0.056149618991064625,0.31142623200973396,0.7940076837773155,0.9820355245875452,0.002241620264539659,32000,0.7303907401112819,1.0664201747920172,0.4359302515364525,4.1730387491898835,1536,5120,3072,41728,nan,nan
150,0.5107263939999029,0.20125105235726162,0.0482999296930097,0.12345536801413287,0.0031814011039162857,0.0489233520472692,1.3703791876390308,0.7432359697304979,1.0708530127232783,0.8155318299071926,0.20124121991456223,0.9987938366280349,7,0.09649280935736046,0.07653526831060678,0.46400003871366174,0.7264772358855306,0.9739634070170774,0.0022892489623500016,38400,0.6567224423044077,1.107712395340154,0.43273521905890516,4.90811954206497,1792,6144,3584,49920,nan,nan
175,0.5919048829998701,0.19195178801123464,0.036592645379180416,0.1291515836462046,0.004434250290449191,0.05334147774722052,1.4557606051468568,0.7116920211275429,1.0424896845410547,0.7900576891845451,0.17076283501565204,1.169556671643687,8,0.0867048785249762,0.0699730336473464,0.4845359387784059,0.670211683725979,0.9673384774868227,0.002714124549375716,44800,0.6583349075140063,1.0838700127458205,0.3615462073873242,4.430976514647899,2048,7168,4096,58112,nan,nan
200,0.6717723829999613,0.19537114235210568,0.039778209413536575,0.13057213084103794,0.004244099115952982,0.05339888327316607,1.5360190276242252,0.6818955053655943,1.0157071794765584,0.7663782875336219,0.1605168449547365,1.3300735165984234,9,0.11249554638920442,0.08379703999048255,0.67151640209086,0.6759155820888852,0.9673666161675031,0.0026464651175158475,51200,0.6749134638555904,1.0171834707465424,0.3690063751592797,3.9699823773492393,2304,8192,4608,66304,0.625006600329741,0.9079735582659942
225,0.7510393239999757,0.1886120781906394,0.03177567690128126,0.13857735480208952,0.005213092103391156,0.056002067862295335,1.6034433540315534,0.6543998666755919,0.9960390751759731,0.7461177041168814,0.1348486528146564,1.4649221694130798,10,0.09920354444644261,0.07215632195125429,0.6815952216486414,0.6528981713622486,0.9644500254541002,0.002724089417220488,57600,0.612127228882524,1.0228948101140487,0.358491352679763,4.810403156376648,2560,9216,5120,74496,0.625006600329741,0.9079735582659942
250,0.8335214969999925,0.18288150064029612,0.027713837559922586,0.14050660644549617,0.005055781073765279,0.05965687725234159,1.6631443147186276,0.6288176994756847,0.979098735479959,0.7289392503257288,0.11940192137414818,1.584324090787228,11,0.09731234713800141,0.06323333514729225,0.7392744103392298,0.6765699118074249,0.9675581530196002,0.0027213257859443575,64000,0.6008524812688636,1.0119730177471478,0.358491352679763,4.4282857022457485,2816,10240,5632,82688,0.625006600329741,0.9079735582659942
275,0.913620839000032,0.17519993473721476,0.02334936600190163,0.14568028433136126,0.0047729344437942,0.05930485431433692,1.7155820849484702,0.6052517642055876,0.9648252334131779,0.7143409174327643,0.10487554045968528,1.6891996312469133,12,0.09184930642735947,0.057697991126771056,0.740025467598179,0.698070061363146,0.9704780118167678,0.0026661492894600554,70400,0.613207898495748,0.9666726535066499,0.358491352679763,4.843811878570509,3072,11264,6144,90880,0.625006600329741,0.9079735582659942
300,0.9952332909999768,0.16077709465829254,0.01774557593294935,0.14542799874401577,0.004956676409513858,0.056900903935132294,1.7583945736786515,0.5836443915912187,0.9557240437770527,0.702236990953077,0.08562497746036268,1.7748246087072759,13,0.0808569421292044,0.04660839396929447,0.7548244013877866,0.7562697541162282,0.9767829072084747,0.0023230707275080868,76800,0.6718026492712282,1.0379151860852331,0.3588554171073318,4.843811878570509,3328,12288,6656,99072,0.625006600329741,0.9079735582659942
325,1.0749978920000558,0.14956252054829253,0.017877700790584518,0.1354863682344478,0.005275164609763734,0.052391838359690204,1.7985114206869157,0.5628455536729541,0.9487118978107807,0.6899311278293494,0.08023369401652847,1.8550583027238043,14,0.09716432953833172,0.045259104684671085,0.9182220501323779,0.7549522321882298,0.9765878430029241,0.002461540467766197,83200,0.6913646013393915,1.0621450742402354,0.369851871292652,4.863178581528136,3584,13312,7168,107264,0.625006600329741,0.9079735582659942
350,1.1631993070000135,0.14362531471545725,0.016993603700160294,0.13502109119540073,0.005742952070430044,0.04969076254000636,1.8342764432805159,0.5431743471514053,0.9445602030795816,0.6779890064884971,0.0715300451872003,1.9265883479110046,15,0.09678842651248647,0.043328282254257805,1.0495597802088534,0.787616935418902,0.9802923879775496,0.0027342981989599375,89600,0.6911321756706864,1.0218636952863354,0.38209663294012375,4.863178581528136,3840,14336,7680,115456,0.625006600329741,0.9079735582659942
375,1.2537197760000254,0.13782903879926584,0.016451799762075277,0.13102672516285965,0.006286845688563851,0.048743641235887196,1.8659480745037076,0.5243981167332512,0.9430697832511595,0.6665840255118816,0.06334326244638344,1.989931610357388,16,0.09783216084444968,0.040452478409770544,1.143468561838398,0.7772887842588062,0.9789971725390622,0.0024106240125503107,96000,0.6963304348743932,0.9884999486317801,0.38209663294012375,4.234612837833594,4096,15360,8192,123648,0.625006600329741,0.9079735582659942
400,1.3416338399999859,0.1333176747006395,0.015532924890326486,0.13309021568752977,0.005750989498663568,0.04725658467795556,1.896156679615392,0.5068223031907721,0.9410305524786169,0.655990464715219,0.060417210223368545,2.0503488205807567,17,0.08415382866240555,0.04241968180911597,0.9493425004562536,0.7484547095567111,0.9764152446805446,0.0031132393272765447,102400,0.6861367203917942,1.0065132898009788,0.3196037367433048,4.2714488209256505,4352,16384,8704,131840,0.6033695791105848,0.9186688370903072
425,1.435525804000008,0.1262702635973434,0.013440146584091242,0.13310621340314976,0.006115279332279094,0.04549927375597981,1.9212355599048057,0.49042638568285596,0.9419677104668053,0.6463703439455332,0.0520320765552042,2.1023808971359608,18,0.05269058893091948,0.035237346968990044,0.5686823391100368,0.7463162771261126,0.9760817765254378,0.0029795017407539294,108800,0.7172444596246977,0.9716517587979283,0.3196037367433048,4.156067919587563,4608,17408,9216,140032,0.6033695791105848,0.9186688370903072
450,1.6204410440000174,0.12323775360245702,0.014995629835162543,0.1292226767362507,0.005439102514977827,0.043304764886065494,1.9493985259966733,0.47461565210844425,0.9394660844244899,0.6365197374703927,0.05632593218373522,2.158706829319696,19,0.08397623200645618,0.04105978033767553,1.032302886200292,0.7052246940153889,0.9719465011985104,0.0036513873899071984,115200,0.686664175899601,1.0529277581971166,0.27713331887604387,4.319934476323334,4864,18432,9728,148224,0.6033695791105848,0.9186688370903072
