step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,weight_physics,weight_initial,weight_boundary,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.028629984999952285,0.4910313374042135,0.10125467412466378,0.31960547722381305,0.07287420963237111,1.0010371277875034,0.9889253689990103,1.0100375032134863,0.02214926200197942,0.02214926200197942,1,0.047674232817931345,0.029467480656370955,0.030415761942251734,1.0,1.0,0.0013020833333333333,192,192,0,384,768,nan,nan
10,0.1298793839996506,0.36737877788512957,0.02186839803143335,0.3042548736652931,0.03705157000565862,0.9639878898136809,1.0136867997908041,1.022325310395515,0.07409847594764507,0.09624773794962449,2,0.13508063399118259,0.032871885352130134,0.08457458614061408,0.961070817271331,0.9968455559961032,0.0016548057290389903,1920,384,768,768,3840,nan,nan
20,0.2128188950000549,0.355507320587266,0.003806867683254153,0.2845581456085709,0.0533036125289795,0.8967550281430853,1.0377437130490825,1.065501258807832,0.1344657233411911,0.2307134612908156,3,0.11045405428800743,0.021676614181854997,0.37039029799449547,0.8100217576216177,0.9815396904780277,0.002545207194501265,3840,576,1536,1152,7104,nan,nan
30,0.2854393039997376,0.35932191114822765,0.0040490304154060675,0.2867452908658716,0.04736305218246736,0.841376900669829,1.0597117538291612,1.09891134550101,0.11075625494651287,0.34146971623732847,4,0.09399224828032665,0.01949721159192733,0.28765865558333287,0.7931377001717382,0.9792148790846371,0.002316627837147926,5760,768,2304,1536,10368,nan,nan
40,1.0591000399999757,0.3513269442730549,0.007261935215585752,0.2779667143162129,0.04150009797009919,0.8048124116347235,1.0757626282723278,1.1194249600929487,0.07312897807021079,0.41459869430753926,5,0.12203584203011683,0.02604225347910076,0.23903333335524493,0.7784151961629214,0.9754216357305534,0.0021342728064228968,7680,960,3072,1920,13632,0.8823252952185023,1.0712710996048673
50,1.1442499400000088,0.3369297601824514,0.003032048457114156,0.26223092336639753,0.04224873959604834,0.762779149772543,1.091439368420876,1.145781481806581,0.08406652372436108,0.49866521803190034,6,0.09484125134278251,0.022764430062016595,0.04976807552534618,0.920288235510716,0.9924560690384018,0.0019070540311430587,9600,1152,3840,2304,16896,0.8823252952185023,1.0712710996048673
60,1.2138118230000146,0.31459394531487395,0.003923690739410368,0.24304428983595147,0.037594803702358556,0.7335291231990213,1.1025010596977523,1.1639698171032264,0.05850005314704332,0.5571652711789437,7,0.10010452124599672,0.027189097964889955,0.16147162429929976,0.8708345783356921,0.9884608780637426,0.002287264295385111,11520,1344,4608,2688,20160,0.8823252952185023,1.0712710996048673
70,1.3057504329999574,0.2813866836610662,0.005493152446231493,0.21689894251615577,0.03167185272633861,0.7199082499168512,1.1079231877943259,1.172168562288823,0.027241746564340197,0.5844070177432839,8,0.11170498859346822,0.03385560123308403,0.2603792355916395,0.8618745204411996,0.9871153563746241,0.002281327702870683,13440,1536,5376,3072,23424,0.8823252952185023,1.0712710996048673
80,1.3974195839996355,0.24192084472834896,0.012530288457846575,0.18377755174660992,0.026086137418945006,0.7319414870796928,1.1007861237013135,1.1672723892189938,0.024066474325683096,0.608473492068967,9,0.1303337279741884,0.05419781270338997,0.5279819411785789,0.6880291309158214,0.9662699265707777,0.0032328342569166524,15360,1728,6144,3456,26688,0.7801078870685265,1.17293034377051
90,1.4781253910000487,0.20648693929496703,0.022285545338497425,0.15478516247366036,0.018996368582779213,0.7722358941556109,1.0822528795103348,1.1455112263340543,0.08058881415183627,0.6890623062208032,10,0.14318193171729207,0.08604183313494358,0.5657457836688963,0.7286976443297212,0.9715675002723916,0.00301764554547319,17280,1920,6912,3840,29952,0.7801078870685265,1.17293034377051
100,1.5487936309996257,0.18758608842906868,0.04209774424558088,0.131914782134898,0.012091241023508907,0.8444499032718271,1.051324100812807,1.1042259959153657,0.14442801823243268,0.8334903244532359,11,0.15141015804915825,0.13449142414417722,0.4791333220899462,0.7431573598122965,0.9753901382487875,0.0034458989459691457,19200,2112,7680,4224,33216,0.7801078870685265,1.17293034377051
110,1.624650316000043,0.18084099738734533,0.051410475464927795,0.12254774158323806,0.007911572164647482,0.9246434246024293,1.0196197811929546,1.0557367942046159,0.1603870426612044,0.9938773671144403,12,0.1746725531864462,0.1642490633246572,0.6178331496691708,0.7393700606772454,0.9750528854621071,0.003157235810621508,21120,2304,8448,4608,36480,0.7801078870685265,1.17293034377051
120,1.7229519869997603,0.18279656561142715,0.05740190176581484,0.11998773940964635,0.006613743576050204,1.0006558139142936,0.989061629946195,1.0102825561395112,0.15202477862372854,1.1459021457381688,13,0.17752421305150695,0.17774876059579958,0.643417157634887,0.688376407591421,0.9679105889902706,0.0038082399467381134,23040,2496,9216,4992,39744,0.6387708176476454,1.0985073895667925
