id,problem,variant,seed,reused,relative_l2,max_abs_error,q95_abs_error,q99_abs_error,model_sha256
block_missing__m5__11,block_missing,m5,11,False,0.524535841588144,1.0151024555087456,0.7288351538312599,0.9063787610585567,cbc037d255f6cd7f861eb5833ccebfee3d3218775168a0ebaac1c5ab8e1d1366
block_missing__m6__11,block_missing,m6,11,False,0.5179577058721501,1.033744301753206,0.7166499126185418,0.9110751141816645,d5a38a78ef66c247404e70660e801f40564ec81b1225886176d95bde366bf581
block_missing__m7__11,block_missing,m7,11,False,0.4502415969275805,1.0343455141970954,0.6187773583187006,0.8706772920317658,c95ab8a0f8e5ee7620c4aad2a8d8a469eb21650075105666bf6970ac2c21bd0e
block_missing__vw__11,block_missing,vw,11,False,0.49933646073270715,0.9830462573218703,0.6992356526711156,0.8704229272053501,5fedccab62f0eb5d25dd4611bb9b7ecae29428f86cbb1b2feb36e455aae655e1
sparse_clean__m5__11,sparse_clean,m5,11,False,0.5464809108414229,0.9837574146587114,0.7442853529848681,0.8848842159917356,a3cc2b239d301ab4fe5c4133ffebc107975498c5615d7358b16947c3c3733d67
sparse_clean__m6__11,sparse_clean,m6,11,False,0.5389629057907372,0.9906430447960162,0.735985805470101,0.8768072173673599,caf77d3e17db524ae1a7ea8c4a9f5d594fbc38ecf975ad94b4a97d719acf58be
sparse_clean__m7__11,sparse_clean,m7,11,False,0.5033887028190412,0.9700944354329949,0.6989476580486752,0.8802018731962458,3080af9a0ee24414f7fb2689f2c2f854ffedea7234154ac13db14f7a6e177421
sparse_clean__vw__11,sparse_clean,vw,11,False,0.5208782032410079,1.051678272084579,0.7161474526845883,0.9144100066864852,e975a054e5db852b435760328ddf1e2c2504fc4ae0861462a68360f6bda21335
sparse_noisy__m5__11,sparse_noisy,m5,11,False,0.5356581306600272,1.0251927247453396,0.7306842391033421,0.8939063376363658,cc810d8f0735a68a0b266cc31c6659ef4bfc084b4cccd20b033903d5e082f90b
sparse_noisy__m6__11,sparse_noisy,m6,11,False,0.5340615882824257,1.0285420535691243,0.7286822293700813,0.8964157814672974,efd563d1594227717581baf172441e4325ccbbbac6dc1f279973b873031ec76a
sparse_noisy__m7__11,sparse_noisy,m7,11,False,0.4934936337760957,1.0012493518899679,0.6965976151990444,0.869135689695864,a41bbf8ac76d5ce0ff0236a134efaf5ae86924fdffd49c2f33d4700274687317
sparse_noisy__vw__11,sparse_noisy,vw,11,False,0.5158823634914376,1.0382544595719378,0.7171810368294526,0.8904195415881451,a1fb323f6d469c4c101830362d14f32a8db8180ab2ce9dd635af16f5f2c0b65e
extreme__m5__11,extreme,m5,11,False,0.5633072343988791,0.9706565139060664,0.7370601028379995,0.8778277862952144,13aa5ab40c07fd1fd8e48fabba89ab3808dda0b8ba76d91c7881d264d4f5e95c
extreme__m6__11,extreme,m6,11,False,0.5706170588399965,1.0497223657789827,0.7580920235687879,0.937118047796324,57efd71e8a8f273885b4cbbdec7dcffe8b2096cfd20757af6603c1ef9788df3f
extreme__m7__11,extreme,m7,11,False,0.5584156972157205,1.0067300249148847,0.7153191350724499,0.8834157471717813,48a22da69284f2b51801a5a03e64b37e16d3053d6b3c19a59af576028d8356c5
extreme__vw__11,extreme,vw,11,False,0.548490498051515,1.014178483663232,0.7281319073581636,0.8977461017894538,7ea51f02ed90901f9e2aa294042181a679227003c0b9fbf11212ef76762363d7
block_missing__m5__22,block_missing,m5,22,False,0.5168444586715799,0.9765353702661814,0.7249525629322077,0.8788739152209419,0bbda801161fc42eea5bef32a5bfaa8ee93e3047a3f587964b598bd8aab7efc4
block_missing__m6__22,block_missing,m6,22,False,0.529589960762264,1.0024056070609986,0.7412973838526573,0.893393909903403,7b8b344a8da16be83c299bdbe247560d28e25ba487a8594fde8fb6d8bf65b897
block_missing__m7__22,block_missing,m7,22,False,0.4814834436842516,0.9621537200520341,0.6886532969955421,0.8612418368726439,9bc785adb1821bd3e59e813a2438c12d687a423760da036e67d0f3072c4f88e6
block_missing__vw__22,block_missing,vw,22,False,0.520336444175117,1.0164371088061621,0.7317472561884439,0.8990107188763244,fe400ac8f3966319739cee890eae4b2d759e9f477d405a012e0b58b39d85e5e1
sparse_noisy__m5__22,sparse_noisy,m5,22,False,0.5176349422302757,0.9897796004565181,0.7097452561278986,0.8686697374499447,85e25a2a9612dfd30f8727053a4c0a729af1d1e12ffde522777375bee41c4b04
sparse_noisy__m6__22,sparse_noisy,m6,22,False,0.5076485195413202,0.9878986998784178,0.6936016008520803,0.8604104326403355,0e26945b9e6599549fe4f54db3dd806687d7e7f035f941eb95a8cd14398522ef
sparse_noisy__m7__22,sparse_noisy,m7,22,False,0.40261413932694745,0.8390746742662537,0.5452805613179873,0.6828687062825443,3166003f76cbc4ebef0956356cc99912b5b4b41cddb2148c265502883e93625b
sparse_noisy__vw__22,sparse_noisy,vw,22,False,0.5020867572753197,0.971257348093304,0.688629745480489,0.8571424558943561,5147bc1061684a1f3de8f180b0513879f628d2234f7d6d1da36d488c0ce37b62
sparse_clean__m5__22,sparse_clean,m5,22,False,0.5094272730465992,0.9471528941792051,0.7095666613240094,0.8651831367474008,aa248e0218e37d12014257e82fedeac7c8237f68fdfb47b7777b5ebc054f6eea
sparse_clean__m6__22,sparse_clean,m6,22,False,0.5095034970139928,0.9440800138013835,0.7023556935595685,0.8634388631408028,dcf61bdff840321e0a46f4267fcccef2f1694c279c8dee6f4e02003b11050bb7
sparse_clean__m7__22,sparse_clean,m7,22,False,0.41103551771406505,0.8841154662855103,0.5473981806393169,0.7455321917678419,a14691dc8658b58c5a2a9ab923da5bda19eac1a4b303c9636dbb9faccc4ad374
sparse_clean__vw__22,sparse_clean,vw,22,False,0.5065809648593379,0.9496960410632478,0.7033858054632622,0.8625676958967535,4cb4aa41707ea710a5b4909510a1e4c4933c808b997c602c1508e68d712ae3be
extreme__m5__22,extreme,m5,22,False,0.5582088289085532,0.979306682968933,0.7502822553631843,0.8898601315032921,92cc35f5dfb604df027788094e1f6624768f6347558ae1bdbef39933554a1124
extreme__m6__22,extreme,m6,22,False,0.5797281435858954,1.0262472767189492,0.7594557719822114,0.9139658532871113,0a233d71695fb2f18b1db4c6f32e04fb40367be96fbae79400ecd4edbd7bf12e
extreme__m7__22,extreme,m7,22,False,0.5529378897387751,1.0137658597792127,0.7495487632533226,0.9059998202234103,ef5abe5f5f971b17f4e790a8083432c16b718614a707869b8e79e27de4c077d4
