step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.03519995899978312,91.83212493490511,96.15717876947068,nan,0.01856919329151344,nan,0.9548191611361382,nan,1.0451808388638617,nan,0.09036167772772352,0.09036167772772352,1,0.0029818072616010494,8.058468397756211e-05,0.059924273370840185,1.0,1.0,0.00048828125,512,1.0,1.0,1.0,1.0,0,512,0,1024,2048,nan,nan
50,0.4587172759997884,23.20666569162933,20.7824658723301,nan,4.521385154901038,nan,0.8710303840166055,nan,1.1289696159833944,nan,0.08164364988067285,0.2579392319667889,3,0.036549915068479585,0.02892039410185103,0.17642627147098783,0.7676632373496497,0.9805673222963752,0.001329710737806329,25600,1.0,1.0,1.0,1.0,0,1536,4096,3072,34304,nan,nan
100,0.875085092000063,9.790588537958648,9.590543957341417,nan,1.79493289400854,nan,0.7954120208878864,nan,1.2045879791121132,nan,0.073677708787241,0.4091759582242268,5,0.0027265406423609972,0.05706927197184647,0.044405499626382135,0.7453617022860279,0.9780192430927338,0.0015079622051841516,51200,1.0,1.0,1.0,1.0,0,2560,8192,5120,67072,nan,nan
150,1.3522610350000832,5.619166848881151,6.238576308567872,nan,0.8505774903596397,nan,0.7271738544042218,nan,1.272826145595778,nan,0.06648810804833172,0.5456522911915561,7,0.12755258295829963,0.06669971555645382,0.33778496600138797,0.7615499083423002,0.9792785802953051,0.0014871882392000573,76800,1.0,1.0,1.0,1.0,0,3584,12288,7168,99840,nan,nan
200,1.7829192829999556,1.9896984005388518,2.7922233705171875,nan,0.09827688091199333,nan,0.6656199912039292,nan,1.3343800087960704,nan,0.05996158919367145,0.6687600175921412,9,0.008226936506435106,0.007386585521742924,0.14292126225666796,0.7823484838040458,0.9818649954575288,0.0016091692009949361,102400,1.0,1.0,1.0,1.0,0,4608,16384,9216,132608,nan,nan
250,2.21617218900019,0.6962953302839417,0.9132499978555779,nan,0.10012528516423815,nan,0.6100475759906745,nan,1.3899524240093253,nan,0.05415080371919245,0.7799048480186508,11,0.038282194091342286,0.05755138053339458,0.03120440782454229,0.7414730302583717,0.9789915121054547,0.0019526594532003243,128000,1.0,1.0,1.0,1.0,0,5632,20480,11264,165376,nan,nan
300,2.6484890870001436,0.41859070662482556,0.6380497500232251,nan,0.04260006311646722,nan,0.5598971461783591,nan,1.440102853821641,nan,0.048864103007492554,0.8802057076432819,13,0.015623867817378442,0.05612698386659793,0.3742884317458995,0.7336977025447274,0.9774526143647483,0.0018184117021195875,153600,1.0,1.0,1.0,1.0,0,6656,24576,13312,198144,nan,nan
350,3.0791117620001387,0.3004582999981133,0.5009088339226323,nan,0.028727542457001706,nan,0.5146396510752009,nan,1.4853603489247988,nan,0.04409640285322791,0.9707206978495979,15,0.06251739704792697,0.05168801224774545,0.8532895857226127,0.7209867134595762,0.9761352471911346,0.0020035559166379814,179200,1.0,1.0,1.0,1.0,0,7680,28672,15360,230912,nan,nan
400,3.6687304090000907,0.2019587522569673,0.3528944932816144,nan,0.022775705979690697,nan,0.47379109070377495,nan,1.5262089092962248,nan,0.03979868316526852,1.05241781859245,17,0.019723093414397236,0.0550120837192091,0.5171250037172196,0.725506859383911,0.9771484586383068,0.0018133530653343002,204800,1.0,1.0,1.0,1.0,0,8704,32768,17408,263680,nan,nan
450,4.406941579999966,0.11788365233692794,0.19946007044105044,nan,0.019663029618856173,nan,0.43692372655289224,nan,1.5630762734471073,nan,0.03592388918911843,1.1261525468942153,19,0.07215976811163283,0.05543527658988501,0.9600842468341065,0.7483879716856325,0.9790794751013014,0.002107805515766397,230400,1.0,1.0,1.0,1.0,0,9728,36864,19456,296448,nan,nan
500,5.160462241999994,0.08166160215879839,0.13814651911656967,nan,0.01622377310337625,nan,0.40364950397951493,nan,1.5963504960204846,nan,0.03242330534614446,1.19270099204097,21,0.0661934867545068,0.05469495203703356,0.1460306540053016,0.7479589380300332,0.9789285833012291,0.0017660261381379889,256000,1.0,1.0,1.0,1.0,0,10752,40960,21504,329216,0.15862511597639514,0.3586636519726074
550,5.92868228899988,0.06138738854588513,0.0991935855840886,nan,0.014957786582474823,nan,0.3736156806719737,nan,1.6263843193280259,nan,0.029264172359253493,1.2527686386560524,23,0.09417407128900962,0.045996891630830275,0.03488317674052121,0.7856719118484208,0.982601999070167,0.0019316069416466532,281600,1.0,1.0,1.0,1.0,0,11776,45056,23552,361984,0.15862511597639514,0.3586636519726074
600,6.695352047000142,0.05371547658439563,0.08648943694785871,nan,0.014361257753661729,nan,0.3465075835310005,nan,1.653492416468999,nan,0.026413415421005504,1.306984832937999,25,0.1244957127261167,0.056536697412697484,0.3160009587679888,0.7593014942715731,0.9802596560845456,0.0018325802884256175,307200,1.0,1.0,1.0,1.0,0,12800,49152,25600,394752,0.15862511597639514,0.3586636519726074
650,7.430379840000114,0.04765277278890808,0.07458492670772494,nan,0.014084600912265561,nan,0.322040761073707,nan,1.6779592389262925,nan,0.023839552876548598,1.355918477852586,27,0.03117077147873846,0.05737865678440794,0.9067416296342384,0.7924186539008087,0.9830617237534953,0.0016742392753407447,332800,1.0,1.0,1.0,1.0,0,13824,53248,27648,427520,0.15862511597639514,0.3586636519726074
700,8.166758020000088,0.04259513474870046,0.06335287555590782,nan,0.013877254150773458,nan,0.2999583638501499,nan,1.7000416361498494,nan,0.02151658329287509,1.4000832722996996,29,0.051077024540701545,0.048772701089403445,0.30673198005784935,0.7849957955768719,0.9824675349962143,0.0016996749201655887,358400,1.0,1.0,1.0,1.0,0,14848,57344,29696,460288,0.15862511597639514,0.3586636519726074
750,8.917747627000153,0.038559155469132994,0.0566458051208153,nan,0.013196001389054897,nan,0.280027794052598,nan,1.7199722059474012,nan,0.01941933633902121,1.4399444118948033,31,0.016941216564332166,0.0499427546848676,0.7993392698909645,0.7771607651478609,0.9814184349150181,0.0015739555202783943,384000,1.0,1.0,1.0,1.0,0,15872,61440,31744,493056,0.15862511597639514,0.3586636519726074
800,9.70926488699979,0.036105502124884246,0.051501187453604144,nan,0.013009606105922847,nan,0.2620388552481789,nan,1.7379611447518204,nan,0.01752808623835278,1.4759222895036417,33,0.03856643841376794,0.06356642297578169,0.40974083296722247,0.8063482482120059,0.9839931878986826,0.0016399988502783704,409600,1.0,1.0,1.0,1.0,0,16896,65536,33792,525824,0.15862511597639514,0.3586636519726074
850,10.46822685799998,0.033550389712714256,0.04689042808399481,nan,0.012555373674724028,nan,0.24580250442205298,nan,1.7541974955779462,nan,0.01582053360199398,1.5083949911558934,35,0.06583269310168216,0.07509583666116865,0.3072976934004741,0.7753845443048442,0.9813308960290603,0.0017981296042782467,435200,1.0,1.0,1.0,1.0,0,17920,69632,35840,558592,0.15862511597639514,0.3586636519726074
900,11.262195233000057,0.03139435741210719,0.04308257482034788,nan,0.01211853089258498,nan,0.23114860719209507,nan,1.7688513928079042,nan,0.01427855272269879,1.5377027856158092,37,0.02295437000412362,0.07480582802271821,0.54204223916962,0.7956739913441481,0.9830520757848378,0.0016432088587689398,460800,1.0,1.0,1.0,1.0,0,18944,73728,37888,591360,0.15862511597639514,0.3586636519726074
950,12.002640091000103,0.029263739438193936,0.0392373326181424,nan,0.011622971906282344,nan,0.21792268480959895,nan,1.7820773151904006,nan,0.012886757597315335,1.5641546303808016,39,0.04026661503906658,0.06998142745452667,0.44368356033948664,0.7788017597393642,0.9817121327920529,0.0018349021920370024,486400,1.0,1.0,1.0,1.0,0,19968,77824,39936,624128,0.15862511597639514,0.3586636519726074
1000,12.786109894999754,0.027309903968676885,0.03490014580309013,nan,0.011215602433562837,nan,0.20598662281275748,nan,1.7940133771872422,nan,0.011629790590461292,1.5880267543744846,41,0.026202363500487977,0.04972459686531018,0.639075173220329,0.7767299076187045,0.9812397310814076,0.0016014472134351244,512000,1.0,1.0,1.0,1.0,0,20992,81920,41984,656896,0.12201958199611082,0.30126102021152684
1050,13.5832304380001,0.025729601069629286,0.030333980160896643,nan,0.010975261170732342,nan,0.19521326437377728,nan,1.8047867356262224,nan,0.01049761447272099,1.609573471252445,43,0.04655514762016398,0.05495713621604936,0.39310209291463144,0.7870240885052775,0.982199163588438,0.0015605943292869668,537600,1.0,1.0,1.0,1.0,0,22016,86016,44032,689664,0.12201958199611082,0.30126102021152684
1100,14.32032167699981,0.02555746638522373,0.034246195121070994,nan,0.010584211054426905,nan,0.1854892752868125,nan,1.8145107247131873,nan,0.009474990210759426,1.6290214494263746,45,0.028356474264981463,0.09391760319102843,0.33446908328175223,0.7729920889847006,0.981293355719456,0.0017103787605864669,563200,1.0,1.0,1.0,1.0,0,23040,90112,46080,722432,0.12201958199611082,0.30126102021152684
1150,15.05459545299982,0.024233525641540167,0.03173324720554997,nan,0.010215525146238039,nan,0.17671365670505734,nan,1.8232863432949424,nan,0.008551318874849001,1.6465726865898849,47,0.04412215892209739,0.09002270144171988,0.17986808035280347,0.7601444129589071,0.9798200999434704,0.0017556660186548996,588800,1.0,1.0,1.0,1.0,0,24064,94208,48128,755200,0.12201958199611082,0.30126102021152684
1200,15.78797141799987,0.022829759754240245,0.02648444313481274,nan,0.010025835297643173,nan,0.16879247542917689,nan,1.8312075245708228,nan,0.007718648717959048,1.6624150491416456,49,0.05249528786373774,0.08042327753042,0.3435608581836906,0.7585482198473021,0.9800785899576744,0.0018571013532343965,614400,1.0,1.0,1.0,1.0,0,25088,98304,50176,787968,0.12201958199611082,0.30126102021152684
1250,16.515760196999963,0.02230641278060444,0.028120347129736732,nan,0.009661319888214528,nan,0.16164302512450987,nan,1.83835697487549,nan,0.006966173376336066,1.6767139497509798,51,0.06092668126456842,0.10422992790472707,0.026452065784989515,0.7733087381856916,0.9814914880861075,0.0016182184408202452,640000,1.0,1.0,1.0,1.0,0,26112,102400,52224,820736,0.12201958199611082,0.30126102021152684
1300,17.260107283999787,0.021776726545266967,0.029641761947266927,nan,0.00931077674493074,nan,0.1551903670188562,nan,1.8448096329811436,nan,0.006287316670403609,1.689619265962287,53,0.059863436602796534,0.12684760670580653,0.1282193298272206,0.7310331638066246,0.9777350954882197,0.002096345338811937,665600,1.0,1.0,1.0,1.0,0,27136,106496,54272,853504,0.12201958199611082,0.30126102021152684
1350,18.030373526999938,0.020696016708470218,0.027891671863813187,nan,0.008932038064661259,nan,0.1493668395258969,nan,1.850633160474103,nan,0.0056737134027526614,1.7012663209482057,55,0.08748819610740502,0.11768459893635196,0.16841507269019362,0.741291251013938,0.9792014333958097,0.0021038900987762075,691200,1.0,1.0,1.0,1.0,0,28160,110592,56320,886272,0.12201958199611082,0.30126102021152684
1400,18.77176598899996,0.01954758452587014,0.024966386288704658,nan,0.008594069674629628,nan,0.1441118708016254,nan,1.8558881291983744,nan,0.0051195436322336585,1.7117762583967484,57,0.04395118629874417,0.08690956392018159,0.06019798967751121,0.7500134360428684,0.9794461293547199,0.002288827590579699,716800,1.0,1.0,1.0,1.0,0,29184,114688,58368,919040,0.12201958199611082,0.30126102021152684
1450,19.50574288400003,0.018671120387061684,0.02260116999708778,nan,0.008341915241804011,nan,0.13936842686096695,nan,1.860631573139033,nan,0.004621753841047821,1.7212631462780654,59,0.07298324885947793,0.10209002615244966,0.07849623680310047,0.7426600082337245,0.9787457665942335,0.002020530848662361,742400,1.0,1.0,1.0,1.0,0,30208,118784,60416,951808,0.12201958199611082,0.30126102021152684
1500,20.26279972300017,0.017998557969936133,0.023757801816799123,nan,0.007930213972639509,nan,0.1350888111131909,nan,1.864911188886809,nan,0.004168995982426177,1.7298223777736177,61,0.051542270870890486,0.07950383079933993,0.06016146521941029,0.74149588694006,0.9788534750271304,0.002108548924060934,768000,1.0,1.0,1.0,1.0,0,31232,122880,62464,984576,0.10331415569838424,0.24258907630897875
