step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.05387993800013646,84.02788032462486,87.97221440247174,nan,0.02373935012230728,nan,0.9548818393314121,nan,1.045118160668588,nan,0.09023632133717585,0.09023632133717585,1,0.0091782665623859,0.00019920615820770692,0.020085107159219424,1.0,1.0,0.00048828125,512,1.0,1.0,1.0,1.0,0,512,0,1024,2048,nan,nan
50,0.7806477359999917,23.028718294078757,22.8401661338841,nan,2.7748976338791453,nan,0.8711033707979612,nan,1.1288966292020388,nan,0.08163435937263908,0.25779325840407763,3,0.06515699948142939,0.01331389489854471,0.2003127179478545,0.7806213851829022,0.981287659831576,0.0012976474939416487,25600,0.7071524888088667,0.9950046354365082,0.3762818887869378,4.399855526887157,0,1536,4096,3072,34304,nan,nan
100,1.5377258230000734,10.134679205630272,9.938066469688689,nan,1.850590289334011,nan,0.7954890355769935,nan,1.2045109644230065,nan,0.07367180209982349,0.40902192884601307,5,0.0936107169904341,0.09022837348346083,0.09447163202792817,0.7413885282126953,0.9783081993489845,0.0015003720585923751,51200,0.6450485032355966,1.0469259716137882,0.33696047173689975,4.999529378568838,0,2560,8192,5120,67072,nan,nan
150,2.277630830000362,4.5494097665385205,5.3770142624628265,nan,0.5019845819725601,nan,0.7272654393843294,nan,1.2727345606156706,nan,0.06646736847561863,0.5454691212313412,7,0.05945160159049562,0.03936149113602993,0.0037627323484080884,0.7636630818427781,0.9799113556164116,0.0015825572470919485,76800,0.6932165406735088,1.0446570292110486,0.30853939147999127,4.88339177166961,0,3584,12288,7168,99840,nan,nan
200,3.050500863000252,0.8315040119087538,0.8935153487450767,nan,0.1773781954382528,nan,0.6657211105873025,nan,1.3342788894126973,nan,0.06000642404898182,0.6685577788253948,9,0.01684130065740158,0.04924790848732308,0.16472157332270526,0.7765093480718561,0.9816889286680207,0.0016791243420229466,102400,0.73452137890894,0.9714825517585347,0.31855587777506483,3.880820742995492,0,4608,16384,9216,132608,nan,nan
250,3.8171257190001597,0.24855639174456676,0.3372826978470272,nan,0.03076637653160785,nan,0.6101588257314858,nan,1.3898411742685142,nan,0.054135895473802154,0.7796823485370283,11,0.05751862148083242,0.0563977242472082,0.5652974700729578,0.7643661339437033,0.9803840726486566,0.0016068212266126258,128000,0.7118880390833603,0.982460484270941,0.22299925488898445,4.917178827293478,0,5632,20480,11264,165376,nan,nan
300,4.587222229999952,0.12808892603509195,0.17801491959570723,nan,0.01972168901369373,nan,0.5600084582377401,nan,1.4399915417622597,nan,0.048862383115245156,0.8799830835245196,13,0.12651351808865757,0.06201474559457597,0.9951736949639528,0.7609169460559988,0.980092320116384,0.0017323989213215507,153600,0.6994016137401,0.9806641755424979,0.25729707118199735,4.917178827293478,0,6656,24576,13312,198144,nan,nan
350,7.316294982000272,0.08832371653713833,0.12973595371054056,nan,0.014504053583055626,nan,0.5147499026346369,nan,1.485250097365363,nan,0.044098500502528726,0.9705001947307261,15,0.08164043946920715,0.06436669720586287,1.0068908905677447,0.7564894065631984,0.9794590011549873,0.0018745573083414212,179200,0.6893395155261508,1.0246102487783482,0.260478166139409,4.4635942593830675,0,7680,28672,15360,230912,nan,nan
400,8.275656942000296,0.07484847024267595,0.11557725237633164,nan,0.013155196080178342,nan,0.4739025932263208,nan,1.5260974067736794,nan,0.039799691716721985,1.0521948135473587,17,0.03895810867461014,0.06584782235179124,1.0237596101151825,0.7490122224668423,0.9792527966420926,0.0017816831010514888,204800,0.7081969944719629,0.9965691852168411,0.260478166139409,4.895251294091281,0,8704,32768,17408,263680,nan,nan
450,9.461808091999956,0.06382106427782692,0.10219277850290481,nan,0.012258252074436381,nan,0.4370352709892344,nan,1.562964729010766,nan,0.03592081356334059,1.1259294580215315,19,0.013621960392561243,0.06983661660838811,0.5445303657641525,0.7673000458413133,0.9811696650991948,0.001757097255850369,230400,0.6983734210126623,1.0048498269952844,0.2744577138937194,4.895251294091281,0,9728,36864,19456,296448,nan,nan
