step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.034062685999742826,93.59906112519151,93.56163035587926,nan,0.03705403690339684,nan,1.0,nan,1.0101671083729524,nan,0.010167108372952427,0.010167108372952427,1,0.00042174705888876635,9.036626858766907e-06,0.056136368234239044,1.0,1.0,0.00048828125,512,1.0,1.0,1.0,1.0,0.9999906670192017,1.0054582277676651,1.003668724289408,1.009,17.018153088325285,1,0,0,0,1024,1536,nan,nan
50,0.8112686849999591,31.39844098121583,26.302876695254685,nan,4.245369757452775,nan,1.0,nan,1.2002639527489565,nan,0.000844609852583833,0.20026395274895648,50,0.012976740109271523,0.016699078688062224,0.2073983089470038,1.0,1.0,0.00048828125,25600,1.0,1.0,1.0,1.0,0.9770016828097645,1.1431084816471153,1.0757486843790542,1.4199692580928376,2.5189049343608128,50,0,0,0,3072,28672,nan,nan
100,1.6779028599999037,12.196149764655196,9.568275097391801,nan,2.14065547977928,nan,1.0,nan,1.2276028030135666,nan,0.00039871631847088196,0.2276028030135666,100,0.021941076733869164,0.016444523679358156,0.30463483188419316,1.0,1.0,0.00048828125,51200,1.0,1.0,1.0,1.0,0.9802355745755166,1.2158671374009744,1.1313946008352795,1.4952524147047628,1.5323052627262541,100,0,0,0,5120,56320,nan,nan
150,2.5394422589997703,4.294008645631959,4.162655990114212,nan,0.10555136906803378,nan,1.0,nan,1.2444429350137873,nan,0.00031115446206242403,0.24444293501378733,150,0.08257662246781992,0.004276039102797866,0.10436606090653024,1.0,1.0,0.00048828125,76800,1.0,1.0,1.0,1.0,0.9766803845997232,1.2749298040547126,1.1798246689005012,1.7562964022251102,1.039324115378183,150,0,0,0,7168,83968,nan,nan
200,3.355633447999935,0.9011484244279029,0.8116404421744094,nan,0.07109607525741365,nan,1.0,nan,1.2589721996526073,nan,0.00026606851740873516,0.2589721996526073,200,0.22127266586046793,0.019854928665925475,0.2539687618899953,1.0,1.0,0.00048828125,102400,1.0,1.0,1.0,1.0,0.9731174341852231,1.3240174944751821,1.224688437227326,2.0202112387627658,0.4343083450033724,200,0,0,0,9216,111616,nan,nan
250,4.129453177999949,0.24460143562532285,0.2034728623660449,nan,0.03233347780771957,nan,1.0,nan,1.2720120459624225,nan,0.0002553298650265212,0.27201204596242246,250,0.08109444979999084,0.025413612024763034,0.08915908625652826,1.0,1.0,0.00048828125,128000,1.0,1.0,1.0,1.0,0.9704013193349208,1.3671274762596386,1.2650613116165772,2.2430231223549293,0.2060935641543053,250,0,0,0,11264,139264,nan,nan
300,4.9864674400000695,0.12079189169483887,0.08324696695057505,nan,0.029227395228215367,nan,1.0,nan,1.2845799104266027,nan,0.00024847766623170564,0.2845799104266027,300,0.1724869258698519,0.05870340825318658,0.8693983287835042,1.0,1.0,0.00048828125,153600,1.0,1.0,1.0,1.0,0.966151060917455,1.4108312679450172,1.306079687613816,2.3734320918197582,0.11167220468299985,300,0,0,0,13312,166912,nan,nan
350,5.753676713999994,0.11217376362373936,0.06950367771942836,nan,0.032904293161964054,nan,1.0,nan,1.2967938771477936,nan,0.00023935432634014653,0.2967938771477936,350,0.22584479045947728,0.0720018074676835,1.009185901741934,1.0,1.0,0.00048828125,179200,1.0,1.0,1.0,1.0,0.9627536683509784,1.4506212835342138,1.3416879570895273,2.5481340207554375,0.09021815509000188,350,0,0,0,15360,194560,nan,nan
400,6.58963076100008,0.10861772900858552,0.06233193086932473,nan,0.035375860658756614,nan,1.0,nan,1.3084006234009071,nan,0.0002241766725752381,0.3084006234009071,400,0.22913860940744865,0.08020417079428932,0.9301648985613775,1.0,1.0,0.00048828125,204800,1.0,1.0,1.0,1.0,0.9530887921266032,1.48934542361246,1.3752189410849138,2.768516278014503,0.07738816622465297,400,0,0,0,17408,222208,nan,nan
450,7.399116911999954,0.10689706897021292,0.05760783311769074,nan,0.036928281584307075,nan,1.0,nan,1.3347286615542915,nan,0.0010172599513491587,0.3347286615542915,450,0.02577638385871366,0.08915686593947006,0.7159341028997409,1.0,1.0,0.00048828125,230400,1.0,1.0,1.0,1.0,0.944191320172143,1.5270301425259576,1.4071005185279024,2.9517600292320476,0.06359688076474881,450,0,0,0,19456,249856,nan,nan
500,8.187362695000047,0.10005613643519595,0.04655312266169968,nan,0.038491699833716364,nan,1.0,nan,1.3899883352678264,nan,0.0010828427694542508,0.3899883352678264,500,0.13578394523566917,0.09828096980799109,0.33123016835556457,1.0,1.0,0.00048828125,256000,1.0,1.0,1.0,1.0,0.9294046651062247,1.5627768296133189,1.4372154420745404,3.2532747108736024,0.058326138290341965,500,0,0,0,21504,277504,0.14398143186732465,0.22355207338079391
550,8.949062109999886,0.09284461603387295,0.03528544511883476,nan,0.04001150010166518,nan,1.0,nan,1.4385656815861976,nan,0.0008545498872025714,0.4385656815861976,550,0.1947774533878865,0.1071589117035679,0.4476718097212844,1.0,1.0,0.00048828125,281600,1.0,1.0,1.0,1.0,0.9173866096856084,1.5945599143398117,1.4659694638436103,3.564477110113239,0.05255614039482699,550,0,0,0,23552,305152,0.14398143186732465,0.22355207338079391
600,9.716251806999935,0.09064186801798998,0.030456454281598593,nan,0.04016133082149649,nan,1.0,nan,1.4985911199978699,nan,0.002371158538915674,0.49859111999786987,600,0.011905995708404452,0.11183200466732027,0.9636726996909212,1.0,1.0,0.00048828125,307200,1.0,1.0,1.0,1.0,0.9117977922784167,1.6230740749296815,1.4935017546233467,3.7815769273432154,0.05390085984039933,600,0,0,0,25600,332800,0.14398143186732465,0.22355207338079391
650,10.512341647000085,0.08553124645577267,0.02030449227473876,nan,0.040159572077495376,nan,1.0,nan,1.6241894723172532,nan,0.0022783621582831426,0.6241894723172532,650,0.017785458492002665,0.11433213839010062,0.691439366270329,1.0,1.0,0.00048828125,332800,1.0,1.0,1.0,1.0,0.9064762380180725,1.6482982977549496,1.5193979737942438,3.976353033767472,0.039343650561177404,650,0,0,0,27648,360448,0.14398143186732465,0.22355207338079391
700,11.277423349999935,0.08552078050863335,0.016295062274967596,nan,0.04032403835128284,nan,1.0,nan,1.7167357502888463,nan,0.0014696884380922537,0.7167357502888463,700,0.014854755526403432,0.11890192745000247,0.8095926587612741,1.0,1.0,0.00048828125,358400,1.0,1.0,1.0,1.0,0.8939275894037197,1.6747740632234565,1.5438550073667725,4.246506613936815,0.03272129830026499,700,0,0,0,29696,388096,0.14398143186732465,0.22355207338079391
750,12.063991542000167,0.08667041328556487,0.01305961390510432,nan,0.04000787836154423,nan,1.0,nan,1.8399075980798723,nan,0.003026010455637218,0.8399075980798723,750,0.03146875839313665,0.11443578605628557,1.2349379118708748,1.0,1.0,0.00048828125,384000,1.0,1.0,1.0,1.0,0.893569839189721,1.699581234543949,1.5673566147807207,4.34959072082515,0.02986632894384182,750,0,0,0,31744,415744,0.14398143186732465,0.22355207338079391
800,12.849020253000162,0.08858169106864079,0.011471372601527268,nan,0.0391249469386883,nan,1.0,nan,1.9708734324407167,nan,0.002139132738473437,0.9708734324407167,800,0.0474160307441895,0.11695744657478223,0.7777380167910641,1.0,1.0,0.00048828125,409600,1.0,1.0,1.0,1.0,0.8976066779727018,1.7230011894111616,1.5892448525629077,4.334791650542639,0.026547717143062532,800,0,0,0,33792,443392,0.14398143186732465,0.22355207338079391
850,13.633819780000067,0.10344826078831576,0.022858611366530772,nan,0.03888793206904798,nan,1.0,nan,2.072356258972397,nan,0.002995303006122718,1.072356258972397,850,0.01081995225971226,0.1241080827661451,1.1149710215025774,1.0,1.0,0.00048828125,435200,1.0,1.0,1.0,1.0,0.9032476270473301,1.748172196912562,1.6104500749359143,4.2771896265473615,0.039221195856041016,850,0,0,0,35840,471040,0.14398143186732465,0.22355207338079391
900,14.445044680000137,0.09101660111680099,0.010984630276074811,nan,0.03586938073247834,nan,1.0,nan,2.2312058141628386,nan,0.0028769348487340807,1.2312058141628386,900,0.02738425752671725,0.12302658351220906,1.2916444208472562,1.0,1.0,0.00048828125,460800,1.0,1.0,1.0,1.0,0.9098699047971095,1.7700168797513327,1.6307476639028253,4.213897613341801,0.02736796745946749,900,0,0,0,37888,498688,0.14398143186732465,0.22355207338079391
950,15.219366206999894,0.08945405711646096,0.010576742908962586,nan,0.033603695177182674,nan,1.0,nan,2.347280969893366,nan,0.0018313814350694457,1.347280969893366,950,0.03803385310721978,0.14735938397765042,0.8950295489161776,1.0,1.0,0.00048828125,486400,1.0,1.0,1.0,1.0,0.9174310183223685,1.7867942115356648,1.6503019564273484,4.109479574250978,0.02845062835474287,950,0,0,0,39936,526336,0.14398143186732465,0.22355207338079391
1000,16.030337692000103,0.09145010016312963,0.015465319890007417,nan,0.030550787977495785,nan,1.0,nan,2.4871626986869817,nan,0.003384062339633953,1.4871626986869817,1000,0.004773953706056787,0.14746436193328089,1.3134378462843561,1.0,1.0,0.00048828125,512000,1.0,1.0,1.0,1.0,0.9222328302093289,1.807816676088842,1.6692760523582135,4.0628789103911025,0.02754745268686159,1000,0,0,0,41984,553984,0.10172944668693797,0.13406695225040638
1050,16.835838762000094,0.08378559671041413,0.010855373088096809,nan,0.027713691498841987,nan,1.0,nan,2.6315593368485284,nan,0.0023384983323735398,1.6315593368485284,1050,0.04907301979980967,0.18237773035772883,0.9208762890136085,1.0,1.0,0.00048828125,537600,1.0,1.0,1.0,1.0,0.9264718052789995,1.8219922335287868,1.6879056106637589,3.9640396840878958,0.02980003016423095,1050,0,0,0,44032,581632,0.10172944668693797,0.13406695225040638
1100,17.623195189999933,0.08726458298277348,0.018170966868438145,nan,0.02485928343205128,nan,1.0,nan,2.7793888871813723,nan,0.003697368169289117,1.7793888871813723,1100,0.0069918040077462315,0.19728006575151866,1.2303685627610932,1.0,1.0,0.00048828125,563200,1.0,1.0,1.0,1.0,0.9290180052907906,1.8404337797579835,1.7059169793636668,3.8773424829769514,0.03262696591100512,1100,0,0,0,46080,609280,0.10172944668693797,0.13406695225040638
