step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.04366842999979781,53.976961847740085,53.96389545288286,nan,0.013066394857223055,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.00019410953079469426,8.226971270240007e-05,0.31287021274391114,1.0,1.0,0.00048828125,512,0.7825793692254867,1.0,0.4523525171594192,3.6213452110097273,262144,0,0,1024,1536,nan,nan
50,0.7686828709997826,27.55227342237946,25.651278951455254,nan,1.9009944709242086,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.41529528158128237,0.022406330340491117,1.9236419290400806,0.7720706297920106,0.9811326616160589,0.0014392064885208212,25600,0.7384750254238654,0.9999999999999998,0.4313312925708895,3.619386092907542,786432,0,4096,3072,32768,nan,nan
100,1.487761142999716,10.901400103111277,9.484885084327281,nan,1.4165150187839959,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.009633439078156864,0.05682526129130169,0.2033297207980055,0.7861764789930253,0.9823452917787003,0.0015053936020897845,51200,0.7144857097515105,1.0,0.42608142230648094,4.399754149427866,1310720,0,8192,5120,64512,nan,nan
150,2.235258267000063,5.006394165933605,4.317334123835777,nan,0.6890600420978277,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.030028475221633627,0.050646860500050614,0.3035149948067879,0.7465365975420462,0.9784335019927191,0.0014590849344911726,76800,0.7160049848415229,0.9999999999999999,0.43181894622029643,3.7405778571675135,1835008,0,12288,7168,96256,nan,nan
200,2.9303510909999204,0.8893632468329026,0.7485208521337714,nan,0.14084239469913118,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.15564814706083563,0.05125661158831815,1.0056238335280994,0.8006488915002271,0.9828121328251122,0.0012802790350262398,102400,0.7681886276003246,1.0000000000000002,0.4391836423934195,4.1109860997499,2359296,0,16384,9216,128000,nan,nan
250,3.6318068569999014,0.3270141453762187,0.26656214485435065,nan,0.06045200052186807,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.2322973304925201,0.058785781116348995,1.1597681889791556,0.7728332414046756,0.9809049502035356,0.0015011346441374087,128000,0.7861819836021832,1.0,0.4541812150832824,3.590144429477921,2883584,0,20480,11264,159744,nan,nan
300,4.331329450999874,0.19807760552067225,0.1692032553100714,nan,0.028874350210600825,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.18825713847808434,0.05664206087555944,1.075898448655947,0.7558321432372807,0.9793191632636767,0.0018980712864378655,153600,0.7650386066362634,1.0,0.4500108885152611,3.755940931845506,3407872,0,24576,13312,191488,nan,nan
350,5.034367397999631,0.11505313006965617,0.09877462991338046,nan,0.016278500156275712,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.09698991758618135,0.06530060337077932,0.7415809333621882,0.7462231199036052,0.9782592082590107,0.0017238783444593017,179200,0.7958875326759753,1.0,0.4593821426259043,3.4159521137676983,3932160,0,28672,15360,223232,nan,nan
400,5.737292047999745,0.07225246794519935,0.06016062709109543,nan,0.012091840854103923,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.043566398833190995,0.07269177579190164,0.6888154850984226,0.7523319036154746,0.9790790947178099,0.0020620916080605384,204800,0.7933805985117386,1.0,0.4535153892463469,4.198547822746168,4456448,0,32768,17408,254976,nan,nan
450,6.4725186709997615,0.05251378176519392,0.04191399402307548,nan,0.010599787742118437,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.011917858702237175,0.10697051775543626,0.7006979688493626,0.7704326436251562,0.9805223737816435,0.0014376425845675999,230400,0.7880942100890175,1.0,0.4553059383516138,4.381745312666929,4980736,0,36864,19456,286720,nan,nan
500,7.215611395999986,0.04133870788686818,0.03156713263942569,nan,0.009771575247442488,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.018724052356423715,0.11902747574173288,0.6335300032952519,0.7811867201761874,0.9817131929101871,0.001652538821418362,256000,0.8007586834808761,1.0,0.45467054809169427,3.5385473584921545,5505024,0,40960,21504,318464,0.15457224843043382,0.2536072412855389
550,7.904160994999984,0.03258714761026402,0.023098085126542524,nan,0.009489062483721493,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.008476704376545303,0.09199085424073841,0.49211950465648546,0.7739023464366791,0.9808533326403764,0.0016161030077483556,281600,0.774379541614092,1.0,0.4492649151978223,4.295713722129532,6029312,0,45056,23552,350208,0.15457224843043382,0.2536072412855389
600,8.622220627999923,0.028023461996909742,0.018631082049743335,nan,0.009392379947166407,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.013693625818535596,0.05961457888169089,0.14626868453723982,0.7913637449361192,0.9824729944366907,0.0013860005913964345,307200,0.801315479855898,1.0,0.45687580682819645,3.234957787565036,6553600,0,49152,25600,381952,0.15457224843043382,0.2536072412855389
650,9.330758368999795,0.02424252229685906,0.014876926258721196,nan,0.009365596038137865,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.015293857311435323,0.08623956490559503,0.34113576121707573,0.7750079248947751,0.9813379836471082,0.0016544725162227496,332800,0.7649676959097702,0.9999999999999999,0.4428904409218574,3.8325212983048162,7077888,0,53248,27648,413696,0.15457224843043382,0.2536072412855389
700,10.025156678999792,0.02044640950709256,0.011249039462142861,nan,0.009197370044949702,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.0230618351495908,0.09131409216548889,1.0208309243689815,0.7973931957201326,0.9833073003584016,0.0016016080034305913,358400,0.7667960847275608,0.9999999999999998,0.44021437133541935,3.953837715879914,7602176,0,57344,29696,445440,0.15457224843043382,0.2536072412855389
750,10.72444833999998,0.01957173409156371,0.010429871495876633,nan,0.009141862595687073,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.09610926118385663,0.11209369188446092,0.008016884901170697,0.7913579224336696,0.9823512116841502,0.001534884734499089,384000,0.7907485710336342,1.0,0.4591998929053136,3.6878958141115232,8126464,0,61440,31744,477184,0.15457224843043382,0.2536072412855389
800,11.481774511999902,0.01800085364376137,0.008907842385644172,nan,0.0090930112581172,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.039487090230384374,0.09336093694600836,0.24091230957105547,0.7617065750256145,0.97961597725989,0.0016372730279484537,409600,0.8176276621976503,1.0,0.4584329963057753,3.181246898616425,8650752,0,65536,33792,508928,0.15457224843043382,0.2536072412855389
850,12.197010172999853,0.017777304593624386,0.008961508236287212,nan,0.008815796357337174,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.014578276396777123,0.06419966009899217,0.027222532578815652,0.754003992815005,0.9789072566274428,0.001548553177898491,435200,0.8278550804478808,1.0,0.46609309268830035,3.038824231142293,9175040,0,69632,35840,540672,0.15457224843043382,0.2536072412855389
900,12.923611716999858,0.01632954087799361,0.00755373108876833,nan,0.008775809789225278,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.029905011572536833,0.08726648195668013,0.34092535825374787,0.7531587918456301,0.9793982568423357,0.002236274833127494,460800,0.7853705366066345,1.0,0.4492144323804469,3.7454097826584065,9699328,0,73728,37888,572416,0.15457224843043382,0.2536072412855389
950,13.620811580000009,0.014846276197425349,0.006207199100671444,nan,0.008639077096753904,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.05078171683543212,0.08491287568330808,0.6216023780527153,0.7924588307536999,0.9827711762520276,0.0014645921843882042,486400,0.7970961393737171,1.0,0.44827828391919694,3.582211151481521,10223616,0,77824,39936,604160,0.15457224843043382,0.2536072412855389
1000,14.332315778000066,0.014463083816151391,0.005811894932337227,nan,0.008651188883814163,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.006107689192479157,0.10162912464672774,0.891699029631564,0.7805257258781857,0.9816254697524449,0.0017981733048831549,512000,0.8052062543031929,1.0,0.4607426476594262,3.1097449216100834,10747904,0,81920,41984,635904,0.13662878043452584,0.22134794144328634
1050,15.068308118000004,0.013991024624258597,0.0055961462609678105,nan,0.008394878363290786,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.04105718532367055,0.09541558946006937,0.4069140542007995,0.7837919116966513,0.9818070027265445,0.0017430947334554723,537600,0.7584436581221846,1.0,0.4411842026963103,4.067501902611831,11272192,0,86016,44032,667648,0.13662878043452584,0.22134794144328634
1100,15.762800854000034,0.01349536224461548,0.005135693164574283,nan,0.008359669080041196,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.04006322489036225,0.0746699634098974,0.18158699123401656,0.7932465528185799,0.9826840811878769,0.0016100152406897596,563200,0.7915226809289768,1.0000000000000002,0.44933672703322464,3.4806514204786314,11796480,0,90112,46080,699392,0.13662878043452584,0.22134794144328634
1150,16.49820304900004,0.012792252303709296,0.0045146419574033005,nan,0.008277610346305996,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.08459825038248817,0.09297141287735167,0.13306278603306465,0.7711973079544685,0.9811329683361011,0.0019702794612546383,588800,0.7978225676708429,1.0000000000000002,0.44938441152074005,3.3401983809210276,12320768,0,94208,48128,731136,0.13662878043452584,0.22134794144328634
1200,17.204383564999716,0.013063502538470963,0.00487407489787303,nan,0.008189427640597933,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.055831742823630806,0.09183951875586985,0.06888137461058588,0.7627628358576222,0.9802933846661221,0.001937067241052985,614400,0.7968053327113159,0.9999999999999999,0.45419293811557315,3.2782700394253923,12845056,0,98304,50176,762880,0.13662878043452584,0.22134794144328634
1250,17.947272217999853,0.012288477917421485,0.004162089027819046,nan,0.00812638888960244,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.041829546483180526,0.0759323692728362,0.24616484511278575,0.7655713702503983,0.9803785057234907,0.0017145556000264166,640000,0.8132246468827266,1.0,0.4596686997346134,3.0877022924210196,13369344,0,102400,52224,794624,0.13662878043452584,0.22134794144328634
1300,18.67613329599999,0.011713914593194198,0.003633121295790204,nan,0.008080793297403993,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.0435877571627549,0.07009507546124291,0.5561174366206736,0.7633185114602001,0.9799056567830136,0.0016467809593741296,665600,0.7868097606266934,1.0,0.454628212999143,3.7311782054245763,13893632,0,106496,54272,826368,0.13662878043452584,0.22134794144328634
1350,19.42487702599965,0.013238854505663998,0.0052426051275794115,nan,0.007996249378084587,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.014466693715777725,0.006398259778084975,0.11288153160005883,0.7499000388788417,0.9788276595592346,0.0017383591010557546,691200,0.7955583654023857,1.0,0.4580799290627873,3.903050805359075,14417920,0,110592,56320,858112,0.13662878043452584,0.22134794144328634
1400,20.117537508999703,0.012956335907519993,0.0050638008313669365,nan,0.007892535076153055,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.015528922063094051,0.011985815268676814,0.09526631027998804,0.7417986749292971,0.978052465030646,0.0017232126047504993,716800,0.7633253787653796,1.0,0.45805822510829547,4.231196889582927,14942208,0,114688,58368,889856,0.13662878043452584,0.22134794144328634
1450,20.814119541999844,0.011399695639998524,0.0035425619447218603,nan,0.007857133695276663,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.025862553947308624,0.03990063067227953,0.17224268937004028,0.7607680068397973,0.9799185173329287,0.0017009488417892298,742400,0.7967118934726005,1.0000000000000002,0.45476382453455577,3.2484919753343644,15466496,0,118784,60416,921600,0.13662878043452584,0.22134794144328634
1500,21.782708493999962,0.01576673366165289,0.008084567082332782,nan,0.007682166579320108,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.010149253249752887,0.024078847299551315,0.05213078335689406,0.7580639074306176,0.9796057919690468,0.001565648905016639,768000,0.802475626604603,1.0,0.46319359139136296,3.6982608678236324,15990784,0,122880,62464,953344,0.14346052946426835,0.19688602328534788
