step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.057941527999901155,54.87554988882484,57.465672464220425,nan,0.005015700536286345,nan,0.9548362580225148,nan,1.0451637419774853,nan,0.09032748395497048,0.09032748395497048,1,0.01105536572536286,0.00020722183998283708,0.28076684510054917,1.0,1.0,0.00048828125,512,0.7722394427290478,1.0,0.45538094855718975,3.8846697646722355,262144,512,0,1024,2048,nan,nan
50,0.8113148170000386,20.859987513007788,21.695628757454863,nan,1.73802127877113,nan,0.8710435343531495,nan,1.1289564656468505,nan,0.08164252499951519,0.25791293129370096,3,0.2500332661248093,0.0026993432032755837,1.0340449850274,0.7668650749825158,0.980310614239882,0.0011567177395138883,25600,0.7340821545003028,0.9999999999999997,0.4479749171214794,4.507097142751095,786432,1536,4096,3072,34304,nan,nan
100,1.6076313069997923,7.195866642187619,8.245399799275916,nan,0.5290401272485303,nan,0.7954251290204473,nan,1.2045748709795527,nan,0.07367182273778361,0.4091497419591055,5,0.034590964611527816,0.01612498475490965,0.3965032955299474,0.7886677798145093,0.9826924018586163,0.0013232105919755602,51200,0.7455702950239211,1.0,0.43374016376124996,4.377092675528278,1310720,2560,8192,5120,67072,nan,nan
150,2.4031721060000564,2.176899757690226,2.7216117232674044,nan,0.15535671779639137,nan,0.727202214167692,nan,1.2727977858323078,nan,0.06648580124189529,0.5455955716646158,7,0.08237527638578658,0.0027516244504519442,0.45415840969796617,0.7823870356075168,0.9817437009860209,0.0014722387704088845,76800,0.7198344861134124,1.0,0.440059113935411,4.5005338396390115,1835008,3584,12288,7168,99840,nan,nan
200,3.1882373549997283,1.1689381469085216,1.4932425393066495,nan,0.13115217197629522,nan,0.6656194219572225,nan,1.3343805780427775,nan,0.060007393965771705,0.6687611560855551,9,0.11255708432879225,0.013530196387831823,0.5333147892784104,0.801131198644568,0.9832906589570608,0.0013508314023781887,102400,0.7596000765729618,1.0,0.4501912114565538,4.459776944393629,2359296,4608,16384,9216,132608,nan,nan
250,3.9601724159997502,0.49892290260920097,0.7257077104765636,nan,0.040439207746669155,nan,0.6100448006153861,nan,1.389955199384614,nan,0.05414698157385944,0.7799103987692279,11,0.14335138779498507,0.004364149623870724,1.0236375572431882,0.7880430631743387,0.9820126864530747,0.0012349081529660832,128000,0.7628851030158493,0.9999999999999999,0.4467251686042575,4.274849306944252,2883584,5632,20480,11264,165376,nan,nan
300,4.768918187000054,0.18552073109744782,0.28930494825681374,nan,0.016346907518481703,nan,0.5598916069557742,nan,1.440108393044226,nan,0.04886875176063421,0.8802167860884518,13,0.020053629321306422,0.0054924330855194575,0.7871349954939574,0.7807936085099956,0.9814819786090098,0.0017899127295268372,153600,0.7660326410410155,0.9999999999999998,0.44930215312451915,3.986941458618493,3407872,6656,24576,13312,198144,nan,nan
350,5.58934914099973,0.11691694591780546,0.18177530190077262,nan,0.015734528030147445,nan,0.5146199205508969,nan,1.4853800794491034,nan,0.044112098146159684,0.9707601588982065,15,0.07121579135568623,0.022207761262205333,0.005246492773128226,0.7097727490549977,0.9765678622250706,0.0026514295883496345,179200,0.7629821604805361,1.0,0.4430091051016376,4.054360045493256,3932160,7680,28672,15360,230912,nan,nan
400,6.397810378000031,0.06596406951445385,0.09340876556233406,nan,0.014225232088469172,nan,0.47375513180271445,nan,1.526244868197286,nan,0.03981902716859992,1.0524897363945716,17,0.013929060657493976,0.0356563162667536,0.5722726807291905,0.7599998817280907,0.9796981978257226,0.001703154849393445,204800,0.8015222496991894,1.0,0.4539591394202608,3.792861551323676,4456448,8704,32768,17408,263680,nan,nan
450,7.225571270999808,0.043825130039580676,0.05333344693721291,nan,0.013130949153980567,nan,0.43686916734175674,nan,1.5631308326582436,nan,0.0359416392281246,1.126261665316487,19,0.062159561198126226,0.06292552102774832,1.0504407799944526,0.7769498293690308,0.9814144047047295,0.0013527354636227932,230400,0.8255702196888475,0.9999999999999999,0.460004975285839,2.9260827080822644,4980736,9728,36864,19456,296448,nan,nan
500,8.026658985999802,0.03787362380940669,0.04378312113820745,nan,0.012655654483165508,nan,0.40357652559049045,nan,1.5964234744095098,nan,0.03243866034347109,1.1928469488190196,21,0.13180596305418324,0.08780116166315712,0.6109152505030456,0.7681552546713982,0.9805694307673642,0.0013611163532743684,256000,0.7926595034110333,1.0,0.44482336645606346,3.1059406576684023,5505024,10752,40960,21504,329216,0.15550958376639012,0.22659890372468056
550,8.799137562999931,0.0327944969289815,0.03606264542660251,nan,0.011880966585200018,nan,0.3735292250725133,nan,1.626470774927487,nan,0.029277026608659773,1.2529415498549739,23,0.11405003713201521,0.0768366294022961,0.6738253845495069,0.7873214401152979,0.9817124662680305,0.0012984707084199342,281600,0.783459050647922,1.0,0.45172673678478553,3.899561697241104,6029312,11776,45056,23552,361984,0.15550958376639012,0.22659890372468056
600,9.567888009999933,0.02862922990350765,0.02856277193233628,nan,0.011329769681282157,nan,0.3464103615827111,nan,1.6535896384172892,nan,0.02642404723683972,1.3071792768345785,25,0.1322582897074314,0.06405638823265888,0.7461698106300899,0.7922172210647201,0.9824030884310503,0.0013649849852722423,307200,0.7933978426043984,1.0,0.4532290297467859,3.4198656710430626,6553600,12800,49152,25600,394752,0.15550958376639012,0.22659890372468056
650,10.358529356999952,0.027359820698332017,0.027902641005858903,nan,0.0109512927828638,nan,0.3219351676819127,nan,1.6780648323180873,nan,0.023847725541037645,1.356129664636175,27,0.2037270679243477,0.09185047149502379,0.5690263249413358,0.7726331116207658,0.9807396480314031,0.0015671846552577163,332800,0.7838012022504781,1.0,0.4509370652211373,3.766564478150623,7077888,13824,53248,27648,427520,0.15550958376639012,0.22659890372468056
700,11.211561277999863,0.025829962571270654,0.025436378848199517,nan,0.010706657507664469,nan,0.29984596815062925,nan,1.7001540318493709,nan,0.021523166185664855,1.4003080636987417,29,0.11422090458222817,0.08243571813713246,1.088834746595197,0.7900433631317422,0.9820904726284587,0.001352628672034195,358400,0.806889100687657,1.0000000000000002,0.45575293743333795,3.7054212637415644,7602176,14848,57344,29696,460288,0.15550958376639012,0.22659890372468056
750,12.023490006999964,0.024728851886516627,0.025344580314345288,nan,0.010252165471745846,nan,0.27991020569491076,nan,1.7200897943050892,nan,0.019424543497382707,1.4401795886101787,31,0.11299619423484475,0.08047496522210482,0.8224144459169628,0.7764542385228602,0.9815340550370494,0.0018553598058376666,384000,0.8272453030708308,1.0,0.4644627037848121,3.297013881941125,8126464,15872,61440,31744,493056,0.15550958376639012,0.22659890372468056
800,12.790327414999865,0.023279511145376845,0.023830296661565067,nan,0.009802717065725906,nan,0.26191810132482385,nan,1.738081898675176,nan,0.017530902811022264,1.4761637973503523,33,0.15865979378111503,0.09129519075682685,0.5801572817209388,0.7824539444686436,0.9814993832741988,0.0012727657783250948,409600,0.7983272692744561,1.0,0.4551088395773642,3.663148588902076,8650752,16896,65536,33792,525824,0.15550958376639012,0.22659890372468056
850,13.577581994999946,0.022056877617839334,0.022043137717458618,nan,0.009485908591285001,nan,0.24568003054423834,nan,1.7543199694557614,nan,0.015822012433026694,1.508639938911523,35,0.2499562990922547,0.10594006598024436,0.15184413785785292,0.7792761372945608,0.9813468143480774,0.0012871431493615814,435200,0.8028935464867109,1.0,0.4527132993055572,3.2163161730142584,9175040,17920,69632,35840,558592,0.15550958376639012,0.22659890372468056
900,14.343911278999713,0.020834335082769842,0.019994031985743937,nan,0.009166448890442198,nan,0.2310245305779146,nan,1.7689754694220852,nan,0.014279777230838925,1.5379509388441706,37,0.243804236970694,0.11622770520880135,0.4094953012355679,0.7992245042204903,0.9831636016457695,0.0012748039099858416,460800,0.7917546768080986,0.9999999999999999,0.4507171288800686,4.350754944651746,9699328,18944,73728,37888,591360,0.15550958376639012,0.22659890372468056
950,15.139890987999934,0.019848980401690815,0.018152147382361834,nan,0.008919013628805162,nan,0.21779746700905947,nan,1.7822025329909401,nan,0.012888043422087603,1.5644050659818807,39,0.23162080440634747,0.11497674984346673,0.3578135986799725,0.7974022782146598,0.9832128858777698,0.0015952749286968397,486400,0.757518478083377,1.0000000000000002,0.43600638975176076,3.8890251658127304,10223616,19968,77824,39936,624128,0.15550958376639012,0.22659890372468056
1000,15.931343351999658,0.018879985103367393,0.016326899962213225,nan,0.008649789139388214,nan,0.2058595819526559,nan,1.7941404180473437,nan,0.011631979129981013,1.5882808360946878,41,0.2699318021463418,0.12003555055575768,0.16870341555521995,0.7945903899677471,0.9828015710792547,0.0015849104854807395,512000,0.7981633435536379,1.0,0.45590423076557446,3.2981730284827018,10747904,20992,81920,41984,656896,0.14660310726832088,0.20746002677015865
1050,16.723885704999702,0.018180254410778883,0.016211735218282782,nan,0.008320382283010646,nan,0.1950856662203647,nan,1.804914333779635,nan,0.010497767355787696,1.6098286675592703,43,0.2649689239652615,0.12924078807300882,0.1587114524247477,0.7995172007605369,0.983373869649625,0.00141561467712507,537600,0.784180035167048,0.9999999999999999,0.4457688087766935,3.4381170054652173,11272192,22016,86016,44032,689664,0.14660310726832088,0.20746002677015865
1100,17.49607165799989,0.017248056750280107,0.014901565964249004,nan,0.007982789445380003,nan,0.18536194311559429,nan,1.8146380568844054,nan,0.009474626817291831,1.6292761137688112,45,0.16258535958253612,0.10662683105160445,0.8387446675927767,0.802176478625834,0.9834408414321585,0.0014396635092267002,563200,0.7704083538400982,0.9999999999999999,0.44211866018601326,4.1813344324455475,11796480,23040,90112,46080,722432,0.14660310726832088,0.20746002677015865
1150,18.260210442999778,0.016518626816737984,0.014010115834554701,nan,0.007702384806505959,nan,0.1765860336740828,nan,1.8234139663259168,nan,0.008551142045887694,1.646827932651834,47,0.23386392340167225,0.1265473341211245,0.36221703771759106,0.8039090910236815,0.9836031185485254,0.0013581739880641195,588800,0.8123998573172301,1.0,0.4560646484488214,3.243258791766112,12320768,24064,94208,48128,755200,0.14660310726832088,0.20746002677015865
1200,19.073801845999697,0.01569722587725158,0.014003854891960425,nan,0.007281715541016027,nan,0.1686657678496715,nan,1.831334232150328,nan,0.007717217361482148,1.6626684643006566,49,0.30183174592286366,0.12650618804341165,0.078295321304056,0.7687837436571087,0.980640845617665,0.0017174862421133904,614400,0.7977885547013102,1.0,0.44658183284891584,3.473448958351886,12845056,25088,98304,50176,787968,0.14660310726832088,0.20746002677015865
1250,19.86563107999973,0.0150717690783739,0.013801812349722251,nan,0.006985398155153048,nan,0.16151787972992845,nan,1.8384821202700712,nan,0.006964717038642154,1.6769642405401428,51,0.28260051770375005,0.13692946597003094,0.06792578074421139,0.7841568998146762,0.9821824102023945,0.0016066831721303501,640000,0.8213381009443762,0.9999999999999999,0.4635480557752868,3.1809412265592356,13369344,26112,102400,52224,820736,0.14660310726832088,0.20746002677015865
1300,20.636507581999922,0.014527832596405093,0.013878276906318501,nan,0.0067079764630729255,nan,0.15506737535756052,nan,1.8449326246424393,nan,0.006285621244658729,1.689865249284879,53,0.36385702974692546,0.1649040057399735,0.4299743688079818,0.7846290365369322,0.9822392303330838,0.0016959487428836752,665600,0.8182289860587569,1.0,0.45938829991417846,3.192503910986189,13893632,27136,106496,54272,853504,0.14660310726832088,0.20746002677015865
1350,21.42187577699997,0.013969986787568056,0.014825596655262903,nan,0.0063527228375959924,nan,0.149245833183466,nan,1.850754166816534,nan,0.005672298344630927,1.701508333633068,55,0.2319196976132174,0.16347168783736676,0.3055549804959345,0.7729047303808504,0.9811656669170095,0.002046176537799311,691200,0.7973181773830957,0.9999999999999999,0.4608425694400174,3.361797020798958,14417920,28160,110592,56320,886272,0.14660310726832088,0.20746002677015865
1400,22.256222478999916,0.013350590624831689,0.01476847905918486,nan,0.006047413950099823,nan,0.14399189880188712,nan,1.8560081011981129,nan,0.005119085009194363,1.712016202396226,57,0.3017504883741562,0.20162002156160932,0.056558318345812285,0.7610377396714455,0.9799835943573951,0.0018975314211984447,716800,0.7818936010464007,1.0,0.4439034296252436,3.677191668450682,14942208,29184,114688,58368,919040,0.14660310726832088,0.20746002677015865
1450,23.022585613000047,0.012709592562554339,0.01311203002970281,nan,0.005849116037951584,nan,0.1392499605254602,nan,1.8607500394745398,nan,0.00462067551754014,1.7215000789490797,59,0.2741676504140513,0.1809743558759791,0.004626620872922976,0.7658329152848873,0.9803332177977596,0.0017899504856529482,742400,0.808930744303286,0.9999999999999999,0.46167688558258585,3.46113733909599,15466496,30208,118784,60416,951808,0.14660310726832088,0.20746002677015865
1500,23.826788007999767,0.012422646571045859,0.01587140306315847,nan,0.0055122278976780835,nan,0.13497124562087218,nan,1.8650287543791277,nan,0.004168869260043562,1.730057508758256,61,0.35061378860901055,0.20546187931431473,0.4183928018560472,0.7108964833949427,0.9754797524730439,0.0022575170338536292,768000,0.7965840342957865,0.9999999999999999,0.45134361187871624,3.0284055796781915,15990784,31232,122880,62464,984576,0.11682198827871605,0.17141258739691684
