step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.01957269299964537,715.5848662308856,749.4385937301635,nan,0.04700241079529668,nan,0.9547623294646421,nan,1.0452376705353579,nan,0.09047534107071575,0.09047534107071575,1,1.671898095181076e-05,6.661261589149003e-06,0.1371608798309419,1.0,1.0,0.0009765625,256,256,0,512,1024,nan,nan
25,0.15706714399948396,267.1982253695248,293.04292995339574,nan,0.0050662591808642524,nan,0.9117869256990419,nan,1.0882130743009581,nan,0.08595080753120055,0.1764261486019163,2,0.00015663273166735745,6.930482799770979e-06,0.9159322690769445,0.7477395589885814,0.9757393548332365,0.002506030055990414,6400,512,1024,1024,8960,nan,nan
50,0.2656206909996399,255.75693468189445,293.6465587923837,nan,0.002041216787946554,nan,0.8709607601731493,nan,1.1290392398268507,nan,0.08165233105178515,0.25807847965370145,3,0.00012845084793171375,4.877274241043776e-06,0.2348342694915351,0.7499865897507085,0.9755948073240662,0.0023403797992249432,12800,768,2048,1536,17152,nan,nan
75,0.3857196640001348,268.84151979524734,323.05516184821465,nan,0.002408302989673195,nan,0.8321758605646209,nan,1.1678241394353792,nan,0.07756979921705687,0.3356482788707583,4,1.3709517316965524e-05,3.668441813053441e-06,0.23906218879106056,0.743753668736494,0.9747032751930008,0.0024252485699764953,19200,1024,3072,2048,25344,nan,nan
100,0.49415189399951487,239.23362863702843,300.79607381264964,nan,0.001038701069783942,nan,0.7953307844530944,nan,1.2046692155469059,nan,0.0736901522230532,0.4093384310938115,5,5.199786127884816e-05,1.1255022275494127e-06,0.5613145038206853,0.7519574248633416,0.975929026776985,0.002289200352221637,25600,1280,4096,2560,33536,nan,nan
125,0.6035977399997137,230.64320394205274,303.3432601932817,nan,0.0024436710215648668,nan,0.7603273415171433,nan,1.2396726584828568,nan,0.07000688587190196,0.4793453169657135,6,0.0003370998827998302,5.691885969296116e-06,0.9362779700339257,0.7409631117951706,0.974513724249843,0.0024300277173386594,32000,1536,5120,3072,41728,nan,nan
150,0.7220769309997195,217.64111954956473,299.3296129846284,nan,0.005050326859038777,nan,0.7270737054234789,nan,1.2729262945765212,nan,0.06650727218732877,0.5458525891530422,7,2.7969532067618496e-05,6.1527671698588165e-06,0.3411515613527095,0.7465166045771142,0.9755052006593307,0.002518054238186622,38400,1792,6144,3584,49920,nan,nan
175,0.8520790969996597,196.15115775394906,282.032328931935,nan,0.0018361579689655147,nan,0.6954832561144867,nan,1.3045167438855134,nan,0.06318089861798448,0.6090334877710267,8,6.574454730571384e-05,1.6194919767405376e-06,0.3329692950189223,0.7445147218582672,0.9751343041575903,0.0024150199834724233,44800,2048,7168,4096,58112,nan,nan
200,0.9914080559992726,177.4138391216564,266.5911996706973,nan,0.003658399370372627,nan,0.6654719176930898,nan,1.3345280823069103,nan,0.06002267684279383,0.6690561646138206,9,0.000362110288753653,4.501551361924741e-06,1.3069505848213518,0.753348158025476,0.9758995134020051,0.0023281373645031335,51200,2304,8192,4608,66304,1.027332447305222,1.0856783447748986
225,1.1512879029996839,167.6877692286517,263.2501269317267,nan,0.005659072928087892,nan,0.6369609680562605,nan,1.3630390319437398,nan,0.05702189927365875,0.7260780638874793,10,0.00040416664953673903,1.917608893739769e-06,0.606619542627707,0.7475199006577249,0.9755008085769363,0.0024140186452860342,57600,2560,9216,5120,74496,1.027332447305222,1.0856783447748986
250,1.2871516039995186,157.50459489743966,258.2328226415659,nan,0.010615499330045795,nan,0.6098753691313366,nan,1.3901246308686634,nan,0.054171197849847585,0.7802492617373269,11,0.0003636127677166038,4.652441010338557e-06,0.3647201690898004,0.7580488848530578,0.9764750054193629,0.0022499092784324364,64000,2816,10240,5632,82688,1.027332447305222,1.0856783447748986
275,1.429863034999471,146.31519868557496,250.4196325120286,nan,0.02408867913356684,nan,0.5841438672923076,nan,1.4158561327076924,nan,0.051463003678057895,0.8317122654153848,12,0.0002655294827836731,1.6950041248736806e-05,0.7516750959475974,0.7511421307854547,0.976029757651892,0.0029493399418586592,70400,3072,11264,6144,90880,1.027332447305222,1.0856783447748986
300,1.5457723049994456,150.94784530132392,269.6160746391811,nan,0.030562717742003295,nan,0.5596989199842846,nan,1.4403010800157154,nan,0.04888989461604609,0.8806021600314309,13,0.0008947032935362467,3.155037315078343e-05,1.0019365727622862,0.7545766790142797,0.9767289047440103,0.0032745562157269455,76800,3328,12288,6656,99072,1.027332447305222,1.0856783447748986
325,1.6823699629994735,152.89158752329058,284.9246272607928,nan,0.024792790547180504,nan,0.5364762749911627,nan,1.4635237250088373,nan,0.046445289986243754,0.9270474500176746,14,2.0496862630244635e-05,3.259989773404366e-05,0.0762404750681177,0.7425754306192459,0.9751269660162257,0.0027856050663490964,83200,3584,13312,7168,107264,1.027332447305222,1.0856783447748986
350,1.8604308659996605,137.06748655203748,266.4021436724546,nan,0.017685849087565146,nan,0.5144148272521402,nan,1.48558517274786,nan,0.044122895478045154,0.9711703454957198,15,0.0004631155295861662,2.2567236973221075e-05,1.1631153725520924,0.7592376857494093,0.9771635538974675,0.002466745467279331,89600,3840,14336,7680,115456,1.027332447305222,1.0856783447748986
375,1.9638342389998797,126.09144720165165,255.48485854138823,nan,0.013793967115550029,nan,0.4934565074032884,nan,1.5065434925967118,nan,0.04191663969770365,1.0130869851934234,16,0.00023573239177890657,1.6468478912907275e-05,0.25478146664691087,0.7429543666982166,0.9748388989085198,0.0024232586462269038,96000,4096,15360,8192,123648,1.027332447305222,1.0856783447748986
400,2.0726803099996687,116.20190853006054,245.33207507866504,nan,0.01694980942616206,nan,0.47354605136438777,nan,1.5264539486356123,nan,0.03982091207780114,1.0529078972712247,17,0.00022787316292475357,2.1725907550974855e-05,0.30745612755813145,0.7509440015140778,0.9759052982108293,0.0023962928961762256,102400,4352,16384,8704,131840,1.0879116585730575,1.0975961323203018
