step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.012028970999949706,398.63099995439677,417.4943423955536,nan,0.022121025484362532,nan,0.9547623470499128,nan,1.0452376529500873,nan,0.0904753059001745,0.0904753059001745,1,1.314867958720488e-05,3.1376859903044735e-06,0.06247087344100887,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,256,0,512,1024,nan,nan
25,0.10523057000000335,176.94314926526914,194.05984804791834,nan,0.0017088097868245993,nan,0.9117872218107287,nan,1.0882127781892714,nan,0.08595025047836824,0.17642555637854274,2,7.623729455498785e-05,1.022278046249345e-06,0.4323941096447276,0.736349294727124,0.9739610501376805,0.002462940717314026,6400,0.7634909823568621,0.9683058169262283,0.39650264138919095,4.440471938254178,512,1024,1024,8960,nan,nan
50,0.2144181359999493,173.57256192005784,199.28667606310145,nan,0.001458635745170756,nan,0.8709609618276746,nan,1.1290390381723256,nan,0.08165251996610834,0.2580780763446511,3,9.724036747542816e-05,1.0076269622401924e-06,0.3599444445735211,0.7452148087062488,0.975079958351181,0.0023318269820066908,12800,0.6936381718888902,1.0075134810546977,0.39650264138919095,4.636262721198137,768,2048,1536,17152,nan,nan
75,0.32963061800001014,172.01509976426024,206.70390877236093,nan,0.0008389343019884372,nan,0.8321764259738367,nan,1.1678235740261633,nan,0.07756907170767557,0.33564714805232665,4,4.6652721088264444e-05,2.3441199283452722e-06,0.654451987865747,0.7550109847191556,0.9759176255902955,0.0022648396416264736,19200,0.6706243434613163,0.9911981202361493,0.42062867728700776,4.692544447057149,1024,3072,2048,25344,nan,nan
100,0.4228289689999656,161.407208494052,202.9420820109415,nan,0.0008856493482135238,nan,0.7953310618499025,nan,1.2046689381500975,nan,0.07369072824786826,0.4093378763001949,5,0.0001804055997752517,2.9226908636658183e-06,1.2462732610469534,0.7533683227764608,0.9756792196219782,0.0022506143880819257,25600,0.6405083451499547,1.0132091186529932,0.42062867728700776,4.773594326587239,1280,4096,2560,33536,nan,nan
125,0.5116539199999579,149.96292657745894,197.23146018040967,nan,0.001963831237612538,nan,0.7603274443772783,nan,1.2396725556227217,nan,0.07000723494524852,0.47934511124544343,6,0.0005539506717534644,1.4282333577130517e-06,1.3361735524454545,0.7381588005953971,0.9743598262149719,0.002414974754060029,32000,0.6077480198170409,1.0524843585059465,0.4043779332923517,4.980009685966377,1536,5120,3072,41728,nan,nan
150,0.6023614649999445,143.83006417655972,197.8166257142603,nan,0.002157122061405909,nan,0.7270739645892054,nan,1.2729260354107945,nan,0.06650695957614572,0.5458520708215892,7,7.273160782397361e-06,2.508092549551253e-06,0.19246529021006847,0.7468962363159074,0.9751871754243866,0.002380954078255895,38400,0.6073282083983637,0.9964331836631387,0.4043779332923517,4.692993261765313,1792,6144,3584,49920,nan,nan
175,0.6907501370000091,138.84308727616124,199.6290769101884,nan,0.003423310035043323,nan,0.6954829609934687,nan,1.3045170390065313,nan,0.06318200719147338,0.6090340780130625,8,9.77338499047652e-06,1.7425116512871982e-06,0.25049134740082923,0.7359054728229899,0.9742183900957317,0.0025336149881052226,44800,0.6254753507276684,0.9838484582667744,0.38869428064880657,4.692993261765313,2048,7168,4096,58112,nan,nan
200,0.7891604189999271,125.81696687423738,189.05834276005572,nan,0.0030126467821329373,nan,0.66547153949742,nan,1.33452846050258,nan,0.06002284299209748,0.66905692100516,9,6.375826662933231e-05,1.6504824720292604e-06,0.25895006834831585,0.739286772951434,0.9745212308566605,0.0024796206711625406,51200,0.5792782096188076,1.0736123260009949,0.38869428064880657,4.8113581971009065,2304,8192,4608,66304,1.0210475746272745,1.0414169266078281
225,0.8831905710000001,120.1873055350467,188.68187243895898,nan,0.003209713368432054,nan,0.6369606630247209,nan,1.3630393369752793,nan,0.05702175294539846,0.7260786739505585,10,0.00016462275288967536,1.379951992229888e-06,0.6079528811629589,0.7445831160409673,0.9749817639134948,0.002512371065739081,57600,0.6244387732352534,1.0065404135356983,0.40332949485149966,4.5259138575163,2560,9216,5120,74496,1.0210475746272745,1.0414169266078281
250,0.9835111630000029,119.2722816750373,195.5614361160378,nan,0.003005186379854382,nan,0.6098753745123752,nan,1.390124625487625,nan,0.0541705770246913,0.7802492509752498,11,2.74380015818027e-05,2.33910174168123e-06,0.019508543735068638,0.7585581677384624,0.9767475572833981,0.0023784338068972097,64000,0.6343154321252154,0.964904446284656,0.40332949485149966,4.922313195880388,2816,10240,5632,82688,1.0210475746272745,1.0414169266078281
275,1.0766352829999732,115.79990774420486,198.23403987069162,nan,0.0018104479700907484,nan,0.5841446024467302,nan,1.41585539755327,nan,0.051461544131290005,0.8317107951065398,12,0.0004266560558660986,1.5838745455950598e-06,1.315510878903536,0.7371377490143051,0.9740013707936273,0.00244376467923876,70400,0.6845341815434292,0.9139261049383968,0.3996139678654338,4.121491053720053,3072,11264,6144,90880,1.0210475746272745,1.0414169266078281
300,1.1672335700000076,109.37400648611315,195.41174473687948,nan,0.001352093812924482,nan,0.5597005400744633,nan,1.4402994599255368,nan,0.048888124744533634,0.8805989198510734,13,0.00018193183948068297,8.33419184277663e-07,0.6289041434065313,0.7370178312267046,0.9737506014772241,0.0024395533118970122,76800,0.6781836681735456,0.9309029135870864,0.4003038159640048,4.613837246174619,3328,12288,6656,99072,1.0210475746272745,1.0414169266078281
325,1.2594622289999506,98.77006292592263,184.10098479487363,nan,0.0026506878070857325,nan,0.5364783012803884,nan,1.4635216987196116,nan,0.046444477588149735,0.9270433974392231,14,0.00011873327812961753,6.70747298696054e-08,0.30319268331566285,0.7441100020462619,0.9750787296705943,0.0024823528339012304,83200,0.6406371580616885,1.0253581485989107,0.3946306735136447,4.489223068865672,3584,13312,7168,107264,1.0210475746272745,1.0414169266078281
350,1.348909605000017,96.04946780863695,186.7055790065742,nan,0.0033160367554774224,nan,0.51441709493715,nan,1.48558290506285,nan,0.044122412686476764,0.9711658101256999,15,0.00012803569907702953,8.419076072796654e-07,0.470517912565814,0.7474485862739699,0.9753047562948084,0.0024741647348183148,89600,0.6636378271852807,1.0038897037172063,0.39470391209488803,4.309799179629612,3840,14336,7680,115456,1.0210475746272745,1.0414169266078281
375,1.4362503449999622,87.35799029606851,177.0235107593141,nan,0.002750046082394984,nan,0.4934590149310912,nan,1.5065409850689089,nan,0.04191616001211779,1.0130819701378178,16,6.14452814366448e-05,6.172308939478594e-08,0.1755636712916648,0.7432950849152856,0.9746933277802841,0.0024691132882338294,96000,0.6816387583403412,1.0075611230559356,0.39470391209488803,3.9862913422752833,4096,15360,8192,123648,1.0210475746272745,1.0414169266078281
400,1.5248221399999693,79.5203223322985,167.9084452228592,nan,0.004920314450051319,nan,0.47354861517511987,nan,1.5264513848248802,nan,0.03982079951194262,1.0529027696497604,17,0.0006664494832877225,1.6891333021396177e-06,0.6441186750456177,0.742409217131304,0.974892892506124,0.002507092020462587,102400,0.6982934939742403,1.0008515479028366,0.38952000645744667,4.6903517728359505,4352,16384,8704,131840,1.0326202460598695,1.0548030976525105
425,1.6140765039999678,71.74128745652429,157.76973341147954,nan,0.008975717605885314,nan,0.4546335671161508,nan,1.5453664328838492,nan,0.03783009611793808,1.0907328657676985,18,0.001127812585968121,1.6157836860525221e-06,0.9828658650048203,0.7649086568768507,0.9772503199325868,0.002386965830949949,108800,0.6647975714709213,1.0449112445264905,0.39470391209488803,4.948325525373316,4608,17408,9216,140032,1.0326202460598695,1.0548030976525105
450,1.701074855999991,65.45201959886677,149.8371083837764,nan,0.01504668229697195,nan,0.436664170091492,nan,1.563335829908508,nan,0.03593879404931766,1.1266716598170161,19,0.0003753944351859239,6.39951096306364e-06,0.12181541659320852,0.7501676286509444,0.9755420877579911,0.002338950566450202,115200,0.6900677289319855,1.0218687755030147,0.4112824511112483,4.848873328645406,4864,18432,9728,148224,1.0326202460598695,1.0548030976525105
475,1.7954131589999633,64.84276852089636,154.4634439476397,nan,0.019586909087366364,nan,0.4195932162361455,nan,1.5804067837638547,nan,0.03414190771069314,1.1608135675277094,20,0.004962377050762422,5.7364980225753555e-06,1.9143048123258666,0.7394062402713504,0.9743786337278848,0.002342606476503295,121600,0.673194732019592,0.9697086879108541,0.41574503116357336,4.760784277263491,5120,19456,10240,156416,1.0326202460598695,1.0548030976525105
500,1.8876970239999764,62.30410381983769,154.366243730294,nan,0.022858501228974596,nan,0.40337580211150903,nan,1.5966241978884912,nan,0.03243482824927296,1.1932483957769824,21,0.0031760347157940147,1.3340398318720378e-06,1.0930415804676186,0.7535690974275294,0.9764264558533438,0.0025819828182570836,128000,0.6427085636859222,0.9983154527374235,0.37822192041510533,4.760784277263491,5376,20480,10752,164608,1.0326202460598695,1.0548030976525105
