step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.011661039000046003,300.5862691612483,314.81188966312175,nan,0.015054386746044954,nan,0.954762331469702,nan,1.045237668530298,nan,0.09047533706059596,0.09047533706059596,1,2.2741827076171783e-05,3.488003849385008e-06,0.363502400268082,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,256,0,512,1024,nan,nan
25,0.0996412340000461,223.00475373938764,244.57699107895127,nan,0.0024041721603072297,nan,0.9117870675584696,nan,1.0882129324415304,nan,0.08595052782246482,0.17642586488306078,2,7.86504549789106e-05,2.340682300443361e-06,0.44758078189269446,0.7555383584433126,0.9764739557373654,0.0024830643933336366,6400,0.8078401120774715,1.0101995823841514,0.397343907525668,4.6429327921041335,512,1024,1024,8960,nan,nan
50,0.18967414700000518,249.824466320784,286.8354249826193,nan,0.0018195364757371667,nan,0.8709608027248376,nan,1.1290391972751626,nan,0.08165252966726422,0.258078394550325,3,5.8088301173906984e-05,3.136585777432705e-06,0.39538424585214665,0.7584472356069345,0.9765761271177457,0.002188589342243202,12800,0.7028859342946909,1.035813597112847,0.397343907525668,4.8783378473211325,768,2048,1536,17152,nan,nan
75,0.27575339200006965,270.4851918814963,325.0300591135468,nan,0.002626176057315033,nan,0.8321757246299926,nan,1.1678242753700074,nan,0.07757015618968988,0.3356485507400149,4,0.0001089584626523886,5.179326929776871e-06,0.4211341361953679,0.7428966459091422,0.9749883007309024,0.002483268496534994,19200,0.6754106975599494,0.9567143190336369,0.3939044550586647,4.8783378473211325,1024,3072,2048,25344,nan,nan
100,0.36169988800008923,263.3557047774748,331.12426338551444,nan,0.0021881717098329585,nan,0.7953300252301508,nan,1.2046699747698493,nan,0.07369139879968356,0.40933994953969843,5,0.0004436570245972761,7.335582233368482e-06,0.7035395545967813,0.7365960329356739,0.9741750991242666,0.00241360253218874,25600,0.6266962454087803,1.0049794706597268,0.3968291654264081,4.8783378473211325,1280,4096,2560,33536,nan,nan
125,0.4566235820000202,215.41902065102036,283.3167225624065,nan,0.004757675933082312,nan,0.7603261845487939,nan,1.2396738154512064,nan,0.07000768136271407,0.4793476309024125,6,0.0011117477625991153,2.0109310546028593e-05,1.3815453570924299,0.7436950241998266,0.9750636864960359,0.0023688018373021966,32000,0.6238588975133711,1.0335484375528607,0.3968291654264081,4.8783378473211325,1536,5120,3072,41728,nan,nan
150,0.5798466109999936,185.41021030442357,254.97316341555222,nan,0.020681798711413756,nan,0.7270721411748606,nan,1.2729278588251396,nan,0.06650808674786646,0.545855717650279,7,0.000919673221023837,8.806784053052903e-05,1.0578205795766087,0.7472897535517552,0.9750221438214919,0.0024073056714995957,38400,0.6177471116830038,1.0523998515925705,0.3968291654264081,4.8783378473211325,1792,6144,3584,49920,nan,nan
175,0.8308652560000382,185.72986471264792,267.0020779992994,nan,0.026869143732623346,nan,0.6954807797364931,nan,1.3045192202635072,nan,0.0631827228767351,0.6090384405270141,8,0.0008555675424584306,0.00011770430823069745,1.0046547522684437,0.7364708337959642,0.9741447976958565,0.002636263974408434,44800,0.6864855979475498,0.8970004710799485,0.38993719336921384,4.464621279521696,2048,7168,4096,58112,nan,nan
200,1.109117187000038,161.81908332892485,243.11251128562188,nan,0.026410982129959855,nan,0.6654689888179557,nan,1.3345310111820445,nan,0.06002358183707479,0.6690620223640888,9,0.00043361747539379255,9.56687846045934e-05,0.6120394901307572,0.7369324065703654,0.9743870959149571,0.0027473284001178896,51200,0.6822307453786217,0.9854383342010189,0.35545896149804845,4.958546167367414,2304,8192,4608,66304,1.130658427869408,1.1500769508956539
225,1.2016778150000391,167.3868418365901,262.75073187744323,nan,0.01884934130623224,nan,0.6369578809338448,nan,1.3630421190661555,nan,0.05702221576822186,0.7260842381323107,10,0.00039690569699411474,8.164143804097615e-05,0.4556392000254785,0.7527903407889691,0.9761076547134769,0.002406060533957949,57600,0.6416089327072481,0.9717976642173252,0.35545896149804845,4.958546167367414,2560,9216,5120,74496,1.130658427869408,1.1500769508956539
250,1.286908292000021,152.89478724839813,250.65638079506627,nan,0.01898758104388343,nan,0.609872334395786,nan,1.390127665604214,nan,0.05417109307611734,0.780255331208428,11,0.00044319319529795384,7.766504963591507e-05,0.9989369256259236,0.7441431159913797,0.9750732553308024,0.002389206251542664,64000,0.6747154496529683,0.9719232116334413,0.35545896149804845,4.793128277828464,2816,10240,5632,82688,1.130658427869408,1.1500769508956539
275,1.3729231240000672,153.10250345708732,262.0454207879774,nan,0.021905342415208143,nan,0.5841410550957068,nan,1.4158589449042933,nan,0.05146255860015847,0.8317178898085865,12,0.00020801358022360647,0.00010189520885729955,0.4913286121178007,0.7376454788278429,0.974289108020802,0.0027065941979841175,70400,0.6767419674984101,0.9400986606729824,0.35545896149804845,4.793128277828464,3072,11264,6144,90880,1.130658427869408,1.1500769508956539
300,1.4609293180000122,144.20781983607904,257.610363395189,nan,0.016819601561377337,nan,0.5596964058558167,nan,1.4403035941441835,nan,0.048889298479780297,0.8806071882883668,13,0.00021832364342393303,9.340858709415348e-05,0.2834190979984969,0.7427298526913806,0.9751863331732707,0.0026813975776923396,76800,0.6957091697451948,0.9333434736209222,0.37923476977009785,3.62838056456265,3328,12288,6656,99072,1.130658427869408,1.1500769508956539
325,1.5473635560000503,128.92010764794802,240.25803020548702,nan,0.019085364901767234,nan,0.5364739551435607,nan,1.4635260448564396,nan,0.046444901424512075,0.9270520897128789,14,0.00014386653648873954,9.821541481650762e-05,0.3052671939584958,0.7577175371219141,0.9771167360995655,0.0026136031172466993,83200,0.6959845872474145,0.980186581922917,0.37923476977009785,4.568336601498489,3584,13312,7168,107264,1.130658427869408,1.1500769508956539
350,1.6387858919999871,121.50131465113762,236.14916206687604,nan,0.015609239774941339,nan,0.5144126902648567,nan,1.4855873097351435,nan,0.044122529757407936,0.9711746194702868,15,0.0017395591335959992,6.184582967793778e-05,1.6919763494335838,0.7475196110764795,0.9755861052698555,0.0023788049371360684,89600,0.6541111223593917,1.0182016374454714,0.3890490483818119,4.842409427533228,3840,14336,7680,115456,1.130658427869408,1.1500769508956539
