step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.011933632000364014,386.3214022534963,404.60149897937964,nan,0.022121025484362532,nan,0.9547623562922839,nan,1.0452376437077162,nan,0.09047528741543232,0.09047528741543232,1,9.572682096981235e-06,1.6254478985904434e-06,0.028814552228350134,1.0,1.0,0.0009765625,256,0.8199828201794638,1.0,0.4951581920108554,3.0003882544068223,256,0,512,1024,nan,nan
25,0.09722130399995876,191.03650320512412,209.51378072807807,nan,0.004212563883562731,nan,0.9117868923659209,nan,1.0882131076340793,nan,0.08595092785272607,0.17642621526815838,2,0.00015501714624488753,4.210719963795801e-06,0.5714848029094143,0.7389689775752036,0.9746174822663539,0.0024958833964337642,6400,0.8421792249654667,1.0,0.5106876912827634,3.4222999423633946,512,1024,1024,8960,nan,nan
50,0.18580440200003068,218.28737068200678,250.62404777193504,nan,0.003326212563116269,nan,0.8709603774928482,nan,1.129039622507152,nan,0.08165302974614541,0.2580792450143038,3,3.1173472687995795e-05,6.03371422339848e-06,0.12413991525532954,0.7533422031670196,0.9762694454035614,0.0023676569652294624,12800,0.8515763114649896,1.0,0.5306274153371573,3.156176539847755,768,2048,1536,17152,nan,nan
75,0.2758419030001278,205.86670061584485,247.37891653443899,nan,0.003519415896250407,nan,0.8321751644744365,nan,1.1678248355255636,nan,0.07757042603682329,0.3356496710511271,4,0.00028211799452899943,6.394284352786453e-06,0.9022991823002512,0.7641419663121878,0.977553893112272,0.0023976775584246077,19200,0.8632971757384263,0.9999999999999999,0.526800314913552,3.2418617438865205,1024,3072,2048,25344,nan,nan
100,0.3750735150001674,212.98092264270593,267.7826885084775,nan,0.004605992440529748,nan,0.7953291346952198,nan,1.2046708653047804,nan,0.0736920595584335,0.4093417306095606,5,4.171134990175512e-05,7.72711385996936e-06,0.24766322775621022,0.7336838410748534,0.9741469186658375,0.002454796734127399,25600,0.8773988442607606,1.0000000000000002,0.5352515309599716,2.837300609606907,1280,4096,2560,33536,nan,nan
125,0.46955929200021274,203.16677388117262,267.20724360739035,nan,0.001758447647112011,nan,0.7603259224428774,nan,1.2396740775571229,nan,0.07000642450468486,0.47934815511424544,6,0.00023647913172378148,5.465417490874389e-06,1.234661765840596,0.7518186657923106,0.9757288437955187,0.002400830677250539,32000,0.8495495770742769,1.0000000000000002,0.5226137343216207,4.493607740967077,1536,5120,3072,41728,nan,nan
150,0.5589365290002206,196.50191721587382,270.2581269773848,nan,0.003671690345882018,nan,0.7270724681540734,nan,1.272927531845927,nan,0.0665069085776081,0.5458550636918535,7,0.0004120263892025711,6.160200162909273e-06,1.0666015031631348,0.74684168988963,0.9755485804490368,0.0025411637872123864,38400,0.8518946178948664,1.0,0.5230571333411848,3.19727349688974,1792,6144,3584,49920,nan,nan
175,0.6477595790001942,193.12203984568458,277.674145747579,nan,0.0036423753366256004,nan,0.6954817049332876,nan,1.304518295066713,nan,0.06318152644157171,0.6090365901334253,8,0.0002722096485259555,7.694922296118739e-06,0.7293840765526303,0.758039470321774,0.9764565472828357,0.002327752920554104,44800,0.884878480741622,1.0,0.5320685055718001,2.844879540560939,2048,7168,4096,58112,nan,nan
200,0.7372728830000597,184.73275083035995,277.5857536788846,nan,0.005754135499339381,nan,0.6654702891534866,nan,1.334529710846514,nan,0.060022831559602086,0.6690594216930273,9,2.410875459419724e-05,9.540809991978814e-06,0.04142852459258288,0.7443131772725192,0.9754793686948176,0.002660648069088405,51200,0.8351261030340761,1.0,0.526490892302841,3.266776333202365,2304,8192,4608,66304,1.0295160492419924,1.0778314289330966
225,0.8267731070000082,166.64135559817424,261.6162292017043,nan,0.0016615005288965234,nan,0.6369600670993818,nan,1.3630399329006189,nan,0.05702044410820972,0.7260798658012371,10,7.547851068671232e-05,3.313509401896987e-06,0.30691279161025287,0.7377450055088087,0.9739556748947825,0.0024007663661968553,57600,0.8417510018484596,0.9999999999999999,0.5165899787834604,3.318884647139654,2560,9216,5120,74496,1.0295160492419924,1.0778314289330966
250,0.9180024990000675,160.18510669639198,262.64578979376216,nan,0.0028755180882544815,nan,0.6098750316640518,nan,1.390124968335949,nan,0.05417007087066006,0.7802499366718971,11,0.00045773066120711786,4.073148382528923e-06,0.9285745412839068,0.7441199094009036,0.9747336672757951,0.002420375145237354,64000,0.8860498504993244,1.0,0.5321197714965423,3.2924046260205078,2816,10240,5632,82688,1.0295160492419924,1.0778314289330966
275,1.0159888670000328,155.13876651464858,265.5719037469193,nan,0.004609228997866761,nan,0.5841440239780133,nan,1.4158559760219873,nan,0.05146201537207684,0.831711952043974,12,3.499343110133303e-05,5.056846553435657e-06,0.4885078960751873,0.7473888492858102,0.9756775466510318,0.0025902948687306403,70400,0.8521306948662494,1.0,0.5183272711795098,3.041160848329503,3072,11264,6144,90880,1.0295160492419924,1.0778314289330966
300,1.1037420220000058,141.37173199199742,252.58041390475734,nan,0.0017035678026708048,nan,0.5597000818786292,nan,1.4402999181213714,nan,0.04888788419876822,0.8805998362427422,13,0.00013779874648487555,2.208103181280844e-06,0.9909517374332568,0.7286166151687227,0.9728250550339452,0.0024802273469208495,76800,0.8357816949478527,1.0,0.5174251912557716,3.298036134132184,3328,12288,6656,99072,1.0295160492419924,1.0778314289330966
325,1.1928739410000162,148.55031230923828,276.89292866200236,nan,0.0022499323015847204,nan,0.5364781982771069,nan,1.463521801722894,nan,0.04644376720304488,0.9270436034457871,14,7.728153626315046e-05,4.706172256836641e-06,0.8001726716390177,0.7418891064544525,0.974791733202647,0.0024422643197308047,83200,0.891045311132312,1.0,0.5314776033465077,3.0024614576131334,3584,13312,7168,107264,1.0295160492419924,1.0778314289330966
350,1.284533938000095,146.90860048559026,285.56197953874874,nan,0.007200933532278797,nan,0.5144168811883516,nan,1.4855831188116493,nan,0.04412263417751061,0.9711662376232977,15,2.1430736557834476e-05,1.0536233619906437e-05,0.2978314953913953,0.7359953257912843,0.9746874386860442,0.002711634059036216,89600,0.8947774723892152,0.9999999999999998,0.5316783204404036,2.613571800751093,3840,14336,7680,115456,1.0295160492419924,1.0778314289330966
