id,variant,seed,relative_l2,max_abs_error,q95_abs_error,q99_abs_error,historical_l2,historical_maximum,model_sha256
burgers__full_exp__11,full_exp,11,0.688885777590108,1.9822781349187997,1.4397122801459172,1.8731765955810153,0.6841781414961097,1.9572006005719664,a20c07f1dcb32944c38f210d4192cbe347f84539b335eda5b8ed90933ed45aab
burgers__full_exp__111,full_exp,111,0.2800045919566045,1.8788349755386389,0.13335415029338193,0.9916766312676994,0.26573959579473494,1.7908561434793056,610b74cc4643ef86c921383d95022357bf3519a9eb2511639cea0c8d4e973957
burgers__full_exp__22,full_exp,22,0.38536544641532794,1.790026407786041,0.4008813632362559,1.448302125064512,0.3740432567284849,1.6907095607870846,053388268e142adfa7a61f83a0b029984066d23e2abe3c849a43ceea737f8d43
burgers__full_exp__33,full_exp,33,0.24738165194770237,1.735271120630543,0.08793723890020366,0.7932667894203294,0.235759963814887,1.6310793945192685,59e80be3eeacb7b08185bcaaf9a803a5d0aa0ef7c37b7888b4fbd8dbfc3dc567
burgers__full_exp__44,full_exp,44,0.35284138336429166,1.9201203506527995,0.0316587123280786,1.5597845335840888,0.34184569956155547,1.8616389276334044,39fa4a7aec24d0b1ad6d9316747215602d76a6ee27ad402eda5364062b26d06d
burgers__full_exp__55,full_exp,55,0.1913114995229336,1.5660324324670176,0.08318661455925336,0.5103666568086508,0.18055454869790105,1.4795882349573404,90ac34eb9378d51a7721a1b6d6c722b19fa578c5515676af2cfb362298c00107
burgers__full_exp__66,full_exp,66,0.5503056807286683,1.908591764381651,0.542165559665186,1.7778763544449914,0.5442507320240216,1.8734098425503638,d39671215205d341b7786f2aac50d657bca70126e018825c688d46b578ba172a
burgers__full_exp__77,full_exp,77,0.22635512817279047,1.8100662873970703,0.07270433625224404,0.6075846577301673,0.21073978542674973,1.7510801234369375,a642e2f53f57bd0d8d5c100a1196b06958b081e995391188f35153c1462c6f0d
burgers__full_exp__88,full_exp,88,0.18490244493090682,1.467813800059818,0.18537854728967218,0.4366279428806501,0.16800331061444107,1.2347984122738858,275841d424eb92e79688caec635803ed47079e467d168dbe9b5f9581369734e2
burgers__full_exp__99,full_exp,99,0.16576007297848555,1.4872013483788646,0.04243981292471082,0.3853294465595355,0.15278539237261843,1.36037983777943,531f1ea9934e319cea0ab785e16c7273d448295c43c955c8bbe1486cf50fb67d
burgers__full_quad__11,full_quad,11,0.3253087469480842,1.9311871075725542,0.07216780889842134,1.4852243891935795,0.31363765862497667,1.8675832087504007,2f598a07a8868fa06d40eb6053f21b3f3e2910b875318af311b9d37d503d1fed
burgers__full_quad__111,full_quad,111,0.3947287270442637,1.9139480181339752,0.17899937484348982,1.6533664568319306,0.3837485162969112,1.8821609399041193,097cf285de455f3ff0a5088311720c2d45ad015367850c9421089fd72c435fa1
burgers__full_quad__22,full_quad,22,0.4724860255093451,1.8143476458350791,0.2851984389617964,1.6508897810486924,0.4643786321772912,1.7840460567687106,88906422f2b41b1bba1bb09d6e881db3d231761854750fbc4483b8cbf3260fc6
burgers__full_quad__33,full_quad,33,0.16178785564223716,1.554672189847804,0.07027136292845493,0.38405298397303017,0.14936339552118347,1.3189787049894166,65cf9b5a62f71a146fe747e7df80550cfaa4973d0c6e1e0049cae6b67a48ed7d
burgers__full_quad__44,full_quad,44,0.29483568073871685,1.9235987546363131,0.04292157381524475,1.3278060820240078,0.28109971328918,1.8421052161719744,047e101f545c11ba706a60c374fa625df484bbfd3a1bfe25b3c07794d413f5b5
burgers__full_quad__55,full_quad,55,0.18566472464694367,1.5459768224859634,0.08358706734933907,0.5012016932712567,0.17369789623374995,1.4338825459960893,4d1258a210eadff07e7d20354af5c4518cabfe68ead4ddb5a4a2ef878c024570
burgers__full_quad__66,full_quad,66,0.4101530888177071,1.7763759920111464,0.3503627889588661,1.529504446417585,0.4009329366948852,1.6782169928542778,0344c2e9ba0929938fdc27a26e2999456827f2165406314dc1201857d7e0c0f2
burgers__full_quad__77,full_quad,77,0.22603473219452558,1.7634854572838838,0.16249698658426304,0.6509730583244046,0.21152015431856167,1.719503307971992,c1bae26564dfa5b7c71846d183ff2451f388ea9f392f808e52471ca493b9c9f4
burgers__full_quad__88,full_quad,88,0.23256922699374385,1.037296172431383,0.3109633012121056,0.6969474415271767,0.216865945634366,0.8442270937305056,1f5dae6510f4a7798c567221dbed76190d0aacf20f2206456ce20cc2943f7f71
burgers__full_quad__99,full_quad,99,0.1474022370735122,1.3967678777796921,0.05442291304993824,0.33340031989238833,0.13289417045598745,1.2346777429129279,9172a46d6fd48d2613f32a3ee88915102ae26f758d493a5dfa1dd349b9ff3126
burgers__global_only__11,global_only,11,0.2505091006268066,1.4588658131421048,0.3380657912976156,0.6802322453095253,0.23754255246030107,1.3905006870525511,4dfe9fe5cb609fb94cd27ca1ee13a6931aba5e9f79fb240d73ca7f3472837102
burgers__global_only__111,global_only,111,0.32139804562671753,1.5064776536035436,0.4615971274111045,0.7779155668937912,0.30923907656208266,1.45858265559589,43f4dfe13789bc6591b423f5853db0c7de4d06a05ac961472be89393ee3e5a76
burgers__global_only__22,global_only,22,0.5251811256333492,1.8329404180351192,0.5323010940234961,1.719260141979193,0.5172470351937525,1.802630958943916,ac9e5de9858355b6012f3ef2d26c49d35991aa86866ef80fa9c8e2c899bcd461
burgers__global_only__33,global_only,33,0.14476916546364496,1.3329403537336098,0.11382803712733469,0.3681483336074123,0.13187412704560542,1.0636565736081625,082112e5d56740418f9865a0adc24acb975120f6c3ffc831557235d9c5f67d87
burgers__global_only__44,global_only,44,0.19214889351869097,1.463862395891001,0.15389294491760064,0.5235187703309834,0.17661873474026266,1.3055886648142208,b5ea5a26ec42465d65c82cb05655837998cc836d0e558408a0fff0580b70e05c
burgers__global_only__55,global_only,55,0.22657295883721953,1.3599597037240803,0.19491641250986425,0.7344463381740898,0.21218306662210645,1.1917448657887908,78023a864dcbeeb4e07415af3f1479a70a116c01179b78eea6ac8ca1c2251a39
burgers__global_only__66,global_only,66,0.3582208277580223,1.6872769697176069,0.3084075138616039,1.484526495119353,0.3493585837111159,1.648891994481419,8fd3c083b4a4de5477f7efb9d57d9a12890cc29498a0fa6be3bbb802d11e2ce1
burgers__global_only__77,global_only,77,0.5273606763087479,1.7073748657287138,0.886145519362491,1.5207613756088578,0.5198334100127141,1.6554758704635595,f498e6295231435393ae870d45b92aa55e4d2ee23fa27a1d570e8e2051de5671
burgers__global_only__88,global_only,88,0.27994410484069215,0.9579645015635042,0.41136907823108626,0.8011689930751451,0.2654370717561533,0.9231042199606171,04e7db13ce515684db2627110d700bdf93f1244e19bec50d3de1b0d4a57c52e8
burgers__global_only__99,global_only,99,0.2282125653577183,1.67493187949606,0.09945683360164648,0.7439098221857439,0.21115932385597516,1.4804561791727495,1aabf3892c3e3e1f710349162eb33ddf05896fdd9653160b6017c63fccca9c03
burgers__local_only__11,local_only,11,0.12500516742981393,1.2580130219392662,0.10144641763832296,0.30113047096421347,0.11118246892556084,0.8092431763391915,07c9988f198f4874b12ca700bb4677b3ff3335739b0562b9933426264b1a1f47
burgers__local_only__111,local_only,111,0.2625274976690866,1.701056596841632,0.24127072676182326,0.77020298665824,0.24925152455194358,1.5366221770782285,272f4806add0d7b55c934037e5536f5842afe49b4bbe1e49241541b59ac12f24
burgers__local_only__22,local_only,22,0.38661875402931717,1.7613660832387883,0.42579844500697495,1.45702321629972,0.3756284413053795,1.6138197175902114,86c49caeedf04c8f82de420ccfbb269f87f1c3dd7c4ea27d15c00b2b24d65f30
burgers__local_only__33,local_only,33,0.15782100020176346,1.347612990456284,0.14630443968981788,0.435618190613538,0.14589047034479802,1.1212224359516325,f759d0800bf3d19b395a07c09795fa55cc183bb48ef7a3ecd0b95442c97d9003
burgers__local_only__44,local_only,44,0.2241373793249176,1.7354646170338457,0.12553176335272642,0.698560507312294,0.20785124839839156,1.529791477266361,96368296b79a5f4220e77d99406a889963c4a7b7c11a473635ed76d3b536e0e0
burgers__local_only__55,local_only,55,0.2542567181263501,1.7871510131459512,0.1476841528900381,0.8731610294516815,0.23843850953536766,1.5716759243644978,e4651680c8e8aa3904dcc0e24a26f455f7afc5db850254092ba552481388dbe1
burgers__local_only__66,local_only,66,0.5220394334024528,1.9634128397818231,0.36458115066741087,1.7841107392060451,0.5151446991636593,1.9304032491284233,d02352ad62d949764f3a4b9025295acca8cc9dc1f181c10eeab37249dd1baadc
burgers__local_only__77,local_only,77,0.20842617654545778,1.7457876843071012,0.07885585341846796,0.3658855797700062,0.19338719809250304,1.5798446046974632,8149bbca8ef70491aceddd7315940c14f1b7407a4971be0a9507edfb34011b1a
burgers__local_only__88,local_only,88,0.19629601798705734,1.6417910446374817,0.17047955209144516,0.4415981024931228,0.1785689743884326,1.433114985376362,49524a7555b3523830fc12c84e77752351a435d20c4a16815c04cab4ad634a8e
burgers__local_only__99,local_only,99,0.2257779312868383,1.7723539735754341,0.048794877078070065,0.7412662420669462,0.21027966196490905,1.5649616783745102,ccd0be981646a9431527d4413a101952cc2be0a8ac5346f3edd5b142d2e20f49
burgers__neither__11,neither,11,0.381025351909682,1.5479870511357054,0.43609430943292615,1.228029252290234,0.3678876392007263,1.5045484489034322,aafba2324f1c0f54b701aa6bf74aaf0f0ede8ea8848aab8b7e0e3ee79bbf2a63
burgers__neither__111,neither,111,0.28770750805074075,1.5247345176570648,0.37427292530470035,0.7480851555739473,0.2753338527097539,1.4684234511218137,480e9382c74803c10ae59774b7dea36e394c216293d32dc22d309135bda9d122
burgers__neither__22,neither,22,0.5240923476644952,1.844764935549057,0.5316809601355357,1.722517628148856,0.5160164440282546,1.8106925239523972,bc0443b282f81172dac2a7e7b9ffb7bb45d9a157a6882f852749c5cf68e4c8a8
burgers__neither__33,neither,33,0.24012172830570563,1.7236003397066437,0.173277729950161,0.7262827042334443,0.22530002664973475,1.5228609817518923,3ebb6d26a5b0b2cd42ce34b223673b8156858ffa0a41ff7e07a0d86138d61b6c
burgers__neither__44,neither,44,0.2002005796342604,1.5008739876936645,0.18459271733515137,0.5749806579882695,0.18577600993858093,1.3415085711669696,2e8e9383ed908c6a0d39b86a96f79580bb67ff2148230ec11c197b1a69cffa45
burgers__neither__55,neither,55,0.32677471277115416,1.674091237641326,0.3995583941753712,0.853712659538827,0.3140382861963965,1.6074609456865607,4282772627da5a4fee20b177fa8be2e4966b9b128648bcec6cc6ccad6e048564
burgers__neither__66,neither,66,0.3489351554854187,1.651301601800359,0.2773636159812106,1.474605811396385,0.3403480415648197,1.6122880567987914,ae833773df893c1493e98af1ce6cc735f16eba1bb484590cf711b2b1092af7da
burgers__neither__77,neither,77,0.5639835390617691,1.8229467013582752,0.9138837235982932,1.5952682711295179,0.5571607891389923,1.7806382914173495,8062fc35c021e912726d8a32276b58891e8a4f84f88e6f951e5987d8a924a738
burgers__neither__88,neither,88,0.2837416889540013,1.0008873407801544,0.41948123322855835,0.8046257630213095,0.26930998511581444,0.9557603299358082,ead97af39e173843febab1828b20d062ebd59222710659414da7e794d6320bcb
burgers__neither__99,neither,99,0.2276848450122492,1.674811835838784,0.1156936067653298,0.7320350584717726,0.21061615576720158,1.4815914827248047,abe8625d60685b66b470c45ab3e98ffbb0c8d50366d3ec8a1fe3553c41752b0d
