experiment,label,problem,first_method,second_method,contrast,metric,n_pairs,median_difference,ci_low,ci_high,second_win_fraction,two_sided_sign_test_p,differences_by_seed
burgers_long,Burgers — entraînement long,burgers,m1,m5,m5_minus_m1,relative_l2,10,0.141513648497912,0.06287404264305388,0.2900148319367049,0.1,0.021484375,"{""11"": 0.2900148319367049, ""111"": 0.14938332431627793, ""22"": -0.012412536943627428, ""33"": 0.277615080399269, ""44"": 0.2999378581008585, ""55"": 0.11180518120370864, ""66"": 0.00504054702810347, ""77"": 0.13364397267954609, ""88"": 0.12070753825800429, ""99"": 0.435326052216168}"
burgers_long,Burgers — entraînement long,burgers,m1,m5,m5_minus_m1,max_abs_error,10,0.05914914759624368,-0.26097884251886727,0.24486974433074105,0.5,1.0,"{""11"": 0.1416559838493916, ""111"": -0.26097884251886727, ""22"": -0.03888093855029928, ""33"": 0.24486974433074105, ""44"": -0.02335768865690424, ""55"": 0.20228701291951268, ""66"": -0.662201118343891, ""77"": -0.36217636861421343, ""88"": 0.24546664026658227, ""99"": 0.372422412171044}"
burgers_long,Burgers — entraînement long,burgers,m1,m5,m5_minus_m1,controller_weight_tv_per_update,10,-0.0007574761807364258,-0.0038263692407099863,0.0024647898036442017,0.5,1.0,"{""11"": 0.0012344915116187308, ""111"": -0.002034569167402786, ""22"": 0.006336288438085029, ""33"": -0.0016304407247570013, ""44"": -0.0021589542629308137, ""55"": -0.0056181693140171865, ""66"": 0.00011548836328414969, ""77"": 0.0024647898036442017, ""88"": 0.0030711643859233223, ""99"": -0.019261917285487554}"
burgers_long,Burgers — entraînement long,burgers,m1,m5,m5_minus_m1,temporal_mean_gradient_distribution_tv,10,-0.12181097369071021,-0.2282804800195999,-0.06900605016765153,0.9,0.021484375,"{""11"": 0.016595135573004516, ""111"": -0.3599399265612706, ""22"": -0.10168151975140846, ""33"": -0.16708445458495952, ""44"": -0.2894765054542403, ""55"": -0.21824186518775113, ""66"": -0.14194042763001197, ""77"": -0.07512255725489336, ""88"": -0.0363305805838946, ""99"": -0.07675163121653913}"
burgers_long,Burgers — entraînement long,burgers,m1,m5,m5_minus_m1,temporal_mean_physics_gradient_log_gap,10,-0.8510147937463888,-1.5268169075598408,-0.3099619752325805,0.9,0.021484375,"{""11"": 0.06264276221864706, ""111"": -1.8177770806596372, ""22"": -0.6240593905705011, ""33"": -1.275528518142801, ""44"": -2.1449574338830644, ""55"": -1.2358567344600444, ""66"": -1.0779701969222764, ""77"": -0.39787908003747574, ""88"": -0.06483487384094933, ""99"": -0.5550890766242117}"
burgers_long,Burgers — entraînement long,burgers,m1,m5,m5_minus_m1,elapsed_seconds,10,1.7625938730002417,-2.0832115439993686,3.264684849000332,0.4,0.75390625,"{""11"": 1.2512581410001076, ""111"": -3.7183956219996617, ""22"": 3.5311378429996694, ""33"": 2.6996508570000515, ""44"": 3.6634579530000337, ""55"": 3.264684849000332, ""66"": 2.273929605000376, ""77"": -0.49877070499951515, ""88"": -0.5975914919999923, ""99"": -3.667652382999222}"
burgers_long,Burgers — entraînement long,burgers,m1,m5,m5_minus_m1,residual_evaluations,10,51200.0,51200.0,51200.0,0.0,0.001953125,"{""11"": 51200.0, ""111"": 51200.0, ""22"": 51200.0, ""33"": 51200.0, ""44"": 51200.0, ""55"": 51200.0, ""66"": 51200.0, ""77"": 51200.0, ""88"": 51200.0, ""99"": 51200.0}"
burgers_long,Burgers — entraînement long,burgers,m5,m6,m6_minus_m5,relative_l2,10,-0.029085029132316392,-0.12078950603458957,0.16782706727628008,0.6,0.75390625,"{""11"": -0.22018839400317586, ""111"": 0.03125671054538037, ""22"": 0.036841887243179494, ""33"": -0.04376710784578419, ""44"": -0.07668264126128999, ""55"": -0.014402950418848592, ""66"": 0.590534886524021, ""77"": -0.09417780601953629, ""88"": 0.3043974240071798, ""99"": -0.16489637080788916}"
burgers_long,Burgers — entraînement long,burgers,m5,m6,m6_minus_m5,max_abs_error,10,-0.09764125965254145,-0.26002428927986354,0.29023887418949446,0.7,0.34375,"{""11"": -0.15627171809245355, ""111"": 0.14579844164508904, ""22"": -0.23947177340689607, ""33"": -0.36377686046727353, ""44"": -0.03493020696324445, ""55"": -0.15547766294372622, ""66"": 0.9071843689060741, ""77"": -0.039804856361356666, ""88"": 0.6154079553422334, ""99"": -0.4511259931612197}"
burgers_long,Burgers — entraînement long,burgers,m5,m6,m6_minus_m5,controller_weight_tv_per_update,10,-0.0010884777274985658,-0.004734032591823797,0.0016044643021932564,0.6,0.75390625,"{""11"": -0.0006473718461063038, ""111"": -0.005941595508397887, ""22"": -0.0015295836088908277, ""33"": 0.002021239248404902, ""44"": 0.001187689355981611, ""55"": 0.0013165021436876978, ""66"": -0.0035264696752497077, ""77"": -0.009876247551178781, ""88"": -0.0035706879846829215, ""99"": 0.013585763478038845}"
