experiment,label,problem,first_method,second_method,contrast,metric,n_pairs,median_difference,ci_low,ci_high,second_win_fraction,two_sided_sign_test_p,differences_by_seed
helmholtz_calibrated,"Helmholtz calibrée — mode (1,1), k=1",helmholtz,m0,m5,m5_minus_m0,relative_l2,10,-0.010903775400207143,-0.01377761621857429,-0.004782698169481792,0.9,0.021484375,"{""11"": 0.004484656307818219, ""111"": -0.01835977945653773, ""22"": -0.01540281439047328, ""33"": -0.004782698169481792, ""44"": -0.011545289448832624, ""55"": -0.00820157726103507, ""66"": -0.011556968234546466, ""77"": -0.004652138582036641, ""88"": -0.010262261351581661, ""99"": -0.01377761621857429}"
helmholtz_calibrated,"Helmholtz calibrée — mode (1,1), k=1",helmholtz,m0,m5,m5_minus_m0,max_abs_error,10,-0.012702455223108741,-0.022719025974433843,-0.005059927392220859,0.9,0.021484375,"{""11"": 0.024662455591384913, ""111"": -0.012423529042415865, ""22"": -0.007736346847270675, ""33"": -0.024467791832257113, ""44"": -0.022719025974433843, ""55"": -0.024284751962650397, ""66"": -0.013914858100959826, ""77"": -0.009455823597428747, ""88"": -0.012981381403801617, ""99"": -0.00066403118701297}"
helmholtz_calibrated,"Helmholtz calibrée — mode (1,1), k=1",helmholtz,m0,m5,m5_minus_m0,controller_weight_tv_per_update,10,0.028358833147734866,0.028354931507842903,0.028360924129648406,0.0,0.001953125,"{""11"": 0.028362470876465182, ""111"": 0.02835503517147108, ""22"": 0.028356332805735365, ""33"": 0.02835821055630796, ""44"": 0.02836040008088805, ""55"": 0.028359563893615568, ""66"": 0.02836239252013504, ""77"": 0.028359455739161776, ""88"": 0.02832424371778736, ""99"": 0.02835353020995044}"
helmholtz_calibrated,"Helmholtz calibrée — mode (1,1), k=1",helmholtz,m0,m5,m5_minus_m0,temporal_mean_gradient_distribution_tv,10,-0.09740382760260803,-0.12312284610913377,0.006267603038956217,0.8,0.109375,"{""11"": 0.09167308777208706, ""111"": -0.112215584066129, ""22"": -0.12087973471611457, ""33"": -0.13545231098581395, ""44"": -0.11985239335932106, ""55"": -0.12639329885894646, ""66"": -0.006119766698406068, ""77"": 0.0437611997942193, ""88"": -0.03122599371630687, ""99"": -0.08259207113908706}"
helmholtz_calibrated,"Helmholtz calibrée — mode (1,1), k=1",helmholtz,m0,m5,m5_minus_m0,temporal_mean_physics_gradient_log_gap,10,-0.9541203555919836,-1.0154589580023803,-0.7939893846034495,1.0,0.001953125,"{""11"": -1.0083704260185513, ""111"": -1.4934964123135415, ""22"": -0.6563749910554002, ""33"": -1.0602123636562413, ""44"": -0.9707055523485192, ""55"": -0.937535158835448, ""66"": -0.8013444064774435, ""77"": -1.0004223345780285, ""88"": -0.9316037781514988, ""99"": -0.6204748754604105}"
helmholtz_calibrated,"Helmholtz calibrée — mode (1,1), k=1",helmholtz,m0,m5,m5_minus_m0,elapsed_seconds,10,0.7570814205000715,-7.405951108000181,11.05099464199975,0.5,1.0,"{""11"": 12.579492246000427, ""111"": -7.540274457000123, ""22"": -0.030266577000020334, ""33"": 1.7948216140002842, ""44"": -7.395775651999884, ""55"": 11.079799914999967, ""66"": 1.5444294180001634, ""77"": -7.599762327000008, ""88"": 11.05099464199975, ""99"": -7.271627759000239}"
helmholtz_calibrated,"Helmholtz calibrée — mode (1,1), k=1",helmholtz,m0,m5,m5_minus_m0,residual_evaluations,10,154112.0,154112.0,154112.0,0.0,0.001953125,"{""11"": 154112.0, ""111"": 154112.0, ""22"": 154112.0, ""33"": 154112.0, ""44"": 154112.0, ""55"": 154112.0, ""66"": 154112.0, ""77"": 154112.0, ""88"": 154112.0, ""99"": 154112.0}"
helmholtz_calibrated,"Helmholtz calibrée — mode (1,1), k=1",helmholtz,m0,m5,m5_minus_m0,importance_effective_sample_fraction,10,0.0,0.0,0.0,0.0,,"{""11"": 0.0, ""111"": 0.0, ""22"": 0.0, ""33"": 0.0, ""44"": 0.0, ""55"": 0.0, ""66"": 0.0, ""77"": 0.0, ""88"": 0.0, ""99"": 0.0}"
helmholtz_calibrated,"Helmholtz calibrée — mode (1,1), k=1",helmholtz,m0,m5,m5_minus_m0,importance_weight_mean,10,0.0,0.0,0.0,0.0,,"{""11"": 0.0, ""111"": 0.0, ""22"": 0.0, ""33"": 0.0, ""44"": 0.0, ""55"": 0.0, ""66"": 0.0, ""77"": 0.0, ""88"": 0.0, ""99"": 0.0}"
helmholtz_calibrated,"Helmholtz calibrée — mode (1,1), k=1",helmholtz,m0,m5,m5_minus_m0,importance_weight_max,10,0.0,0.0,0.0,0.0,,"{""11"": 0.0, ""111"": 0.0, ""22"": 0.0, ""33"": 0.0, ""44"": 0.0, ""55"": 0.0, ""66"": 0.0, ""77"": 0.0, ""88"": 0.0, ""99"": 0.0}"
