experiment,label,problem,method,n_success,n_expected,relative_l2_median,relative_l2_q1,relative_l2_q3,relative_l2_ci_low,relative_l2_ci_high,max_abs_error_median,max_abs_error_q1,max_abs_error_q3,max_abs_error_ci_low,max_abs_error_ci_high,controller_weight_tv_per_update_median,controller_weight_tv_per_update_q1,controller_weight_tv_per_update_q3,controller_weight_tv_per_update_ci_low,controller_weight_tv_per_update_ci_high,temporal_mean_gradient_distribution_tv_median,temporal_mean_gradient_distribution_tv_q1,temporal_mean_gradient_distribution_tv_q3,temporal_mean_gradient_distribution_tv_ci_low,temporal_mean_gradient_distribution_tv_ci_high,temporal_mean_physics_gradient_log_gap_median,temporal_mean_physics_gradient_log_gap_q1,temporal_mean_physics_gradient_log_gap_q3,temporal_mean_physics_gradient_log_gap_ci_low,temporal_mean_physics_gradient_log_gap_ci_high,elapsed_seconds_median,elapsed_seconds_q1,elapsed_seconds_q3,elapsed_seconds_ci_low,elapsed_seconds_ci_high,residual_evaluations_median,residual_evaluations_q1,residual_evaluations_q3,residual_evaluations_ci_low,residual_evaluations_ci_high,importance_effective_sample_fraction_median,importance_effective_sample_fraction_q1,importance_effective_sample_fraction_q3,importance_effective_sample_fraction_ci_low,importance_effective_sample_fraction_ci_high,importance_weight_mean_median,importance_weight_mean_q1,importance_weight_mean_q3,importance_weight_mean_ci_low,importance_weight_mean_ci_high,importance_weight_max_median,importance_weight_max_q1,importance_weight_max_q3,importance_weight_max_ci_low,importance_weight_max_ci_high
burgers_long,Burgers — confirmation M7,burgers,m5,10,10,0.5006805495621975,0.4324547190074518,0.5447874060805672,0.4221229279724051,0.5557838634097461,1.342948826200025,1.2009472426387062,1.416844912046039,1.1985131227628836,1.4711575527129375,0.04979550934075755,0.048339075685772996,0.05112143333125542,0.04209253161519347,0.05651538474283915,0.13848286579717894,0.12750769414944912,0.159844037874881,0.12620657396982954,0.16322624651997297,0.6599836617946309,0.606964577504568,0.7386267675177729,0.5932130128915513,0.7514365242709609,26.260279210000135,23.513353493750174,26.891158921499937,23.259437339000215,27.030680061500334,1371136.0,1371136.0,1371136.0,1371136.0,1371136.0,,,,,,,,,,,,,,,
burgers_long,Burgers — confirmation M7,burgers,m6,10,10,0.47063316319480053,0.43859833004724125,0.5369780856188364,0.4351153928317406,0.6146946064006842,1.2993420217968643,1.1309199050193808,1.4310876117100317,1.1162601885119927,1.5420685465342194,0.048722356710806825,0.042188092277058616,0.05189278643926426,0.03965926489164265,0.061201956605299215,0.14457919387193532,0.1250335921706366,0.16006754626253916,0.12316379574155428,0.1617343910685581,0.6458867644040773,0.6024557607142139,0.7821686520292556,0.5886274964110882,0.8111463034156138,25.24435051049977,24.973584824750333,25.651666566000358,24.673148410499834,25.687447233499825,1371136.0,1371136.0,1371136.0,1371136.0,1371136.0,,,,,,,,,,,,,,,
burgers_long,Burgers — confirmation M7,burgers,m7u,10,10,0.38141725304878416,0.32854869461875147,0.47474288152391886,0.31632851925383526,0.5086527165377833,0.9443403491813198,0.8228142257679013,1.232411693438259,0.7353111355780091,1.2904731031404078,0.05137362490106377,0.040983572581997654,0.05458302369737883,0.03842511302624418,0.06056578635066853,0.1352842426498771,0.12621268473340766,0.17448832550549057,0.12194738031295954,0.1829687779551714,0.7403706818309959,0.6523220188328664,0.8162780039750127,0.6474974235328449,0.8878819384588326,14.932705449499963,14.834583022499942,15.254622962249982,14.820681265999951,15.324217979999958,1371136.0,1371136.0,1371136.0,1371136.0,1371136.0,0.5665846542878505,0.5641342807123177,0.5990986611792077,0.562237358879139,0.6008994137924129,1.0119898778794987,0.9916888245164616,1.0331413978616595,0.9868166760749909,1.0375789017760952,4.941324020335783,4.927216481567969,4.976491587138079,4.912836321313223,4.981885184790641
burgers_long,Burgers — confirmation M7,burgers,m7,10,10,0.44102668671244827,0.3980841833933844,0.5040617721328455,0.32247046680067204,0.5924586677110408,1.49721467631624,1.421070229792981,1.6424379896775023,1.3169837519161707,1.6619753814827813,0.054241346834023034,0.0502767489909584,0.05567976200486628,0.04648332638540873,0.06887869008974068,0.07018891841914215,0.058785687745717526,0.07822644655112893,0.05374728458081139,0.08869308754272012,0.28786742259145404,0.24004261705513502,0.332562736927245,0.20832591975981019,0.40425017487391324,15.140435881499968,14.981606314250058,15.378630814749954,14.938439194500063,15.413285616999985,1371136.0,1371136.0,1371136.0,1371136.0,1371136.0,0.47417098183148776,0.4684126361695081,0.4882629975601075,0.45262535188807296,0.4905650543173736,1.01958359391357,1.005166265919668,1.0332846933673967,0.9952708120460363,1.04443905304081,4.9386868001617295,4.847380930660121,4.97042954044186,4.820084654655492,4.972442399688593
allen_cahn,Allen–Cahn — confirmation M7,allen_cahn,m5,10,10,0.09630024851128013,0.07919338576704874,0.11239948004137396,0.07601847699226187,0.11847338028040785,0.17587176019084566,0.13954059788566514,0.18409064813622986,0.1343950378985609,0.19436636764454124,0.0670454887618947,0.06402045085893589,0.07062381243197961,0.06238475198004574,0.07335035405987014,0.09424108481463112,0.08812249243605419,0.1107137364357943,0.08567521065040762,0.11441226317613279,0.35253529535313155,0.32189616560091566,0.4397942480675353,0.3196772608783054,0.45249935656307355,2.5620663905001493,2.485568888999751,2.6454853679995267,2.479436210000131,2.6607448950003345,197376.0,197376.0,197376.0,197376.0,197376.0,,,,,,,,,,,,,,,
allen_cahn,Allen–Cahn — confirmation M7,allen_cahn,m6,10,10,0.09801464774714808,0.07469006172532106,0.11401327379411841,0.07035260672459269,0.11784659220214737,0.17172540304858214,0.13624607086200724,0.18095275563741706,0.1286176920601969,0.1911826748506364,0.06585847859923011,0.06288138875046533,0.07391207306780843,0.06257248373344954,0.07497078099416495,0.10457699236290594,0.0929871470125268,0.10804786161641963,0.087593022525573,0.10868911520514798,0.378207262486313,0.32500743623000977,0.42862290796341423,0.3192760818653707,0.4342808403290057,2.2819781969997166,2.237572279750111,2.4940989325000373,2.2257643539996934,2.5099564180000016,197376.0,197376.0,197376.0,197376.0,197376.0,,,,,,,,,,,,,,,
allen_cahn,Allen–Cahn — confirmation M7,allen_cahn,m7u,10,10,0.10202891230670563,0.0776141427210145,0.11335268457810183,0.07570001878070903,0.12152230995116128,0.18557582546919432,0.13675622515344152,0.19785555033832775,0.1298695879656464,0.203554557397278,0.06676849243376815,0.06417691839260187,0.07175572744819246,0.06231066637674905,0.07278769994747053,0.09355123536394452,0.08643940091882424,0.10707195821493457,0.08585790515084002,0.11412268712246207,0.36900399436423426,0.34696310562230787,0.40272972129882423,0.3364082242042701,0.42342033215979324,1.9506116405000284,1.9272326034999878,1.983049786749973,1.9244684359999837,2.0266347259999975,197376.0,197376.0,197376.0,197376.0,197376.0,0.6630101444820368,0.6377013764015649,0.7052906678400732,0.6203111559254092,0.7069547142633272,0.9864551483293198,0.9539911597322986,1.0108834371113746,0.9437513656937813,1.0140398826717696,4.607537506530462,4.5349338616670085,4.73787301679257,4.496976750552081,4.763453385857553
allen_cahn,Allen–Cahn — confirmation M7,allen_cahn,m7,10,10,0.10809713821737336,0.09009618927921659,0.11308712078562609,0.08954037551167622,0.12706706839422055,0.19106938248922645,0.15462325910203942,0.20715438567311617,0.1499301740307699,0.21425895718760862,0.06806902304764695,0.06414650654343626,0.07279717821542485,0.062360932886455694,0.0739361046983809,0.08118767158945864,0.0641898402471475,0.09463067408430728,0.06332170184480042,0.1083645895980308,0.3254731046299866,0.26830226091039017,0.4622433835930696,0.2506476561660209,0.5036466697372926,1.9460553655000012,1.9234409350000021,1.9708643185000483,1.922881039999993,1.975333724000052,197376.0,197376.0,197376.0,197376.0,197376.0,0.6662376252604463,0.6548589319089122,0.6720409679931164,0.6392574151095558,0.6730189652615335,0.9946163610076268,0.9679205544138682,1.018320529099614,0.9638494620301825,1.0205517585312696,4.828257968112238,4.67756278219025,4.876794146957028,4.597870107581134,4.879713657737171
helmholtz,Helmholtz — confirmation M7,helmholtz,m5,10,10,1.152065126123984,1.1398907799331983,1.1636914151709679,1.1350891668113108,1.1702628866816367,1.1583940594771942,1.1436144052742496,1.173755005467452,1.136041667404788,1.184903431076183,0.052302576021020744,0.052302489851488505,0.05230271920851787,0.05230246892974991,0.052302741429152026,0.000406464884501858,0.00032794394183420814,0.000502405959551166,0.00031640374615024585,0.0005325110448672995,0.6536333127198518,0.6011459809498061,0.7615889666514195,0.589788797085151,0.7728615426307016,3.031698559000233,2.9332818824998412,3.1173446767495534,2.86989729600009,3.1460375540000314,197376.0,197376.0,197376.0,197376.0,197376.0,,,,,,,,,,,,,,,
helmholtz,Helmholtz — confirmation M7,helmholtz,m6,10,10,1.1418324544212686,1.132526497561214,1.1668726467298998,1.1298299856920018,1.173685377232594,1.1478150861309113,1.1419182919447097,1.1681206349323419,1.1415758239966471,1.1725999606280477,0.05230263055268114,0.0523025049727735,0.05230280254149663,0.05230249634818404,0.05230286038423912,0.0004311829274466453,0.00039124464065418856,0.00044738511578668006,0.00036887465832540183,0.00047743044645004906,0.7579201610962243,0.6831217525968126,0.7859677843735693,0.6336793164082627,0.7880548770447838,2.801196855999933,2.705262615749916,2.9543677100000423,2.7047854299999017,2.983596344000034,197376.0,197376.0,197376.0,197376.0,197376.0,,,,,,,,,,,,,,,
