experiment,label,problem,first_method,second_method,contrast,metric,n_pairs,median_difference,ci_low,ci_high,second_win_fraction,two_sided_sign_test_p,differences_by_seed
burgers_long,Burgers — confirmation M7,burgers,m5,m6,m6_minus_m5,relative_l2,10,-0.029085029132316392,-0.12078950603458957,0.16782706727628008,0.6,0.75390625,"{""11"": -0.22018839400317586, ""111"": 0.03125671054538037, ""22"": 0.036841887243179494, ""33"": -0.04376710784578419, ""44"": -0.07668264126128999, ""55"": -0.014402950418848592, ""66"": 0.590534886524021, ""77"": -0.09417780601953629, ""88"": 0.3043974240071798, ""99"": -0.16489637080788916}"
burgers_long,Burgers — confirmation M7,burgers,m5,m6,m6_minus_m5,max_abs_error,10,-0.09764125965254145,-0.26002428927986354,0.29023887418949446,0.7,0.34375,"{""11"": -0.15627171809245355, ""111"": 0.14579844164508904, ""22"": -0.23947177340689607, ""33"": -0.36377686046727353, ""44"": -0.03493020696324445, ""55"": -0.15547766294372622, ""66"": 0.9071843689060741, ""77"": -0.039804856361356666, ""88"": 0.6154079553422334, ""99"": -0.4511259931612197}"
burgers_long,Burgers — confirmation M7,burgers,m5,m6,m6_minus_m5,controller_weight_tv_per_update,10,-0.0010884777274985658,-0.004734032591823797,0.0016044643021932564,0.6,0.75390625,"{""11"": -0.0006473718461063038, ""111"": -0.005941595508397887, ""22"": -0.0015295836088908277, ""33"": 0.002021239248404902, ""44"": 0.001187689355981611, ""55"": 0.0013165021436876978, ""66"": -0.0035264696752497077, ""77"": -0.009876247551178781, ""88"": -0.0035706879846829215, ""99"": 0.013585763478038845}"
burgers_long,Burgers — confirmation M7,burgers,m5,m6,m6_minus_m5,temporal_mean_gradient_distribution_tv,10,-0.0030141710394672727,-0.009567140887817432,0.012800068450330632,0.6,0.75390625,"{""11"": 0.01574276275215844, ""111"": -0.0013050735176144967, ""22"": -0.008247258946753544, ""33"": -0.013074501196262495, ""44"": -0.004723268561320049, ""55"": 0.012800068450330632, ""66"": 0.005781371462405205, ""77"": -0.00605978057937237, ""88"": -0.015790976931711553, ""99"": 0.014804042287380387}"
burgers_long,Burgers — confirmation M7,burgers,m5,m6,m6_minus_m5,temporal_mean_physics_gradient_log_gap,10,-0.021386428846800087,-0.08635887753219251,0.0771878445712666,0.6,0.75390625,"{""11"": -0.01357267384026628, ""111"": -0.03511752225008952, ""22"": 0.025979422219102988, ""33"": -0.029200183853333894, ""44"": -0.08635887753219251, ""55"": 0.0771878445712666, ""66"": 0.11442182405138179, ""77"": -0.09769518288281931, ""88"": -0.09826696549492098, ""99"": 0.08657292117985749}"
burgers_long,Burgers — confirmation M7,burgers,m5,m6,m6_minus_m5,elapsed_seconds,10,-0.6717833930001689,-1.4553594719996,0.9946057100000871,0.7,0.34375,"{""11"": -1.9510956550011542, ""111"": 0.8812627620000058, ""22"": -2.3513307839994013, ""33"": -0.5593881599997985, ""44"": -1.4018144689998735, ""55"": -1.262636835000194, ""66"": -0.7841786260005392, ""77"": 2.004300245000195, ""88"": 3.0427645749996373, ""99"": -0.015088825000020734}"
burgers_long,Burgers — confirmation M7,burgers,m5,m6,m6_minus_m5,residual_evaluations,10,0.0,0.0,0.0,0.0,,"{""11"": 0.0, ""111"": 0.0, ""22"": 0.0, ""33"": 0.0, ""44"": 0.0, ""55"": 0.0, ""66"": 0.0, ""77"": 0.0, ""88"": 0.0, ""99"": 0.0}"
burgers_long,Burgers — confirmation M7,burgers,m5,m6,m6_minus_m5,importance_effective_sample_fraction,0,,,,,,{}
burgers_long,Burgers — confirmation M7,burgers,m5,m6,m6_minus_m5,importance_weight_mean,0,,,,,,{}
burgers_long,Burgers — confirmation M7,burgers,m5,m6,m6_minus_m5,importance_weight_max,0,,,,,,{}
