experiment,label,problem,first_method,second_method,contrast,metric,n_pairs,median_difference,ci_low,ci_high,second_win_fraction,two_sided_sign_test_p,differences_by_seed
burgers_sparse_noisy_cost,Burgers bruité — profilage CPU séquentiel,burgers,m5,m6,m6_minus_m5,relative_l2,5,-0.006145492394750485,-0.014216886310729593,0.0022045812946501764,0.6,1.0,"{""101"": 0.0022045812946501764, ""202"": 0.001611304594849261, ""303"": -0.006145492394750485, ""404"": -0.014013627915659632, ""505"": -0.014216886310729593}"
burgers_sparse_noisy_cost,Burgers bruité — profilage CPU séquentiel,burgers,m5,m6,m6_minus_m5,max_abs_error,5,-0.027940311381167704,-0.06921465255516779,0.00420706167976348,0.6,1.0,"{""101"": -0.027940311381167704, ""202"": -0.050111368063609385, ""303"": 0.0030232353158493597, ""404"": 0.00420706167976348, ""505"": -0.06921465255516779}"
burgers_sparse_noisy_cost,Burgers bruité — profilage CPU séquentiel,burgers,m5,m6,m6_minus_m5,controller_weight_tv_per_update,5,0.00010445377012409385,-0.0032001029604499243,0.007663318934389138,0.4,1.0,"{""101"": 0.007663318934389138, ""202"": 0.00010445377012409385, ""303"": -0.0011423787109083733, ""404"": -0.0032001029604499243, ""505"": 0.005073426718688906}"
burgers_sparse_noisy_cost,Burgers bruité — profilage CPU séquentiel,burgers,m5,m6,m6_minus_m5,temporal_mean_gradient_distribution_tv,5,-0.0006942085340234452,-0.0013215672897596287,0.001339697873521388,0.8,0.375,"{""101"": -0.0013215672897596287, ""202"": -0.0006942085340234452, ""303"": 0.001339697873521388, ""404"": -0.0008755963868245925, ""505"": -0.0005352999702764039}"
burgers_sparse_noisy_cost,Burgers bruité — profilage CPU séquentiel,burgers,m5,m6,m6_minus_m5,temporal_mean_physics_gradient_log_gap,5,-0.009097719094130374,-0.012933420373459015,0.02518633435818035,0.6,1.0,"{""101"": -0.009097719094130374, ""202"": -0.010080373976385448, ""303"": 0.016324236224347033, ""404"": -0.012933420373459015, ""505"": 0.02518633435818035}"
burgers_sparse_noisy_cost,Burgers bruité — profilage CPU séquentiel,burgers,m5,m6,m6_minus_m5,elapsed_seconds,5,0.06434399199997642,-0.1438751250000223,0.16100192599992624,0.4,1.0,"{""101"": 0.16100192599992624, ""202"": 0.06434399199997642, ""303"": -0.1438751250000223, ""404"": 0.07686222400002407, ""505"": -0.019542903999990813}"
burgers_sparse_noisy_cost,Burgers bruité — profilage CPU séquentiel,burgers,m5,m6,m6_minus_m5,residual_evaluations,5,0.0,0.0,0.0,0.0,,"{""101"": 0.0, ""202"": 0.0, ""303"": 0.0, ""404"": 0.0, ""505"": 0.0}"
burgers_sparse_noisy_cost,Burgers bruité — profilage CPU séquentiel,burgers,m5,m6,m6_minus_m5,importance_effective_sample_fraction,5,0.0,0.0,0.0,0.0,,"{""101"": 0.0, ""202"": 0.0, ""303"": 0.0, ""404"": 0.0, ""505"": 0.0}"
burgers_sparse_noisy_cost,Burgers bruité — profilage CPU séquentiel,burgers,m5,m6,m6_minus_m5,importance_weight_mean,5,0.0,0.0,0.0,0.0,,"{""101"": 0.0, ""202"": 0.0, ""303"": 0.0, ""404"": 0.0, ""505"": 0.0}"
burgers_sparse_noisy_cost,Burgers bruité — profilage CPU séquentiel,burgers,m5,m6,m6_minus_m5,importance_weight_max,5,0.0,0.0,0.0,0.0,,"{""101"": 0.0, ""202"": 0.0, ""303"": 0.0, ""404"": 0.0, ""505"": 0.0}"
