experiment,label,problem,method,n_success,n_expected,relative_l2_median,relative_l2_q1,relative_l2_q3,relative_l2_ci_low,relative_l2_ci_high,max_abs_error_median,max_abs_error_q1,max_abs_error_q3,max_abs_error_ci_low,max_abs_error_ci_high,controller_weight_tv_per_update_median,controller_weight_tv_per_update_q1,controller_weight_tv_per_update_q3,controller_weight_tv_per_update_ci_low,controller_weight_tv_per_update_ci_high,temporal_mean_gradient_distribution_tv_median,temporal_mean_gradient_distribution_tv_q1,temporal_mean_gradient_distribution_tv_q3,temporal_mean_gradient_distribution_tv_ci_low,temporal_mean_gradient_distribution_tv_ci_high,temporal_mean_physics_gradient_log_gap_median,temporal_mean_physics_gradient_log_gap_q1,temporal_mean_physics_gradient_log_gap_q3,temporal_mean_physics_gradient_log_gap_ci_low,temporal_mean_physics_gradient_log_gap_ci_high,elapsed_seconds_median,elapsed_seconds_q1,elapsed_seconds_q3,elapsed_seconds_ci_low,elapsed_seconds_ci_high,residual_evaluations_median,residual_evaluations_q1,residual_evaluations_q3,residual_evaluations_ci_low,residual_evaluations_ci_high,importance_effective_sample_fraction_median,importance_effective_sample_fraction_q1,importance_effective_sample_fraction_q3,importance_effective_sample_fraction_ci_low,importance_effective_sample_fraction_ci_high,importance_weight_mean_median,importance_weight_mean_q1,importance_weight_mean_q3,importance_weight_mean_ci_low,importance_weight_mean_ci_high,importance_weight_max_median,importance_weight_max_q1,importance_weight_max_q3,importance_weight_max_ci_low,importance_weight_max_ci_high
sparse_clean,Burgers — 13 observations propres,burgers,m5,10,10,0.573644499720315,0.5378179941158265,0.6136073221654786,0.5359878394276953,0.6158208864736044,1.021343445366977,0.9330851079001342,1.101858660613499,0.9121502251671588,1.1186613273579193,0.06855242837031741,0.054237304869207865,0.09712163210862249,0.053118441556084944,0.09893780350114977,0.0828286294578307,0.06196341267686795,0.10073436067078997,0.06026873229722552,0.10467538809521663,0.46641691117985673,0.40623543548343377,0.5148208992720811,0.40104335446174644,0.5627364740098313,2.9632813755001735,2.8203254709997054,3.3698856229998455,2.697299909499634,3.3918512914997336,197376.0,197376.0,197376.0,197376.0,197376.0,,,,,,,,,,,,,,,
sparse_clean,Burgers — 13 observations propres,burgers,m6,10,10,0.5628781964900021,0.535433155643692,0.6076492307423237,0.5321311088100105,0.6115513551878968,1.0142488522942847,0.9634888779621769,1.0402652416119031,0.9500898090597809,1.123760014199095,0.06608389987150755,0.053984776132067334,0.09874490553037744,0.05191366108942702,0.11056505887178467,0.08071176361944102,0.061657667469735306,0.10540576528465495,0.06068321653811899,0.11120326082029783,0.4661190006802187,0.39953880930162466,0.5271484864130025,0.3916779991334042,0.561935741148013,2.5187059685003987,2.4203291945000274,2.6342464042497795,2.4174326530001053,2.6705266475000826,197376.0,197376.0,197376.0,197376.0,197376.0,,,,,,,,,,,,,,,
sparse_clean,Burgers — 13 observations propres,burgers,m7u,10,10,0.5926856955009454,0.5346401823134632,0.6098640343049407,0.5312063933941444,0.6198719831391883,1.081828661599545,0.9512672588890159,1.1275911444315212,0.9509071178068766,1.134401976007052,0.0681701439111744,0.05377088799412391,0.09589788709379966,0.05350096508940899,0.10335234871478655,0.08789314626923353,0.06479042796570454,0.10316424465312737,0.06250137103513678,0.110687185206028,0.4926964607121048,0.4535242499103341,0.5311759964083285,0.44852871928782034,0.5753961645585463,1.89906145249995,1.8738097582500188,3.0470050672500406,1.8723242400000117,3.0659859140000663,197376.0,197376.0,197376.0,197376.0,197376.0,0.6563154256994967,0.6289308350965,0.6719856192009108,0.6206695077482858,0.67262580316458,1.004153489721034,0.9707396543750415,1.0242147090225235,0.9658221506095919,1.0261154023852965,4.788234755182832,4.714472206713311,4.8934031892480725,4.546856749359026,4.914327508181039
sparse_clean,Burgers — 13 observations propres,burgers,m7,10,10,0.5281047915132867,0.500432264300548,0.5729648716416438,0.49790315319157347,0.5852450013613424,1.032031342547624,0.975244629511158,1.105762819712413,0.9526510043745449,1.1171905490615321,0.07278744994100361,0.05759503803522493,0.10261722703692439,0.05673080767405805,0.11104520070887353,0.04370978536545279,0.03678229661190192,0.05286341598515076,0.028188183330468578,0.054954050333184526,0.1048062713351339,0.09348065305533647,0.1437769080367351,0.08827388688231702,0.1661554876980061,1.9761923995000075,1.937923846249987,3.1049769900000683,1.9309483380000074,3.109242591000111,197376.0,197376.0,197376.0,197376.0,197376.0,0.5953136349345571,0.5900578629931678,0.6136867938414722,0.5815436134032242,0.61910069094187,0.9914287006245092,0.9708158350177482,1.0140582910963474,0.9650213349354455,1.0198683636157684,4.6090479338175365,4.473751234165555,4.789373456528337,4.24256726247796,4.8029724708352735
sparse_noisy,Burgers — 13 observations bruitées,burgers,m5,10,10,0.5904227187524667,0.5512356803801111,0.6141914424205933,0.5421215153825912,0.6157178649522511,1.0690016046766289,0.999495179052218,1.1474603429225576,0.9823737979212203,1.168480272634603,0.07362845658325365,0.056106249748221274,0.08942146497449144,0.0551821621234662,0.09566189447007473,0.08238536741723929,0.06362471323763685,0.1020476097878824,0.06260248548041665,0.11405029233080483,0.4198161027803548,0.38939800306862243,0.5099353194390654,0.3803602399486352,0.5623725129377943,2.4534090229994945,2.336193781500242,2.550841621749896,2.317859570499877,2.585338512999897,197376.0,197376.0,197376.0,197376.0,197376.0,,,,,,,,,,,,,,,
sparse_noisy,Burgers — 13 observations bruitées,burgers,m6,10,10,0.587113249914593,0.5356336486146283,0.6023681903598144,0.5273444038921242,0.618535412937409,1.018569762584079,0.9301295179845713,1.0780385505711554,0.9203897698113008,1.1333213699722493,0.0759911246420312,0.051483066920676515,0.09102492109948783,0.05028492110197638,0.09872638123815698,0.08238233455463337,0.06455950764379,0.101914627477417,0.06442011252918282,0.113558716557565,0.4211110434899989,0.3642115449804497,0.48851325747430147,0.3496997067851542,0.542729069497698,2.3318294870005047,2.290833297249719,2.366305655249789,2.281407487999786,2.369212196999797,197376.0,197376.0,197376.0,197376.0,197376.0,,,,,,,,,,,,,,,
sparse_noisy,Burgers — 13 observations bruitées,burgers,m7u,10,10,0.5905181124522662,0.5450922112077832,0.6195479556468559,0.5367529011761022,0.6207039830469488,1.0357805696399383,0.9573861229461713,1.0993104639520173,0.9422013657633336,1.1069655675116377,0.07380247829283848,0.05691382055605909,0.08880361871959952,0.056568467670269615,0.09571608947901153,0.08375769046202378,0.06994682872098307,0.1077551232899012,0.06849083662828984,0.11786870093628063,0.4814186822142722,0.43388963026275507,0.5543362891347337,0.43164655777039074,0.5839333524866619,1.9042625600000065,1.8918144790000042,2.75922969574998,1.8886865374999502,3.040360957999951,197376.0,197376.0,197376.0,197376.0,197376.0,0.6538251200171193,0.6294935536165073,0.6697138781293123,0.6159970390196328,0.67387722131153,1.0069506676720583,0.9894193228426236,1.0197046247980406,0.9842006686284235,1.0236237108262665,4.656415766552967,4.458860172797401,4.912220167108693,4.3764030499775295,4.9316538987725025
sparse_noisy,Burgers — 13 observations bruitées,burgers,m7,10,10,0.5526756069224763,0.4909585401125209,0.5660470681252767,0.48653969018325044,0.5689215306589581,1.0338785270519253,0.9594699686231726,1.0870902916724288,0.9431807877783648,1.1263489398612965,0.07445901430011505,0.05822738002744022,0.09403513525180374,0.057174463762224036,0.09966470736380398,0.04547034741404494,0.03872600150913997,0.05474954853496713,0.03768220969652954,0.0568949248914597,0.12321668301368777,0.08269462335652235,0.16114140569713778,0.0803286025721257,0.1778727115189958,1.9944761055000413,1.959588758749959,3.0971100222500354,1.9501530919999368,3.098398565000025,197376.0,197376.0,197376.0,197376.0,197376.0,0.5944196392912326,0.5724053931781083,0.6279249139577513,0.5712034002821845,0.6355676750973093,1.0134475878310814,0.9652869385759116,1.022274648676017,0.9624129158915912,1.0277518912499097,4.630130938931291,4.294451542408258,4.864294195452245,4.253096095890584,4.868179040347034
extreme_noise,Burgers — une observation et bruit fort,burgers,m5,10,10,0.5996930888839077,0.5762586337451213,0.6703386890693085,0.5737589739171175,0.7669479469120295,1.009525436368515,0.9442630699463396,1.2297330374047413,0.9315489155658812,1.36447965127206,0.0680468425113229,0.05648713580669167,0.09978063119158356,0.05608968960081159,0.1120376418542845,0.07273426044058767,0.06805579356593924,0.085673622054118,0.06351848762946491,0.09461388911417187,0.3870565928011705,0.35526974986157867,0.43751468390998893,0.34149223170249343,0.46126363982582963,2.750908153499495,2.5157893884997975,2.8332918500000233,2.4702699279996523,2.8341278019997844,197376.0,197376.0,197376.0,197376.0,197376.0,,,,,,,,,,,,,,,
extreme_noise,Burgers — une observation et bruit fort,burgers,m6,10,10,0.5972746317923958,0.5829546873322898,0.6686326981390655,0.5684005660179493,0.7351474134934313,1.0078936214330998,0.939635711925618,1.214582763872646,0.9305107801791848,1.291099621508995,0.06837807029078506,0.05568889214930714,0.10036092582240386,0.05410760832399786,0.10164572222375548,0.07300604108748958,0.0689927876612649,0.08867070346179134,0.06493584247672428,0.0952864574777427,0.42017787161873893,0.34814493624025383,0.44393226203458735,0.3388606006476998,0.466760875313663,2.396654284000306,2.3639057570001114,2.483005249499911,2.3554223410001214,2.4961471090000487,197376.0,197376.0,197376.0,197376.0,197376.0,,,,,,,,,,,,,,,
extreme_noise,Burgers — une observation et bruit fort,burgers,m7u,10,10,0.6050115139723355,0.5789872728163238,0.6511537032483069,0.5646340276164163,0.7527657450433353,0.977507603664926,0.916738201898866,1.204404847569061,0.9156250808826482,1.3048884920385748,0.06715228013833387,0.05631272382009577,0.09709904679108325,0.05555734197117666,0.1014914476338158,0.07370475531155601,0.07015933169130247,0.08956247960078843,0.06332461667979214,0.09135095341388606,0.43218323230852096,0.40595835051514867,0.46576994881136713,0.36141250758139987,0.4842564335323406,1.9578030065000576,1.9391396457499468,3.0324205205000396,1.9351145019999194,3.035626658500007,197376.0,197376.0,197376.0,197376.0,197376.0,0.6752118252803745,0.6436757491825711,0.6951257391973961,0.6218094863029648,0.6985950688845377,0.9960877451071746,0.9731571376395803,1.0224950485282702,0.9696691436315122,1.0285720667922185,4.728997102214468,4.487527244976975,4.822247640632197,4.452725501974431,4.8645408777589365
extreme_noise,Burgers — une observation et bruit fort,burgers,m7,10,10,0.5775624150531675,0.5562527829746844,0.6404988487667237,0.5397454674930059,0.7561569644619885,0.992947770316087,0.9328637949502433,1.2393422454798046,0.9240728556495913,1.3718015192599506,0.07208567239362276,0.058319003677775975,0.09968040464143783,0.057246393608885726,0.11434347206219012,0.04602803572486418,0.03882776915283387,0.057108139523119335,0.034510244557033304,0.060401288214896605,0.1107498853835014,0.08701378363376852,0.1459295199889897,0.08183567598526346,0.1536553559625874,1.973354484500021,1.9430559032500128,3.078071818250038,1.9390581860000111,3.1049264669999843,197376.0,197376.0,197376.0,197376.0,197376.0,0.5957745648267158,0.5622113190282575,0.6379714650157552,0.5565914568392621,0.6471360253247612,1.022471693160199,0.9985781915281627,1.0467498455428847,0.9653278487295649,1.0524114850456376,4.900523717279123,4.722802800155722,4.937626526070346,4.6693630000038535,4.948085559591377
block_missing,Burgers — bloc de capteurs manquant,burgers,m5,10,10,0.5570814758597799,0.5275637500108454,0.5858344131635302,0.5253396290668618,0.5935081901431327,0.9428785571163281,0.9359193948896867,0.9730952745533197,0.9323703634213865,0.9807712354986962,0.06294513646493952,0.05707091226152435,0.08987393431061948,0.05647570257854034,0.09628701258737454,0.0795951250263818,0.05970108946496625,0.11144131633484711,0.0572367903457719,0.11428095926831716,0.46001576331566074,0.40625984361479583,0.5122233815950593,0.3798377722546896,0.5133690038142571,2.226327781000009,2.1928276170000203,2.2615934564999947,2.181311456000003,2.2704090839999935,197376.0,197376.0,197376.0,197376.0,197376.0,,,,,,,,,,,,,,,
block_missing,Burgers — bloc de capteurs manquant,burgers,m6,10,10,0.5541560218420136,0.5321255085421694,0.5659084784400787,0.5292047984804025,0.5830111641722214,0.9483244001832503,0.9415368483031394,0.9726067531200031,0.9300711546873006,0.974167490562994,0.062465910815775835,0.0526386413471704,0.09095979184556428,0.051671905432891574,0.10105256528065185,0.07890847489401831,0.06262324544295288,0.11153290221050079,0.05900824663031838,0.11402068931435892,0.4564255556463076,0.41364611960630976,0.5328513600620594,0.3799688638368347,0.5404856432918694,2.353953285000017,2.248488012750016,2.385288954999993,2.2392887930000143,2.3995874169999922,197376.0,197376.0,197376.0,197376.0,197376.0,,,,,,,,,,,,,,,
block_missing,Burgers — bloc de capteurs manquant,burgers,m7u,10,10,0.5616008341245275,0.5429832350899586,0.578644565061808,0.5382407037927935,0.5869350682805585,0.9559457502715167,0.9303679895210958,0.989046781809924,0.9270348841531735,0.9947885687910301,0.06253543342929954,0.05684926643788067,0.08876326925356498,0.05640753387163928,0.09613180417870704,0.08196595917991883,0.06087236888146899,0.11828379916293477,0.058842430124188425,0.12239889867280626,0.4825579221456352,0.40087009109178595,0.5233599728690045,0.37567130619475786,0.5492824065533236,1.9375654964999853,1.913770422500022,1.9511968154999408,1.9071257690000039,2.536677291499984,197376.0,197376.0,197376.0,197376.0,197376.0,0.6632717346995998,0.643927543728787,0.6827378761501035,0.6306299347415623,0.68478286832137,0.9945932444555596,0.9663106215880921,1.015875589390813,0.9613769064633407,1.0196568090855338,4.568483059724198,4.156242405834308,4.766873245934936,4.059345645978784,4.814636713517379
block_missing,Burgers — bloc de capteurs manquant,burgers,m7,10,10,0.5286785214720037,0.49588637539043123,0.5421863503798413,0.48893537018806354,0.5611410719862835,0.9629576713267736,0.9170813785131502,0.9794227766290721,0.9147629595489668,0.9818871305528081,0.06413951580046214,0.059339618751841905,0.09470724463012967,0.058391274903771925,0.1013947082507076,0.046576914796889524,0.03829747076457534,0.05472546035548342,0.03634531474880189,0.05663643391000406,0.10770919898155992,0.0678801969807998,0.15201365300163489,0.06569675957217112,0.15828246379229832,2.5198546610000676,1.9639480729999832,3.142744146750033,1.9519169169999486,3.1455060580000236,197376.0,197376.0,197376.0,197376.0,197376.0,0.608459574083849,0.5530967270581287,0.6449344970097877,0.5375812674962508,0.6489117560654167,0.9570463138670934,0.9442510888871603,0.9831169437154563,0.9424038797203582,1.0115241933854042,4.654968708432808,4.427186806868553,4.811980975425005,4.282530431274121,4.847831574753676
