experiment,label,problem,first_method,second_method,contrast,metric,n_pairs,median_difference,ci_low,ci_high,second_win_fraction,two_sided_sign_test_p,differences_by_seed
sparse_clean,Burgers — 13 observations propres,burgers,m5,m6,m6_minus_m5,relative_l2,10,-0.005437907395632879,-0.010557269505313105,0.017267735535182294,0.6,0.75390625,"{""11"": -0.006074254440467941, ""111"": -0.004801560350797818, ""22"": 0.017267735535182294, ""33"": 0.03756025453003253, ""44"": -0.007693212843052466, ""55"": 0.020503762664433323, ""66"": -0.013839393617573137, ""77"": -0.01987802906800007, ""88"": -0.007275145393053073, ""99"": 0.01276987149240938}"
sparse_clean,Burgers — 13 observations propres,burgers,m5,m6,m6_minus_m5,max_abs_error,10,0.009039551339794116,-0.025283701446155993,0.042007697580515924,0.3,0.34375,"{""11"": 0.006863359800723501, ""111"": 0.010978110113181172, ""22"": 0.0071009925664070606, ""33"": 0.042007697580515924, ""44"": 0.020355822294011672, ""55"": 0.13906297378390775, ""66"": -0.039198534184741396, ""77"": -0.07183449334843384, ""88"": -0.025283701446155993, ""99"": 0.04628485693683504}"
sparse_clean,Burgers — 13 observations propres,burgers,m5,m6,m6_minus_m5,controller_weight_tv_per_update,10,0.0015340358740003612,-0.002324619965537008,0.0039636059258491875,0.4,0.75390625,"{""11"": -0.005067070765918169, ""111"": 0.009298477306669634, ""22"": -0.0018657589735635235, ""33"": 0.0009383070440098229, ""44"": 0.0036781725549903665, ""55"": -0.0021535760401092396, ""66"": -0.0027834809575104924, ""77"": 0.0033400498795699285, ""88"": 0.0021297647039908996, ""99"": 0.0045871619721284465}"
sparse_clean,Burgers — 13 observations propres,burgers,m5,m6,m6_minus_m5,temporal_mean_gradient_distribution_tv,10,0.00022216126024179883,-0.001324850631022438,0.0035618275310533958,0.5,1.0,"{""11"": 0.0055906903793355445, ""111"": -0.00018326771083387872, ""22"": 0.006801492069376969, ""33"": 0.0004634413929873876, ""44"": -0.001186587593112784, ""55"": 0.001532964682771247, ""66"": -0.003047144083666589, ""77"": -0.0024664335512109975, ""88"": -1.9118872503789963e-05, ""99"": 0.001913547317453329}"
sparse_clean,Burgers — 13 observations propres,burgers,m5,m6,m6_minus_m5,temporal_mean_physics_gradient_log_gap,10,-0.0033344880278805833,-0.01552800438580948,0.01371624843581487,0.5,1.0,"{""11"": 0.01371624843581487, ""111"": 0.008161603256241157, ""22"": 0.03316538372830724, ""33"": 0.0013095612577905258, ""44"": -0.01552800438580948, ""55"": -0.007978537313551692, ""66"": -0.034686985435040896, ""77"": -0.01880553860797135, ""88"": -0.009763068979877665, ""99"": 0.01820971760869533}"
sparse_clean,Burgers — 13 observations propres,burgers,m5,m6,m6_minus_m5,elapsed_seconds,10,-0.4887539904998448,-0.791012301999217,-0.10532969500036415,0.9,0.021484375,"{""11"": -0.10532969500036415, ""111"": -0.6294675310000457, ""22"": -0.8767612770006963, ""33"": -0.791012301999217, ""44"": -0.8443089699994744, ""55"": -0.35057237899945903, ""66"": 0.2064026849993752, ""77"": -0.5268642329992872, ""88"": -0.4506437480004024, ""99"": -0.008460839999315795}"
sparse_clean,Burgers — 13 observations propres,burgers,m5,m6,m6_minus_m5,residual_evaluations,10,0.0,0.0,0.0,0.0,,"{""11"": 0.0, ""111"": 0.0, ""22"": 0.0, ""33"": 0.0, ""44"": 0.0, ""55"": 0.0, ""66"": 0.0, ""77"": 0.0, ""88"": 0.0, ""99"": 0.0}"
sparse_clean,Burgers — 13 observations propres,burgers,m5,m6,m6_minus_m5,importance_effective_sample_fraction,0,,,,,,{}
sparse_clean,Burgers — 13 observations propres,burgers,m5,m6,m6_minus_m5,importance_weight_mean,0,,,,,,{}
sparse_clean,Burgers — 13 observations propres,burgers,m5,m6,m6_minus_m5,importance_weight_max,0,,,,,,{}
sparse_clean,Burgers — 13 observations propres,burgers,m5,m7,m7_minus_m5,relative_l2,10,-0.04096806860632257,-0.05677119512109363,-0.030963666992277816,0.9,0.021484375,"{""11"": -0.042700243483634326, ""111"": -0.031078281369076532, ""22"": -0.07992785529727431, ""33"": 0.026143739766080865, ""44"": -0.046754833336805746, ""55"": -0.07084214675855294, ""66"": -0.044324583077250734, ""77"": -0.030575885112262058, ""88"": -0.03923589372901082, ""99"": -0.031351448872293575}"
sparse_clean,Burgers — 13 observations propres,burgers,m5,m7,m7_minus_m5,max_abs_error,10,0.02019791381753766,-0.07738955651106383,0.10287082605271436,0.5,1.0,"{""11"": -0.07738955651106383, ""111"": 0.07371861522435341, ""22"": -0.09105460333227144, ""33"": 0.13441526890920907, ""44"": 0.15290891639577642, ""55"": -0.09785899620508487, ""66"": -0.027502446126351998, ""77"": -0.04718169569286368, ""88"": 0.07132638319621964, ""99"": 0.06789827376142732}"
sparse_clean,Burgers — 13 observations propres,burgers,m5,m7,m7_minus_m5,controller_weight_tv_per_update,10,0.004228206790012234,0.0029693392102955185,0.005648146664616119,0.0,0.001953125,"{""11"": 0.0027018172027645296, ""111"": 0.007177184801135092, ""22"": 0.0029693392102955185, ""33"": 0.005074210326168324, ""44"": 0.006759748734702628, ""55"": 0.0045365445945296096, ""66"": 0.003933498546842787, ""77"": 0.003359378268700669, ""88"": 0.0016349861081522282, ""99"": 0.004522915033181682}"
