experiment,label,problem,first_method,second_method,contrast,metric,n_pairs,median_difference,ci_low,ci_high,second_win_fraction,two_sided_sign_test_p,differences_by_seed
burgers_long,Burgers — vRBA confirmatoire,burgers,m5,vrba,vrba_minus_m5,relative_l2,10,-0.20655903410275292,-0.28914057288732037,-0.10101674283198775,0.9,0.021484375,"{""11"": -0.015670521506457424, ""111"": -0.23323706779164444, ""22"": -0.12834117880953094, ""33"": -0.18636296415751807, ""44"": -0.16995233453147512, ""55"": -0.2828955434146908, ""66"": 0.2129586239117166, ""77"": -0.3450440779829963, ""88"": -0.22675510404798777, ""99"": -0.44000117874321165}"
burgers_long,Burgers — vRBA confirmatoire,burgers,m5,vrba,vrba_minus_m5,max_abs_error,10,0.333643950870514,0.026548810007711143,0.5694497120050894,0.1,0.021484375,"{""11"": 0.5465564032937569, ""111"": 0.592343020716422, ""22"": 0.0003171039267300113, ""33"": 0.21216757755061977, ""44"": 0.45512032419040827, ""55"": 0.20020918600028637, ""66"": 1.0407686827959717, ""77"": 0.5592998050380413, ""88"": 0.026548810007711143, ""99"": -0.17129107036823554}"
burgers_long,Burgers — vRBA confirmatoire,burgers,m5,vrba,vrba_minus_m5,controller_weight_tv_per_update,10,-0.04667167936575205,-0.05434458871486969,-0.03875905094462828,1.0,0.001953125,"{""11"": -0.045282580598191756, ""111"": -0.07651990026192695, ""22"": -0.04588356859888073, ""33"": -0.048087925536786036, ""44"": -0.04745979013262336, ""55"": -0.032071326681839055, ""66"": -0.045446775207417515, ""77"": -0.04974431087355833, ""88"": -0.02878521053462716, ""99"": -0.060601251892953345}"
burgers_long,Burgers — vRBA confirmatoire,burgers,m5,vrba,vrba_minus_m5,temporal_mean_gradient_distribution_tv,10,0.14794973349561819,0.10239911390270887,0.24886361212051886,0.1,0.021484375,"{""11"": 0.08531686035224867, ""111"": 0.25645422914871896, ""22"": 0.1082257170891194, ""33"": 0.11948136745316906, ""44"": 0.24886361212051886, ""55"": 0.24888767508450543, ""66"": 0.18208560830249587, ""77"": 0.17641809953806728, ""88"": -0.0038597053661577896, ""99"": 0.10789603993168045}"
burgers_long,Burgers — vRBA confirmatoire,burgers,m5,vrba,vrba_minus_m5,temporal_mean_physics_gradient_log_gap,10,0.8168030829709405,0.13354269981128064,1.0442915113236617,0.0,0.001953125,"{""11"": 0.057094103646198824, ""111"": 0.9499815771853379, ""22"": 0.11525815717426724, ""33"": 0.9698175617794331, ""44"": 1.8435456240779562, ""55"": 1.1386014454619855, ""66"": 0.6936340408774597, ""77"": 0.13354269981128064, ""88"": 0.16769336972655646, ""99"": 0.9399721250644212}"
burgers_long,Burgers — vRBA confirmatoire,burgers,m5,vrba,vrba_minus_m5,elapsed_seconds,10,3.592440068999622,3.0919079870000132,5.993220242000007,0.0,0.001953125,"{""11"": 3.5221910629993545, ""111"": 5.993220242000007, ""22"": 1.9008714809999674, ""33"": 3.2496409440000207, ""44"": 3.0919079870000132, ""55"": 2.978595407999819, ""66"": 3.6626890749998893, ""77"": 6.6075767079996695, ""88"": 7.67708208699969, ""99"": 4.944494360000135}"
burgers_long,Burgers — vRBA confirmatoire,burgers,m5,vrba,vrba_minus_m5,residual_evaluations,10,-64512.0,-64512.0,-64512.0,1.0,0.001953125,"{""11"": -64512.0, ""111"": -64512.0, ""22"": -64512.0, ""33"": -64512.0, ""44"": -64512.0, ""55"": -64512.0, ""66"": -64512.0, ""77"": -64512.0, ""88"": -64512.0, ""99"": -64512.0}"
burgers_long,Burgers — vRBA confirmatoire,burgers,m5,vrba,vrba_minus_m5,importance_effective_sample_fraction,0,,,,,,{}
burgers_long,Burgers — vRBA confirmatoire,burgers,m5,vrba,vrba_minus_m5,importance_weight_mean,0,,,,,,{}
burgers_long,Burgers — vRBA confirmatoire,burgers,m5,vrba,vrba_minus_m5,importance_weight_max,0,,,,,,{}
burgers_long,Burgers — vRBA confirmatoire,burgers,m5,vrba,vrba_minus_m5,kde_pairwise_distance_evaluations,0,,,,,,{}
burgers_long,Burgers — vRBA confirmatoire,burgers,m5,vrba,vrba_minus_m5,vrba_attention_effective_sample_fraction,0,,,,,,{}
burgers_long,Burgers — vRBA confirmatoire,burgers,m5,vrba,vrba_minus_m5,vrba_multiplier_mean,0,,,,,,{}
burgers_long,Burgers — vRBA confirmatoire,burgers,m5,vrba,vrba_minus_m5,vrba_multiplier_max,0,,,,,,{}
burgers_long,Burgers — vRBA confirmatoire,burgers,m6,vrba,vrba_minus_m6,relative_l2,10,-0.2576800251502424,-0.3230344278040733,-0.1292263796614478,0.9,0.021484375,"{""11"": 0.20451787249671843, ""111"": -0.2644937783370248, ""22"": -0.16518306605271044, ""33"": -0.14259585631173388, ""44"": -0.09326969327018514, ""55"": -0.2684925929958422, ""66"": -0.37757626261230437, ""77"": -0.25086627196346, ""88"": -0.5311525280551675, ""99"": -0.27510480793532255}"
burgers_long,Burgers — vRBA confirmatoire,burgers,m6,vrba,vrba_minus_m6,max_abs_error,10,0.40111571400767276,0.20670961834144086,0.5759444380178933,0.1,0.021484375,"{""11"": 0.7028281213862104, ""111"": 0.44654457907133294, ""22"": 0.23978887733362608, ""33"": 0.5759444380178933, ""44"": 0.4900505311536527, ""55"": 0.3556868489440126, ""66"": 0.13358431388989755, ""77"": 0.599104661399398, ""88"": -0.5888591453345222, ""99"": 0.27983492279298416}"
burgers_long,Burgers — vRBA confirmatoire,burgers,m6,vrba,vrba_minus_m6,controller_weight_tv_per_update,10,-0.04449459687103768,-0.05961289212106702,-0.037654067178847284,1.0,0.001953125,"{""11"": -0.04463520875208545, ""111"": -0.07057830475352907, ""22"": -0.0443539849899899, ""33"": -0.05010916478519094, ""44"": -0.04864747948860497, ""55"": -0.03338782882552675, ""66"": -0.04192030553216781, ""77"": -0.03986806332237955, ""88"": -0.02521452254994424, ""99"": -0.07418701537099219}"
burgers_long,Burgers — vRBA confirmatoire,burgers,m6,vrba,vrba_minus_m6,temporal_mean_gradient_distribution_tv,10,0.15443005274476113,0.09302353681798159,0.2360876066341748,0.0,0.001953125,"{""11"": 0.06957409760009023, ""111"": 0.25775930266633346, ""22"": 0.11647297603587295, ""33"": 0.13255586864943156, ""44"": 0.2535868806818389, ""55"": 0.2360876066341748, ""66"": 0.17630423684009067, ""77"": 0.18247788011743965, ""88"": 0.011931271565553764, ""99"": 0.09309199764430007}"
burgers_long,Burgers — vRBA confirmatoire,burgers,m6,vrba,vrba_minus_m6,temporal_mean_physics_gradient_log_gap,10,0.7163057103553208,0.17761953508832085,1.0232563501630731,0.0,0.001953125,"{""11"": 0.0706667774864651, ""111"": 0.9850990994354274, ""22"": 0.08927873495516425, ""33"": 0.999017745632767, ""44"": 1.9299045016101488, ""55"": 1.061413600890719, ""66"": 0.5792122168260779, ""77"": 0.23123788269409995, ""88"": 0.26596033522147744, ""99"": 0.8533992038845637}"
burgers_long,Burgers — vRBA confirmatoire,burgers,m6,vrba,vrba_minus_m6,elapsed_seconds,10,4.548499459499681,4.252202264999369,4.959583185000156,0.0,0.001953125,"{""11"": 5.473286718000509, ""111"": 5.111957480000001, ""22"": 4.252202264999369, ""33"": 3.809029103999819, ""44"": 4.493722455999887, ""55"": 4.241232243000013, ""66"": 4.4468677010004285, ""77"": 4.6032764629994745, ""88"": 4.634317512000052, ""99"": 4.959583185000156}"
