experiment,label,problem,first_method,second_method,contrast,metric,n_pairs,median_difference,ci_low,ci_high,second_win_fraction,two_sided_sign_test_p,differences_by_seed
burgers_quick,Burgers — pilote vRBA sur backbone commun,burgers,m0,vrba,vrba_minus_m0,relative_l2,3,-0.08037124437146781,-0.10780797754030591,-0.031175879214799362,1.0,0.25,"{""11"": -0.10780797754030591, ""22"": -0.08037124437146781, ""33"": -0.031175879214799362}"
burgers_quick,Burgers — pilote vRBA sur backbone commun,burgers,m0,vrba,vrba_minus_m0,max_abs_error,3,-0.031124551608180062,-0.18692690620699248,-0.019311498499081203,1.0,0.25,"{""11"": -0.019311498499081203, ""22"": -0.18692690620699248, ""33"": -0.031124551608180062}"
burgers_quick,Burgers — pilote vRBA sur backbone commun,burgers,m0,vrba,vrba_minus_m0,controller_weight_tv_per_update,3,0.00017970448690699062,0.0001464151419127794,0.0003341947907857865,0.0,0.25,"{""11"": 0.00017970448690699062, ""22"": 0.0001464151419127794, ""33"": 0.0003341947907857865}"
burgers_quick,Burgers — pilote vRBA sur backbone commun,burgers,m0,vrba,vrba_minus_m0,temporal_mean_gradient_distribution_tv,3,-0.009000879909946788,-0.01999384392423753,0.0063296668559982075,0.6666666666666666,1.0,"{""11"": 0.0063296668559982075, ""22"": -0.01999384392423753, ""33"": -0.009000879909946788}"
burgers_quick,Burgers — pilote vRBA sur backbone commun,burgers,m0,vrba,vrba_minus_m0,temporal_mean_physics_gradient_log_gap,3,0.30762340058017595,0.19424078928852542,0.3079123845563156,0.0,0.25,"{""11"": 0.30762340058017595, ""22"": 0.19424078928852542, ""33"": 0.3079123845563156}"
burgers_quick,Burgers — pilote vRBA sur backbone commun,burgers,m0,vrba,vrba_minus_m0,elapsed_seconds,3,0.2768784270001561,0.21345322299976033,0.3444366189999073,0.0,0.25,"{""11"": 0.21345322299976033, ""22"": 0.2768784270001561, ""33"": 0.3444366189999073}"
burgers_quick,Burgers — pilote vRBA sur backbone commun,burgers,m0,vrba,vrba_minus_m0,residual_evaluations,3,0.0,0.0,0.0,0.0,,"{""11"": 0.0, ""22"": 0.0, ""33"": 0.0}"
burgers_quick,Burgers — pilote vRBA sur backbone commun,burgers,m0,vrba,vrba_minus_m0,importance_effective_sample_fraction,3,0.0,0.0,0.0,0.0,,"{""11"": 0.0, ""22"": 0.0, ""33"": 0.0}"
burgers_quick,Burgers — pilote vRBA sur backbone commun,burgers,m0,vrba,vrba_minus_m0,importance_weight_mean,3,0.0,0.0,0.0,0.0,,"{""11"": 0.0, ""22"": 0.0, ""33"": 0.0}"
burgers_quick,Burgers — pilote vRBA sur backbone commun,burgers,m0,vrba,vrba_minus_m0,importance_weight_max,3,0.0,0.0,0.0,0.0,,"{""11"": 0.0, ""22"": 0.0, ""33"": 0.0}"
burgers_quick,Burgers — pilote vRBA sur backbone commun,burgers,m0,vrba,vrba_minus_m0,kde_pairwise_distance_evaluations,3,0.0,0.0,0.0,0.0,,"{""11"": 0.0, ""22"": 0.0, ""33"": 0.0}"
burgers_quick,Burgers — pilote vRBA sur backbone commun,burgers,m0,vrba,vrba_minus_m0,vrba_attention_effective_sample_fraction,3,-0.02685568148363393,-0.03611121987843091,-0.010090495403507371,1.0,0.25,"{""11"": -0.03611121987843091, ""22"": -0.010090495403507371, ""33"": -0.02685568148363393}"
burgers_quick,Burgers — pilote vRBA sur backbone commun,burgers,m0,vrba,vrba_minus_m0,vrba_multiplier_mean,0,,,,,,{}
burgers_quick,Burgers — pilote vRBA sur backbone commun,burgers,m0,vrba,vrba_minus_m0,vrba_multiplier_max,0,,,,,,{}
burgers_quick,Burgers — pilote vRBA sur backbone commun,burgers,m5,vrba,vrba_minus_m5,relative_l2,3,-0.13734553413268535,-0.1970125841156386,-0.08247809133772521,1.0,0.25,"{""11"": -0.13734553413268535, ""22"": -0.08247809133772521, ""33"": -0.1970125841156386}"
burgers_quick,Burgers — pilote vRBA sur backbone commun,burgers,m5,vrba,vrba_minus_m5,max_abs_error,3,-0.12254729203453052,-0.13612652305405815,-0.0393387933100795,1.0,0.25,"{""11"": -0.0393387933100795, ""22"": -0.12254729203453052, ""33"": -0.13612652305405815}"
burgers_quick,Burgers — pilote vRBA sur backbone commun,burgers,m5,vrba,vrba_minus_m5,controller_weight_tv_per_update,3,-0.09207353291960997,-0.15533394599874237,-0.08160309227498053,1.0,0.25,"{""11"": -0.08160309227498053, ""22"": -0.09207353291960997, ""33"": -0.15533394599874237}"
burgers_quick,Burgers — pilote vRBA sur backbone commun,burgers,m5,vrba,vrba_minus_m5,temporal_mean_gradient_distribution_tv,3,-0.008266704112959253,-0.04644270322741456,-0.005029873980154684,1.0,0.25,"{""11"": -0.005029873980154684, ""22"": -0.04644270322741456, ""33"": -0.008266704112959253}"
