experiment,label,problem,first_method,second_method,contrast,metric,n_pairs,median_difference,ci_low,ci_high,second_win_fraction,two_sided_sign_test_p,differences_by_seed
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m5,vrba,vrba_minus_m5,relative_l2,10,-0.22516515284577376,-0.28762325374636755,-0.16604198787578567,1.0,0.001953125,"{""11"": -0.19155760346032286, ""111"": -0.25877270223122467, ""22"": -0.31465155617772383, ""33"": -0.26059495131501126, ""44"": -0.06536603415675835, ""55"": -0.1807212440237948, ""66"": -0.16604198787578567, ""77"": -0.33214793789281993, ""88"": -0.28232577637706374, ""99"": -0.15148793266542726}"
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m5,vrba,vrba_minus_m5,max_abs_error,10,0.12483497435307245,-0.12309358666430242,0.44903090500562554,0.3,0.34375,"{""11"": 0.26932762518389053, ""111"": 0.6287341848273605, ""22"": -0.3431601420386864, ""33"": 0.09697296871008154, ""44"": 0.7222909763800347, ""55"": 0.15269697999606335, ""66"": 0.2890896793633315, ""77"": -0.4762212073312675, ""88"": -0.06006400731789263, ""99"": 0.07904838463991237}"
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m5,vrba,vrba_minus_m5,controller_weight_tv_per_update,10,-0.06740764474220798,-0.1029066141011122,-0.05318863569555593,1.0,0.001953125,"{""11"": -0.04990837403408757, ""111"": -0.1155120021335041, ""22"": -0.05318863569555593, ""33"": -0.09744368188425762, ""44"": -0.09030122606872029, ""55"": -0.06899547583890489, ""66"": -0.06581981364551107, ""77"": -0.12862734365501186, ""88"": -0.04761406631431965, ""99"": -0.05436962007382255}"
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m5,vrba,vrba_minus_m5,temporal_mean_gradient_distribution_tv,10,0.10372815895494275,0.06478271380109624,0.16188252194474845,0.0,0.001953125,"{""11"": 0.06478271380109624, ""111"": 0.15675323547077025, ""22"": 0.05958359761363849, ""33"": 0.06853352582371164, ""44"": 0.18032468992208264, ""55"": 0.16994764533265497, ""66"": 0.1538173985568419, ""77"": 0.04260184027757501, ""88"": 0.13735387042771768, ""99"": 0.07010244748216782}"
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m5,vrba,vrba_minus_m5,temporal_mean_physics_gradient_log_gap,10,0.2377466406140263,0.18879888800412425,0.4037326097708265,0.1,0.021484375,"{""11"": 0.30357283933268664, ""111"": 0.24107753858399428, ""22"": 0.19500324989924178, ""33"": 0.47255595712157344, ""44"": 0.47189264922555796, ""55"": 0.22066026599800614, ""66"": 0.14318203336419016, ""77"": 0.4037326097708265, ""88"": -0.12994639264343627, ""99"": 0.23441574264405834}"
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m5,vrba,vrba_minus_m5,elapsed_seconds,10,0.49706416649996754,0.0036053400003766,0.6423147770003652,0.2,0.109375,"{""11"": 0.10758489600038956, ""111"": 0.48843178600009196, ""22"": -0.23533208800017746, ""33"": 0.03651525900022534, ""44"": -0.10037421599963636, ""55"": 0.5056965469998431, ""66"": 0.7411854120000498, ""77"": 0.5434441420006806, ""88"": 0.6177290669998001, ""99"": 1.174535883000317}"
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m5,vrba,vrba_minus_m5,residual_evaluations,10,-30976.0,-30976.0,-30976.0,1.0,0.001953125,"{""11"": -30976.0, ""111"": -30976.0, ""22"": -30976.0, ""33"": -30976.0, ""44"": -30976.0, ""55"": -30976.0, ""66"": -30976.0, ""77"": -30976.0, ""88"": -30976.0, ""99"": -30976.0}"
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m5,vrba,vrba_minus_m5,importance_effective_sample_fraction,0,,,,,,{}
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m5,vrba,vrba_minus_m5,importance_weight_mean,0,,,,,,{}
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m5,vrba,vrba_minus_m5,importance_weight_max,0,,,,,,{}
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m5,vrba,vrba_minus_m5,kde_pairwise_distance_evaluations,0,,,,,,{}
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m5,vrba,vrba_minus_m5,vrba_attention_effective_sample_fraction,0,,,,,,{}
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m5,vrba,vrba_minus_m5,vrba_multiplier_mean,0,,,,,,{}
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m5,vrba,vrba_minus_m5,vrba_multiplier_max,0,,,,,,{}
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m6,vrba,vrba_minus_m6,relative_l2,10,-0.2275980742843275,-0.2981552058450438,-0.16425780415783664,1.0,0.001953125,"{""11"": -0.18548334901985492, ""111"": -0.25397114188042685, ""22"": -0.33191929171290613, ""33"": -0.2981552058450438, ""44"": -0.05767282131370588, ""55"": -0.20122500668822813, ""66"": -0.15220259425821253, ""77"": -0.31226990882481986, ""88"": -0.27505063098401067, ""99"": -0.16425780415783664}"
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m6,vrba,vrba_minus_m6,max_abs_error,10,0.043864399416321476,-0.16831356419646892,0.4401101700486732,0.3,0.34375,"{""11"": 0.26246426538316703, ""111"": 0.6177560747141794, ""22"": -0.35026113460509345, ""33"": 0.05496527112956562, ""44"": 0.701935154086023, ""55"": 0.013634006212155603, ""66"": 0.3282882135480729, ""77"": -0.40438671398283366, ""88"": -0.03478030587173664, ""99"": 0.03276352770307733}"
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m6,vrba,vrba_minus_m6,controller_weight_tv_per_update,10,-0.06493911624339811,-0.09965440397581785,-0.051322876721992414,1.0,0.001953125,"{""11"": -0.0448413032681694, ""111"": -0.12481047944017373, ""22"": -0.051322876721992414, ""33"": -0.09838198892826744, ""44"": -0.09397939862371066, ""55"": -0.06684189979879565, ""66"": -0.06303633268800057, ""77"": -0.13196739353458178, ""88"": -0.04974383101831055, ""99"": -0.058956782045951}"
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m6,vrba,vrba_minus_m6,temporal_mean_gradient_distribution_tv,10,0.10278094473246797,0.05919202342176069,0.1626396116451961,0.0,0.001953125,"{""11"": 0.05919202342176069, ""111"": 0.15693650318160413, ""22"": 0.05278210554426152, ""33"": 0.06807008443072426, ""44"": 0.1815112775151954, ""55"": 0.16841468064988374, ""66"": 0.15686454264050848, ""77"": 0.045068273828786004, ""88"": 0.13737298930022146, ""99"": 0.06818890016471449}"
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m6,vrba,vrba_minus_m6,temporal_mean_physics_gradient_log_gap,10,0.23077736931965548,0.17786901879923106,0.42253814837879783,0.1,0.021484375,"{""11"": 0.28985659089687177, ""111"": 0.23291593532775312, ""22"": 0.16183786617093454, ""33"": 0.4712463958637829, ""44"": 0.48742065361136744, ""55"": 0.22863880331155784, ""66"": 0.17786901879923106, ""77"": 0.42253814837879783, ""88"": -0.1201833236635586, ""99"": 0.21620602503536301}"
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m6,vrba,vrba_minus_m6,elapsed_seconds,10,0.8418982434993723,0.6393587405002563,1.09313606600017,0.0,0.001953125,"{""11"": 0.21291459100075372, ""111"": 1.1178993170001377, ""22"": 0.6414291890005188, ""33"": 0.8275275609994424, ""44"": 0.743934753999838, ""55"": 0.8562689259993022, ""66"": 0.5347827270006746, ""77"": 1.0703083749999678, ""88"": 1.0683728150002025, ""99"": 1.1829967229996328}"
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m6,vrba,vrba_minus_m6,residual_evaluations,10,-30976.0,-30976.0,-30976.0,1.0,0.001953125,"{""11"": -30976.0, ""111"": -30976.0, ""22"": -30976.0, ""33"": -30976.0, ""44"": -30976.0, ""55"": -30976.0, ""66"": -30976.0, ""77"": -30976.0, ""88"": -30976.0, ""99"": -30976.0}"
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m6,vrba,vrba_minus_m6,importance_effective_sample_fraction,0,,,,,,{}
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m6,vrba,vrba_minus_m6,importance_weight_mean,0,,,,,,{}
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m6,vrba,vrba_minus_m6,importance_weight_max,0,,,,,,{}
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m6,vrba,vrba_minus_m6,kde_pairwise_distance_evaluations,0,,,,,,{}
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m6,vrba,vrba_minus_m6,vrba_attention_effective_sample_fraction,0,,,,,,{}
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m6,vrba,vrba_minus_m6,vrba_multiplier_mean,0,,,,,,{}
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m6,vrba,vrba_minus_m6,vrba_multiplier_max,0,,,,,,{}
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m7,vrba,vrba_minus_m7,relative_l2,10,-0.18827589041941833,-0.2607311959807708,-0.1157982510318884,1.0,0.001953125,"{""11"": -0.14885735997668853, ""111"": -0.22769442086214814, ""22"": -0.23472370088044953, ""33"": -0.2867386910810921, ""44"": -0.0186112008199526, ""55"": -0.10987909726524187, ""66"": -0.12171740479853493, ""77"": -0.3015720527805579, ""88"": -0.24308988264805292, ""99"": -0.12013648379313369}"
