experiment,label,problem,method,seed,status,failure_reason,relative_l2,max_abs_error,controller_weight_tv_per_update,temporal_mean_gradient_distribution_tv,temporal_mean_physics_gradient_log_gap,elapsed_seconds,residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_max,kde_pairwise_distance_evaluations,bias_concentration_correlation,n_observations,noise_kind,noise_level,run_dir
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,11,succeeded,,0.48811910582311957,0.9363906085047393,0.0,0.0588663437144377,0.13560944712240341,1.991623206999975,190976,0.36278599906138614,1.0,9.505598688087899,1638400,-0.08302660549600184,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h05_v1/vw/seed_00011
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,22,succeeded,,0.4972757767011979,0.8803192705379305,0.0,0.036596007940378115,0.20063220280941738,2.0396980660002555,190976,0.3708875212617673,1.0,9.834447576117828,1638400,0.17560031129547812,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h05_v1/vw/seed_00022
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,33,succeeded,,0.5434689228550441,1.2543732912807573,0.0,0.06825648647162051,0.27383951947489144,2.0853832770003464,190976,0.17821272200292038,0.9999999999999998,22.552564816021263,1638400,0.7090599474724973,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h05_v1/vw/seed_00033
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,44,succeeded,,0.4688559539286844,0.9371614383748499,0.0,0.0645124180750578,0.3062298631706043,2.382678118000058,190976,0.35580273592858525,1.0,10.845700832972396,1638400,0.37186385491136625,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h05_v1/vw/seed_00044
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,55,succeeded,,0.44855161219609435,0.984843235469961,0.0,0.09309426099756987,0.3479602080031812,2.2303917409999485,190976,0.30958948811758474,1.0,15.363590782016125,1638400,0.6346850877255239,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h05_v1/vw/seed_00055
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,66,succeeded,,0.4759725607599233,0.9453589916240113,0.0,0.1504013190253926,0.4141741286282688,2.133722570000373,190976,0.31251129428220953,0.9999999999999998,10.514342418649997,1638400,0.7825973156942397,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h05_v1/vw/seed_00066
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,77,succeeded,,0.5108305044450903,1.1746350686264204,0.0,0.06453321835752665,0.2375908357390383,2.1315536739998606,190976,0.11434878490178071,0.9999999999999999,35.817543189601615,1638400,-0.24507216358765316,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h05_v1/vw/seed_00077
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,88,succeeded,,0.4522187497472686,0.9844345394011945,0.0,0.05616011747875559,0.19496642512692738,2.1440137740000864,190976,0.2616707947916797,1.0,14.075116957545834,1638400,0.3532648868849163,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h05_v1/vw/seed_00088
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,99,succeeded,,0.47242730925099025,0.922668990790416,0.0,0.02993631598795836,0.19127271956103797,2.1292905929999506,190976,0.3600966653849896,1.0,10.711465793884116,1638400,0.5457218915671668,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h05_v1/vw/seed_00099
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,111,succeeded,,0.42038659233960235,0.8570547384903172,0.0,0.05073175828071074,0.16689630562374283,2.1750113100001727,190976,0.283795766461209,1.0000000000000002,14.1430007306742,1638400,0.17727330560678892,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h05_v1/vw/seed_00111
