case,label,bandwidth_scale,candidate_method,n_pairs,median_m7,median_candidate,median_m7_minus_candidate,ci95_low,ci95_high,m7_win_fraction,two_sided_sign_test_p
burgers_sparse_noisy,Burgers — 13 observations bruitées,0.5,vw,10,0.5526756069224763,0.47419993500545676,0.07101634357482114,0.016095984077212577,0.1164574397574373,0.1,0.021484375
burgers_sparse_noisy,Burgers — 13 observations bruitées,0.5,vwca,10,0.5526756069224763,0.5412016679606464,-0.010171489724982719,-0.032323433820300784,0.03637606739906757,0.5,1.0
burgers_sparse_noisy,Burgers — 13 observations bruitées,1.0,vw,10,0.5526756069224763,0.5228839861071021,0.008966952769679293,-0.025500226025126693,0.052170602311180675,0.5,1.0
burgers_sparse_noisy,Burgers — 13 observations bruitées,1.0,vwca,10,0.5526756069224763,0.5739957219722518,-0.028460241218167426,-0.05624428958385588,-0.007787697630573104,0.9,0.021484375
burgers_sparse_noisy,Burgers — 13 observations bruitées,2.0,vw,10,0.5526756069224763,0.5282190853408049,0.01499748597090439,-0.04776407580114664,0.06688695857428617,0.5,1.0
burgers_sparse_noisy,Burgers — 13 observations bruitées,2.0,vwca,10,0.5526756069224763,0.5715632714209027,-0.033021686075429574,-0.05679707468762657,-0.004308411493624598,0.9,0.021484375
wave,Équation des ondes,0.5,vw,10,0.30566110861767837,0.2792763246374008,0.02996270451754579,0.021123853831521378,0.049325072788625496,0.0,0.001953125
wave,Équation des ondes,0.5,vwca,10,0.30566110861767837,0.314773797301103,-0.0019939389648849504,-0.010384568585041304,0.0009606059280066193,0.6,0.75390625
wave,Équation des ondes,1.0,vw,10,0.30566110861767837,0.282548956002184,0.028029420246066278,0.019873499995401056,0.048285106051313226,0.0,0.001953125
wave,Équation des ondes,1.0,vwca,10,0.30566110861767837,0.3146083960689783,-0.002573080443780268,-0.015406064605446801,0.0036755945490850317,0.6,0.75390625
wave,Équation des ondes,2.0,vw,10,0.30566110861767837,0.2832566467243005,0.028700192835558025,0.01837686516815429,0.047097524550254316,0.0,0.001953125
wave,Équation des ondes,2.0,vwca,10,0.30566110861767837,0.31404916526874194,-0.0019216603451411296,-0.007197669540887186,0.003255632658829999,0.7,0.34375
