experiment,label,problem,method,n_success,n_expected,relative_l2_median,relative_l2_q1,relative_l2_q3,relative_l2_ci_low,relative_l2_ci_high,max_abs_error_median,max_abs_error_q1,max_abs_error_q3,max_abs_error_ci_low,max_abs_error_ci_high,controller_weight_tv_per_update_median,controller_weight_tv_per_update_q1,controller_weight_tv_per_update_q3,controller_weight_tv_per_update_ci_low,controller_weight_tv_per_update_ci_high,temporal_mean_gradient_distribution_tv_median,temporal_mean_gradient_distribution_tv_q1,temporal_mean_gradient_distribution_tv_q3,temporal_mean_gradient_distribution_tv_ci_low,temporal_mean_gradient_distribution_tv_ci_high,temporal_mean_physics_gradient_log_gap_median,temporal_mean_physics_gradient_log_gap_q1,temporal_mean_physics_gradient_log_gap_q3,temporal_mean_physics_gradient_log_gap_ci_low,temporal_mean_physics_gradient_log_gap_ci_high,elapsed_seconds_median,elapsed_seconds_q1,elapsed_seconds_q3,elapsed_seconds_ci_low,elapsed_seconds_ci_high,residual_evaluations_median,residual_evaluations_q1,residual_evaluations_q3,residual_evaluations_ci_low,residual_evaluations_ci_high,importance_effective_sample_fraction_median,importance_effective_sample_fraction_q1,importance_effective_sample_fraction_q3,importance_effective_sample_fraction_ci_low,importance_effective_sample_fraction_ci_high,importance_weight_mean_median,importance_weight_mean_q1,importance_weight_mean_q3,importance_weight_mean_ci_low,importance_weight_mean_ci_high,importance_weight_max_median,importance_weight_max_q1,importance_weight_max_q3,importance_weight_max_ci_low,importance_weight_max_ci_high,kde_pairwise_distance_evaluations_median,kde_pairwise_distance_evaluations_q1,kde_pairwise_distance_evaluations_q3,kde_pairwise_distance_evaluations_ci_low,kde_pairwise_distance_evaluations_ci_high
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,10,10,0.47419993500545676,0.45637805079262256,0.4949866089816783,0.4522187497472686,0.4994748051341049,0.9412602149994306,0.9260993952189969,0.9847410614527694,0.9083549395213348,1.0795348040138075,0.0,0.0,0.0,0.0,0.0,0.06168938089474775,0.052088848080221954,0.06732566944309705,0.046378062709566854,0.07881373967754826,0.21911151927422784,0.19219614595251033,0.29813227724667607,0.1809313653753351,0.31089986373903633,2.1326381220001167,2.0963601060002475,2.167261926000151,2.084494329500103,2.1872027575000175,190976.0,190976.0,190976.0,190976.0,190976.0,0.31105039119989714,0.26720203770906203,0.3590231830208885,0.2310042442320647,0.3600966653849896,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,12.460408895259114,10.563623262458528,15.058443269180643,10.272956685000972,18.34778277334773,1638400.0,1638400.0,1638400.0,1638400.0,1638400.0
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vwca,10,10,0.5412016679606464,0.5040007136622551,0.5943932195477436,0.48722692462803285,0.5989488297996484,0.9992400072420686,0.9722478614340998,1.0827118626718708,0.9542496222786742,1.1120359731037877,0.07499138237285155,0.06240573673451718,0.09586479555469576,0.061309612574498455,0.10004740825748007,0.053521499338624934,0.04120366596333201,0.05927791585108812,0.03964372523909786,0.06535925252642434,0.250475897117891,0.2087945214698038,0.32147937904307267,0.1919419505188685,0.3260038472844378,2.2009170604999326,2.1694026769999937,2.3898886797499017,2.1663413490000494,2.428342596999755,197376.0,197376.0,197376.0,197376.0,197376.0,0.3626236509875689,0.31232238877703006,0.39586107109305513,0.29394285336556475,0.418714494585416,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,9.46027842527607,7.328538493688429,14.904241642856636,7.229041778656278,16.224091337721358,1638400.0,1638400.0,1638400.0,1638400.0,1638400.0
sparse_noisy_h10,Burgers bruité — KDE 1×Scott,burgers,vw,10,10,0.5228839861071021,0.5154471051616328,0.5406904807269727,0.5134557333649779,0.5447595182466749,1.006540823311315,0.9683929785143176,1.137935889549238,0.9625011104381865,1.1718571043468566,0.0,0.0,0.0,0.0,0.0,0.08115647871110447,0.06998653719761194,0.09041993889752131,0.05796543530900346,0.09361837642729304,0.27044775133312454,0.19256344391742033,0.3241246667037732,0.1829444428612835,0.3364350794147708,2.143485647500029,2.1034444070000973,2.388154975999896,2.0841180195000106,2.477421895999896,190976.0,190976.0,190976.0,190976.0,190976.0,0.797903575523595,0.7605430214366695,0.8096436105884879,0.7594152889553105,0.816063542555197,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,3.686923069141619,3.2599662490556707,4.240152028671828,3.2225633040779513,4.300973024701923,1638400.0,1638400.0,1638400.0,1638400.0,1638400.0
sparse_noisy_h10,Burgers bruité — KDE 1×Scott,burgers,vwca,10,10,0.5739957219722518,0.5311285425289217,0.6035154712102576,0.5180055647848317,0.6088788932885256,1.0039850558795855,0.9581960050733952,1.0609862149124822,0.952588404563956,1.076140776219944,0.07380053641076816,0.05749724108520538,0.09131189311810164,0.05641233030977829,0.09541312000324992,0.06754821747290715,0.04429084270322192,0.07404416958147622,0.04019848413548372,0.07919149746877316,0.2021158908391884,0.17434566854212372,0.317336154568153,0.15855765546982492,0.33578642010297394,2.2702451179998206,2.1910848185000305,2.328718808249846,2.1775551460000315,2.4370156114998736,197376.0,197376.0,197376.0,197376.0,197376.0,0.8013304073908902,0.7906192619419928,0.8185549131735868,0.7826080039584049,0.8202254752257699,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,3.357270857138837,3.29262217654383,3.8924952104713384,3.1093909734030003,3.9420232780728695,1638400.0,1638400.0,1638400.0,1638400.0,1638400.0
sparse_noisy_h20,Burgers bruité — KDE 2×Scott,burgers,vw,10,10,0.5282190853408049,0.5115503529213551,0.550500260018651,0.5112558227587759,0.5559006033181769,0.9923677643795079,0.9486923645672619,1.0678154229121009,0.9409932391852213,1.1103515330129028,0.0,0.0,0.0,0.0,0.0,0.10491178041204943,0.08624523230135046,0.11620983155761098,0.0816204416915037,0.11719110511577455,0.4196158235023829,0.35563396223464183,0.46894829373121305,0.34143498648344056,0.4804310899147567,2.1348797504999766,2.045662112249829,2.1670303832497666,2.0352387799998723,2.2018143894999866,190976.0,190976.0,190976.0,190976.0,190976.0,0.977937262085378,0.9756402085800213,0.979915945103241,0.9740963237681504,0.9800819742083059,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.5007083880836132,1.4757163848805317,1.5271296024057919,1.4677856984089168,1.6047170551252419,1638400.0,1638400.0,1638400.0,1638400.0,1638400.0
sparse_noisy_h20,Burgers bruité — KDE 2×Scott,burgers,vwca,10,10,0.5715632714209027,0.535607947155198,0.6057663399560193,0.5350901823863131,0.6103279959690373,0.9933195393508021,0.9617634696526123,1.050665243113275,0.9529405349564153,1.068060075379492,0.07385693987617947,0.05594929064583595,0.08965326078366471,0.05489066360976901,0.09651418966428751,0.07827015434655779,0.0601368852397788,0.09315279546812685,0.05438392795281599,0.10703872562088215,0.35689515950460915,0.31384573254101905,0.4798169060660662,0.30657404466336596,0.48561404079895604,2.2007556890000615,2.1765930904999777,2.22301787625031,2.1577584469998783,2.235324779000166,197376.0,197376.0,197376.0,197376.0,197376.0,0.9784535904532031,0.975883071854635,0.9794305858579263,0.9752172250264728,0.9796631798513636,1.0,1.0,1.0,0.9999999999999999,1.0,1.5252450940415354,1.5034742125447067,1.571374858654557,1.5003240507836615,1.5989811102913736,1638400.0,1638400.0,1638400.0,1638400.0,1638400.0
wave_h05,"Ondes — KDE 0,5×Scott",wave,vw,10,10,0.2792763246374008,0.27196420911990876,0.285534659127352,0.26907153464529265,0.3069168546677681,0.5167782797016439,0.44121072471572115,0.5469388938428268,0.4253099278742777,0.5478647581256275,0.0,0.0,0.0,0.0,0.0,0.07639330935683972,0.07360460079455597,0.0814550851361816,0.07060356483348545,0.09742636285179823,0.4059772467991616,0.32127768709487864,0.44565868883898924,0.31876005607933766,0.4584606638615337,2.647579788500252,2.614335730999983,2.673366813749908,2.6094071649999933,2.679539723499829,190976.0,190976.0,190976.0,190976.0,190976.0,0.5198228162761248,0.4683858732259584,0.6116170465742079,0.46715125619650166,0.6238378152625556,1.0,1.0,1.0,1.0,1.0,8.824668849226109,7.270053880631514,9.208782713099167,6.520314842247665,9.349464434923505,1638400.0,1638400.0,1638400.0,1638400.0,1638400.0
wave_h05,"Ondes — KDE 0,5×Scott",wave,vwca,10,10,0.314773797301103,0.301435119548473,0.32539656968272496,0.30068834822264423,0.36609766511794106,0.5147724080332792,0.4413421118293956,0.5390548537251023,0.4338265799114412,0.5401897000338032,0.0742126938049679,0.06457173854448271,0.09049379197458378,0.06315613057265744,0.09453773617076507,0.06025259499715016,0.05197286401739749,0.07472714536724202,0.045490559991617656,0.0900925984781474,0.4084680737483091,0.34760067702859304,0.47304251827815685,0.3356941613002892,0.4768742493408431,2.7337595649999002,2.6897487004998766,2.808163491499954,2.6758075205000296,2.821693241000048,197376.0,197376.0,197376.0,197376.0,197376.0,0.4851391453114913,0.472129879427336,0.5020935904082976,0.45107384028515163,0.5756280713112023,1.0,1.0,1.0,1.0,1.0,9.909297881340962,6.647049951617406,10.8275709607936,5.661517394070577,11.607193535402367,1638400.0,1638400.0,1638400.0,1638400.0,1638400.0
wave_h10,Ondes — KDE 1×Scott,wave,vw,10,10,0.282548956002184,0.2735473382814842,0.28855899488296965,0.27046430721362646,0.30719011514454336,0.5231233168856539,0.4433865555947133,0.5447120511770587,0.4302148317631733,0.5460305044995983,0.0,0.0,0.0,0.0,0.0,0.06045758088517118,0.05518382931404611,0.08198699753570865,0.05395321828114409,0.09623488573613913,0.32495843208798764,0.2870347343957677,0.3813539732710832,0.2830101887091332,0.3825235745517125,2.661364351000202,2.641301558000009,2.6977992592500186,2.5803046854998684,2.7066184059999614,190976.0,190976.0,190976.0,190976.0,190976.0,0.8331181206038221,0.7965222257406741,0.8435026108705364,0.7921350920840854,0.8458377503709817,1.0,1.0,1.0,1.0,1.0,3.148650243841315,2.853703339168945,3.4012158658049834,2.8522948450438945,3.46219038512612,1638400.0,1638400.0,1638400.0,1638400.0,1638400.0
wave_h10,Ondes — KDE 1×Scott,wave,vwca,10,10,0.3146083960689783,0.29935162460645404,0.3323059288752322,0.297668916121381,0.3702255701993083,0.50615327043642,0.4368666462650297,0.5365450572605739,0.42719081463162517,0.5387777870724835,0.07284324139036513,0.06316920862944952,0.08822964385047481,0.06260548441405697,0.09111136959082114,0.05009870844455735,0.046839364052005054,0.07469020744599744,0.03913881286975954,0.08264438563793974,0.35304962175933896,0.3133328665116553,0.38422426017815353,0.297608916577333,0.38802756951962564,2.6462823224999283,2.625534831749974,2.7421303842500038,2.6244687769999473,2.7505379684998843,197376.0,197376.0,197376.0,197376.0,197376.0,0.8239316055260744,0.8133179016818639,0.8529623359939853,0.8114053941810031,0.8564169900799179,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,3.2327217559602017,2.963140442376838,3.5241322027163706,2.9464504093093264,3.6940169611909566,1638400.0,1638400.0,1638400.0,1638400.0,1638400.0
