experiment,label,problem,first_method,second_method,contrast,metric,n_pairs,median_difference,ci_low,ci_high,second_win_fraction,two_sided_sign_test_p,differences_by_seed
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,vwca,vwca_minus_vw,relative_l2,10,0.06878741061634261,0.015283679384288068,0.10715766264271082,0.2,0.109375,"{""11"": 0.015531914065669894, ""111"": 0.19347387671703337, ""22"": -0.053165942481725514, ""33"": 0.10087031004438884, ""44"": 0.05543427254319844, ""55"": 0.13217477659593485, ""66"": 0.08214054868948678, ""77"": 0.0881183253545581, ""88"": -0.0020551269630857405, ""99"": 0.03262248573166188}"
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,vwca,vwca_minus_vw,max_abs_error,10,0.022444090692689156,-0.045538454191824895,0.09795778750920353,0.4,0.75390625,"{""11"": 0.03871855551789294, ""111"": 0.22587638030760349, ""22"": -0.045538454191824895, ""33"": -0.11235543936690284, ""44"": 0.03416709164107823, ""55"": 0.16174848337732883, ""66"": 0.07801185883749362, ""77"": -0.09258097433269952, ""88"": -0.009428683712579544, ""99"": 0.010721089744300083}"
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,vwca,vwca_minus_vw,controller_weight_tv_per_update,10,0.07499138237285155,0.061309612574498455,0.10004740825748007,0.0,0.001953125,"{""11"": 0.05805938970491684, ""111"": 0.11089565176190208, ""22"": 0.08407374188682208, ""33"": 0.098086672488575, ""44"": 0.08919916475305807, ""55"": 0.061309612574498455, ""66"": 0.06590902285888102, ""77"": 0.12050577380063085, ""88"": 0.06569410921457336, ""99"": 0.05231488609561247}"
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,vwca,vwca_minus_vw,temporal_mean_gradient_distribution_tv,10,-0.007120815552957353,-0.01803567114790547,-0.00031091063732506877,0.8,0.109375,"{""11"": -0.0006808333263240984, ""111"": -0.011088033041612884, ""22"": -0.001283887149429376, ""33"": -0.01803567114790547, ""44"": -0.004870367069644839, ""55"": -0.020561266332834782, ""66"": -0.009371264036269866, ""77"": -0.018649730221492182, ""88"": 0.0006620658747792385, ""99"": 0.002148497387551185}"
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,vwca,vwca_minus_vw,temporal_mean_physics_gradient_log_gap,10,0.008695318705998406,-0.0029228465331330444,0.03567624964869506,0.3,0.34375,"{""11"": -0.0029228465331330444, ""111"": -0.010697113434054412, ""22"": 0.0021806087920201167, ""33"": 0.07396897483802578, ""44"": 0.007485791983489587, ""55"": -0.023892920997115652, ""66"": 0.009904845428507225, ""77"": 0.03567624964869506, ""88"": 0.0317732259479753, ""99"": 0.036411989287010615}"
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,vwca,vwca_minus_vw,elapsed_seconds,10,0.16241381849977188,0.02674973500006672,0.28454194899995855,0.1,0.021484375,"{""11"": 0.20604008500004056, ""111"": 0.31294580699977814, ""22"": 0.2348288620000858, ""33"": 0.1187875519995032, ""44"": -0.21633676900000864, ""55"": 0.28454194899995855, ""66"": 0.044864090999453765, ""77"": 0.02674973500006672, ""88"": 0.014162749999741209, ""99"": 0.2990520039998046}"
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,vwca,vwca_minus_vw,residual_evaluations,10,6400.0,6400.0,6400.0,0.0,0.001953125,"{""11"": 6400.0, ""111"": 6400.0, ""22"": 6400.0, ""33"": 6400.0, ""44"": 6400.0, ""55"": 6400.0, ""66"": 6400.0, ""77"": 6400.0, ""88"": 6400.0, ""99"": 6400.0}"
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,vwca,vwca_minus_vw,importance_effective_sample_fraction,10,0.0248911229296096,-0.0070154515425780994,0.1456597618623741,0.3,0.34375,"{""11"": 0.004489224210895926, ""111"": 0.24245558575100906, ""22"": -0.0070154515425780994, ""33"": 0.1352042164446005, ""44"": -0.08133396764497663, ""55"": 0.0023680507692817043, ""66"": 0.04886393797373911, ""77"": 0.35580498099676927, ""88"": -0.008747328824307399, ""99"": 0.04529302164832327}"
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,vwca,vwca_minus_vw,importance_weight_mean,10,0.0,-1.1102230246251565e-16,5.551115123125783e-17,0.4,0.6875,"{""11"": 0.0, ""111"": -2.220446049250313e-16, ""22"": 0.0, ""33"": 2.220446049250313e-16, ""44"": -1.1102230246251565e-16, ""55"": 0.0, ""66"": 0.0, ""77"": 1.1102230246251565e-16, ""88"": -1.1102230246251565e-16, ""99"": -1.1102230246251565e-16}"
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,vwca,vwca_minus_vw,importance_weight_max,10,-3.0168094372332113,-6.002966063836835,0.5468647194458587,0.7,0.34375,"{""11"": 0.5468647194458587, ""111"": -7.587033903920013, ""22"": -2.207418937332945, ""33"": -4.746057690747186, ""44"": 8.27985740324288, ""55"": -4.418898223753658, ""66"": -1.6462489756316163, ""77"": -28.588501410945337, ""88"": 2.148974380175524, ""99"": -3.8261999371334774}"
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vw,vwca,vwca_minus_vw,kde_pairwise_distance_evaluations,10,0.0,0.0,0.0,0.0,,"{""11"": 0.0, ""111"": 0.0, ""22"": 0.0, ""33"": 0.0, ""44"": 0.0, ""55"": 0.0, ""66"": 0.0, ""77"": 0.0, ""88"": 0.0, ""99"": 0.0}"
sparse_noisy_h10,Burgers bruité — KDE 1×Scott,burgers,vw,vwca,vwca_minus_vw,relative_l2,10,0.04409928020612386,0.005764091434555307,0.07771580145071066,0.2,0.109375,"{""11"": 0.010380283954278924, ""111"": 0.07016776836820582, ""22"": -0.036484608880631986, ""33"": 0.08999640110542095, ""44"": 0.041944559728610664, ""55"": 0.06543520179600038, ""66"": 0.04625400068363705, ""77"": 0.10470152638661151, ""88"": -0.014037029201899198, ""99"": 0.025565212071009813}"
sparse_noisy_h10,Burgers bruité — KDE 1×Scott,burgers,vw,vwca,vwca_minus_vw,max_abs_error,10,-0.042270009427467836,-0.0954145144326129,0.004149217129046423,0.8,0.109375,"{""11"": 0.01934821039909085, ""111"": -0.11162942196479708, ""22"": -0.009132238665473524, ""33"": -0.08513843388067333, ""44"": -0.10654179125654872, ""55"": -0.047288419640791446, ""66"": -0.011049776140998002, ""77"": 0.11591036295293122, ""88"": -0.037251599214144226, ""99"": -0.08428723760867707}"
sparse_noisy_h10,Burgers bruité — KDE 1×Scott,burgers,vw,vwca,vwca_minus_vw,controller_weight_tv_per_update,10,0.07380053641076816,0.05641233030977829,0.0969812458952525,0.0,0.001953125,"{""11"": 0.05552058656318689, ""111"": 0.10533931397346119, ""22"": 0.08548692603303865, ""33"": 0.0922081315517876, ""44"": 0.0886231778170438, ""55"": 0.05641233030977829, ""66"": 0.06075197341148666, ""77"": 0.11667108323530463, ""88"": 0.06211414678849767, ""99"": 0.04631012425043169}"
