experiment,label,problem,first_method,second_method,contrast,metric,n_pairs,median_difference,ci_low,ci_high,second_win_fraction,two_sided_sign_test_p,differences_by_seed
burgers_long,Burgers — M7 contre VW,burgers,m5,m7,m7_minus_m5,relative_l2,10,-0.0847896196064806,-0.20845008745432925,0.1816112401767101,0.7,0.34375,"{""11"": -0.29900987243750216, ""111"": -0.01096135680603938, ""22"": -0.2582822925017367, ""33"": 0.047541343689203985, ""44"": -0.002387440176016553, ""55"": 0.4383365111638792, ""66"": 0.36560992052943675, ""77"": -0.15861788240692182, ""88"": -0.17621559268772827, ""99"": -0.18039746935254264}"
burgers_long,Burgers — M7 contre VW,burgers,m5,m7,m7_minus_m5,max_abs_error,10,0.17098609496745132,-0.09412666545977233,0.33115137991297905,0.2,0.109375,"{""11"": -0.4380805496686927, ""111"": 0.21643887409788132, ""22"": -0.24040823703354475, ""33"": 0.12553331583702132, ""44"": 0.25545677803978517, ""55"": 0.43112743350250327, ""66"": 0.9110997640187513, ""77"": 0.0027622568438157025, ""88"": 0.23117532632345483, ""99"": 0.05215490611400009}"
burgers_long,Burgers — M7 contre VW,burgers,m5,m7,m7_minus_m5,controller_weight_tv_per_update,10,0.004833405134292434,0.0013714483962363397,0.00591886372993514,0.1,0.021484375,"{""11"": 0.005503887152846984, ""111"": 0.004801786559096494, ""22"": 0.005163660257341864, ""33"": 0.00466007296453963, ""44"": 0.004865023709488374, ""55"": 0.006972703750381906, ""66"": 0.0013386575830935318, ""77"": 0.0013714483962363397, ""88"": -0.002939380036079735, ""99"": 0.020524752149049516}"
burgers_long,Burgers — M7 contre VW,burgers,m5,m7,m7_minus_m5,temporal_mean_gradient_distribution_tv,10,-0.0641734050699817,-0.10816347110924468,-0.024290218434055585,1.0,0.001953125,"{""11"": -0.11446449906643606, ""111"": -0.009625156643128283, ""22"": -0.06353103381182358, ""33"": -0.1053089287395795, ""44"": -0.024290218434055585, ""55"": -0.06481577632813984, ""66"": -0.10186244315205328, ""77"": -0.05814870457568218, ""88"": -0.13142159648033658, ""99"": -0.014110861387121282}"
burgers_long,Burgers — M7 contre VW,burgers,m5,m7,m7_minus_m5,temporal_mean_physics_gradient_log_gap,10,-0.342042173427164,-0.5046778890570096,-0.21072361645665022,1.0,0.001953125,"{""11"": -0.571798144665717, ""111"": -0.13281781786897334, ""22"": -0.2886294150443271, ""33"": -0.3844821360614737, ""44"": -0.1272972661807883, ""55"": -0.29960221079285426, ""66"": -0.38510205772129547, ""77"": -0.5046778890570096, ""88"": -0.7628676371512644, ""99"": -0.25188031922794885}"
burgers_long,Burgers — M7 contre VW,burgers,m5,m7,m7_minus_m5,elapsed_seconds,10,-11.011130451500208,-12.126000723999823,-8.144962339000244,1.0,0.001953125,"{""11"": -12.19252409300043, ""111"": -8.144962339000244, ""22"": -12.851420025999914, ""33"": -12.126000723999823, ""44"": -11.772208663000015, ""55"": -11.471606702000258, ""66"": -10.550654201000157, ""77"": -7.419541588000357, ""88"": -7.218158522000067, ""99"": -9.299290520999989}"
burgers_long,Burgers — M7 contre VW,burgers,m5,m7,m7_minus_m5,residual_evaluations,10,0.0,0.0,0.0,0.0,,"{""11"": 0.0, ""111"": 0.0, ""22"": 0.0, ""33"": 0.0, ""44"": 0.0, ""55"": 0.0, ""66"": 0.0, ""77"": 0.0, ""88"": 0.0, ""99"": 0.0}"
burgers_long,Burgers — M7 contre VW,burgers,m5,m7,m7_minus_m5,importance_effective_sample_fraction,0,,,,,,{}
burgers_long,Burgers — M7 contre VW,burgers,m5,m7,m7_minus_m5,importance_weight_mean,0,,,,,,{}
burgers_long,Burgers — M7 contre VW,burgers,m5,m7,m7_minus_m5,importance_weight_max,0,,,,,,{}
burgers_long,Burgers — M7 contre VW,burgers,m7u,m7,m7_minus_m7u,relative_l2,10,0.06430433785503528,-0.06866471197123136,0.17260174479133966,0.4,0.75390625,"{""11"": -0.07860991335882844, ""111"": -0.06866471197123136, ""22"": -0.005376489270004503, ""33"": 0.17260174479133966, ""44"": 0.09192798323808582, ""55"": 0.3039115457303393, ""66"": 0.23627661431774644, ""77"": 0.061571469365423126, ""88"": -0.10765726697116765, ""99"": 0.06703720634464744}"
burgers_long,Burgers — M7 contre VW,burgers,m7u,m7,m7_minus_m7u,max_abs_error,10,0.45874912417372776,0.2079009913253696,0.8655813870947302,0.1,0.021484375,"{""11"": 0.034604518392922334, ""111"": 0.4642304277147199, ""22"": 0.9550664987626037, ""33"": 1.0117819908662464, ""44"": 0.7939070949156034, ""55"": 0.23423130903050282, ""66"": 0.45326782063273563, ""77"": -0.1581832564277592, ""88"": 0.38119746425781686, ""99"": 0.7760962754268566}"
burgers_long,Burgers — M7 contre VW,burgers,m7u,m7,m7_minus_m7u,controller_weight_tv_per_update,10,0.004127393466125111,-0.0016201051598730663,0.010673087051535853,0.2,0.109375,"{""11"": 0.0013512255497701645, ""111"": 0.005818702860275318, ""22"": 0.0011496688693627966, ""33"": 0.006365481702454358, ""44"": 0.004384218316148367, ""55"": 0.003870568616101855, ""66"": -0.004591435869516297, ""77"": 0.015527471242796388, ""88"": -0.0060665539433053875, ""99"": 0.01614607527606897}"
burgers_long,Burgers — M7 contre VW,burgers,m7u,m7,m7_minus_m7u,temporal_mean_gradient_distribution_tv,10,-0.0643770294158229,-0.14039297674377654,-0.021646012604237777,1.0,0.001953125,"{""11"": -0.12468277525281081, ""111"": -0.002833542767235464, ""22"": -0.056222619422967524, ""33"": -0.12142855351826734, ""44"": -0.03240025676962956, ""55"": -0.07253143940867829, ""66"": -0.15935739996928572, ""77"": -0.032797885129069976, ""88"": -0.15991809626442993, ""99"": -0.010494140079405578}"
