experiment,label,problem,first_method,second_method,contrast,metric,n_pairs,median_difference,ci_low,ci_high,second_win_fraction,two_sided_sign_test_p,differences_by_seed
burgers_quick,Burgers — pilote M7 contre VW,burgers,m5,m7,m7_minus_m5,relative_l2,3,-0.03721932218064039,-0.04704795465447931,0.004223531234783806,0.6666666666666666,1.0,"{""11"": 0.004223531234783806, ""22"": -0.03721932218064039, ""33"": -0.04704795465447931}"
burgers_quick,Burgers — pilote M7 contre VW,burgers,m5,m7,m7_minus_m5,max_abs_error,3,0.003912649682059621,-0.029496462644147625,0.02420961794722598,0.3333333333333333,1.0,"{""11"": 0.003912649682059621, ""22"": 0.02420961794722598, ""33"": -0.029496462644147625}"
burgers_quick,Burgers — pilote M7 contre VW,burgers,m5,m7,m7_minus_m5,controller_weight_tv_per_update,3,0.002678596674796807,0.0008169007839308323,0.0027233671868276688,0.0,0.25,"{""11"": 0.0027233671868276688, ""22"": 0.0008169007839308323, ""33"": 0.002678596674796807}"
burgers_quick,Burgers — pilote M7 contre VW,burgers,m5,m7,m7_minus_m5,temporal_mean_gradient_distribution_tv,3,-0.015422167968254543,-0.02318206787411034,-0.009086099389738679,1.0,0.25,"{""11"": -0.009086099389738679, ""22"": -0.02318206787411034, ""33"": -0.015422167968254543}"
burgers_quick,Burgers — pilote M7 contre VW,burgers,m5,m7,m7_minus_m5,temporal_mean_physics_gradient_log_gap,3,-0.2196310090335295,-0.21969662497818127,-0.12573612491673325,1.0,0.25,"{""11"": -0.12573612491673325, ""22"": -0.21969662497818127, ""33"": -0.2196310090335295}"
burgers_quick,Burgers — pilote M7 contre VW,burgers,m5,m7,m7_minus_m5,elapsed_seconds,3,0.6495666190000975,0.33939857099994697,0.7457452070000272,0.0,0.25,"{""11"": 0.33939857099994697, ""22"": 0.6495666190000975, ""33"": 0.7457452070000272}"
burgers_quick,Burgers — pilote M7 contre VW,burgers,m5,m7,m7_minus_m5,residual_evaluations,3,0.0,0.0,0.0,0.0,,"{""11"": 0.0, ""22"": 0.0, ""33"": 0.0}"
burgers_quick,Burgers — pilote M7 contre VW,burgers,m5,m7,m7_minus_m5,importance_effective_sample_fraction,3,-0.3453934947294298,-0.3848880655662996,-0.18336263154474486,1.0,0.25,"{""11"": -0.18336263154474486, ""22"": -0.3453934947294298, ""33"": -0.3848880655662996}"
burgers_quick,Burgers — pilote M7 contre VW,burgers,m5,m7,m7_minus_m5,importance_weight_mean,3,0.030341220654417356,-0.014962201043480228,0.053142918139874595,0.3333333333333333,1.0,"{""11"": -0.014962201043480228, ""22"": 0.030341220654417356, ""33"": 0.053142918139874595}"
burgers_quick,Burgers — pilote M7 contre VW,burgers,m5,m7,m7_minus_m5,importance_weight_max,3,3.493067214832461,3.4893410841025396,3.9200472285319314,0.0,0.25,"{""11"": 3.493067214832461, ""22"": 3.4893410841025396, ""33"": 3.9200472285319314}"
burgers_quick,Burgers — pilote M7 contre VW,burgers,m7u,m7,m7_minus_m7u,relative_l2,3,-0.023224334895413645,-0.04654664541750775,0.0026400859282984523,0.6666666666666666,1.0,"{""11"": 0.0026400859282984523, ""22"": -0.023224334895413645, ""33"": -0.04654664541750775}"
burgers_quick,Burgers — pilote M7 contre VW,burgers,m7u,m7,m7_minus_m7u,max_abs_error,3,0.010783900948972747,0.0008593759859094607,0.047411947221705164,0.0,0.25,"{""11"": 0.010783900948972747, ""22"": 0.047411947221705164, ""33"": 0.0008593759859094607}"
burgers_quick,Burgers — pilote M7 contre VW,burgers,m7u,m7,m7_minus_m7u,controller_weight_tv_per_update,3,0.0014864281226215498,0.000697521541268703,0.0027196946660458937,0.0,0.25,"{""11"": 0.0027196946660458937, ""22"": 0.0014864281226215498, ""33"": 0.000697521541268703}"
burgers_quick,Burgers — pilote M7 contre VW,burgers,m7u,m7,m7_minus_m7u,temporal_mean_gradient_distribution_tv,3,-0.018318289056565684,-0.018863388753919897,-0.009821069170220922,1.0,0.25,"{""11"": -0.009821069170220922, ""22"": -0.018318289056565684, ""33"": -0.018863388753919897}"
burgers_quick,Burgers — pilote M7 contre VW,burgers,m7u,m7,m7_minus_m7u,temporal_mean_physics_gradient_log_gap,3,-0.16810008508389607,-0.2568163012972421,-0.16034588570130034,1.0,0.25,"{""11"": -0.16034588570130034, ""22"": -0.16810008508389607, ""33"": -0.2568163012972421}"
