experiment,label,problem,first_method,second_method,contrast,metric,n_pairs,median_difference,ci_low,ci_high,second_win_fraction,two_sided_sign_test_p,differences_by_seed
sparse_clean,Burgers — 13 observations propres,burgers,m5,m7,m7_minus_m5,relative_l2,10,-0.04096806860632257,-0.05677119512109363,-0.030963666992277816,0.9,0.021484375,"{""11"": -0.042700243483634326, ""111"": -0.031078281369076532, ""22"": -0.07992785529727431, ""33"": 0.026143739766080865, ""44"": -0.046754833336805746, ""55"": -0.07084214675855294, ""66"": -0.044324583077250734, ""77"": -0.030575885112262058, ""88"": -0.03923589372901082, ""99"": -0.031351448872293575}"
sparse_clean,Burgers — 13 observations propres,burgers,m5,m7,m7_minus_m5,max_abs_error,10,0.02019791381753766,-0.07738955651106383,0.10287082605271436,0.5,1.0,"{""11"": -0.07738955651106383, ""111"": 0.07371861522435341, ""22"": -0.09105460333227144, ""33"": 0.13441526890920907, ""44"": 0.15290891639577642, ""55"": -0.09785899620508487, ""66"": -0.027502446126351998, ""77"": -0.04718169569286368, ""88"": 0.07132638319621964, ""99"": 0.06789827376142732}"
sparse_clean,Burgers — 13 observations propres,burgers,m5,m7,m7_minus_m5,controller_weight_tv_per_update,10,0.004228206790012234,0.0029693392102955185,0.005648146664616119,0.0,0.001953125,"{""11"": 0.0027018172027645296, ""111"": 0.007177184801135092, ""22"": 0.0029693392102955185, ""33"": 0.005074210326168324, ""44"": 0.006759748734702628, ""55"": 0.0045365445945296096, ""66"": 0.003933498546842787, ""77"": 0.003359378268700669, ""88"": 0.0016349861081522282, ""99"": 0.004522915033181682}"
sparse_clean,Burgers — 13 observations propres,burgers,m5,m7,m7_minus_m5,temporal_mean_gradient_distribution_tv,10,-0.036776203193611516,-0.06637370781802343,-0.023605514962989137,0.9,0.021484375,"{""11"": -0.054921655248109894, ""111"": -0.04178462917915235, ""22"": -0.09754759768203734, ""33"": -0.03176777720807068, ""44"": -0.02408526294826132, ""55"": -0.02273794422043318, ""66"": 0.01619690932562433, ""77"": -0.024473085705545093, ""88"": -0.07782576038793698, ""99"": -0.05994886664418975}"
sparse_clean,Burgers — 13 observations propres,burgers,m5,m7,m7_minus_m5,temporal_mean_physics_gradient_log_gap,10,-0.3674656013894043,-0.47003020917329386,-0.23658325550626935,1.0,0.001953125,"{""11"": -0.4175177262167248, ""111"": -0.4125896742772803, ""22"": -0.5274707440693074, ""33"": -0.3472291552584277, ""44"": -0.1536211807557653, ""55"": -0.30693581982679585, ""66"": -0.16623069118574285, ""77"": -0.387702047520381, ""88"": -0.5363354999777482, ""99"": -0.3069026674045706}"
sparse_clean,Burgers — 13 observations propres,burgers,m5,m7,m7_minus_m5,elapsed_seconds,10,-0.54532032599991,-1.1163698719998933,-0.18945197800007918,0.8,0.109375,"{""11"": -1.4508930139995755, ""111"": 0.05784166500006904, ""22"": -0.4367456210002274, ""33"": -1.398991285999955, ""44"": -0.28100397699984114, ""55"": -0.8337484579998318, ""66"": -0.6181329010000809, ""77"": 0.2688013580009283, ""88"": -0.9497980550004286, ""99"": -0.4725077509997391}"
sparse_clean,Burgers — 13 observations propres,burgers,m5,m7,m7_minus_m5,residual_evaluations,10,0.0,0.0,0.0,0.0,,"{""11"": 0.0, ""111"": 0.0, ""22"": 0.0, ""33"": 0.0, ""44"": 0.0, ""55"": 0.0, ""66"": 0.0, ""77"": 0.0, ""88"": 0.0, ""99"": 0.0}"
sparse_clean,Burgers — 13 observations propres,burgers,m5,m7,m7_minus_m5,importance_effective_sample_fraction,0,,,,,,{}
sparse_clean,Burgers — 13 observations propres,burgers,m5,m7,m7_minus_m5,importance_weight_mean,0,,,,,,{}
sparse_clean,Burgers — 13 observations propres,burgers,m5,m7,m7_minus_m5,importance_weight_max,0,,,,,,{}
sparse_clean,Burgers — 13 observations propres,burgers,m7u,m7,m7_minus_m7u,relative_l2,10,-0.0482769836357444,-0.06621477084315802,-0.02998841761411075,1.0,0.001953125,"{""11"": -0.03323110727766598, ""111"": -0.026972016155998757, ""22"": -0.09617686520149255, ""33"": -0.023502486661213795, ""44"": -0.06332397004936563, ""55"": -0.061198018948043664, ""66"": -0.07123152273827238, ""77"": -0.05178277867412184, ""88"": -0.04477118859736695, ""99"": -0.02998841761411075}"
sparse_clean,Burgers — 13 observations propres,burgers,m7u,m7,m7_minus_m7u,max_abs_error,10,-0.0050155965780288025,-0.07185417395399413,0.03644165109007658,0.5,1.0,"{""11"": -0.031473949449299043, ""111"": 0.03352115825607871, ""22"": -0.10611276522154645, ""33"": 0.07264460568383235, ""44"": 0.04164002278990786, ""55"": -0.03759558268644181, ""66"": -0.12038657656903551, ""77"": -0.0629223443419964, ""88"": 0.031243279390245293, ""99"": 0.02144275629324144}"
sparse_clean,Burgers — 13 observations propres,burgers,m7u,m7,m7_minus_m7u,controller_weight_tv_per_update,10,0.004693927383504645,0.0032477941838770716,0.006579488801380241,0.0,0.001953125,"{""11"": 0.002852294555115799, ""111"": 0.007779943998186323, ""22"": 0.0032477941838770716, ""33"": 0.0064238665941704215, ""44"": 0.007605759989987623, ""55"": 0.00514091165620198, ""66"": 0.004093700403456427, ""77"": 0.004246943110807311, ""88"": 0.001066251844902756, ""99"": 0.005553217612772859}"
sparse_clean,Burgers — 13 observations propres,burgers,m7u,m7,m7_minus_m7u,temporal_mean_gradient_distribution_tv,10,-0.04020897926560286,-0.0682949342139065,-0.025580360926386617,0.9,0.021484375,"{""11"": -0.05369173300958967, ""111"": -0.04087839848670254, ""22"": -0.1073501407440703, ""33"": -0.03953956004450317, ""44"": -0.027263077379730653, ""55"": -0.028094849497525533, ""66"": 0.009245690134287998, ""77"": -0.0230658723552477, ""88"": -0.08289813541822336, ""99"": -0.06617044646346745}"
sparse_clean,Burgers — 13 observations propres,burgers,m7u,m7,m7_minus_m7u,temporal_mean_physics_gradient_log_gap,10,-0.3936011687005993,-0.4914355808153986,-0.2921175372996142,1.0,0.001953125,"{""11"": -0.4144519579841892, ""111"": -0.3727503794170094, ""22"": -0.5880246136353687, ""33"": -0.43487574724386785, ""44"": -0.2011065455818392, ""55"": -0.3319883172418925, ""66"": -0.2363770824067834, ""77"": -0.42677819583499693, ""88"": -0.5560929657958004, ""99"": -0.34785799219244506}"
sparse_clean,Burgers — 13 observations propres,burgers,m7u,m7,m7_minus_m7u,elapsed_seconds,10,0.052867600000013226,0.031533068999976877,0.07247280600006434,0.0,0.001953125,"{""11"": 0.0418122600000288, ""111"": 0.021125971999822468, ""22"": 0.04176335899990136, ""33"": 0.08659344800003055, ""44"": 0.021253877999924953, ""55"": 0.06766844600008426, ""66"": 0.05775937199996406, ""77"": 0.07247280600006434, ""88"": 0.04797582800006239, ""99"": 0.07744286599995576}"
sparse_clean,Burgers — 13 observations propres,burgers,m7u,m7,m7_minus_m7u,residual_evaluations,10,0.0,0.0,0.0,0.0,,"{""11"": 0.0, ""111"": 0.0, ""22"": 0.0, ""33"": 0.0, ""44"": 0.0, ""55"": 0.0, ""66"": 0.0, ""77"": 0.0, ""88"": 0.0, ""99"": 0.0}"
