id,problem,variant,seed,relative_l2,max_abs_error,q95_abs_error,q99_abs_error,dense_relative_l2,dense_max_abs_error,dense_q95_abs_error,dense_q99_abs_error,steps,elapsed_seconds,model_sha256
extreme__local_only__11,extreme,local_only,11,0.42639751435008,1.0130266561529802,0.6090881720090515,0.8704546005344727,0.43072284937764466,1.0130808904917261,0.6209732369537153,0.8802980731323558,600,3.2168877980002435,d6c81b6d981c606421160951390c52d1d3073067f87bcc0130de373a3a33f400
sparse_noisy__global_only__11,sparse_noisy,global_only,11,0.48391800165289184,0.9975748817359964,0.6985322033939095,0.8872411317238053,0.4873363855059072,0.9975748817359964,0.7083554918450448,0.882880309219423,600,5.374000617001002,70111ad746c7837437d6e4e76d5928173b14abfc5f3a7c417c66e695955887ff
sparse_clean__local_only__11,sparse_clean,local_only,11,0.3540835648073709,1.3826197587353337,0.4957250673647826,0.8267287659883578,0.3591690676568515,1.3987580013344745,0.5017610759638158,0.8620584939084532,600,3.6691179939989524,0950186c2da267a9dfbb670f401d12815f7a2054189d177b22b6b3a377db86b2
block_missing__full_quad__11,block_missing,full_quad,11,0.3444549118180286,1.1355176621555485,0.47083506624817684,0.8161254817586434,0.34987853499848404,1.1355176621555485,0.480068266561122,0.8435508452236419,600,5.199136303999694,c7a72a75e224d275608ee22f9695dc8d4afe89cafcac7f12b343e9bf261ea519
extreme__global_only__11,extreme,global_only,11,0.5426236497737927,1.0098725284787977,0.7035532423760225,0.8762067753937683,0.545705553769372,1.0098725284787977,0.7084769399745199,0.8794487800802611,600,6.714831915000104,e6d8a1f367f5d3c4ec22b9742c310ef4ee320eca1c226c53482b0ca98b8c8ce1
block_missing__full_exp__11,block_missing,full_exp,11,0.34468774314175127,0.9457731382081814,0.5050540154944589,0.7558961628967482,0.35008044145925016,0.9459361574804857,0.5160147928085062,0.7646162954880605,600,6.682121191999613,2304e8feec527a99c05fa64c1c421d8773b248ff2de6303021181c70a55997d2
sparse_clean__full_quad__11,sparse_clean,full_quad,11,0.34490600385594555,1.314642509176879,0.47196643170093794,0.7821755462684301,0.35007963417380356,1.3284055745098955,0.4817042499470172,0.8246154015629624,600,4.613663365998946,1c98a37b133eb9add1133a56a2ba3cb615f2e3f9f4844eb2561c7bd961c15d47
block_missing__neither__11,block_missing,neither,11,0.44021952783454804,1.0436023307505522,0.6306137017078302,0.9041994253093235,0.44430463065985243,1.0438061716616178,0.6419628047054312,0.9040159526241447,600,5.6536720500007505,691deeb8e32f6cdd8136a2680011fd214a4e28ac95c7d02b1843b6d935835431
sparse_clean__full_exp__11,sparse_clean,full_exp,11,0.35823934681641856,1.4311601750437084,0.5022364231285151,0.877943639595208,0.3632700565053968,1.43956211708301,0.5084801492274145,0.9106362737117343,600,7.057466296002531,5b3557b4f1b47d3f293e6caa5c99198b693a35fe0051b92a984e8283439e2fcf
extreme__neither__11,extreme,neither,11,0.5370426713576889,1.0105200145085091,0.7005315381526809,0.8771723540460951,0.5401777468480654,1.0105200145085091,0.7067630378652217,0.8798630274710078,600,3.19709789099943,833714a32042efa92a571581130d832d407f411274ab2666df4ed9a96465f0c1
sparse_noisy__local_only__11,sparse_noisy,local_only,11,0.35765893366754736,1.3782307348175764,0.5105815083363474,0.8304702112084739,0.3627495382088423,1.3863194017684293,0.5145298525872686,0.8740346402148631,600,3.3638659530006407,53c421dd5a2de7d8e0778d77c83f156e5ad68becf495bcee74f4726cedf8bf97
sparse_noisy__full_quad__11,sparse_noisy,full_quad,11,0.3483741465733038,1.3274988156882286,0.489074442980106,0.7994005116806143,0.3535845192672679,1.3362142517554503,0.4982726791389938,0.8398935583457349,600,5.559526860000915,d5c9ce02b00b6e758830648718dd0ec20e7da336c727bb0cb880bafea795e00c
sparse_clean__global_only__11,sparse_clean,global_only,11,0.49127983965882777,1.0432015880342818,0.7042696588061941,0.890691284491584,0.4945853953381441,1.0432015880342818,0.7139484985737501,0.8921050082365672,600,6.262614778999705,2118be023a3f2e1cfae9052237478bf86783af311972cff6bfa9ca98b6852609
extreme__full_quad__11,extreme,full_quad,11,0.4429962306766753,1.0152239425416034,0.6315135692620397,0.8932326286837472,0.44716192115961023,1.0154325966437376,0.6436536428829123,0.8992767415857202,600,4.914643613999942,93f2a951f3cd5f03b475051e717c935ee0802f8b89ce33940fe4d1e0228b2360
sparse_noisy__full_exp__11,sparse_noisy,full_exp,11,0.36142548962127646,1.388218784870192,0.519600320859101,0.8576776598123776,0.3664532648098556,1.3920424743458446,0.5264251557112011,0.886036134122006,600,6.616744472998107,16eb6d34d9e1201013f7acef71c0c0115bcfe8e1787e476f535d278c9cf83735
extreme__full_exp__11,extreme,full_exp,11,0.43174544648152546,1.0145959976767174,0.6134571679584124,0.8735956984727291,0.43600390234372405,1.0146638031289041,0.6258460508709422,0.8836670653737305,600,4.753033451001102,b4a659f4573804ef63a0957650e638eedecc00f459436a1dc9d6665516b10019
sparse_noisy__neither__11,sparse_noisy,neither,11,0.4838975986387219,0.989575683772513,0.698339550890721,0.8840000071159115,0.4873306461211663,0.989575683772513,0.709800042342143,0.8819505501797774,600,3.028933710000274,f1277be9e34b67c3ce419d224700074228fd95747ee8b3dd65874a1d3eb7a6e6
block_missing__local_only__11,block_missing,local_only,11,0.3500013300547134,0.9431458338781941,0.5094984408947023,0.7595245536690604,0.3553379867850017,0.9431458338781941,0.5194393868337506,0.7729359935414967,600,3.6575413579994347,f61e5bbbf56099d413cdb16f7971d6e804edaeab2266b6fe0ad695123bc5ebec
block_missing__global_only__11,block_missing,global_only,11,0.43772416285255666,1.0438381724504984,0.6278030262046395,0.90380035588667,0.4418368160916751,1.0440373885122958,0.6401052150767355,0.9035052158578714,600,4.439228640003421,15563fb9df2ac355904f8618f7232d6ad8a919ff0ed67ff2cfa13e965f2a6141
sparse_clean__neither__11,sparse_clean,neither,11,0.49103647614096607,1.0306401785796764,0.7071013850042516,0.8906143740416577,0.49436784554960567,1.0306401785796764,0.7143252495655572,0.8930970412933709,600,4.447675219998928,3351973e3708911d195c5c7f6f8a702425507183f744c2d8cfdf96a38e5ec648
block_missing__full_exp__22,block_missing,full_exp,22,0.43523725073287306,0.9721313803564579,0.6823630702469474,0.8694714149359546,0.4398272521797796,0.972426218449187,0.6925758253576426,0.8650678362126465,600,6.889635868999903,ef3d0ba5984c551e94354542e32e30573fa6982d7cea1cd96ee2b823f21c7ddf
extreme__full_quad__22,extreme,full_quad,22,0.478679903156292,1.0737597664585259,0.6860856260210074,0.9221249880731428,0.4824113790300885,1.0740084382004906,0.6910177489066925,0.951324633774908,600,5.71644398999706,aa4c37f5d059882ef5f2ef75cb35dd1f47dc100e42ea05960d5e61ab8ade4def
sparse_noisy__local_only__22,sparse_noisy,local_only,22,0.18492824014193537,0.7505330940295192,0.23117335644761716,0.5224990348785303,0.18877031447637962,0.8553493166363275,0.23191423002792477,0.5650831721195857,600,3.1005100670008687,f7c01b3a0559f7c012fc973923c250f3e986f26c7af030a0d5231a7a29b92f02
sparse_clean__local_only__22,sparse_clean,local_only,22,0.17230769812741697,0.5425544598851357,0.22771668007682627,0.4330682160620136,0.17596364531942438,0.7814465828899588,0.23075305364937915,0.44745641232892835,600,4.93123112199828,edb449b89b04a58d032705ecd1c79155b6fc4155ec6bc2bc41c5c2d259e36a5c
extreme__global_only__22,extreme,global_only,22,0.5336163091234162,0.9666327009826435,0.7135609418559576,0.8666483348228773,0.5369212024886868,0.9668366350989626,0.7182599647615411,0.8636783298136187,600,3.841319455001212,1cf425bd95ba4c2afb8cdcefa3c596de6efeda1bac15a18b3854b7553c3a6bb7
block_missing__neither__22,block_missing,neither,22,0.4642484240680969,1.0021046294985014,0.6756761356065062,0.867751806846519,0.46817216422125413,1.0021046294985014,0.6839167545473108,0.8711345604124063,600,2.5192867139994632,84cacace8ebdc6c504f4a3f44833c6ddc9190db8f81d6c82eae7ed9e81db11e6
sparse_noisy__global_only__22,sparse_noisy,global_only,22,0.444233259112374,0.901476600988758,0.570747231998485,0.7820717193204275,0.4480303907781637,0.901476600988758,0.5814902101908882,0.7836034208732447,600,5.087821213001007,a080e2caae3277389ce3cdf23724eb315072b0ca42b4090b88cbd87b0b6750c8
sparse_clean__global_only__22,sparse_clean,global_only,22,0.4519944023219974,0.9902895330328637,0.5910277726010816,0.8146515871669667,0.4557569687313048,0.9902895330328637,0.6002839397851691,0.8163408472745008,600,4.440591219001362,ada9c1208a14e8976fd0df7db263dc75f6b8c59e5000c0d1e0aa39795c333722
sparse_noisy__full_exp__22,sparse_noisy,full_exp,22,0.1891177468608644,0.7725970751724913,0.22986822895271308,0.5315680395002618,0.19274488715279053,0.8415628546450609,0.2290968867410227,0.5663584224710385,600,8.86260197500087,e81ddd0d5b18f0b27d11107c2f1fc4d4a0475689bde3c2e91a902c925c8eeba3
sparse_noisy__neither__22,sparse_noisy,neither,22,0.4506387673138618,0.9026578126804303,0.5854269374366574,0.7926382444311237,0.45439698110661064,0.9029479360300011,0.5962568493731698,0.7947596949736139,600,3.550245377002284,5abe4b16cb1677a74095cb54ce7b5deb36cbf725e66daf55cf4e01098c044996
