problem,metric,contrast,n_pairs,median_difference,mean_difference,ci95_low,ci95_high,n_negative,n_zero,n_positive,p_sign,p_holm_16
extreme,relative_l2,full_exp-local_only,10,0.0017718137758195585,0.0018328511239001921,-0.004244956445762699,0.0065864171247119185,4,0,6,0.75390625,1.0
extreme,relative_l2,full_exp-global_only,10,-0.06076778059162727,-0.06639071494472201,-0.08656943410842094,-0.028419466998708565,9,0,1,0.021484375,0.322265625
extreme,relative_l2,full_exp-full_quad,10,-0.004110746248217001,0.007289865272559548,-0.015670728592761973,0.013788170452814025,6,0,4,0.75390625,1.0
extreme,relative_l2,interaction,10,0.0008247937055708421,0.00030116643425860955,-0.0037201510518782843,0.0024168249932347563,5,0,5,1.0,1.0
sparse_noisy,relative_l2,full_exp-local_only,10,0.003536235808710597,0.0021176453364675275,-0.0013825600643365688,0.005046582660772431,2,0,8,0.109375,1.0
sparse_noisy,relative_l2,full_exp-global_only,10,-0.08674153522310665,-0.083260264246669,-0.147739000303459,-0.009857442855930404,8,0,2,0.109375,1.0
sparse_noisy,relative_l2,full_exp-full_quad,10,-0.010855868671277177,-0.024078340485217554,-0.0290428655483988,0.006008547526966029,7,0,3,0.34375,1.0
sparse_noisy,relative_l2,interaction,10,0.003048876489564867,0.0029839086583097474,-0.0008062145713160218,0.007227831725062737,3,0,7,0.34375,1.0
sparse_clean,relative_l2,full_exp-local_only,10,-7.39118828627372e-05,-0.0070147151887748616,-0.006247114222533601,0.003182869676572997,5,0,5,1.0,1.0
sparse_clean,relative_l2,full_exp-global_only,10,-0.09552767694783468,-0.10691375536299075,-0.18198370776498743,-0.016576599175069928,9,0,1,0.021484375,0.322265625
sparse_clean,relative_l2,full_exp-full_quad,10,-0.018354193609172287,-0.053097533595365544,-0.15562409925621673,0.009262609593122861,7,0,3,0.34375,1.0
sparse_clean,relative_l2,interaction,10,-0.00044132541523994595,-0.006337188612284122,-0.005027578472956484,0.003912418491185954,6,0,4,0.75390625,1.0
block_missing,relative_l2,full_exp-local_only,10,-0.004963737806083057,-0.003553339858273763,-0.007951104971453155,0.0014884308032273585,7,0,3,0.34375,1.0
block_missing,relative_l2,full_exp-global_only,10,-0.06999204893920241,-0.0710529580607502,-0.0938623279511071,-0.03466145394109266,10,0,0,0.001953125,0.03125
block_missing,relative_l2,full_exp-full_quad,10,0.001281360289742156,0.007233185294686256,-0.007818939714549611,0.010823181390034298,4,0,6,0.75390625,1.0
block_missing,relative_l2,interaction,10,-0.001857777601354027,-0.0017439109681140707,-0.005062066816077931,0.0024803760214995862,7,0,3,0.34375,1.0
extreme,max_abs_error,full_exp-local_only,10,-0.004540207190675827,-0.007489812019727859,-0.019294262089120107,0.0015693415237372221,7,0,3,0.34375,1.0
extreme,max_abs_error,full_exp-global_only,10,0.002629563797569623,0.03223711025553393,-0.1095939415261648,0.17301369124948912,4,0,6,0.75390625,1.0
extreme,max_abs_error,full_exp-full_quad,10,-0.06696047372058289,-0.09199597190214534,-0.12909719893114346,-0.005867819757877424,10,0,0,0.001953125,0.03125
extreme,max_abs_error,interaction,10,-0.0008314530931736175,0.00041005032269427757,-0.010655633059177383,0.008123755842384561,5,0,5,1.0,1.0
sparse_noisy,max_abs_error,full_exp-local_only,10,0.009777510598376726,0.015727474290475274,0.00025589480439913714,0.022063981142972144,2,0,8,0.109375,1.0
sparse_noisy,max_abs_error,full_exp-global_only,10,0.16010319134499995,0.17831888980539107,-0.026611296448612487,0.3087978094410678,2,0,8,0.109375,1.0
sparse_noisy,max_abs_error,full_exp-full_quad,10,-0.07692323157777281,-0.07413491648842611,-0.11895738303465953,0.06071996918196332,7,0,3,0.34375,1.0
sparse_noisy,max_abs_error,interaction,10,0.0025057508611680546,0.007952831533453575,-0.005982214121681206,0.013834699257955663,3,0,7,0.34375,1.0
sparse_clean,max_abs_error,full_exp-local_only,10,0.00567588288325005,0.002995570208198672,-0.006479755332389703,0.030427138697397327,4,0,6,0.75390625,1.0
sparse_clean,max_abs_error,full_exp-global_only,10,0.15140937161696127,0.07145111275952493,-0.25718794599243044,0.36344034910869705,4,0,6,0.75390625,1.0
sparse_clean,max_abs_error,full_exp-full_quad,10,-0.08965312534567427,-0.26443230940746537,-0.551479733341282,-0.02004168800709205,9,0,1,0.021484375,0.322265625
sparse_clean,max_abs_error,interaction,10,0.001150495077703706,-0.0031032497963625395,-0.013644613119975224,0.021030718648968882,4,0,6,0.75390625,1.0
block_missing,max_abs_error,full_exp-local_only,10,0.004679282021064879,0.005794290532786373,-0.0019126598653849136,0.013631872146086632,2,0,8,0.109375,1.0
block_missing,max_abs_error,full_exp-global_only,10,0.056952458700898045,0.05174719466382852,-0.06433904835784077,0.11975319451463728,4,0,6,0.75390625,1.0
block_missing,max_abs_error,full_exp-full_quad,10,-0.06488026944540048,-0.053588399966467345,-0.17482973449920558,0.05397905134300185,6,0,4,0.75390625,1.0
block_missing,max_abs_error,interaction,10,0.005328768829450381,0.004628887903159884,-0.004134109072055914,0.011672433649531355,2,0,8,0.109375,1.0
