step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.008946814999944763,0.6621246894277177,0.10068725636104127,0.2919053598642376,0.0971711681208752,0.17236090508156363,1.0,1.0,1.0,1.0,0.0,0.0,0,0.07685271137484502,0.050886027991618794,0.044948589648563256,1.0,1.0,0.0009765625,256,0.9752721631913218,0.9999999999999998,0.7793655100635594,1.5353809614394178,65536,0,0,512,768,nan,nan
25,0.08624712599976192,0.4962160304307115,0.007239807017759811,0.2662768036598415,0.06059151609070946,0.1621079036624007,1.0,1.0,1.0,1.0,0.0,0.0,0,0.05884413782767457,0.03873734739364843,0.08393204372333213,0.7738469204383315,0.9769911452382039,0.0017273831913301612,6400,0.9739626532485319,1.0,0.7833450692415704,1.7052156247317838,131072,0,1024,1024,8448,nan,nan
50,0.1645656739997321,0.44394995232416057,0.004317426682192029,0.2309602280611017,0.05525710064604892,0.15341519693481792,1.0,1.0,1.0,1.0,0.0,0.0,0,0.04820327032802231,0.03364456860058335,0.2476137990667553,0.7440585719372511,0.9755039298316144,0.0021331839397358784,12800,0.9742009516502339,1.0,0.8017960344780175,1.6704715530206324,196608,0,2048,1536,16384,nan,nan
75,0.24329920299987862,0.34898406451497577,0.013247206224707982,0.1675426375210458,0.035985113685369385,0.13220910708385256,1.0,1.0,1.0,1.0,0.0,0.0,0,0.045207526196474106,0.03546662580785233,0.29087785871318184,0.7784489265705911,0.9796302001696958,0.002241524736660014,19200,0.9736339656657268,1.0000000000000002,0.7956461356325412,1.5925279625359554,262144,0,3072,2048,24320,nan,nan
100,0.32598603999986153,0.3001869645167444,0.055132552125114004,0.11950047478840815,0.013120502268418838,0.1124334353348034,1.0,1.0,1.0,1.0,0.0,0.0,0,0.05320456293126605,0.03793975617295095,0.19615612396983376,0.816576533305718,0.9842591092697608,0.0020426811753951734,25600,0.9772579499956533,1.0,0.8015694525593173,1.5003741444402807,327680,0,4096,2560,32256,nan,nan
125,0.4060775019997891,0.2972050827780094,0.06165712365507467,0.114187804030872,0.010177469173489995,0.11118268591857272,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0919501585273321,0.06401619177879221,0.4020692569266659,0.7247115155446868,0.9746774082945642,0.002706187764452866,32000,0.9781329437632335,1.0,0.8128637954914655,1.5422036139138806,393216,0,5120,3072,40192,nan,nan
150,0.4881773859997338,0.29562795701632083,0.06050134576390621,0.11112166733294641,0.010135918841932049,0.11386902507753617,1.0,1.0,1.0,1.0,0.0,0.0,0,0.11559863244631852,0.08234892557778006,0.5404592703081504,0.6499929343695997,0.9639305100570079,0.002935838877031015,38400,0.979202772661134,1.0,0.8138442074040037,1.6238213124628302,458752,0,6144,3584,48128,nan,nan
175,0.5734614889997829,0.2932569206382817,0.06211248267290284,0.1083135938187938,0.0076118831670153216,0.11521896097956971,1.0,1.0,1.0,1.0,0.0,0.0,0,0.1415395279587897,0.09245918147376657,0.6555652955339079,0.6366999338453558,0.9622709730331735,0.002957189242779221,44800,0.979115575843952,1.0000000000000002,0.8226482981943884,1.5133437254485855,524288,0,7168,4096,56064,nan,nan
200,0.662801545000093,0.27984001039006867,0.05289427334751157,0.10497832150188019,0.006240707402368975,0.11572670813830792,1.0,1.0,1.0,1.0,0.0,0.0,0,0.11262671658715037,0.07686901458225641,0.49372424642935786,0.6568198182590292,0.9649655559971608,0.002791105861805333,51200,0.9785945747392085,1.0,0.8200868466084387,1.628155869698596,589824,0,8192,4608,64000,0.5839428025807674,0.9052108356612486
225,0.7467763169997852,0.27441279845311695,0.06388071670251759,0.0937258942249489,0.00475459612334678,0.11205159140230372,1.0,1.0,1.0,1.0,0.0,0.0,0,0.13052139067695082,0.08605578884012187,0.5059312990091498,0.6551267254054068,0.9643629368286886,0.0027924405056280873,57600,0.9734672813802395,0.9999999999999999,0.8201998733166544,1.6027657280477694,655360,0,9216,5120,71936,0.5839428025807674,0.9052108356612486
250,0.8296784419999312,0.2754377027613376,0.0678680806702335,0.0911254584389973,0.005014847913529602,0.11142931573857721,1.0,1.0,1.0,1.0,0.0,0.0,0,0.16058745886428472,0.0943775032544596,0.6419405524312687,0.6969689360840577,0.9699729016332624,0.0026031415882964,64000,0.976653444935461,1.0,0.8164424671350898,1.5442623128469621,720896,0,10240,5632,79872,0.5839428025807674,0.9052108356612486
275,0.9162757330000204,0.2731153638917754,0.06337908900713997,0.09260942699303917,0.00503769623429393,0.11208915165730228,1.0,1.0,1.0,1.0,0.0,0.0,0,0.1669016136482187,0.09552785541724923,0.6814112166123991,0.7268247949259927,0.9739185093235244,0.0024509594050012165,70400,0.9768691964354512,1.0,0.8161111634520034,1.549096357150136,786432,0,11264,6144,87808,0.5839428025807674,0.9052108356612486
300,0.9979977369998778,0.2635414933000248,0.05197760639514755,0.09401283854036926,0.005897601827348273,0.11165344653715968,1.0,1.0,1.0,1.0,0.0,0.0,0,0.13384474886197512,0.0793485727593107,0.529436241496921,0.7212390333645002,0.9726813272165373,0.002256132183806516,76800,0.9787250704005329,1.0,0.8028669743554551,1.5764840043933828,851968,0,12288,6656,95744,0.5839428025807674,0.9052108356612486
325,1.0850810429997182,0.2545413344857802,0.05092784049678506,0.08738107386356703,0.0062572971925764845,0.10997512293285162,1.0,1.0,1.0,1.0,0.0,0.0,0,0.1329863166024026,0.06710104593767649,0.49774901215917094,0.7518980119902877,0.9762357369365257,0.0023458949849598605,83200,0.9800979762787212,1.0,0.8000445816187312,1.5005776685744885,917504,0,13312,7168,103680,0.5839428025807674,0.9052108356612486
350,1.1706728559997828,0.2502349026331031,0.05163525061128608,0.08191258695814446,0.007664783273836205,0.10902228178983638,1.0,1.0,1.0,1.0,0.0,0.0,0,0.14345729227280715,0.071447540986007,0.5283180913751789,0.7496027903007488,0.9755065482839247,0.002347583142630728,89600,0.9790094273127684,1.0,0.7994069221591268,1.4595456672454648,983040,0,14336,7680,111616,0.5839428025807674,0.9052108356612486
375,1.256180317000144,0.24906162135813595,0.05103798400590173,0.08228616667564283,0.007073591622986861,0.1086638790536045,1.0,1.0,1.0,1.0,0.0,0.0,0,0.12727509540707002,0.07661057712849854,0.4327881573557496,0.7675845403440733,0.9779527563369662,0.002396264229101195,96000,0.9790742056763964,1.0,0.8013760607649524,1.5173689836436801,1048576,0,15360,8192,119552,0.5839428025807674,0.9052108356612486
400,1.346055521999915,0.24615344890191726,0.05063877714671031,0.08106585305395013,0.0065269751209046725,0.10792184358035216,1.0,1.0,1.0,1.0,0.0,0.0,0,0.1284976677240769,0.07632265504222523,0.4472877574015848,0.7720013657726391,0.9785107919818545,0.0026032016341495995,102400,0.9775835775640981,1.0,0.7975835997614452,1.4501401833071865,1114112,0,16384,8704,127488,0.5372088380908041,0.9123215305027896
425,1.43225060199984,0.24373285999019206,0.05159697933829509,0.07870530718724776,0.006126604154467372,0.10730396931018185,1.0,1.0,1.0,1.0,0.0,0.0,0,0.16084080113050614,0.0801264163543367,0.6351352785923468,0.7285794750571919,0.9735675398499767,0.0026331113320540037,108800,0.979565100946802,1.0,0.8018982681947724,1.4774810796381186,1179648,0,17408,9216,135424,0.5372088380908041,0.9123215305027896
450,1.5214921809997577,0.24185333436180168,0.04859312968280015,0.0819942791385978,0.005284094651080657,0.10598183088932307,1.0,1.0,1.0,1.0,0.0,0.0,0,0.17199238354878865,0.08207316114869888,0.682004985292537,0.7336327055940594,0.9748221367699269,0.0030385133452593424,115200,0.977524125167565,1.0,0.7987653813048514,1.582864371569834,1245184,0,18432,9728,143360,0.5372088380908041,0.9123215305027896
475,1.6157799220000015,0.24435934732747894,0.05095525369914755,0.08050957886855548,0.0053883594240726205,0.1075061553357033,1.0,1.0,1.0,1.0,0.0,0.0,0,0.21516493570594267,0.0916630393608729,0.9003904920740082,0.7137966010718584,0.9722244316129949,0.002869637317416739,121600,0.9786351599693518,1.0,0.8045805462670268,1.5457045706779764,1310720,0,19456,10240,151296,0.5372088380908041,0.9123215305027896
500,1.7003970870000558,0.23956373756778793,0.04293632611269356,0.08330609821057633,0.004846141077402363,0.10847517216711568,1.0,1.0,1.0,1.0,0.0,0.0,0,0.1844011232603786,0.08925101145489793,0.7271892152019405,0.7203891159110087,0.9730522785444083,0.0033097625912265694,128000,0.9792374840569159,1.0,0.8039765868324696,1.4444735054536701,1376256,0,20480,10752,159232,0.5372088380908041,0.9123215305027896
525,1.7793615299997327,0.23336313732350292,0.03850082247602179,0.0813993792293662,0.004803882802747253,0.10865905281536768,1.0,1.0,1.0,1.0,0.0,0.0,0,0.14739272414671928,0.07473671263611803,0.5527213892921184,0.714369510059785,0.9724594716304997,0.002944253504606813,134400,0.9792198209583401,1.0,0.8029893694129573,1.5055529354962993,1441792,0,21504,11264,167168,0.5372088380908041,0.9123215305027896
550,1.8610231039997416,0.23122184153608333,0.04341142561882698,0.07706108944715519,0.004114019651420133,0.10663530681868102,1.0,1.0,1.0,1.0,0.0,0.0,0,0.13296687129492427,0.08558688470179233,0.471723922287426,0.6913658827946504,0.9699085119105889,0.003569294418926872,140800,0.9779057602819079,1.0,0.791777265680476,1.5086384830262485,1507328,0,22528,11776,175104,0.5372088380908041,0.9123215305027896
