step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.013375607000398304,0.5464965322679626,0.007980888370188538,0.30814207386672665,0.08312697999477028,0.15314087092399067,1.0213548303095321,0.9665180905379613,0.965787901242129,1.0463391779103777,0.13538801643981946,0.13538801643981946,1,0.00923036954311909,0.027221471009537854,0.019483719868799168,1.0,1.0,0.0009765625,256,0.9775878080831647,1.0,0.781775881152213,1.4666690617228664,65536,256,0,512,1024,nan,nan
25,0.09447911300003398,0.5088529139085413,0.010424470186700775,0.2888110738667058,0.06322395540568518,0.15589855378226383,1.0488652641275862,0.9338144810298987,0.9309371239009134,1.0863831309416017,0.13510877369855623,0.2704967901383757,2,0.04318897889704091,0.046123564946362106,0.2328972740242582,0.7418826873826154,0.9733242181916857,0.0018152985507381644,6400,0.9768647010346029,1.0,0.7842071027079248,1.7027459669737888,131072,512,1024,1024,8960,nan,nan
50,0.1790232170001218,0.4055320034392405,0.010819179040623505,0.21465058409346538,0.05244102781060209,0.13697505614421054,1.0822220012245836,0.9013771292328913,0.8973250327963596,1.1190758367461655,0.13209888580312257,0.40259567594149825,3,0.037497967481099306,0.04618257591054074,0.22543124935799383,0.8689246143772694,0.9885715436455955,0.0019677256882877155,12800,0.9801414919357162,1.0,0.7907064396656639,1.39395134135235,196608,768,2048,1536,17152,nan,nan
75,0.26165727000034167,0.25621457856800284,0.07928199466209163,0.10247485004887252,0.0037510817853253827,0.06466265238119663,1.1721103740474041,0.8635893063078028,0.8574023416055581,1.1068979780392347,0.17977674564564128,0.5823724215871395,4,0.03578974981991973,0.04252110136873261,0.04697235990292751,0.8524770925651503,0.9869356662604659,0.001860848049454189,19200,0.9778052774878553,1.0,0.7892102143661958,1.4157174223945346,262144,1024,3072,2048,25344,nan,nan
100,0.34571404500002245,0.2513190376718891,0.06864322667927811,0.09719080821305134,0.008117969611119467,0.07108877307058882,1.2493419935108347,0.8284920162393464,0.8195235838632373,1.1026424063865812,0.1544632389268613,0.7368356605140008,5,0.07701223580753572,0.08174138917620084,0.2644485537694493,0.699129279888786,0.9701585468087335,0.002513685002963349,25600,0.9759636115035274,1.0,0.7984775976473144,1.4370036378747044,327680,1280,4096,2560,33536,nan,nan
125,0.4269666850000249,0.2583364502031009,0.06937322206195444,0.1046290732360354,0.006914253203788567,0.07093281683463946,1.3193129524827707,0.7960520635931133,0.7835414471990765,1.1010935367250392,0.1399419179438719,0.8767775784578727,6,0.10836662062552987,0.09721102532837805,0.48209002691404573,0.650388877896948,0.9642902609630587,0.00306725658686623,32000,0.9814714496317855,1.0,0.8209990068389975,1.4168181554812669,393216,1536,5120,3072,41728,nan,nan
150,0.509651200999997,0.24655511609886982,0.046943057982806076,0.1191558463277343,0.006406826750241915,0.07739431138082717,1.3738956898030028,0.7673216533880026,0.749847863356268,1.1089347934527263,0.12484798809583841,1.0016255665537113,7,0.0988791977490075,0.10114884759403808,0.4807469786238595,0.6375485575593471,0.9631472958208325,0.0032278964202105817,38400,0.9793227475734703,1.0,0.8167649606784545,1.4341092773546895,458752,1792,6144,3584,49920,nan,nan
175,0.5909962580003594,0.23834012045386208,0.04432375812557174,0.11607743020313852,0.00559941253500243,0.07629331806653986,1.4243837018714005,0.740451281597174,0.7179463082922977,1.1172187082391278,0.11754385370959819,1.1191694202633093,8,0.09139820923944475,0.09546465699958942,0.37668624809651813,0.6999371580561038,0.9716748846434166,0.0031173087059580794,44800,0.980245824923485,1.0,0.8063888368642051,1.5832955390402363,524288,2048,7168,4096,58112,nan,nan
200,0.6752868440003112,0.24174642603439883,0.050763050944581056,0.1085053588116747,0.006024609114394485,0.07590320570628836,1.4750397123241374,0.7145046648764624,0.6880226988939554,1.122432923905445,0.11174045223810791,1.2309098725014174,9,0.11053586988521293,0.10156281191495051,0.5087372806660665,0.685666351738484,0.9697521562567507,0.003064822238742669,51200,0.9798688962829145,1.0,0.8138769018913176,1.460657474362074,589824,2304,8192,4608,66304,0.6103107994677611,1.0545198528850517
225,0.764169929000218,0.24031832185969026,0.04371072155470742,0.11844545122575362,0.007173587009528324,0.07730751922927717,1.5180121944143357,0.6910895556460279,0.6607557878345023,1.1301424621051341,0.101364040579775,1.3322739130811923,10,0.10187422837588576,0.0893962002668406,0.5562468965255521,0.7047511853476565,0.9715431939157636,0.0025757630485661286,57600,0.9802911917425273,0.9999999999999999,0.8179987301308086,1.49740597193438,655360,2560,9216,5120,74496,0.6103107994677611,1.0545198528850517
