step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.014682524999898305,0.753053337680872,0.007421328230704875,0.7454296056235987,0.03417443541637061,nan,1.0729755765883957,0.9549814053962266,0.9720430180153778,nan,0.1459511531767913,0.1459511531767913,1,0.029224385280938667,0.002846005702895892,0.024654565368039977,1.0,1.0,0.0009765625,256,0.8362021800816839,1.0,0.4959225237271402,2.6593597052266897,65536,256,0,512,1024,nan,nan
25,0.11664540699985082,0.26219744797880673,0.0016411909291494382,0.18560847895556604,0.09322198423482805,nan,1.1109537837669012,0.9121844526343289,0.9768617635987701,nan,0.08559390552379542,0.23154505870058673,2,0.039599810052961884,0.04060904909261056,0.041018882509315374,0.9092465000428059,0.9926050897675758,0.0016228629440828617,6400,0.8298664931189695,1.0,0.5056335647797222,3.1516859285436056,131072,512,1024,1024,8960,nan,nan
50,0.22966162700004134,0.2399600414257877,0.0005357552740022378,0.19102082222048375,0.07324252249708144,nan,1.134095561653992,0.8718829885098383,0.9940214498361698,nan,0.08060292824898119,0.3121479869495679,3,0.02115849959917981,0.016905179185609586,0.14846155990639795,0.7243485373248636,0.9745529056756472,0.0028753514721924812,12800,0.8191005624812965,1.0,0.5023303022755223,2.82848291345626,196608,768,2048,1536,17152,nan,nan
75,0.3344951190001666,0.22895646057569344,0.0006233325201865939,0.19588411820496018,0.0647320468006258,nan,1.1632935373124067,0.8336701968250051,1.0030362658625882,nan,0.0764255833696662,0.3885735703192341,4,0.013407544686023747,0.007168177253593407,0.2177230571595969,0.678376293764011,0.9695916623657915,0.00326161750568335,19200,0.735148075697128,1.0000000000000002,0.47406633571304385,3.502383005443525,262144,1024,3072,2048,25344,nan,nan
100,0.437920259999828,0.2165560633850842,0.0006524929286744329,0.1925014801667381,0.06180914900073353,nan,1.1949648609326002,0.7973587315446182,1.0076764075227815,nan,0.07262293056077374,0.46119650088000785,5,0.01263720930878386,0.006667910594095814,0.7631251935469245,0.6955120801976711,0.971819686986497,0.003372286817275915,25600,0.797729479603812,0.9999999999999999,0.49210217123975264,2.974665026673766,327680,1280,4096,2560,33536,nan,nan
125,0.5428414520001752,0.19993558429175196,0.001492167834028041,0.18657321692092535,0.056068212167229584,nan,1.2418280940878361,0.7624612795119512,0.9957106264002127,nan,0.09372646631047177,0.5549229671904796,6,0.00731015104154582,0.006683527976782778,0.00027747198506250655,0.7238434893545652,0.9728681303437376,0.003012016364831209,32000,0.8412761463794943,0.9999999999999999,0.5046637379475304,3.085978256479722,393216,1536,5120,3072,41728,nan,nan
150,0.6472484109999641,0.18235041160362553,0.004088152582598496,0.17460755774251507,0.05124072066855684,nan,1.3008563954514967,0.7292638077492494,0.9698797967992541,nan,0.11805660272732099,0.6729795699178006,7,0.00788231600754865,0.009647226071329291,0.4472918900280398,0.7925293969169178,0.9805561802022594,0.0024697427885505526,38400,0.8466433632744816,0.9999999999999999,0.49951788748028564,2.957306879592527,458752,1792,6144,3584,49920,nan,nan
175,0.7522117329999674,0.16514973150871398,0.0045944918707252315,0.16387313831033132,0.04727715367167006,nan,1.3596412494815646,0.6977202376913136,0.9426385128271216,nan,0.11756970806013611,0.7905492779779367,8,0.020650759403907953,0.012308267175505832,0.8288984369426298,0.8059909642039969,0.9822148897817456,0.002576327425618952,44800,0.8730821200823314,1.0,0.5057533063413168,2.736659037813041,524288,2048,7168,4096,58112,nan,nan
200,0.8662185799998952,0.15226415206290717,0.006005808026373137,0.15666283431925196,0.04284740736689441,nan,1.4189864538934525,0.6677448075471052,0.9132687385594421,nan,0.1186904088237758,0.9092396868017125,9,0.015080927552289704,0.021384913938556113,0.49354315614462446,0.8064623438286445,0.9826942238121266,0.002502161288352676,51200,0.835469498315146,1.0,0.49834836036645563,3.635608588868959,589824,2304,8192,4608,66304,0.9245518462137471,1.0287514738279635
225,0.9724559500000396,0.13811897360363426,0.005207872149987199,0.1464185951327727,0.04158610571472611,nan,1.4749395352394974,0.6392708189826616,0.8857896457778407,nan,0.11190616269208997,1.0211458494938026,10,0.014494054719587455,0.024525018680031884,0.5209029793898303,0.8251848859314234,0.9838504247388068,0.002140759967414297,57600,0.8478755227446816,1.0,0.4991677345678536,3.6421006262055884,655360,2560,9216,5120,74496,0.9245518462137471,1.0287514738279635
