step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.01153792400009479,0.8325460119964535,0.014487941603280019,0.7821659845177181,0.035892085875455296,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.0320573186695096,0.012246910324425628,0.05224793975418616,1.0,1.0,0.0009765625,256,0.9752721631913218,0.9999999999999998,0.7793655100635594,1.5353809614394178,65536,0,0,512,768,nan,nan
25,0.11241647400038346,0.2597297624332836,0.004217405496941647,0.18661032291389318,0.0689020340224488,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.019212844134072947,0.033584949484704016,0.001681217876669928,0.9675996231544806,0.9974534348371037,0.001353345452629153,6400,0.9763336764795312,1.0000000000000002,0.7843243074732514,1.4895628190969517,131072,0,1024,1024,8448,nan,nan
50,0.220116653000332,0.2543497187207607,0.00033813346459610796,0.17677649562950667,0.0772350896266579,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.016509808645580857,0.03360581831253774,0.30532045740243047,0.753339258885497,0.9769591897753769,0.0026680866264897204,12800,0.9798892317091406,1.0,0.7846184363678795,1.4965019006688551,196608,0,2048,1536,16384,nan,nan
75,0.3205301130001317,0.2471292449382878,0.0007676766128264074,0.178524467824303,0.0678371005011584,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.01611073796897779,0.02964033129457507,0.386747649134194,0.7471389912096441,0.9762393888418789,0.0026461098883246758,19200,0.9802543196162051,1.0,0.7837202212905356,1.552558778408249,262144,0,3072,2048,24320,nan,nan
100,0.43453638200026035,0.238335142208936,0.0018041989529407904,0.17076459195001262,0.0657663513059826,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.010977042465222698,0.025990909049852694,0.44988301338666287,0.7422271378506451,0.9748344872016311,0.0024949637164978335,25600,0.9816660988259911,1.0,0.7736858462401375,1.412883315619317,327680,0,4096,2560,32256,nan,nan
125,0.5394945150001149,0.22735333407369387,0.004410272412604774,0.16211810484205672,0.06082495681903238,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.0076969899832490295,0.022661758544929814,0.4192494264170756,0.7504263089282512,0.975447640790231,0.0023322381666732893,32000,0.9805208620717857,1.0,0.7669351531954137,1.4987140185463403,393216,0,5120,3072,40192,nan,nan
150,0.6429304560001583,0.21608983030820308,0.00766113813928313,0.15254445963498303,0.05588423253393693,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.012249618007197758,0.02195026002433502,0.46606451965031753,0.7635344829189493,0.977352661413208,0.0025576727270769433,38400,0.9835463819057217,1.0,0.7669112623408214,1.4564472837335731,458752,0,6144,3584,48128,nan,nan
175,0.7487002430002576,0.20306168376048278,0.009257936734993831,0.14207915754056455,0.05172458948492438,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.010397423254512187,0.021308814927747697,0.3743113683829645,0.7606699785111691,0.9773452441498198,0.002667497272774876,44800,0.9826148034451974,1.0000000000000002,0.7719012011811299,1.4047152178588915,524288,0,7168,4096,56064,nan,nan
200,0.8516063629999735,0.18827115119432067,0.01209865631553805,0.12803714270414554,0.048135352174637075,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.004454412327652316,0.025868968737286658,0.07462291951569591,0.7738447459346003,0.9796888399498631,0.0028205887471636345,51200,0.9805374592115373,1.0,0.7770755814842127,1.4254895399858647,589824,0,8192,4608,64000,0.9072187118151063,1.0065086974374586
225,0.954469870000139,0.16954590263032454,0.012976045278124841,0.11254543240893833,0.04402442494326135,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.0062879884920787645,0.02876809115590384,0.003255203444166928,0.8028480486821211,0.9821834286065353,0.0026932119271430585,57600,0.9755475892822029,1.0,0.7825215875811828,1.4705044776563418,655360,0,9216,5120,71936,0.9072187118151063,1.0065086974374586
