step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.02463255000020581,0.6176359151391887,0.0017472437059979683,0.6210607632142959,0.023527767236572475,nan,1.0814590600826777,0.9549386590798873,0.963602280837435,nan,0.16291812016535534,0.16291812016535534,1,0.006653271703425173,0.0016416505294399755,0.0050950415788320125,1.0,1.0,0.0009765625,256,256,0,512,1024,nan,nan
25,0.15495257700058573,0.27903814329417126,0.0006182176717219542,0.2542652752288137,0.049188644162993136,nan,1.144390014208856,0.9121259740590884,0.9434840117320554,nan,0.125861908252357,0.28878002841771233,2,0.037410257625841915,0.0327072381290837,0.1245870417352471,1.0,1.0,0.0009765625,6400,512,0,1024,7936,nan,nan
50,0.2711531270006162,0.24806588256067846,0.0008571296943759181,0.20304790389635063,0.07584501708697797,nan,1.2044308808954196,0.8714311549754479,0.9241379641291325,nan,0.12008173337312689,0.4088617617908392,3,0.0486438807561536,0.06276950393763939,0.23233807219860314,1.0,1.0,0.0009765625,12800,768,0,1536,15104,nan,nan
75,0.3886912210000446,0.23312078439543177,0.00041588729262365625,0.19683073781510912,0.07525324380354431,nan,1.2545594634481254,0.8327936649638823,0.9126468715879924,nan,0.1002571651054115,0.5091189268962507,4,0.0470935710667664,0.06421434428313696,0.390055472247684,1.0,1.0,0.0009765625,19200,1024,0,2048,22272,nan,nan
100,0.5405430390001129,0.21702521872905134,0.0004232244124056409,0.1906740690945819,0.07194657713436589,nan,1.3049142196015706,0.796086279310017,0.8989995010884124,nan,0.10070951230689051,0.6098284392031412,5,0.04682850213978991,0.06337075559220569,0.34152481629816794,1.0,1.0,0.0009765625,25600,1280,0,2560,29440,nan,nan
125,0.6670181490007963,0.19640242564556043,0.0012166960578808535,0.1801678615635339,0.06598526486794488,nan,1.3658916403967996,0.7611797266405541,0.8729286329626464,nan,0.12195484159045777,0.731783280793599,6,0.04672028378186379,0.06544920871498836,0.05591363165183466,1.0,1.0,0.0009765625,32000,1536,0,3072,36608,nan,nan
150,0.7993229560006512,0.17135185009966264,0.0036299557945189964,0.16056246661636364,0.05866458848148186,nan,1.4322425865407586,0.7279938570057389,0.8397635564535028,nan,0.13270189228791796,0.864485173081517,7,0.05021298087501313,0.07187563777043106,0.012948148226066707,1.0,1.0,0.0009765625,38400,1792,0,3584,43776,nan,nan
175,0.947329107000769,0.1458929473212416,0.005438222289872304,0.13726980963176025,0.05230497821358742,nan,1.4977900991232995,0.6964596373975909,0.8057502634791099,nan,0.13109502516508176,0.9955801982465987,8,0.054878937441058435,0.0784296514563389,0.014785053360564227,1.0,1.0,0.0009765625,44800,2048,0,4096,50944,nan,nan
200,1.078950936000183,0.11961849026081955,0.005196334500443775,0.11476846286546184,0.04530524331447998,nan,1.5606141311683175,0.6665007826814956,0.7728850861501874,nan,0.12564806409003582,1.1212282623366345,9,0.059410399187994234,0.07906283322954363,0.0999339237537457,1.0,1.0,0.0009765625,51200,2304,0,4608,58112,0.9063531313913474,0.9972618597945964
225,1.2040732880004725,0.09292081458148106,0.0038498672523162372,0.0907926884456748,0.03875180288899161,nan,1.6199333456403289,0.6380409350179673,0.7420257193417044,nan,0.11863842894402266,1.2398666912806573,10,0.06521689442149514,0.08348802296770332,0.22705228019383433,1.0,1.0,0.0009765625,57600,2560,0,5120,65280,0.9063531313913474,0.9972618597945964
250,1.3268136840006264,0.06904503921389174,0.0029698251639453596,0.06590625084700573,0.033378480600576466,nan,1.6760025222068267,0.6110034739641008,0.7129940038290731,nan,0.11213835313299558,1.3520050444136529,11,0.07345097026729436,0.09132833159133939,0.5067710714714205,1.0,1.0,0.0009765625,64000,2816,0,5632,72448,0.9063531313913474,0.9972618597945964
275,1.4736846730002071,0.05249549221412286,0.0028920159559636446,0.04490001112341103,0.03095687028578367,nan,1.7294312767678324,0.5853141919553653,0.685254531276803,nan,0.10685750912201131,1.4588625535356643,12,0.09775436130675087,0.10547002806514438,0.49381385085887,1.0,1.0,0.0009765625,70400,3072,0,6144,79616,0.9063531313913474,0.9972618597945964
300,1.5981604510006946,0.040643787098175815,0.002110876858829095,0.03249646194689826,0.02828198382253143,nan,1.7792944476333707,0.5609095289517649,0.6597960234148649,nan,0.09972634173107686,1.558588895266741,13,0.1518883151715671,0.12530534148122913,0.10854560899827193,1.0,1.0,0.0009765625,76800,3328,0,6656,86784,0.9063531313913474,0.9972618597945964
325,1.7219498250005927,0.03209867145296237,0.0015495066484853502,0.02395832794362406,0.02571329840239453,nan,1.8249424141578443,0.5377271685222323,0.637330417319924,nan,0.09129593304894701,1.6498848283156882,14,0.21391675294128437,0.13997346923439116,0.5282403517727204,1.0,1.0,0.0009765625,83200,3584,0,7168,93952,0.9063531313913474,0.9972618597945964
350,1.8501089820001653,0.026666098549500812,0.0013209955321509923,0.017793230352534224,0.024332117893805853,nan,1.8668416410365027,0.5157044954373767,0.6174538635261211,nan,0.08379845375731698,1.733683282073005,15,0.2152027705466423,0.14738234627946598,0.2700643876786437,1.0,1.0,0.0009765625,89600,3840,0,7680,101120,0.9063531313913474,0.9972618597945964
375,1.9762047020003592,0.02263859611889108,0.001143747067582503,0.014493827437579784,0.022173153619483525,nan,1.905962608723692,0.49478327629068014,0.5992541149856284,nan,0.07824193537437857,1.8119252174473837,16,0.2938685104047789,0.15018047471519191,0.9602975195685525,1.0,1.0,0.0009765625,96000,4096,0,8192,108288,0.9063531313913474,0.9972618597945964
400,2.127803187000609,0.02048306218743024,0.001222005772862444,0.012800327032992078,0.02065219618893767,nan,1.9425751073217152,0.4749088494133237,0.5825160432649618,nan,0.0732249971960463,1.88515021464343,17,0.17697547017250476,0.15481487904812996,0.16560724784867475,1.0,1.0,0.0009765625,102400,4352,0,8704,115456,0.3821240051726323,0.5436354626555092
425,2.252693637000448,0.018113704911246597,0.0010829700685265383,0.011069184462396879,0.01927317143437675,nan,1.9771393132296993,0.45602792504115386,0.5668327617291475,nan,0.06912841181596807,1.954278626459398,18,0.23036428598383057,0.15897186892565557,1.248528295534895,1.0,1.0,0.0009765625,108800,4608,0,9216,122624,0.3821240051726323,0.5436354626555092
