step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.01348701099993832,0.4981241665980125,0.007086930138076276,0.5073496650270113,0.005279479892233577,nan,1.0342645160813877,0.956870890747056,1.0088645931715563,nan,0.086258218505888,0.086258218505888,1,0.0036915289411035904,0.0007644122116520247,0.0001696317809338505,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,256,0,512,1024,nan,nan
25,0.10836930899995423,0.25416075547440303,0.0015015096001144749,0.22660125300622386,0.04241899902373429,nan,1.0126512418258975,0.9139800455283328,1.0733687126457698,nan,0.12900823894842695,0.21526645745431494,2,0.03505439759737448,0.02235921729485552,0.3489473807519163,0.802334204402818,0.9808496878233183,0.0017251072132919213,6400,0.8233190952923481,0.9861072531750792,0.5666163120939646,4.215909375767971,512,1024,1024,8960,nan,nan
50,0.21080822999999782,0.23328541085015925,0.0004778018347101553,0.18436972430433138,0.06262792357436325,nan,0.9799898652352621,0.8732261960775998,1.1467839386871383,nan,0.14683045208273693,0.36209690953705187,3,0.03140623201437198,0.024708226973564888,0.21971406057846748,0.7021533681270968,0.9704136033297841,0.0026476397988790985,12800,0.7266184271511081,0.9524571004196455,0.3738338988823111,4.215909375767971,768,2048,1536,17152,nan,nan
75,0.30771573999993507,0.21742971521690363,0.0015694448007810384,0.18337864387140954,0.052419614349547644,nan,0.9659047208651173,0.8345151257703992,1.1995801533644836,nan,0.10559242935469071,0.4676893388917426,4,0.03281716567483565,0.026498788018762574,0.32378345725260604,0.7278542598136941,0.9740710677061524,0.003007886541775356,19200,0.6652524648553912,0.9953719427782255,0.33905220478828507,4.409076637245337,1024,3072,2048,25344,nan,nan
100,0.41901872999994794,0.1970647746065471,0.004468383859654443,0.17094314611165157,0.04587075762694543,nan,0.9738910512112291,0.797729252997982,1.2283796957907889,nan,0.07357174554483425,0.5412610844365768,5,0.03505727266643749,0.032212093879279355,0.33858899050260366,0.7597851277810598,0.9773344702027712,0.0027650124058279553,25600,0.6812523348535763,1.0218210003170558,0.3531855762895133,3.783039027212606,1280,4096,2560,33536,nan,nan
125,0.5220127909999519,0.1741900253920003,0.009475574048487473,0.1515105951286013,0.039732351039293574,nan,1.0003679598897646,0.7627681329215616,1.2368639071886738,nan,0.06992224015284076,0.6111833245894176,6,0.03617761451240766,0.04071007317094784,0.3589343238479633,0.7970814992064544,0.9816572757171358,0.0026360929512770697,32000,0.7173637306134252,1.0089099200919633,0.37198176155270024,4.321448018517986,1536,5120,3072,41728,nan,nan
150,0.6167833350000365,0.14825212207555014,0.009087494566690784,0.13286117458574928,0.033823679433848716,nan,1.0297589569179524,0.7295559281877861,1.2406851148942613,nan,0.0664244094675508,0.6776077340569684,7,0.035432131990142626,0.04017462810671482,0.25272324665858015,0.8147913345287393,0.9832556703002093,0.0025873058581783884,38400,0.7514730041419379,1.0103285079458515,0.37198176155270024,4.321448018517986,1792,6144,3584,49920,nan,nan
175,0.7173036739999361,0.12164168160856723,0.009219793638275041,0.10730727118357075,0.029798407595383915,nan,1.062008075292931,0.6979990483494393,1.2399928763576296,nan,0.06449823674995725,0.7421059708069256,8,0.044014744110259255,0.05048561250505195,0.35855369427321043,0.7514161482569175,0.9763270168774647,0.002936132409337068,44800,0.7073832529350371,0.9810461255444174,0.3366789092666365,4.321448018517986,2048,7168,4096,58112,nan,nan
200,0.8525581009999996,0.09562782141632087,0.007967583011402442,0.08278993144081949,0.025528021379219307,nan,1.0938330366934612,0.6680172712200915,1.2381496920864472,nan,0.0636499228010603,0.8057558936079859,9,0.03818887326771837,0.050409771425862476,0.17618016972395206,0.7356257740081787,0.9741633063279334,0.002713430566087317,51200,0.6233687410532812,0.9913821700253506,0.3366789092666365,4.991176494081645,2304,8192,4608,66304,0.6493115853427714,0.722269031519107
225,0.9686261729999615,0.07317040660647438,0.005746649363805445,0.05768984627559854,0.024046831193293816,nan,1.1194338038175973,0.639531121984589,1.2410350741978136,nan,0.056972298471004934,0.8627281920789909,10,0.04024364176329067,0.04961588470665208,0.43695976077169507,0.7550884058716679,0.9773024700590728,0.0030957276190679223,57600,0.6647953976758928,0.9966496217633631,0.3366789092666365,4.991176494081645,2560,9216,5120,74496,0.6493115853427714,0.722269031519107
