step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.01753906800013283,0.7216690521447583,0.0011672804649981525,0.6937666948931467,0.02691170223677488,nan,1.0,0.9997542693015353,0.9997716355658316,nan,0.0004740951326330789,0.0004740951326330789,1,0.03102300482655576,0.0035427876464076487,0.19277724202078222,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,0.9999925758275072,1.0062146807486632,1.0036682155599823,1.009,0.04885881856080347,1,0,0,0,512,768,nan,nan
25,0.20043805900013467,0.39352851099595015,0.00023065487976083211,0.30130219061815344,0.09437024896988139,nan,1.0,0.9938958337943149,0.9943267626395039,nan,0.000470551835327071,0.011777403566181177,25,0.012324213185167455,0.013451922676622059,0.3554184230519277,1.0,1.0,0.0009765625,6400,1.0,1.0,1.0,1.0,0.9967106634123915,1.0984889276462901,1.0489182620385111,1.2024610598770278,0.009005005508059712,25,0,0,0,1024,7424,nan,nan
50,0.3954670060002172,0.4506275263556008,0.0018120358352770875,0.3086369256157277,0.14558754746335953,nan,1.0,0.9878539315371022,0.9885961584010167,nan,0.00047173665684974164,0.02354991006188112,50,0.03344230897898173,0.031922412290429664,0.6607150261735928,1.0,1.0,0.0009765625,12800,1.0,1.0,1.0,1.0,0.9921629819388164,1.1673170810259874,1.0949564046035536,1.3069570438755143,0.017389243234996764,50,0,0,0,1536,14336,nan,nan
75,0.5845361230003618,0.5239396882730568,0.0011074878674530335,0.3542455705920787,0.17808325733244473,nan,1.0,0.981849727222399,0.9827778656547644,nan,0.00047409300074763294,0.03537240712283651,75,0.048447540960354335,0.040739910971323526,0.28831411032067206,1.0,1.0,0.0009765625,19200,1.0,1.0,1.0,1.0,0.9884357620541848,1.2183839609303133,1.127824210095789,1.4321368217443413,0.019230018463466173,75,0,0,0,2048,21248,nan,nan
100,0.7628476790000605,0.5864915824528069,0.0038902055921627506,0.3836861040117492,0.21309436948675226,nan,1.0,0.9758727274926621,0.9769032027409197,nan,0.000473744081668781,0.04722406976641824,100,0.045734474593355535,0.032535670302209954,0.22446119828469474,1.0,1.0,0.0009765625,25600,1.0,1.0,1.0,1.0,0.9887207680540769,1.2498046661604507,1.1616377039761017,1.4620980033914117,0.03407467629638293,100,0,0,0,2560,28160,nan,nan
125,0.938595842000268,0.6061830063985489,0.01181792159756364,0.38426870216235653,0.22826541874202716,nan,1.0,0.9699312473765997,0.9710225245960763,nan,0.0004717633878743577,0.059046228027323955,125,0.05283800778327407,0.029458324696496133,0.355926345112398,1.0,1.0,0.0009765625,32000,1.0,1.0,1.0,1.0,0.9849200764475048,1.279661939485381,1.1879468609011925,1.664696773709673,0.04998082172941593,125,0,0,0,3072,35072,nan,nan
150,1.1213820630000555,0.524821628712664,0.0338746174687275,0.30280437127776105,0.2062062534699374,nan,1.0,0.9640519975684994,0.965188246680179,nan,0.00046466284108614975,0.07075975575132165,150,0.053375466368790495,0.04542382184436551,0.5498768141193306,1.0,1.0,0.0009765625,38400,1.0,1.0,1.0,1.0,0.9798175200729452,1.308165516074456,1.2118140393944463,1.8706097941637085,0.07684723482342465,150,0,0,0,3584,41984,nan,nan
175,1.2927327970000988,0.33380145705630726,0.03387652521345158,0.17078890111549563,0.1420177143592099,nan,1.0,0.958281824639445,0.9594650404602588,nan,0.0004552249162433908,0.08225313490029618,175,0.06008928642212846,0.09266849353789246,0.5235863696926827,1.0,1.0,0.0009765625,44800,1.0,1.0,1.0,1.0,0.9727099935461256,1.3341892588415416,1.2327298622080591,2.0460607318664517,0.07997643604947342,175,0,0,0,4096,48896,nan,nan
200,1.5024688130001778,0.18001524786351555,0.03404526243155233,0.06526900489515416,0.08783659751162567,nan,1.0,0.9526812207398099,0.9539239058171068,nan,0.0004324641884930758,0.09339487344308328,200,0.20115681677097025,0.16485950801390853,0.21961526422627603,1.0,1.0,0.0009765625,51200,1.0,1.0,1.0,1.0,0.9693477767634775,1.3568274015019777,1.253074901667295,2.104198007862216,0.09631380916500956,200,0,0,0,4608,55808,0.40700482210057914,0.510264928157938
225,1.6893800450002345,0.12555444256934195,0.016823674211510608,0.03788990217176253,0.07677263491094752,nan,1.0,0.9473762197211295,0.9487075200327345,nan,0.00041103003604503474,0.10391626024613598,225,0.25166147515698145,0.1705402748266923,0.194120060110391,1.0,1.0,0.0009765625,57600,1.0,1.0,1.0,1.0,0.9697413020871105,1.3766324073513447,1.2729732559820435,2.1208054243891614,0.07924737165204238,225,0,0,0,5120,62720,0.40700482210057914,0.510264928157938
250,1.873276702000112,0.11589038752091788,0.013691121762953961,0.033141749917403276,0.07519856638211436,nan,1.0,0.9423216182777514,0.9437557357492337,nan,0.0003904924030513346,0.11392264597301494,250,0.2138510253771742,0.15691270759655213,0.37554798369574627,1.0,1.0,0.0009765625,64000,1.0,1.0,1.0,1.0,0.9697561696266241,1.3957328843795955,1.293363355108226,2.134589445210751,0.05710504002238088,250,0,0,0,5632,69632,0.40700482210057914,0.510264928157938
275,2.052880569000081,0.1131164520385405,0.012750271654884897,0.03288747845925048,0.07404563034678827,nan,1.0,0.9375222365869869,0.9390620040261263,nan,0.0003674985625610194,0.12341575938688687,275,0.3739924262950407,0.16670604789480997,0.2339025622707242,1.0,1.0,0.0009765625,70400,1.0,1.0,1.0,1.0,0.9679921728129837,1.4171640239265337,1.315954532337526,2.184471835867656,0.03637087110995659,275,0,0,0,6144,76544,0.40700482210057914,0.510264928157938
300,2.2891419760003373,0.11164642852401196,0.010617110961538171,0.03207926382654661,0.07606563676571046,nan,1.0,0.9330497090944863,0.9346897338168249,nan,0.00034418165986860316,0.1322605570886889,300,0.21911262730893727,0.17060106302834077,0.4705560420225089,1.0,1.0,0.0009765625,76800,1.0,1.0,1.0,1.0,0.9678213426197741,1.4373123516408202,1.3351012211906754,2.222072396656253,0.03859829388877914,300,0,0,0,6656,83456,0.40700482210057914,0.510264928157938
325,2.487835939999968,0.11181606707258158,0.009953786926307887,0.03155537199321362,0.07796918322039598,nan,1.0,0.9288198443790326,0.9305346220843234,nan,0.00032801636500157105,0.140645533536644,325,0.17323842106930176,0.1762725750742483,0.713067117057909,1.0,1.0,0.0009765625,83200,1.0,1.0,1.0,1.0,0.9672681337994397,1.4569072255411961,1.3528562455952269,2.250442869644166,0.03554071815364372,325,0,0,0,7168,90368,0.40700482210057914,0.510264928157938
350,2.6728566820002015,0.11133914652203353,0.009544624371114396,0.030668448779807365,0.07924140614034791,nan,1.0,0.9248927980581597,0.9266556251766351,nan,0.00030183029114450033,0.14845157676520515,350,0.12315215555951856,0.17405352698513,0.9241051410606181,1.0,1.0,0.0009765625,89600,1.0,1.0,1.0,1.0,0.9651503738225666,1.4768908705120842,1.3702884247767273,2.304859473525362,0.03208191426289591,350,0,0,0,7680,97280,0.40700482210057914,0.510264928157938
375,2.8698911000001317,0.10939007264306858,0.00906739013237243,0.029363038447193915,0.07938957932718313,nan,1.0,0.9211863585992714,0.9229656167358741,nan,0.000291857018899222,0.15584802466485448,375,0.13628909372223133,0.16910387081343486,0.8307023741481541,1.0,1.0,0.0009765625,96000,1.0,1.0,1.0,1.0,0.9624065544089463,1.4968517981455012,1.3875029528290745,2.4445114115566158,0.02833124943751735,375,0,0,0,8192,104192,0.40700482210057914,0.510264928157938
400,3.0728770390001046,0.10493742431436806,0.00829784129131299,0.02736018336157257,0.07780510193667438,nan,1.0,0.917623098797797,0.919390181396509,nan,0.0002745613132684177,0.162986719805694,400,0.07848197734519138,0.15158373246116866,1.2878402076410753,1.0,1.0,0.0009765625,102400,1.0,1.0,1.0,1.0,0.9584682668414676,1.517912699430168,1.40485648591289,2.60133348037412,0.023754871854628684,400,0,0,0,8704,111104,0.30498538125421093,0.4365598875969751
425,3.2846069670004,0.09819504558090983,0.007519892498021909,0.024785064347834028,0.07425000146765677,nan,1.0,0.9142788780485884,0.9160227732549646,nan,0.00026663956328543126,0.16969834869644695,425,0.1790577910950847,0.14448605165144424,0.7166538485556662,1.0,1.0,0.0009765625,108800,1.0,1.0,1.0,1.0,0.9543384699239035,1.5394819423709094,1.4207657700054945,2.6876504234857896,0.023168221255206768,425,0,0,0,9216,118016,0.30498538125421093,0.4365598875969751
450,3.4893836149999515,0.08843705192799811,0.007464509244464828,0.01859723115710064,0.07015888357459694,nan,1.0,0.9109553805641515,0.9126612573487637,nan,0.0002677001695728931,0.17638336208708483,450,0.09016860285179297,0.13946273603255877,0.9099827205676836,1.0,1.0,0.0009765625,115200,1.0,1.0,1.0,1.0,0.9502225746568234,1.5605857555829261,1.4356685606492394,2.704747224182434,0.02314301901023255,450,0,0,0,9728,124928,0.30498538125421093,0.4365598875969751
475,3.674947144000271,0.07531590694671218,0.006285123218586114,0.015518526639821121,0.06041939091561786,nan,1.0,0.9077088164541613,0.9093848753873985,nan,0.0002588785767563273,0.1829063081584401,475,0.1810613750064755,0.1841104464283773,0.5757812522262884,1.0,1.0,0.0009765625,121600,1.0,1.0,1.0,1.0,0.9489193796208802,1.5783116268816015,1.450431933626723,2.745065417757862,0.024544178569402785,475,0,0,0,10240,131840,0.30498538125421093,0.4365598875969751
500,3.8809031290002167,0.06415067489028703,0.007101627504708727,0.01006723539787507,0.05290973912529782,nan,1.0,0.9044808985402368,0.9061361114171308,nan,0.0002579704694934959,0.18938299004263237,500,0.20475169637815405,0.2655744865749613,0.11425112482142315,1.0,1.0,0.0009765625,128000,1.0,1.0,1.0,1.0,0.9494529749305668,1.5941153754594366,1.465529257654499,2.7391114471344906,0.025471644605392422,500,0,0,0,10752,138752,0.30498538125421093,0.4365598875969751
525,4.074971067000206,0.059373609287171884,0.00855092515474077,0.011539482359309664,0.04476947090343163,nan,1.0,0.9012550788805466,0.9029069638916007,nan,0.00025768290278649353,0.1958379572278527,525,0.09238461249740616,0.27592056901325335,0.5950626705985491,1.0,1.0,0.0009765625,134400,1.0,1.0,1.0,1.0,0.9484728933366857,1.6099433562111867,1.481279780550055,2.723267266509816,0.025438833788453883,525,0,0,0,11264,145664,0.30498538125421093,0.4365598875969751
550,4.2818229520003115,0.04894205571960765,0.0073079403437718155,0.008262758063012708,0.038019873191611986,nan,1.0,0.8981298053590938,0.8998737558262321,nan,0.00024332339662669344,0.2019964388146741,550,0.24865782388472285,0.3454569340335229,0.14519262931471696,1.0,1.0,0.0009765625,140800,1.0,1.0,1.0,1.0,0.9470874646734926,1.6259096658746297,1.49844553599315,2.707094182998427,0.023594509754611928,550,0,0,0,11776,152576,0.30498538125421093,0.4365598875969751
575,4.477189963000001,0.04415277639672471,0.007694893361063266,0.007432930809879473,0.03323331949355707,nan,1.0,0.8950031384501761,0.8968525289420658,nan,0.00024951406985274094,0.2081443326077581,575,0.2487291077177538,0.33884249388810356,0.03515155308686155,1.0,1.0,0.0009765625,147200,1.0,1.0,1.0,1.0,0.9442288985812136,1.6424445535680812,1.5139744530723889,2.6915842797420524,0.02127926143833793,575,0,0,0,12288,159488,0.30498538125421093,0.4365598875969751
600,4.676988898000218,0.042074663027545894,0.00843698262546564,0.008451907006903642,0.029202599777574327,nan,1.0,0.8918182618840247,0.8937599934380227,nan,0.00024049279095283982,0.2144217446779526,600,0.042965593221183984,0.28911657856621803,0.9523161526996804,1.0,1.0,0.0009765625,153600,1.0,1.0,1.0,1.0,0.9425400053099128,1.6587600066735422,1.5289610930317987,2.706123207280747,0.02102772085998813,600,0,0,0,12800,166400,0.2055453547702273,0.2619499821998367
