step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.010995796999850427,0.7870253692706741,0.007421328230704875,0.7454296056235987,0.03417443541637061,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.029209548324179446,0.0028359391888707073,0.024754505923343315,1.0,1.0,0.0009765625,256,0.8362021800816839,1.0,0.4959225237271402,2.6593597052266897,0,0,512,768,nan,nan
25,0.10973030900004233,0.28160254606851604,0.0018784929000743619,0.18379442225154952,0.09592963091689216,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.04014735232269369,0.041841219331952825,0.040617797094623646,0.9154121149843223,0.993154782238458,0.0015890036717246523,6400,0.8315626843486199,0.9999999999999998,0.5047426065163316,3.0553844047457397,0,1024,1024,8448,nan,nan
50,0.21208736100015813,0.26459931830511574,0.0005601122955699077,0.18443306243598492,0.07960614357356091,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.02161694668857112,0.01785679626689398,0.14936500013128526,0.732356980159923,0.975496057616793,0.0028405964824747146,12800,0.8298090176028374,1.0,0.5075473672089955,2.757101658622895,0,2048,1536,16384,nan,nan
75,0.3217909290001444,0.259641040813514,0.0008410770497975252,0.18438800384581905,0.07441195991789747,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.013910440228171832,0.007517175983779052,0.19347257366168222,0.7164060605562127,0.9737690066157896,0.0029700488794711976,19200,0.7519135864842638,1.0,0.48600639996213957,3.5433569110298255,0,3072,2048,24320,nan,nan
100,0.42218051400004697,0.2515234675308223,0.0009744242338733557,0.17704535534980334,0.07350368794714557,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.012275985806742103,0.0062713034484825,0.6208667605694902,0.7153560635294793,0.9739138282483554,0.0032029213529066658,25600,0.830025272977661,1.0,0.4984231817859975,2.7257222384648045,0,4096,2560,32256,nan,nan
125,0.525136977999864,0.23731008348787952,0.002890666206984615,0.1646667116792795,0.06975270560161542,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.006455907467904731,0.006137946472117742,0.21902753896253732,0.7251583773651611,0.9731603601220845,0.0029917138314250608,32000,0.8742004746685971,1.0,0.515924097761688,2.5541813342668274,0,5120,3072,40192,nan,nan
150,0.6298941820000437,0.22100376409383543,0.006963085308291436,0.1512699874095848,0.06277069137595921,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.011815710576678637,0.012100349795138281,0.4255549405885769,0.8036623929745553,0.9818401950218971,0.002458758330610716,38400,0.8680722582137056,1.0,0.5092379745683865,2.6116673098025367,0,6144,3584,48128,nan,nan
175,0.7313426649998291,0.20436515877170658,0.010079099251148011,0.13854768353023036,0.055738375990328215,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.033027948049120834,0.01938881928244808,0.7054035959877711,0.808351094702856,0.9824682764150889,0.0024804157110480465,44800,0.8700662445654542,1.0,0.5045910219199292,2.542074286787697,0,7168,4096,56064,nan,nan
200,0.8432958859998507,0.1869478525394072,0.013434089102532241,0.12230381091621684,0.05120995252065814,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.028500396373326593,0.02747511674011306,0.44262368431267046,0.8092869194470297,0.9825581596733882,0.0024065004276485865,51200,0.8568743101601103,1.0,0.5068834136776066,2.758573263527685,0,8192,4608,64000,0.9200134908704268,1.0158565989014858
225,0.9468688779998047,0.16066114943720552,0.011052545833852262,0.10304060208275093,0.04656800152060234,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.03435055449460445,0.0327023708812227,0.5387100966178031,0.8149787151300438,0.9823688938048301,0.0020953728923032997,57600,0.8485024025784167,1.0,0.5000982309577549,3.0327417893808994,0,9216,5120,71936,0.9200134908704268,1.0158565989014858
250,1.0567982140000822,0.12568287916645693,0.009605965958453188,0.07720324179246686,0.03887367141553687,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.07969967534467043,0.03083848110339396,0.9704702381687628,0.7683674316926806,0.9783354687924991,0.0023442972039227038,64000,0.823922859735006,0.9999999999999999,0.4897945757209015,2.863088519468023,0,10240,5632,79872,0.9200134908704268,1.0158565989014858
275,1.1595099319997644,0.09177397768278509,0.009823660711755002,0.04929057805892196,0.03265973891210812,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.05517362994287192,0.04336398940402557,0.48391476393461746,0.7542398253990333,0.9764629391241318,0.002322270205032063,70400,0.810232667159009,1.0,0.48745158985385445,3.3124594976864215,0,11264,6144,87808,0.9200134908704268,1.0158565989014858
