step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.015266664999671775,0.6657667834313976,0.019456021034230365,0.6326874154429738,0.03863893349608111,nan,1.0535531612766613,0.9596189845339819,0.9868278541893569,nan,0.10710632255332253,0.10710632255332253,1,0.02569303915285088,0.007780139738526289,0.05400892492078927,1.0,1.0,0.0009765625,256,0.8479827698477006,1.0,0.5107961919870234,3.118561760816102,256,0,512,1024,nan,nan
25,0.11992654699997729,0.2644567571545207,0.0014387603498617766,0.23005016757585017,0.04962236225022326,nan,1.0583207407237383,0.9232688684381989,1.018410390838063,nan,0.07270023219156607,0.1798065547448886,2,0.009208019464789802,0.0023035032587793063,0.44901264998147794,0.8194056486572873,0.9831383681287943,0.0020718694578702583,6400,0.8573182272995672,1.0,0.5145716678055355,3.2341125783448152,512,1024,1024,8960,nan,nan
50,0.22486868799978765,0.24863716381156997,0.0018371837314764348,0.18956761834115657,0.07487683538644593,nan,1.0631332950453654,0.8863619252236541,1.0505047797309808,nan,0.07381388642908959,0.2536204411739782,3,0.010787249109589342,0.0019945572413398198,0.08628990191096535,0.7843460698592658,0.9792852383993152,0.0019973582067049607,12800,0.8560232814096478,1.0000000000000002,0.5034597929507374,2.599816701223267,768,2048,1536,17152,nan,nan
75,0.33043418299985206,0.24176052743355606,0.0011486770768974043,0.19467679106170682,0.06872882566625105,nan,1.0627740488942639,0.8527051488190306,1.0845208022867057,nan,0.06803204511144989,0.3216524862854281,4,0.010189134942744479,0.0004476262889316876,0.2506631447503733,0.8547123904104621,0.9863078377588217,0.0017011714592630133,19200,0.8260220446005115,1.0,0.4870255272345675,3.322361055926688,1024,3072,2048,25344,nan,nan
100,0.44850675399993634,0.23491452614248906,0.0011605811025920502,0.2001567986317917,0.062265853063612285,nan,1.0659452616601561,0.8213145656105474,1.1127401727292967,nan,0.06278116641696652,0.3844336527023946,5,0.008164535189532418,0.0018200052777810327,0.25719343411390844,0.8017893398929995,0.9820833859249389,0.002201346499223271,25600,0.7772834978633166,1.0000000000000002,0.47819511096990797,4.035804514921273,1280,4096,2560,33536,nan,nan
125,0.5708966109996254,0.22740733846092812,0.0013827220049770434,0.20340612921507994,0.05728198332572718,nan,1.0751957121331837,0.7915463516536948,1.1332579362131219,nan,0.05953642791370528,0.4439700806160999,6,0.006091480064679713,0.003616655652248189,0.13280848699087672,0.7766741488747883,0.9791841230082342,0.00227321525592931,32000,0.7985551169845415,1.0,0.48240501461280993,2.995914923474857,1536,5120,3072,41728,nan,nan
150,0.6818190599997251,0.21899941154010594,0.001682575461780071,0.20444931800134994,0.053348160141724124,nan,1.0905628520285524,0.7630616477626874,1.1463755002087608,nan,0.05696940778201509,0.500939488398115,7,0.003523847843117149,0.005872078589910968,0.014251375638849768,0.7647711844450144,0.9781134451201726,0.0024437016378138134,38400,0.8063062535516095,0.9999999999999998,0.48196501607111564,3.1216228217349107,1792,6144,3584,49920,nan,nan
175,0.7887685449995843,0.20968439504169964,0.002284116902699462,0.2032432962941049,0.05012171806501903,nan,1.113671647405291,0.7353282420623102,1.1510001105323995,nan,0.05546681140075449,0.5564062997988695,8,0.0024388501036776596,0.00908762026099554,0.3242789229134502,0.7457161191792752,0.9762929229683708,0.00268261463122494,44800,0.8713597239334099,0.9999999999999999,0.4956324355374952,2.658325978742234,2048,7168,4096,58112,nan,nan
200,0.9098215839999284,0.19979993091329915,0.0029195911993679037,0.2002165555027048,0.047564660606255235,nan,1.1427895146487514,0.7083165680113993,1.1488939173398498,nan,0.05823573448692099,0.6146420342857905,9,0.002533093272801118,0.012537431175093407,0.25549137125071175,0.7404246864776607,0.9753384148120504,0.0025737982320772025,51200,0.8748192410392315,0.9999999999999999,0.5030400339894756,2.5336605351252657,2304,8192,4608,66304,0.9720403233884627,1.0857674549214682
225,1.0205211259999487,0.19006550579175183,0.0032975040983285464,0.1967848451307057,0.04544782696768119,nan,1.1750752402776052,0.6822641737989421,1.142660585923453,nan,0.06457145125770769,0.6792134855434981,10,0.005585621466546726,0.014976965210443501,0.3365032126939142,0.7194796655308893,0.9725528329781573,0.0028355941622573155,57600,0.8565710647967102,1.0,0.49342312908391533,2.9558372502687624,2560,9216,5120,74496,0.9720403233884627,1.0857674549214682
